country,area_a,area_b,area_c,known_tot,diff_known_tot_area_a,diff_known_tot_area_b,diff_known_tot_area_c
AT,83877.9567498586,83879.4007677664,83882,83882,4.04,2.6,0
BE,30665.750365333,30667,30667,30667,1.25,0,0
BG,110974.263443255,110985.989094487,110996,110996,21.74,10.01,0
CY,9253.0000001138,9253.00000001626,9253.00000001626,9253,0,0,0
CZ,78855.9614356536,78870.9999999985,78871,78871,15.04,0,0
DE,357532.654980921,357569,357569,357569,36.35,0,0
DK,42892.5501867914,42924.9999999998,42925,42925,32.45,0,0
EE,45331.9973621348,45334.9993405337,45336,45336,4,1,0
EL,131676.416714734,131688.534888169,131694,131694,17.58,5.47,0
ES,498487.725743287,498502.000000006,498502,498502,14.27,0,0
FI,338393.187253967,338380.951222788,338363,338363,-30.19,-17.95,0
FR,549038.554489992,549059.999999986,549060,549060,21.45,0,0
HR,56588.7028583484,56594.0000000001,56594,56594,5.3,0,0
HU,92934.3213995023,93012,93012,93012,77.68,0,0
IE,69946.9999997158,69946.999999878,69947.0000000001,69947,0,0,0
IT,302069.774857334,302073.000000005,302073,302073,3.23,0,0
LT,65267.8300946294,65277.5320378517,65284,65284,16.17,6.47,0
LU,2622.8115112918,2601.95287782295,2595,2595,-27.81,-6.95,0
LV,64606.1725430035,64597.0431357515,64594,64594,-12.17,-3.04,0
MT,316,316,316,316,0,0,0
NL,37377.8574604973,37380.4859683978,37391,37391,13.14,10.51,0
PL,311868.902277574,311928.000000015,311928,311928,59.1,0,0
PT,89074.8854679816,89087.861405836,89103,89103,28.11,15.14,0
RO,238346.811821393,238398.000000007,238398,238398,51.19,0,0
SE,447402.371922438,447423.999999992,447424,447424,21.63,0,0
SI,20309.0712595502,20282.0178148875,20273,20273,-36.07,-9.02,0
SK,48986.9993870081,49015.7997548032,49034.9999999999,49035,48,19.2,0
Total,4124699.53158631,4125051.568309,4125085.00000002,4125085,385.48,33.44,0
