AT1.No,AT2.No,AT3.No,AT1.Yes,AT2.Yes,AT3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
 6954.491,13794.442,20289.817,16604.509,12141.558,14097.183,Total.area
623.7191,628.3930,818.7290,575.9144,583.5453,713.6606,Total.SURVEY_LC1_1A
 775.9570, 190.9851, 172.9698,7466.2626,1794.5826,2713.6548,Total.SURVEY_LC1_1B
3836.511,7750.175,7056.218,5434.244,6296.427,6013.683,Total.SURVEY_LC1_1C
 169.11010,1112.12111,2738.28055, 148.70812, 210.74434,  92.66275,Total.SURVEY_LC1_1D
 998.2768,3089.5458,5488.9412,2804.8605,3145.3875,4363.2015,Total.SURVEY_LC1_1E
 136.56107, 781.76945,3404.50316,  95.80260,  49.98781,  55.00161,Total.SURVEY_LC1_1F
275.94063,198.35357,579.06538, 59.69928, 52.77291,114.59523,Total.SURVEY_LC1_1G
138.415564, 43.098874, 31.109610, 19.017408,  8.110914, 30.723754,Total.SURVEY_LC1_1H
 5038.509, 9592.800, 9617.171,15387.765,11088.029,12870.676,Total.SURVEY_LU1_1U1
65.591856,38.894157,73.660998,25.272210,22.960257, 7.621094,Total.SURVEY_LU1_1U2
1295.3716, 946.4310,1392.9506, 813.2877, 814.6808, 891.3672,Total.SURVEY_LU1_1U3
 555.0188,3216.3160,9206.0338, 378.1840, 215.8885, 327.5190,Total.SURVEY_LU1_1U4
338.43414,176.11068,285.88641, 90.19168,135.42722,197.84989,Total.SURVEY_LC1_2A1
255.5198,448.3150,467.8111,464.8819,384.6952,469.1455,Total.SURVEY_LC1_2A2
29.765203, 3.967402,65.031496,20.840824,63.422901,46.665266,Total.SURVEY_LC1_2A3
 297.15445,  50.51063,  45.60793,4663.39787, 981.90215,1824.43271,Total.SURVEY_LC1_2B1
 28.127886,  0.000000,  6.880559,469.873734,  3.818075, 60.066970,Total.SURVEY_LC1_2B2
  67.665155,   6.343813,   6.880559,1047.448169, 300.229631, 310.537611,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,203.696120,  7.888181, 65.324171,Total.SURVEY_LC1_2B4
  3.991295,  0.000000,  0.000000,595.187466,198.891433,280.084975,Total.SURVEY_LC1_2B5
 34.71992, 20.12128, 15.32709,124.01058,239.34317,169.43380,Total.SURVEY_LC1_2B7
 25.533605,  7.777682,  4.505150,362.648657, 62.509918,  3.774585,Total.SURVEY_LC1_2B8
318.76469,106.23167, 93.76848,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Bx
1253.3421, 358.8991, 837.1479,1889.5205, 880.4710,1293.8848,Total.SURVEY_LC1_2C1
1406.126,5985.379,4601.534,2274.204,3541.632,2587.784,Total.SURVEY_LC1_2C2
1000.342,1189.673,1373.312,1270.519,1874.325,2132.015,Total.SURVEY_LC1_2C3
176.7010,216.2238,244.2243,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Cx
 52.61906,211.69844,439.21745,115.59077,118.46856, 41.61098,Total.SURVEY_LC1_2D1
 116.49104, 900.42267,2299.06310,  33.11735,  92.27578,  51.05177,Total.SURVEY_LC1_2D2
132.0496,295.7047,267.2141,152.6069,130.6395,138.9814,Total.SURVEY_LC1_2E1
 848.7611,2721.7485,5161.2743,2490.8609,2852.0949,4120.1892,Total.SURVEY_LC1_2E2
 17.46609, 72.09264, 56.66563,161.39269,162.65302,104.03083,Total.SURVEY_LC1_2E3
0.00000,0.00000,3.78719,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2Ex
  19.556528, 745.928196,3358.639203,   0.000000,   0.000000,   7.229616,Total.SURVEY_LC1_2F1
 3.241663, 3.363290, 3.246062,10.477500, 8.216467, 0.000000,Total.SURVEY_LC1_2F2
113.76288, 32.47796, 42.61790, 85.32510, 41.77134, 47.77199,Total.SURVEY_LC1_2F4
192.36457,112.63931,231.51681, 26.66052, 12.37852, 20.40760,Total.SURVEY_LC1_2G1
 83.57606, 47.96477,102.63258, 33.03876, 40.39439, 94.18763,Total.SURVEY_LC1_2G2
  0.0000, 37.7495,244.9160,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2G5
134.621122, 43.098874, 31.109610, 19.017408,  8.110914, 30.723754,Total.SURVEY_LC1_2H1
3.794442,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2H2
 1252.211, 1742.145, 3352.373,10046.248, 4658.493, 6949.154,Total.SURVEY_LU1_2U11
3754.094,7815.750,6220.854,5312.582,6421.425,5910.143,Total.SURVEY_LU1_2U12
 0.000000, 0.000000,22.438719, 7.910728, 4.143568, 8.141442,Total.SURVEY_LU1_2U13
32.204184,30.990223,21.505979,21.024654, 3.967402, 3.237713,Total.SURVEY_LU1_2U14
0.000000,3.914656,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_2U15
0.000000,8.518320,8.979116,4.261038,7.869523,0.000000,Total.SURVEY_LU1_2U21
65.591856,30.375837,64.681881,21.011172,15.090734, 7.621094,Total.SURVEY_LU1_2U22
300.1398,341.1013,482.3594,487.5233,372.3882,427.5872,Total.SURVEY_LU1_2U31
 7.311772,23.807963,18.032771,10.806797, 4.256935,19.311617,Total.SURVEY_LU1_2U32
27.471617, 4.012210,19.292328,14.574268,11.169043, 4.771102,Total.SURVEY_LU1_2U33
42.703152,80.916049,53.291984, 8.200145,15.521052,30.147183,Total.SURVEY_LU1_2U34
227.909311, 11.773861, 14.049260, 17.926111,  4.250207,  3.565226,Total.SURVEY_LU1_2U35
140.87039, 77.16123,336.71279, 50.22135, 48.34420,100.59059,Total.SURVEY_LU1_2U36
548.9655,407.6584,469.2121,224.0357,358.7512,305.3943,Total.SURVEY_LU1_2U37
 9.659887, 4.040897, 0.000000,32.644026,11.691458, 4.260282,Total.SURVEY_LU1_2U41
 545.3589,3212.2751,9206.0338, 345.5400, 204.1970, 323.2587,Total.SURVEY_LU1_2U42
