AT11.No,AT12.No,AT13.No,AT21.No,AT22.No,AT31.No,AT32.No,AT33.No,AT34.No,AT11.Yes,AT12.Yes,AT13.Yes,AT21.Yes,AT22.Yes,AT31.Yes,AT32.Yes,AT33.Yes,AT34.Yes,variable
No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  923.5193, 5732.5354,  298.4365, 5469.7617, 8324.6799, 2793.3564, 4893.7190,10735.9737, 1866.7675, 3040.4807,13447.4646,  116.5635, 4067.2383, 8074.3201, 9188.6436, 2260.2810, 1913.0263,  735.2325,Total.area
 99.942352,416.193084,107.583699,297.028162,331.364882,362.256613,143.261007,253.802728, 59.408637,123.049785,444.620608,  8.243995,233.334258,350.211075,490.609736, 88.921156,100.263891, 33.865847,Total.SURVEY_LC1_1A
 124.001971, 644.223521,   7.731514,  53.200405, 137.784670, 149.810722,   7.757413,  11.836402,   3.565226,1425.373077,5991.588951,  49.300564, 519.891186,1274.691376,2620.380753,  23.676061,  55.094897,  14.503111,Total.SURVEY_LC1_1B
 281.63300,3467.28033,  87.59751,2874.84737,4875.32727,1292.89248,1902.95474,3333.08355, 527.28715,1098.21721,4306.59519,  29.43158,2203.66140,4092.76570,3592.48932,1161.26992, 849.19052, 410.73340,Total.SURVEY_LC1_1C
  16.167811, 149.090305,   3.851987, 312.876890, 799.244223, 187.280250, 731.644747,1583.564529, 235.791023,  36.691978, 108.041836,   3.974302,  63.439696, 147.304644,  32.568440,  24.299801,  35.794510,   0.000000,Total.SURVEY_LC1_1D
 133.71109, 803.27356,  61.29217,1351.72459,1737.82122, 439.04560,1364.28063,2903.50645, 782.10853, 322.86814,2460.01063,  21.98170,1011.00218,2134.38528,2327.88067, 931.45634, 842.57808, 261.28637,Total.SURVEY_LC1_1E
  14.767976, 117.976617,   3.816479, 421.808546, 359.960903, 181.372527, 627.031405,2401.664580, 194.434650,  15.263120,  80.539484,   0.000000,  15.895979,  34.091832,  48.134574,   0.000000,   6.867033,   0.000000,Total.SURVEY_LC1_1F
126.470004,122.907523, 26.563103,130.716377, 67.637196,168.874233,104.857829,244.726282, 60.607037,  0.000000, 56.067875,  3.631400, 11.902666, 40.870244, 72.588246, 19.202885, 15.658973,  7.145129,Total.SURVEY_LC1_1G
126.825079, 11.590486,  0.000000, 27.559382, 15.539492, 11.823939, 11.931254,  3.789191,  3.565226, 19.017408,  0.000000,  0.000000,  8.110914,  0.000000,  3.991903, 11.454811,  7.578381,  7.698660,Total.SURVEY_LC1_1H
  463.51631, 4530.85202,   44.14053, 3821.67868, 5771.12172, 1670.63626, 2791.85952, 4187.66403,  967.01132, 2774.42196,12531.20337,   82.13961, 3749.19099, 7338.83789, 8404.16856, 2098.73332, 1701.08041,  666.69379,Total.SURVEY_LU1_1U1
 3.875311,57.352077, 4.364468, 3.988383,34.905774,24.884052, 3.853369,28.091263,16.832313, 6.150109,19.122101, 0.000000, 8.602655,14.357602, 3.831904, 0.000000, 3.789191, 0.000000,Total.SURVEY_LU1_1U2
181.38571,888.32590,225.66002,358.15348,588.27755,501.63746,210.26033,533.78158,147.27125,162.28138,624.15527, 26.85101,279.38188,535.29895,606.57706,102.31857,137.58452, 44.88709,Total.SURVEY_LU1_1U3
 274.741944, 256.005420,  24.271445,1285.941181,1930.374809, 596.198588,1887.745801,5986.436844, 735.652595,  97.627276, 272.983831,   7.572917,  30.062754, 185.825703, 174.066119,  59.229093,  70.572170,  23.651639,Total.SURVEY_LU1_1U4
 80.264721,218.958115, 39.211308, 48.993145,127.117539,134.302103, 47.543088, 84.709828, 19.331391, 23.732093, 66.459591,  0.000000, 27.788565,107.638652,152.977895, 23.315523, 17.798883,  3.757591,Total.SURVEY_LC1_2A1
 19.677631,171.834234, 64.007922,248.035017,200.279941,213.865339, 92.060132,131.407759, 30.477848, 93.504725,363.133159,  8.243995,154.231557,230.463659,317.444000, 61.947845, 67.018027, 22.735597,Total.SURVEY_LC1_2A2
 0.000000,25.400735, 4.364468, 0.000000, 3.967402,14.089171, 3.657787,37.685140, 9.599398, 5.812967,15.027858, 0.000000,51.314137,12.108764,20.187841, 3.657787,15.446980, 7.372658,Total.SURVEY_LC1_2A3
  40.279097, 256.875357,   0.000000,   4.462653,  46.047980,  41.618442,   0.000000,   3.989489,   0.000000, 754.595538,3882.054192,  26.748139, 301.894637, 680.007517,1785.920258,   7.717802,  23.466387,   7.328258,Total.SURVEY_LC1_2B1
  0.000000, 28.127886,  0.000000,  0.000000,  0.000000,  6.880559,  0.000000,  0.000000,  0.000000, 28.041984,434.198792,  7.632958,  0.000000,  3.818075, 56.077480,  0.000000,  3.989489,  0.000000,Total.SURVEY_LC1_2B2
  8.027283, 59.637872,  0.000000,  0.000000,  6.343813,  6.880559,  0.000000,  0.000000,  0.000000,364.528256,682.919913,  0.000000, 64.786955,235.442676,310.537611,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 27.772334,172.107307,  3.816479,  4.114914,  3.773267, 53.355703,  0.000000, 11.968468,  0.000000,Total.SURVEY_LC1_2B4
  0.000000,  3.991295,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,118.503019,472.835183,  3.849265, 93.778333,105.113100,253.380669,  3.858901, 15.670552,  7.174852,Total.SURVEY_LC1_2B5
  3.830112, 27.037820,  3.851987,  0.000000, 20.121278,  7.639384,  3.898512,  3.789191,  0.000000, 27.236347, 96.774231,  0.000000, 55.316347,184.026822,157.334445, 12.099357,  0.000000,  0.000000,Total.SURVEY_LC1_2B7
  3.771669, 21.761936,  0.000000,  3.959606,  3.818075,  4.505150,  0.000000,  0.000000,  0.000000,104.695600,250.699333,  7.253724,  0.000000, 62.509918,  3.774585,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2B8
 68.093810,246.791354,  3.879527, 44.778146, 61.453523, 82.286628,  3.858901,  4.057722,  3.565226,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2Bx
 261.49988, 912.01423,  79.82796, 102.99648, 255.90264, 492.11938, 163.02297,  99.05614,  82.94941, 269.65743,1590.43148,  29.43158, 133.26980, 747.20122, 787.97464, 244.63522, 118.25967, 143.01525,Total.SURVEY_LC1_2C1
   3.863985,1402.262014,   0.000000,2332.409560,3652.969099, 104.111077,1380.148683,2869.310756, 247.963014, 490.017846,1784.186245,   0.000000,1231.804616,2309.826923,1392.155648, 528.470887, 488.099635, 179.057650,Total.SURVEY_LC1_2C2
  16.269127, 976.303037,   7.769546, 427.698043, 761.974984, 467.263063, 356.090234, 353.584180, 196.374735, 338.541932, 931.977464,   0.000000, 838.586988,1035.737554,1412.359025, 388.163816, 242.831219,  88.660505,Total.SURVEY_LC1_2C3
  0.000000,176.701043,  0.000000, 11.743281,204.480542,229.398961,  3.692848, 11.132472,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2Cx
  8.237626, 40.529450,  3.851987, 62.355185,149.343253, 20.550528,138.256982,232.214373, 48.195563, 32.332253, 79.284210,  3.974302, 17.698941,100.769615, 12.123110, 14.017555, 15.470313,  0.000000,Total.SURVEY_LC1_2D1
   7.930185, 108.560855,   0.000000, 250.521705, 649.900970, 166.729723, 593.387764,1351.350156, 187.595460,   4.359725,  28.757626,   0.000000,  45.740755,  46.535028,  20.445330,  10.282246,  20.324197,   0.000000,Total.SURVEY_LC1_2D2
 24.173710, 88.903731, 18.972199,156.728034,138.976617, 62.727394, 72.052427, 94.337924, 38.096326, 11.753438,137.189234,  3.664186, 46.793699, 83.845826, 27.875849, 36.530529, 57.588112, 16.986950,Total.SURVEY_LC1_2E1
 106.29735, 700.14377,  42.31997,1164.08546,1557.66306, 357.02573,1284.34916,2775.88722, 744.01220, 279.36841,2193.17501,  18.31751, 887.41468,1964.68024,2250.11239, 864.65088, 761.12651, 244.29942,Total.SURVEY_LC1_2E2
  3.240031, 14.226061,  0.000000, 30.911098, 41.181542, 15.505279,  7.879044, 33.281307,  0.000000, 31.746298,129.646391,  0.000000, 76.793806, 85.859217, 49.892435, 30.274939, 23.863455,  0.000000,Total.SURVEY_LC1_2E3
0.00000,0.00000,0.00000,0.00000,0.00000,3.78719,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2Ex
   0.000000,  19.556528,   0.000000, 398.300240, 347.627956, 155.528642, 614.735497,2393.940413, 194.434650,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.991903,   0.000000,   3.237713,   0.000000,Total.SURVEY_LC1_2F1
0.000000,3.241663,0.000000,3.363290,0.000000,3.246062,0.000000,0.000000,0.000000,7.235837,3.241663,0.000000,8.216467,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2F2
14.767976,95.178426, 3.816479,20.145016,12.332947,22.597823,12.295908, 7.724167, 0.000000, 8.027283,77.297821, 0.000000, 7.679512,34.091832,44.142671, 0.000000, 3.629320, 0.000000,Total.SURVEY_LC1_2F4
126.470004, 54.510380, 11.384187, 68.954607, 43.684702,112.392028, 41.246363, 27.761654, 50.116767,  0.000000, 23.029117,  3.631400,  4.091380,  8.287136, 16.441652,  0.000000,  3.965951,  0.000000,Total.SURVEY_LC1_2G1
 0.000000,68.397142,15.178916,24.012272,23.952493,47.738304,18.499693,25.904311,10.490269, 0.000000,33.038758, 0.000000, 7.811286,32.583107,56.146594,19.202885,11.693022, 7.145129,Total.SURVEY_LC1_2G2
  0.000000,  0.000000,  0.000000, 37.749497,  0.000000,  8.743902, 45.111774,191.060317,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2G5
123.030637, 11.590486,  0.000000, 27.559382, 15.539492, 11.823939, 11.931254,  3.789191,  3.565226, 19.017408,  0.000000,  0.000000,  8.110914,  0.000000,  3.991903, 11.454811,  7.578381,  7.698660,Total.SURVEY_LC1_2H1
3.794442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2H2
 191.98558,1041.33150,  18.89388, 856.80751, 885.33789, 353.40154,1129.50182,1411.13328, 458.33596,1704.97661,8280.99026,  60.28095,1417.93061,3240.56272,4940.01802, 909.24917, 845.08075, 254.80639,Total.SURVEY_LU1_2U11
 268.29070,3460.55637,  25.24665,2953.69659,4862.05352,1307.30185,1650.78459,2776.53075, 486.23664,1062.96529,4227.75779,  21.85866,2331.26039,4090.16420,3456.00910,1189.48415, 852.76195, 411.88741,Total.SURVEY_LU1_2U12
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,22.438719, 0.000000, 7.910728, 0.000000, 0.000000, 4.143568, 8.141442, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U13
 3.240031,28.964153, 0.000000, 7.259920,23.730303, 9.932865,11.573114, 0.000000, 0.000000, 6.480062,14.544592, 0.000000, 0.000000, 3.967402, 0.000000, 0.000000, 3.237713, 0.000000,Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,3.914656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_2U15
0.000000,0.000000,0.000000,3.988383,4.529937,0.000000,0.000000,0.000000,8.979116,0.000000,4.261038,0.000000,3.896630,3.972893,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_2U21
 3.875311,57.352077, 4.364468, 0.000000,30.375837,24.884052, 3.853369,28.091263, 7.853197, 6.150109,14.861063, 0.000000, 4.706025,10.384710, 3.831904, 0.000000, 3.789191, 0.000000,Total.SURVEY_LU1_2U22
 19.94759,196.87756, 83.31469,171.61037,169.49095,186.20473, 83.08405,150.35557, 62.71503, 99.56024,375.74475, 12.21830,161.83550,210.55269,276.57282, 63.10001, 65.12895, 22.78544,Total.SURVEY_LU1_2U31
 4.070109, 3.241663, 0.000000,19.572931, 4.235032,14.243581, 0.000000, 3.789191, 0.000000, 0.000000,10.806797, 0.000000, 0.000000, 4.256935,19.311617, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U32
14.804799, 8.302350, 4.364468, 0.000000, 4.012210, 9.988669, 9.303660, 0.000000, 0.000000, 0.000000,14.574268, 0.000000, 7.128146, 4.040897, 4.771102, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U33
