No,Yes,variable
12332.36,18334.64,Total.area
2691.339,1016.618,Total.SURVEY_LC1_1A
 878.5964,6876.7572,Total.SURVEY_LC1_1B
4217.509,3831.651,Total.SURVEY_LC1_1C
170.9728,127.4916,Total.SURVEY_LC1_1D
3435.617,5563.436,Total.SURVEY_LC1_1E
546.1313,746.2108,Total.SURVEY_LC1_1F
319.9848,140.5999,Total.SURVEY_LC1_1G
72.21122,31.87329,Total.SURVEY_LC1_1H
 6809.901,15808.207,Total.SURVEY_LU1_1U1
145.04309, 29.11121,Total.SURVEY_LU1_1U2
4852.296,1908.407,Total.SURVEY_LU1_1U3
525.1227,588.9119,Total.SURVEY_LU1_1U4
1214.9213, 376.8004,Total.SURVEY_LC1_2A1
1420.2342, 619.8074,Total.SURVEY_LC1_2A2
48.17769,20.00998,Total.SURVEY_LC1_2A3
8.006032,0.000000,Total.SURVEY_LC1_2Ax
  75.84872,3300.13361,Total.SURVEY_LC1_2B1
   8.008397,1262.162193,Total.SURVEY_LC1_2B2
  3.931528,653.579610,Total.SURVEY_LC1_2B3
 24.06344,175.24601,Total.SURVEY_LC1_2B4
  32.05154,1234.81585,Total.SURVEY_LC1_2B5
 55.77006,214.78988,Total.SURVEY_LC1_2B7
 3.972541,36.030023,Total.SURVEY_LC1_2B8
674.9502,  0.0000,Total.SURVEY_LC1_2Bx
2670.213,2471.909,Total.SURVEY_LC1_2C1
1139.9759, 674.4523,Total.SURVEY_LC1_2C2
311.5928,685.2895,Total.SURVEY_LC1_2C3
95.72719, 0.00000,Total.SURVEY_LC1_2Cx
47.34645,87.58282,Total.SURVEY_LC1_2D1
103.68380, 39.90873,Total.SURVEY_LC1_2D2
19.94253, 0.00000,Total.SURVEY_LC1_2Dx
435.9199,333.3636,Total.SURVEY_LC1_2E1
2727.492,4667.603,Total.SURVEY_LC1_2E2
222.7338,562.4700,Total.SURVEY_LC1_2E3
49.47162, 0.00000,Total.SURVEY_LC1_2Ex
7.980423,0.000000,Total.SURVEY_LC1_2F1
11.968406, 4.066258,Total.SURVEY_LC1_2F2
526.1825,742.1445,Total.SURVEY_LC1_2F4
152.45747, 39.83533,Total.SURVEY_LC1_2G1
167.5273, 96.8282,Total.SURVEY_LC1_2G2
0.00000,3.93638,Total.SURVEY_LC1_2G3
60.20133,31.87329,Total.SURVEY_LC1_2H1
12.00989, 0.00000,Total.SURVEY_LC1_2Hx
 3196.333,12462.109,Total.SURVEY_LU1_2U11
3525.93,3334.05,Total.SURVEY_LU1_2U12
 8.005365,12.047867,Total.SURVEY_LU1_2U13
75.59279, 0.00000,Total.SURVEY_LU1_2U14
4.039787,0.000000,Total.SURVEY_LU1_2U15
23.930817, 8.031062,Total.SURVEY_LU1_2U21
121.11227, 21.08014,Total.SURVEY_LU1_2U22
1344.5477, 598.2528,Total.SURVEY_LU1_2U31
27.97515,29.21433,Total.SURVEY_LU1_2U32
32.10916,42.63822,Total.SURVEY_LU1_2U33
168.25371, 40.18138,Total.SURVEY_LU1_2U34
252.76861, 77.90131,Total.SURVEY_LU1_2U35
299.8753,197.4174,Total.SURVEY_LU1_2U36
2726.766, 922.802,Total.SURVEY_LU1_2U37
34.59941,31.67941,Total.SURVEY_LU1_2U41
490.5233,557.2324,Total.SURVEY_LU1_2U42
1135.7641, 344.6433,Total.SURVEY_LC1_3A11
59.349282, 4.015615,Total.SURVEY_LC1_3A12
16.05926,28.14154,Total.SURVEY_LC1_3A13
3.748584,0.000000,Total.SURVEY_LC1_3A1x
611.0093,209.4875,Total.SURVEY_LC1_3A21
793.1182,410.3199,Total.SURVEY_LC1_3A22
16.10665, 0.00000,Total.SURVEY_LC1_3A2x
44.15090,20.00998,Total.SURVEY_LC1_3A30
4.026784,0.000000,Total.SURVEY_LC1_3A3x
8.006032,0.000000,Total.SURVEY_LC1_3Axx
  19.97213,1294.73874,Total.SURVEY_LC1_3B11
 0.00000,51.84477,Total.SURVEY_LC1_3B12
  8.017985,335.885954,Total.SURVEY_LC1_3B13
 0.0000,16.0312,Total.SURVEY_LC1_3B14
 0.00000,83.76821,Total.SURVEY_LC1_3B15
  47.8586,1477.8952,Total.SURVEY_LC1_3B16
 0.00000,31.95721,Total.SURVEY_LC1_3B18
0.000000,8.012325,Total.SURVEY_LC1_3B19
