BE1.No,BE2.No,BE3.No,BE1.Yes,BE2.Yes,BE3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
  124.4932, 5391.1311, 6816.7379,   37.5068, 8207.8689,10089.2621,Total.area
  64.275871,1635.433175, 991.630086,   3.785161, 545.400282, 467.432385,Total.SURVEY_LC1_1A
   0.000000, 571.070521, 307.525925,   3.751496,3257.606640,3615.399039,Total.SURVEY_LC1_1B
  30.10627, 942.99932,3244.40362,  18.71741,1368.20232,2444.73112,Total.SURVEY_LC1_1C
 0.000000,71.369103,99.603683, 3.749878,40.026207,83.715466,Total.SURVEY_LC1_1D
  22.576019,1652.256420,1760.784814,   7.502849,2313.293609,3242.639970,Total.SURVEY_LC1_1E
  3.785161,246.580841,295.765303,  0.000000,570.711124,175.499682,Total.SURVEY_LC1_1F
  3.749878,239.285717, 76.949216,  0.000000, 92.738214, 47.861699,Total.SURVEY_LC1_1G
 0.00000,32.13598,40.07524, 0.00000,19.89053,11.98276,Total.SURVEY_LC1_1H
  14.99478,2059.91425,4734.99163,  22.46891,6850.29416,8935.44429,Total.SURVEY_LU1_1U1
  0.00000,112.91843, 32.12466,  0.00000, 17.09454, 12.01667,Total.SURVEY_LU1_1U2
 105.7485,2955.1561,1791.3910,  11.2893,1054.0099, 843.1082,Total.SURVEY_LU1_1U3
  3.749878,263.142266,258.230563,  3.748584,286.470357,298.692911,Total.SURVEY_LU1_1U4
 41.56491,757.67137,415.68497,  0.00000,236.07773,140.72270,Total.SURVEY_LC1_2A1
 22.710964,849.625279,547.897921,  3.785161,305.347623,310.674634,Total.SURVEY_LC1_2A2
 0.000000,24.120906,24.056779, 0.000000, 3.974925,16.035052,Total.SURVEY_LC1_2A3
0.000000,4.015615,3.990417,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ax
   0.000000,  43.786281,  32.062438,   3.751496,1569.591765,1726.790344,Total.SURVEY_LC1_2B1
  0.000000,  8.008397,  0.000000,  0.000000,527.384326,734.777867,Total.SURVEY_LC1_2B2
  0.000000,  3.931528,  0.000000,  0.000000,143.179891,510.399719,Total.SURVEY_LC1_2B3
  0.00000, 24.06344,  0.00000,  0.00000,103.37237, 71.87364,Total.SURVEY_LC1_2B4
  0.00000, 24.00977,  8.04177,  0.00000,727.07705,507.73881,Total.SURVEY_LC1_2B5
  0.00000, 43.87046, 11.89960,  0.00000,162.96369, 51.82619,Total.SURVEY_LC1_2B7
 0.000000, 3.972541, 0.000000, 0.000000,24.037553,11.992470,Total.SURVEY_LC1_2B8
  0.0000,419.4281,255.5221,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Bx
  22.54898, 716.74783,1930.91659,  18.71741, 864.93697,1588.25468,Total.SURVEY_LC1_2C1
   3.807416,  66.648391,1069.520045,   0.000000, 121.134878, 553.317429,Total.SURVEY_LC1_2C2
  3.749878,139.806790,168.036086,  0.000000,382.130466,303.159003,Total.SURVEY_LC1_2C3
 0.00000,19.79630,75.93089, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Cx
 0.000000,23.765265,23.581184, 3.749878,23.992886,59.840056,Total.SURVEY_LC1_2D1
 0.00000,43.64097,60.04284, 0.00000,16.03332,23.87541,Total.SURVEY_LC1_2D2
 0.00000, 3.96287,15.97966, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Dx
  3.748584,254.628450,177.542845,  3.748584,156.164004,173.450980,Total.SURVEY_LC1_2E1
  18.827435,1280.610244,1428.054256,   3.754265,1846.910382,2816.938181,Total.SURVEY_LC1_2E2
