BE10.No,BE21.No,BE22.No,BE23.No,BE24.No,BE25.No,BE31.No,BE32.No,BE33.No,BE34.No,BE35.No,BE10.Yes,BE21.Yes,BE22.Yes,BE23.Yes,BE24.Yes,BE25.Yes,BE31.Yes,BE32.Yes,BE33.Yes,BE34.Yes,BE35.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 124.4932,1295.0085, 853.1056,1203.0285, 862.5548,1177.4337, 415.3163,1393.3407,1595.6471,1916.9587,1495.4751,  37.5068,1580.9915,1575.8944,1805.9715,1255.4452,1989.5663, 681.6837,2420.6593,2262.3529,2544.0413,2180.5249,Total.area
 64.275871,405.567411,179.120902,391.432402,239.905408,419.407052,100.356320,359.248794,286.732312,124.383827,120.908833,  3.785161,106.056358,117.365475,143.406221, 66.682925,111.889303, 39.895845,136.283081,138.421731, 60.065139, 92.766588,Total.SURVEY_LC1_1A
   0.000000,  71.880952,  94.553985, 156.463541, 112.915481, 135.256562,  67.753334,  91.943218,  43.785234,  39.858117,  64.186022,   3.751496, 607.467820, 551.097674, 638.637174, 533.262877, 927.141095, 366.719679,1334.130440, 632.526586, 399.019228, 883.003106,Total.SURVEY_LC1_1B
  30.10627, 318.17819, 202.98719, 152.50001, 189.87960,  79.45432, 131.36512, 409.37823, 663.61536,1155.45357, 884.59134,  18.71741, 375.47771, 498.05733, 176.24351, 246.76110,  71.66268,  71.78103, 287.61608, 539.31217,1011.94540, 534.07644,Total.SURVEY_LC1_1C
 0.000000, 7.983888,39.479040, 8.014682, 0.000000,15.891492, 0.000000, 7.975906,64.559326,23.089565, 3.978886, 3.749878,12.015365, 3.962870, 4.048821, 8.060298,11.938854, 3.973212,16.010904,27.816248,23.874083,12.041018,Total.SURVEY_LC1_1D
  22.576019, 327.463078, 254.991506, 410.381234, 255.341851, 404.078750,  91.922789, 404.935362, 472.075937, 466.480227, 325.370499,   7.502849, 408.030612, 326.728925, 647.115685, 346.991038, 584.427350, 131.499141, 590.682863, 864.706773,1037.072892, 618.678301,Total.SURVEY_LC1_1E
  3.785161, 59.941551, 30.682460, 52.176383, 24.181390, 79.599058, 23.918724, 99.896839, 19.812612, 75.728883, 76.408245,  0.000000, 51.969057, 43.289571,160.470044, 48.383306,266.599145, 59.783665, 39.912961, 35.726857,  8.082745, 31.993456,Total.SURVEY_LC1_1F
 3.749878,91.985621,51.290475,24.045558,28.217585,43.746477, 0.000000,15.985701,20.989837,23.958332,16.015346, 0.000000,11.990687,31.468218,32.042710, 5.303656,11.932943, 4.046492,16.022923,15.844461, 3.981786, 7.966038,Total.SURVEY_LC1_1G
 0.000000,12.007817, 0.000000, 8.014682,12.113484, 0.000000, 0.000000, 3.976703,24.076453, 8.006204, 4.015879, 0.000000, 7.983888, 3.924375, 4.007341, 0.000000, 3.974925, 3.984653, 0.000000, 7.998109, 0.000000, 0.000000,Total.SURVEY_LC1_1H
  14.99478, 396.01257, 340.21520, 503.43289, 322.07545, 498.17814, 167.29966, 705.18078,1011.64336,1660.69220,1190.17563,  22.46891,1271.00280,1238.57265,1506.32565,1066.46365,1767.92940, 589.98793,2138.93063,1904.24186,2338.93173,1963.35213,Total.SURVEY_LU1_1U1
 0.000000,28.154408,19.777847,24.216406,13.183021,27.586744, 4.021540,12.039619, 7.995636, 8.067864, 0.000000, 0.000000, 0.000000, 3.931528, 4.048821, 9.114188, 0.000000, 0.000000, 3.989981, 0.000000, 8.026688, 0.000000,Total.SURVEY_LU1_1U2
