BG3.No,BG4.No,BG3.Yes,BG4.Yes,variable
No,No,Yes,Yes,flag_two
47355.74,28854.60,20973.26,13812.40,Total.area
1211.3451, 710.8111, 466.8593, 311.7617,Total.SURVEY_LC1_1A
17979.484, 3121.411,11028.844, 3252.140,Total.SURVEY_LC1_1B
20529.633,18650.838, 4528.296, 5917.465,Total.SURVEY_LC1_1C
2169.1124,1606.1264,1103.5341, 720.8802,Total.SURVEY_LC1_1D
3950.477,3970.408,3544.542,3321.470,Total.SURVEY_LC1_1E
788.2683,476.9821,230.7267,201.1964,Total.SURVEY_LC1_1F
621.61441,266.97264, 54.34125, 70.97044,Total.SURVEY_LC1_1G
105.80245, 51.05210, 16.11940, 16.51546,Total.SURVEY_LC1_1H
39854.82,21206.36,16730.40,10671.93,Total.SURVEY_LU1_1U1
99.226067,74.117797,14.179761, 8.337427,Total.SURVEY_LU1_1U2
2007.8795,1115.3338, 646.4393, 520.9835,Total.SURVEY_LU1_1U3
5393.810,6458.788,3582.244,2611.148,Total.SURVEY_LU1_1U4
396.92660,231.31019, 99.09324, 99.05230,Total.SURVEY_LC1_2A1
755.4419,451.7074,319.3765,179.2523,Total.SURVEY_LC1_2A2
58.97667,27.79353,48.38955,33.45715,Total.SURVEY_LC1_2A3
 691.6692, 118.6049,6746.3376,1331.3218,Total.SURVEY_LC1_2B1
 0.00000, 0.00000,15.69514,50.20083,Total.SURVEY_LC1_2B2
 489.34790,  46.53838,3258.40510, 900.76557,Total.SURVEY_LC1_2B3
  0.000000,  7.674332, 75.136177,173.378404,Total.SURVEY_LC1_2B4
  4.003999,  4.168009,287.748488,251.477332,Total.SURVEY_LC1_2B5
 86.39717, 46.03804,332.81602,320.91799,Total.SURVEY_LC1_2B7
 38.946455,  3.916944,312.705261,224.078506,Total.SURVEY_LC1_2B8
16669.119, 2894.471,    0.000,    0.000,Total.SURVEY_LC1_2Bx
18771.086,11808.172, 4271.889, 3026.054,Total.SURVEY_LC1_2C1
 892.2517,4401.6958, 127.8989,1674.6465,Total.SURVEY_LC1_2C2
 866.2957,2440.9705, 128.5084,1216.7645,Total.SURVEY_LC1_2C3
966.6174,695.4501,768.6363,539.6706,Total.SURVEY_LC1_2D1
1202.4951, 910.6763, 334.8977, 181.2096,Total.SURVEY_LC1_2D2
1232.119,1506.629,1155.990,1016.531,Total.SURVEY_LC1_2E1
2423.967,2420.236,2007.719,1957.453,Total.SURVEY_LC1_2E2
294.39122, 43.54303,380.83326,347.48478,Total.SURVEY_LC1_2E3
