BG31.No,BG32.No,BG33.No,BG34.No,BG41.No,BG42.No,BG31.Yes,BG32.Yes,BG33.Yes,BG34.Yes,BG41.Yes,BG42.Yes,variable
No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
13275.067,10341.391, 9590.622,14148.657,13864.261,14990.340, 5792.933, 4470.609, 5057.378, 5652.343, 6436.739, 7375.660,Total.area
346.24473,271.77820,269.05306,324.26914,390.98451,319.82657,172.09682, 70.77905, 80.53392,143.44948,157.07856,154.68318,Total.SURVEY_LC1_1A
5274.9528,4127.4556,4753.5577,3823.5178, 807.7798,2313.6313,2707.4585,2720.6785,2670.5414,2930.1654,1071.8646,2180.2758,Total.SURVEY_LC1_1B
5449.7150,4490.0420,3245.6551,7344.2212,9105.4746,9545.3634,1299.0844, 809.6671,1318.0314,1101.5135,3068.8117,2848.6529,Total.SURVEY_LC1_1C
634.6660,497.8666,344.0920,692.4879,863.1256,743.0007,347.1486,239.9165,258.3608,258.1082,390.8075,330.0726,Total.SURVEY_LC1_1D
1199.9831, 570.7386, 720.0024,1459.7528,2291.1915,1679.2162,1126.6455, 608.8400, 694.4072,1114.6494,1655.2432,1666.2263,Total.SURVEY_LC1_1E
101.67756,248.06730,149.29869,289.22475,289.65248,187.32963,116.04994, 12.25064, 31.40855, 71.01758, 59.61862,141.57778,Total.SURVEY_LC1_1F
237.538281,106.529454,100.883400,176.663280, 81.521472,185.451167, 20.560474,  8.477188,  0.000000, 25.303588, 29.374702, 41.595734,Total.SURVEY_LC1_1G
30.289147,28.913297, 8.079411,38.520599,34.530858,16.521240, 3.889072, 0.000000, 4.095016, 8.135312, 3.940077,12.575386,Total.SURVEY_LC1_1H
10440.683, 8820.955, 8443.108,12150.076, 9024.581,12181.780, 4045.942, 3619.977, 4421.750, 4642.731, 4810.912, 5861.018,Total.SURVEY_LU1_1U1
26.625503,20.177841, 9.779387,42.643336,12.481712,61.636085, 0.000000, 6.054533, 0.000000, 8.125228, 0.000000, 8.337427,Total.SURVEY_LU1_1U2
647.7076,433.9838,442.6461,483.5421,629.0577,486.2761,249.7258,128.4210,104.1125,164.1801,243.0726,277.9109,Total.SURVEY_LU1_1U3
2160.0509,1066.2745, 695.0880,1472.3965,4198.1406,2260.6476,1497.2658, 716.1560, 531.5162, 837.3060,1382.7545,1228.3931,Total.SURVEY_LU1_1U4
 96.01870,123.89529, 77.65865, 99.35396,125.94348,105.36671, 36.86406, 12.15412, 16.36552, 33.70954, 54.77409, 44.27822,Total.SURVEY_LC1_2A1
212.09853,147.88291,191.39442,204.06602,256.77244,194.93493,126.89613, 38.39076, 60.32273, 93.76685, 77.05006,102.20222,Total.SURVEY_LC1_2A2
38.127507, 0.000000, 0.000000,20.849167, 8.268596,19.524934, 8.336629,20.234167, 3.845669,15.973087,25.254412, 8.202741,Total.SURVEY_LC1_2A3
 298.12863,  67.26431, 287.03121,  39.24510,  49.84821,  68.75665,1625.99606,1932.24682,1620.31510,1567.77964, 467.82208, 863.49976,Total.SURVEY_LC1_2B1
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,15.69514, 0.00000, 0.00000, 0.00000,26.03897,24.16186,Total.SURVEY_LC1_2B2
 161.05529,  62.38252, 170.26874,  95.64136,  25.32700,  21.21139, 870.98270, 576.46673, 808.83672,1002.11895, 259.93474, 640.83083,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  7.674332, 26.997139, 16.337906, 26.902346,  4.898787, 40.764989,132.613415,Total.SURVEY_LC1_2B4
  0.000000,  0.000000,  4.003999,  0.000000,  4.168009,  0.000000, 93.926973, 67.237325, 50.200516, 76.383674, 88.109090,163.368242,Total.SURVEY_LC1_2B5
 35.383193, 20.867884,  8.110844, 22.035251, 17.626639, 28.411405, 39.654359,102.785452, 71.493467,118.882744,148.060957,172.857037,Total.SURVEY_LC1_2B7
 15.040829,  4.344436,  7.563110, 11.998080,  3.916944,  0.000000, 34.206151, 25.604258, 92.793230,160.101622, 41.133793,182.944713,Total.SURVEY_LC1_2B8
4765.345,3972.596,4276.580,3654.598, 706.893,2187.578,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,Total.SURVEY_LC1_2Bx
5003.7395,4109.4903,3218.2692,6439.5869,5759.6702,6048.5016,1237.9975, 771.6344,1303.0166, 959.2406,1430.3603,1595.6934,Total.SURVEY_LC1_2C1
 158.17654, 252.17956,  11.25876, 470.63689,2116.07814,2285.61768,   0.00000,  18.21618,  15.01478,  94.66795,1043.58741, 631.05907,Total.SURVEY_LC1_2C2
 287.79899, 128.37220,  16.12711, 433.99742,1229.72631,1211.24415,  61.08693,  19.81647,   0.00000,  47.60499, 594.86406, 621.90044,Total.SURVEY_LC1_2C3
318.3275,224.9510,161.7508,261.5880,337.2746,358.1756,280.8476,166.6827,185.9979,135.1081,316.5265,223.1441,Total.SURVEY_LC1_2D1
316.33850,272.91555,182.34111,430.89990,525.85108,384.82517, 66.30100, 73.23374, 72.36289,123.00012, 74.28103,106.92856,Total.SURVEY_LC1_2D2
343.3250,152.4370,247.0869,489.2701,888.3971,618.2318,416.2332,184.4306,295.5679,259.7584,526.8332,489.6983,Total.SURVEY_LC1_2E1
 824.0258, 369.2858, 411.4335, 819.2216,1379.6749,1040.5609, 592.3211, 345.8941, 338.7222, 730.7813,1000.3432, 957.1101,Total.SURVEY_LC1_2E2
 32.63233, 49.01581, 61.48198,151.26111, 23.11961, 20.42342,118.09116, 78.51533, 60.11714,124.10962,128.06687,219.41790,Total.SURVEY_LC1_2E3
 19.494761, 22.272068, 11.851329,  9.146319,245.079061, 86.642295,  3.998215,  0.000000,  0.000000,  0.000000,  4.134892, 20.192646,Total.SURVEY_LC1_2F1
 0.000000, 0.000000, 8.079411, 0.000000,16.358143,12.110396, 0.000000, 0.000000, 3.953720, 3.978632, 0.000000, 4.195472,Total.SURVEY_LC1_2F2
 0.00000, 0.00000, 0.00000, 0.00000,10.82981, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2F3
 82.18280,225.79523,129.36795,280.07843, 17.38546, 88.57694,112.05173, 12.25064, 27.45483, 67.03895, 55.48373,117.18966,Total.SURVEY_LC1_2F4
 79.955293,  8.138044,100.883400,163.851825, 78.064303,126.714865, 16.485344,  0.000000,  0.000000, 12.840699,  0.000000, 20.784332,Total.SURVEY_LC1_2G1
157.582988, 98.391410,  0.000000, 12.811455,  3.457169, 58.736302,  4.075130,  8.477188,  0.000000, 12.462889, 29.374702, 20.811402,Total.SURVEY_LC1_2G2
30.289147,28.913297, 3.953720,22.292471,22.330831,12.346637, 3.889072, 0.000000, 4.095016, 8.135312, 3.940077,12.575386,Total.SURVEY_LC1_2H1
 0.000000, 0.000000, 4.125691,16.228128,12.200026, 4.174603, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2H2
6028.134,4699.770,5337.634,5032.078,1535.371,3325.533,3456.209,3157.099,3218.344,3823.034,2383.618,3599.962,Total.SURVEY_LU1_2U11
4377.9326,4095.0736,3015.0238,6882.6981,7364.7966,8760.0742, 585.6547, 458.6502,1203.4055, 815.5776,2406.7851,2244.1989,Total.SURVEY_LU1_2U12
30.628437, 4.069022,74.676059,98.720699,59.901716,76.117953, 4.077648, 4.228155, 0.000000, 4.120079,12.445494, 4.195472,Total.SURVEY_LU1_2U13
  3.987594,  7.958196, 15.774282,128.189376, 64.511745, 20.054996,  0.000000,  0.000000,  0.000000,  0.000000,  8.063806,  8.684976,Total.SURVEY_LU1_2U14
 0.000000,14.084129, 0.000000, 8.389357, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.976562,Total.SURVEY_LU1_2U15
22.580568, 6.023215, 5.768504,29.561346, 4.158117,57.461482, 0.000000, 0.000000, 0.000000, 8.125228, 0.000000, 4.226179,Total.SURVEY_LU1_2U21
 4.044934,14.154626, 4.010884,13.081990, 8.323595, 4.174603, 0.000000, 6.054533, 0.000000, 0.000000, 0.000000, 4.111247,Total.SURVEY_LU1_2U22
307.31046,192.83839,187.30134,132.24342,225.81535,196.32325,137.27759, 46.47221, 63.89012,105.84483, 89.34110, 96.75298,Total.SURVEY_LU1_2U31
 7.475687,14.331236,19.089648,44.227851, 9.542139,12.339300, 4.502403,12.402354, 7.989759, 3.870468, 3.970754,12.596254,Total.SURVEY_LU1_2U32
0.000000,0.000000,3.923045,0.000000,0.000000,0.000000,4.478326,0.000000,0.000000,0.000000,6.167807,7.953123,Total.SURVEY_LU1_2U33
29.076782, 0.000000,26.363240,20.786656, 0.000000,26.533506, 4.598295, 0.000000, 3.876344, 4.035857, 4.074227, 4.059672,Total.SURVEY_LU1_2U34
10.303766,10.153686, 6.016326,53.126164,43.338909,38.557619, 8.251175,20.313995, 7.928918,20.425101,19.290418,70.306213,Total.SURVEY_LU1_2U35
32.617947,23.675195,24.029082,33.604959,36.274344,19.489457, 8.171169, 0.000000, 4.082677,13.713550,32.639917,19.814582,Total.SURVEY_LU1_2U36
260.92291,192.98528,175.92340,199.55308,314.08694,193.03301, 82.44682, 49.23245, 16.34468, 16.29025, 87.58835, 66.42812,Total.SURVEY_LU1_2U37
120.50355,101.17827, 85.70290, 59.64520, 92.75614, 73.39795,160.72640, 26.22548, 45.07210, 60.82203,159.36138, 72.81849,Total.SURVEY_LU1_2U41
2039.5474, 965.0963, 609.3851,1412.7513,4105.3844,2187.2497,1336.5394, 689.9305, 486.4441, 776.4840,1223.3932,1155.5746,Total.SURVEY_LU1_2U42
 96.01870,123.89529, 73.53295, 76.67936,120.34142,105.36671, 36.86406, 12.15412, 12.33379, 29.67368, 48.28338, 26.83804,Total.SURVEY_LC1_3A11
 0.000000, 0.000000, 0.000000,18.669453, 5.602063, 0.000000, 0.000000, 0.000000, 0.000000, 4.035857, 0.000000, 0.000000,Total.SURVEY_LC1_3A12
 0.000000, 0.000000, 4.125691, 4.005150, 0.000000, 0.000000, 0.000000, 0.000000, 4.031729, 0.000000, 6.490712,17.440176,Total.SURVEY_LC1_3A13
102.68445, 55.23322, 62.67490, 88.87268, 68.49078, 90.34784, 26.26141, 10.03929, 12.09519, 13.90755, 24.65767, 25.56786,Total.SURVEY_LC1_3A21
109.41408, 92.64969,128.71951,115.19334,184.20743,104.58709,100.63472, 28.35148, 48.22755, 79.85930, 52.39239, 76.63436,Total.SURVEY_LC1_3A22
0.000000,0.000000,0.000000,0.000000,4.074227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3A2x
38.127507, 0.000000, 0.000000,20.849167, 8.268596,19.524934, 8.336629,20.234167, 3.845669,15.973087,25.254412, 8.202741,Total.SURVEY_LC1_3A30
  54.75956,  33.50109, 101.73829,  35.34392,  16.46966,  22.55820, 962.67402,1191.76010, 981.09893,1064.99050, 290.29772, 597.03250,Total.SURVEY_LC1_3B11
 0.000000, 0.000000,30.018434, 0.000000, 8.344638, 4.031912, 3.909981, 0.000000,22.649955,34.020340,14.608824,26.581206,Total.SURVEY_LC1_3B12
 15.777258,  0.000000, 45.260537,  0.000000,  8.344638,  0.000000, 39.866781, 75.249742,136.281252,225.437564, 34.561145,134.032480,Total.SURVEY_LC1_3B13
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.977764, 0.000000,23.996160,24.689893, 0.000000,Total.SURVEY_LC1_3B14
 3.858303, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,14.344300, 3.956977, 3.973233,34.922229,20.629353,13.971081,Total.SURVEY_LC1_3B15
223.733507, 33.763220,110.013947,  3.901175, 16.689276,  0.000000,589.626682,647.185197,468.748626,139.117990, 75.139952, 63.192556,Total.SURVEY_LC1_3B16
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,42.166539, 0.000000, 0.000000, 0.000000, 4.987463, 0.000000, 0.000000,Total.SURVEY_LC1_3B17
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.895197,0.000000,Total.SURVEY_LC1_3B18
