CY0.No,CY0.Yes,variable
No,Yes,flag_two
4022.690,4691.754,Total.area
1990.1792, 984.2539,Total.SURVEY_LC1_1A
  88.42125,1253.55427,Total.SURVEY_LC1_1B
1275.2399, 808.4075,Total.SURVEY_LC1_1C
 349.0578,1058.5463,Total.SURVEY_LC1_1D
204.6704,437.7648,Total.SURVEY_LC1_1E
112.8903,125.8473,Total.SURVEY_LC1_1F
 2.231415,20.349182,Total.SURVEY_LC1_1G
0.000000,3.030917,Total.SURVEY_LC1_1H
 291.7743,1548.7527,Total.SURVEY_LU1_1U1
41.594792, 1.955968,Total.SURVEY_LU1_1U2
2178.358,1058.923,Total.SURVEY_LU1_1U3
1510.963,2082.123,Total.SURVEY_LU1_1U4
263.1189,265.3464,Total.SURVEY_LC1_2A1
1680.0694, 716.9515,Total.SURVEY_LC1_2A2
46.990974, 1.955968,Total.SURVEY_LC1_2A3
  6.244596,423.774780,Total.SURVEY_LC1_2B1
0.000000,7.891574,Total.SURVEY_LC1_2B2
 0.00000,11.06045,Total.SURVEY_LC1_2B3
 0.00000,21.78887,Total.SURVEY_LC1_2B4
  0.0000,253.1305,Total.SURVEY_LC1_2B5
  8.629282,220.297634,Total.SURVEY_LC1_2B7
 20.6824,315.6105,Total.SURVEY_LC1_2B8
52.86497, 0.00000,Total.SURVEY_LC1_2Bx
 85.68824,115.30819,Total.SURVEY_LC1_2C1
876.3448,535.9734,Total.SURVEY_LC1_2C2
313.2069,157.1259,Total.SURVEY_LC1_2C3
183.5082,605.5550,Total.SURVEY_LC1_2D1
165.5496,452.9913,Total.SURVEY_LC1_2D2
 23.33505,131.63248,Total.SURVEY_LC1_2E1
 92.26564,171.77680,Total.SURVEY_LC1_2E2
 89.06967,134.35555,Total.SURVEY_LC1_2E3
16.19911,15.25448,Total.SURVEY_LC1_2F1
0.00000000,0.03993526,Total.SURVEY_LC1_2F2
 96.6912,110.5529,Total.SURVEY_LC1_2F4
 2.231415,20.349182,Total.SURVEY_LC1_2G1
0.000000,2.990981,Total.SURVEY_LC1_2H1
0.00000000,0.03993526,Total.SURVEY_LC1_2H2
 186.2522,1477.1822,Total.SURVEY_LU1_2U11
96.71342,68.28202,Total.SURVEY_LU1_2U12
8.808646,3.288475,Total.SURVEY_LU1_2U14
41.594792, 1.955968,Total.SURVEY_LU1_2U21
549.0116,514.7067,Total.SURVEY_LU1_2U31
 4.175196,11.180014,Total.SURVEY_LU1_2U32
 0.00000,41.59479,Total.SURVEY_LU1_2U33
149.25242, 72.34737,Total.SURVEY_LU1_2U34
85.30678881, 0.03993526,Total.SURVEY_LU1_2U35
175.824715,  2.729364,Total.SURVEY_LU1_2U36
1214.7872, 416.3246,Total.SURVEY_LU1_2U37
 49.21886,111.69782,Total.SURVEY_LU1_2U41
1461.744,1970.425,Total.SURVEY_LU1_2U42
263.1189,225.1804,Total.SURVEY_LC1_3A11
 0.00000,40.16605,Total.SURVEY_LC1_3A13
1009.2602, 275.7715,Total.SURVEY_LC1_3A21
670.8091,441.1800,Total.SURVEY_LC1_3A22
46.990974, 1.955968,Total.SURVEY_LC1_3A30
  6.244596,199.807720,Total.SURVEY_LC1_3B11
 0.00000,55.76201,Total.SURVEY_LC1_3B12
