No,Yes,variable
35644.58,43226.42,Total.area
3002.6053, 688.9088,Total.SURVEY_LC1_1A
11025.84,13274.69,Total.SURVEY_LC1_1B
10838.09,18018.29,Total.SURVEY_LC1_1C
347.9233,251.8739,Total.SURVEY_LC1_1D
8384.713,9856.027,Total.SURVEY_LC1_1E
1165.665, 865.387,Total.SURVEY_LC1_1F
792.4350,183.2508,Total.SURVEY_LC1_1G
87.30480,87.99208,Total.SURVEY_LC1_1H
27713.87,39699.03,Total.SURVEY_LU1_1U1
355.24217, 32.22754,Total.SURVEY_LU1_1U2
5497.330,1655.296,Total.SURVEY_LU1_1U3
2078.141,1839.865,Total.SURVEY_LU1_1U4
1354.9590, 124.6449,Total.SURVEY_LC1_2A1
1539.6115, 460.4956,Total.SURVEY_LC1_2A2
108.0348,103.7683,Total.SURVEY_LC1_2A3
 104.5914,7893.9744,Total.SURVEY_LC1_2B1
  0.0000,470.0432,Total.SURVEY_LC1_2B2
 173.6815,2858.8580,Total.SURVEY_LC1_2B3
 11.8402,307.0214,Total.SURVEY_LC1_2B4
  10.23019,1038.81529,Total.SURVEY_LC1_2B5
481.8606,616.8008,Total.SURVEY_LC1_2B7
78.31256,89.17968,Total.SURVEY_LC1_2B8
10165.33,    0.00,Total.SURVEY_LC1_2Bx
2696.411,5200.486,Total.SURVEY_LC1_2C1
4538.058,9212.125,Total.SURVEY_LC1_2C2
3569.668,3605.675,Total.SURVEY_LC1_2C3
33.95717, 0.00000,Total.SURVEY_LC1_2Cx
140.2324,138.8945,Total.SURVEY_LC1_2D1
207.6909,112.9794,Total.SURVEY_LC1_2D2
 773.1329,1046.6978,Total.SURVEY_LC1_2E1
6872.413,7825.259,Total.SURVEY_LC1_2E2
739.1671,984.0702,Total.SURVEY_LC1_2E3
33.74744, 0.00000,Total.SURVEY_LC1_2F1
15.97422, 0.00000,Total.SURVEY_LC1_2F2
1115.943, 865.387,Total.SURVEY_LC1_2F4
666.10101, 94.32113,Total.SURVEY_LC1_2G1
126.33398, 88.92971,Total.SURVEY_LC1_2G2
87.30480,87.99208,Total.SURVEY_LC1_2H1
16946.58,21441.50,Total.SURVEY_LU1_2U11
10133.01,18229.35,Total.SURVEY_LU1_2U12
413.7345, 15.7694,Total.SURVEY_LU1_2U13
212.538075,  8.289187,Total.SURVEY_LU1_2U14
8.006363,4.118839,Total.SURVEY_LU1_2U15
121.4658,  0.0000,Total.SURVEY_LU1_2U21
233.77639, 32.22754,Total.SURVEY_LU1_2U22
1410.6509, 742.5219,Total.SURVEY_LU1_2U31
107.98968, 16.39924,Total.SURVEY_LU1_2U32
31.21349,43.80506,Total.SURVEY_LU1_2U33
213.01115, 43.11045,Total.SURVEY_LU1_2U34
794.23832, 25.74934,Total.SURVEY_LU1_2U35
623.4582,216.5451,Total.SURVEY_LU1_2U36
2316.768, 567.165,Total.SURVEY_LU1_2U37
189.7641,106.4048,Total.SURVEY_LU1_2U41
1888.377,1733.460,Total.SURVEY_LU1_2U42
1309.443, 120.376,Total.SURVEY_LC1_3A11
28.34151, 0.00000,Total.SURVEY_LC1_3A12
17.174270, 4.268918,Total.SURVEY_LC1_3A13
514.50361, 96.86073,Total.SURVEY_LC1_3A21
1025.1079, 363.6349,Total.SURVEY_LC1_3A22
108.0348,103.7683,Total.SURVEY_LC1_3A30
   3.97652,3824.45188,Total.SURVEY_LC1_3B11
  0.000,210.003,Total.SURVEY_LC1_3B12
   0.000,1457.561,Total.SURVEY_LC1_3B13
  0.0000,329.6957,Total.SURVEY_LC1_3B14
  0.0000,317.9617,Total.SURVEY_LC1_3B15
  95.92237,1509.64342,Total.SURVEY_LC1_3B16
  0.0000,113.8913,Total.SURVEY_LC1_3B18
  4.692481,130.766334,Total.SURVEY_LC1_3B19
 0.00000,93.05286,Total.SURVEY_LC1_3B21
  0.0000,331.6537,Total.SURVEY_LC1_3B22
 0.00000,45.33663,Total.SURVEY_LC1_3B23
25.82740,81.14569,Total.SURVEY_LC1_3B31
 110.7501,2331.9866,Total.SURVEY_LC1_3B32
  0.0000,114.8194,Total.SURVEY_LC1_3B33
  4.061038,269.624398,Total.SURVEY_LC1_3B35
33.04291,61.28200,Total.SURVEY_LC1_3B37
  7.85086,269.33547,Total.SURVEY_LC1_3B41
0.000000,3.716902,Total.SURVEY_LC1_3B42
 0.00000,28.39006,Total.SURVEY_LC1_3B43
3.989340,5.578938,Total.SURVEY_LC1_3B44
  0.0000,438.8965,Total.SURVEY_LC1_3B51
  0.0000,332.7191,Total.SURVEY_LC1_3B52
  0.0000,119.5017,Total.SURVEY_LC1_3B53
0.00000,4.12824,Total.SURVEY_LC1_3B54
 10.23019,143.56979,Total.SURVEY_LC1_3B55
226.0342,258.2969,Total.SURVEY_LC1_3B71
11.73816,15.93492,Total.SURVEY_LC1_3B72
73.38036,84.84672,Total.SURVEY_LC1_3B73
 27.76054,131.12221,Total.SURVEY_LC1_3B74
142.9473,126.6000,Total.SURVEY_LC1_3B75
78.31256,71.25457,Total.SURVEY_LC1_3B82
0.000000,4.061038,Total.SURVEY_LC1_3B83
 0.00000,13.86407,Total.SURVEY_LC1_3B84
9924.309,   0.000,Total.SURVEY_LC1_3Bx1
241.0182,  0.0000,Total.SURVEY_LC1_3Bx2
2679.981,5200.486,Total.SURVEY_LC1_3C10
16.43012, 0.00000,Total.SURVEY_LC1_3C1x
3206.537,6981.179,Total.SURVEY_LC1_3C21
368.7275,498.4137,Total.SURVEY_LC1_3C22
 946.6507,1732.5323,Total.SURVEY_LC1_3C23
16.14227, 0.00000,Total.SURVEY_LC1_3C2x
850.9348,799.1807,Total.SURVEY_LC1_3C31
294.5126,957.4186,Total.SURVEY_LC1_3C32
2416.217,1849.075,Total.SURVEY_LC1_3C33
8.003645,0.000000,Total.SURVEY_LC1_3C3x
33.95717, 0.00000,Total.SURVEY_LC1_3Cxx
136.4579,138.8945,Total.SURVEY_LC1_3D10
3.774488,0.000000,Total.SURVEY_LC1_3D1x
207.6909,112.9794,Total.SURVEY_LC1_3D20
 768.2005,1046.6978,Total.SURVEY_LC1_3E10
4.932407,0.000000,Total.SURVEY_LC1_3E1x
6868.257,7825.259,Total.SURVEY_LC1_3E20
4.155373,0.000000,Total.SURVEY_LC1_3E2x
739.1671,984.0702,Total.SURVEY_LC1_3E30
33.74744, 0.00000,Total.SURVEY_LC1_3F10
15.97422, 0.00000,Total.SURVEY_LC1_3F20
1115.943, 865.387,Total.SURVEY_LC1_3F40
666.10101, 94.32113,Total.SURVEY_LC1_3G11
126.33398, 88.92971,Total.SURVEY_LC1_3G21
83.25449,87.99208,Total.SURVEY_LC1_3H11
4.050312,0.000000,Total.SURVEY_LC1_3H12
16377.45,20979.91,Total.SURVEY_LU1_3U111
41.49931,77.88345,Total.SURVEY_LU1_3U112
527.6327,383.7060,Total.SURVEY_LU1_3U113
10133.01,18229.35,Total.SURVEY_LU1_3U120
413.7345, 15.7694,Total.SURVEY_LU1_3U130
212.538075,  8.289187,Total.SURVEY_LU1_3U140
8.006363,4.118839,Total.SURVEY_LU1_3U150
121.4658,  0.0000,Total.SURVEY_LU1_3U210
