CZ01.No,CZ02.No,CZ03.No,CZ04.No,CZ05.No,CZ06.No,CZ07.No,CZ08.No,CZ01.Yes,CZ02.Yes,CZ03.Yes,CZ04.Yes,CZ05.Yes,CZ06.Yes,CZ07.Yes,CZ08.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  338.6127, 5144.3188, 7308.2590, 4729.0982, 4796.6592, 6444.8840, 4068.4532, 2814.2976,  157.3873, 5784.6812,10398.7410, 3919.9018, 7644.3408, 7539.1160, 5166.5468, 2615.7024,Total.area
135.62700,483.96152,434.77511,388.92661,383.83387,504.97613,408.91669,261.58837, 18.21503, 92.01337,119.04601, 33.82526,133.27468,111.21186, 70.23288,111.08972,Total.SURVEY_LC1_1A
  31.27326,2256.34378,2070.41872, 802.47733,1026.48386,3047.96108,1279.37122, 511.51449,  67.21985,2487.41386,2154.05141, 917.38439,2498.52593,2902.57848,1553.35035, 694.16850,Total.SURVEY_LC1_1B
  60.00460,1257.02082,2354.77056,1826.17971,2016.62358, 922.44014,1306.54197,1094.51178,  35.44334,2209.03694,4792.53462,1888.49520,2544.16246,3008.79409,2396.54248,1143.27596,Total.SURVEY_LC1_1C
 4.546892,73.708572,66.792953,75.662964,35.318811,57.924968,11.756706,22.211413, 8.409855,46.744056,24.015666,39.394457,15.357665,51.457091,49.841600,16.653469,Total.SURVEY_LC1_1D
  91.51297, 841.96963,1907.05586,1273.62306,1036.02682,1485.32446, 971.62030, 777.57961,  16.31407, 799.69249,2939.14433, 935.80406,2203.92725,1273.23628,1069.83760, 618.07093,Total.SURVEY_LC1_1E
  8.116825,130.242285,112.318282,271.600842,208.054039,301.043293, 61.836913, 72.452051,  3.912053, 98.852652,310.242995, 57.755772,188.446858,166.796070, 18.612782, 20.767861,Total.SURVEY_LC1_1F
  7.531149, 92.176232,313.433090, 86.361617, 82.508448,116.355468, 23.761969, 70.307023,  7.873113, 42.031930, 43.287273, 24.174384, 46.334107,  7.707935,  8.129159,  3.712943,Total.SURVEY_LC1_1G
 0.000000, 8.895938,48.694393, 4.266089, 7.809722, 8.858431, 4.647383, 4.132848, 0.000000, 8.895938,16.418720,23.068261,14.311890,17.334238, 0.000000, 7.963031,Total.SURVEY_LC1_1H
  72.40562,3917.68542,5972.17143,3384.53719,3826.57178,5241.30885,3110.44843,2188.74104, 103.76657,5340.37640,9533.30274,3639.17701,6815.77983,7012.87809,4894.34334,2359.40470,Total.SURVEY_LU1_1U1
 0.00000,46.16880,33.14817,95.98714,30.20202,78.80824,48.77506,22.15274, 0.00000, 0.00000, 0.00000, 0.00000,14.07083,18.15672, 0.00000, 0.00000,Total.SURVEY_LU1_1U2
233.9699,849.0964,772.9602,966.0497,694.7396,843.2549,679.8541,457.4047, 33.6196,254.4224,304.8128,112.2876,340.7022,240.0370,183.6409,185.7736,Total.SURVEY_LU1_1U3
 32.23719,331.36812,529.97920,282.52423,245.14573,281.51197,229.37551,145.99906, 20.00113,189.88246,560.62552,168.43712,473.78799,268.04427, 88.56259, 70.52410,Total.SURVEY_LU1_1U4
 37.592542,204.292027,191.711267, 81.510146,207.340810,280.696234,240.938287,110.877662,  0.000000, 20.017566, 28.538380,  3.940897, 11.688431, 28.517894, 22.953457,  8.988303,Total.SURVEY_LC1_2A1
 94.12241,251.55385,239.04754,268.50500,168.26329,209.16648,158.24227,150.71071, 14.14319, 49.83485, 90.50763, 25.79950,105.60355, 57.50226, 47.27943, 69.82521,Total.SURVEY_LC1_2A2
 3.912053,28.115646, 4.016306,38.911464, 8.229778,15.113415, 9.736133, 0.000000, 4.071840,22.160958, 0.000000, 4.084857,15.982699,25.191713, 0.000000,32.276211,Total.SURVEY_LC1_2A3
   0.000000,  37.539847,  19.887716,  14.669526,   9.679228,  22.815052,   0.000000,   0.000000,  27.726336,1467.585103,1365.848568, 523.893100,1516.014577,1659.098183, 899.450313, 434.358193,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,151.282273,  4.380341, 29.339052,110.532869, 59.827831, 83.951940, 30.728923,Total.SURVEY_LC1_2B2
  0.00000, 50.26796,  0.00000, 39.67681, 47.32330, 24.85889, 11.55454,  0.00000, 12.07812,600.30590,423.76220,271.71477,449.45527,646.76979,278.16823,176.60375,Total.SURVEY_LC1_2B3
 0.000000, 0.000000, 0.000000, 0.000000, 7.850860, 0.000000, 0.000000, 3.989340, 0.000000,82.106309,49.801091, 0.000000,56.773229,81.193489,33.023695, 4.123556,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 10.23019,  0.00000,  0.00000, 27.41539,131.50319,179.62922, 57.21897,247.62638,268.61827,106.03601, 20.76786,Total.SURVEY_LC1_2B5
  0.00000, 99.48497, 45.41108, 48.93945, 61.67546, 91.61669, 93.47114, 41.26176,  0.00000, 50.27759,116.76593, 35.21850,118.12360,116.10881,152.72016, 27.58621,Total.SURVEY_LC1_2B7
