No,Yes,variable
193141.0,164424.9,Total.area
19773.506, 7934.253,Total.SURVEY_LC1_1A
39060.36,60252.67,Total.SURVEY_LC1_1B
68906.64,53840.29,Total.SURVEY_LC1_1C
2137.909,1814.752,Total.SURVEY_LC1_1D
39526.53,36877.31,Total.SURVEY_LC1_1E
16757.775, 2718.507,Total.SURVEY_LC1_1F
5478.268, 727.917,Total.SURVEY_LC1_1G
1500.0369, 259.2048,Total.SURVEY_LC1_1H
144837.9,146542.0,Total.SURVEY_LU1_1U1
1292.3798, 353.2828,Total.SURVEY_LU1_1U2
37651.97,12299.97,Total.SURVEY_LU1_1U3
9358.810,5229.683,Total.SURVEY_LU1_1U4
7009.094,1618.982,Total.SURVEY_LC1_2A1
11890.925, 5457.209,Total.SURVEY_LC1_2A2
873.4871,858.0626,Total.SURVEY_LC1_2A3
 1332.159,37382.520,Total.SURVEY_LC1_2B1
  86.70411,3772.27976,Total.SURVEY_LC1_2B2
 595.1566,8227.4223,Total.SURVEY_LC1_2B3
 147.3997,1323.3024,Total.SURVEY_LC1_2B4
 327.5357,6448.8053,Total.SURVEY_LC1_2B5
 531.4264,2077.1463,Total.SURVEY_LC1_2B7
 169.5306,1021.1988,Total.SURVEY_LC1_2B8
35870.45,    0.00,Total.SURVEY_LC1_2Bx
29248.51,24075.37,Total.SURVEY_LC1_2C1
29297.39,16630.69,Total.SURVEY_LC1_2C2
10356.35,13134.23,Total.SURVEY_LC1_2C3
4.38896,0.00000,Total.SURVEY_LC1_2Cx
 731.7069,1269.5537,Total.SURVEY_LC1_2D1
1406.2024, 545.1986,Total.SURVEY_LC1_2D2
2819.921,1985.585,Total.SURVEY_LC1_2E1
35197.12,31530.19,Total.SURVEY_LC1_2E2
1505.476,3361.536,Total.SURVEY_LC1_2E3
4.004001,0.000000,Total.SURVEY_LC1_2Ex
244.478924,  8.280992,Total.SURVEY_LC1_2F1
507.32381, 16.13053,Total.SURVEY_LC1_2F2
16005.972, 2694.095,Total.SURVEY_LC1_2F4
4140.8371, 441.1801,Total.SURVEY_LC1_2G1
1328.2832, 286.7368,Total.SURVEY_LC1_2G2
9.147514,0.000000,Total.SURVEY_LC1_2G4
1285.7812, 255.2137,Total.SURVEY_LC1_2H1
210.301326,  3.991047,Total.SURVEY_LC1_2H2
3.954363,0.000000,Total.SURVEY_LC1_2Hx
84376.55,95800.28,Total.SURVEY_LU1_2U11
58760.30,50511.22,Total.SURVEY_LU1_2U12
293.38466, 69.72975,Total.SURVEY_LU1_2U13
1386.4048, 152.7918,Total.SURVEY_LU1_2U14
21.226004, 7.951638,Total.SURVEY_LU1_2U15
265.3646,141.2336,Total.SURVEY_LU1_2U21
1027.0153, 212.0491,Total.SURVEY_LU1_2U22
11048.850, 6760.235,Total.SURVEY_LU1_2U31
588.535,142.418,Total.SURVEY_LU1_2U32
226.7468,285.8906,Total.SURVEY_LU1_2U33
2388.7415, 266.9057,Total.SURVEY_LU1_2U34
3420.1123, 415.2372,Total.SURVEY_LU1_2U35
6212.011,1128.901,Total.SURVEY_LU1_2U36
13766.971, 3300.382,Total.SURVEY_LU1_2U37
717.6814,519.3398,Total.SURVEY_LU1_2U41
8641.129,4710.343,Total.SURVEY_LU1_2U42
6386.706,1535.492,Total.SURVEY_LC1_3A11
600.25296, 53.86877,Total.SURVEY_LC1_3A12
22.13448,29.62063,Total.SURVEY_LC1_3A13
5234.477,1233.696,Total.SURVEY_LC1_3A21
6610.521,4223.513,Total.SURVEY_LC1_3A22
45.92719, 0.00000,Total.SURVEY_LC1_3A2x
873.4871,858.0626,Total.SURVEY_LC1_3A30
  412.6783,13666.5710,Total.SURVEY_LC1_3B11
  0.0000,197.3521,Total.SURVEY_LC1_3B12
 232.4176,6017.7482,Total.SURVEY_LC1_3B13
 100.3801,2454.1101,Total.SURVEY_LC1_3B14
  6.857437,787.555483,Total.SURVEY_LC1_3B15
  548.2335,12653.4824,Total.SURVEY_LC1_3B16
  31.59181,1495.25903,Total.SURVEY_LC1_3B18
  0.0000,110.4414,Total.SURVEY_LC1_3B19
  30.62049,1292.07396,Total.SURVEY_LC1_3B21
  56.08363,2087.06396,Total.SURVEY_LC1_3B22
  0.0000,393.1418,Total.SURVEY_LC1_3B23
 17.83791,415.66766,Total.SURVEY_LC1_3B31
 527.4481,5889.3709,Total.SURVEY_LC1_3B32
 14.63873,376.80754,Total.SURVEY_LC1_3B33
  19.34452,1331.36428,Total.SURVEY_LC1_3B35
0.000000,4.705789,Total.SURVEY_LC1_3B36
 15.88728,209.50610,Total.SURVEY_LC1_3B37
 29.42093,762.10991,Total.SURVEY_LC1_3B41
 45.34338,446.24820,Total.SURVEY_LC1_3B43
72.63540,15.50183,Total.SURVEY_LC1_3B44
 0.00000,99.44251,Total.SURVEY_LC1_3B45
  0.0000,640.9486,Total.SURVEY_LC1_3B51
  0.0000,527.3283,Total.SURVEY_LC1_3B52
  19.9883,2757.2297,Total.SURVEY_LC1_3B53
  0.0000,115.2711,Total.SURVEY_LC1_3B54
 307.5474,2408.0276,Total.SURVEY_LC1_3B55
 325.3101,1262.6588,Total.SURVEY_LC1_3B71
 32.18249,133.24795,Total.SURVEY_LC1_3B72
