DE1.No,DE2.No,DE3.No,DE4.No,DE5.No,DE6.No,DE7.No,DE8.No,DE9.No,DEA.No,DEB.No,DEC.No,DED.No,DEE.No,DEF.No,DEG.No,DE1.Yes,DE2.Yes,DE3.Yes,DE4.Yes,DE5.Yes,DE6.Yes,DE7.Yes,DE8.Yes,DE9.Yes,DEA.Yes,DEB.Yes,DEC.Yes,DED.Yes,DEE.Yes,DEF.Yes,DEG.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
17919.56096,28844.52534,  707.40584,19788.51590,  357.45359,  624.88706, 8920.53783,18176.53297,27299.21109,16460.29836, 8749.77072, 1175.85958,12286.42040,12817.04820, 9881.42141, 9131.57131,17825.43904,41698.47466,  183.59416, 9867.48410,   62.54641,  130.11294,12194.46217, 5116.46703,20410.78891,17649.70164,11103.22928, 1395.14042, 6163.57960, 7636.95180, 5917.51053, 7069.42869,Total.area
2160.836509,3347.175427, 303.591116, 956.887350, 149.178831, 221.252963,1229.872707, 611.685198,2425.487506,3512.434462,1105.534860, 294.634206,1182.974073, 784.702706, 832.312653, 654.944970,1231.993546,1832.122519,  19.401553, 221.388349,  28.960549,   4.081114, 584.769382, 202.376534, 903.009467, 991.426912, 548.193782,  43.944175, 274.219839, 390.515554, 358.632650, 299.217174,Total.SURVEY_LC1_1A
 1604.045926, 2565.059280,   19.718619, 5148.431367,    4.255579,   20.089764,  806.085427, 5580.486886, 6143.313410, 2946.287397,  657.171124,   94.767816, 3176.554060, 4767.011985, 2570.490050, 2956.592031, 6691.204890,14869.976695,    7.871600, 2691.401804,    8.525467,   36.415956, 3677.173479, 2539.893998, 9074.495687, 6575.408344, 3458.186786,  231.116545, 2368.665801, 3080.728227, 2907.823664, 2033.785651,Total.SURVEY_LC1_1B
 9869.81239,14726.79527,  224.60719, 6724.78465,   50.89921,  152.68660, 4587.59692, 4985.99138, 7110.84316, 4981.67914, 4834.91433,  344.56250, 4278.16437, 2447.98226, 1505.29435, 2080.02632, 5010.31894,12570.12511,  124.67926, 5480.53163,   16.69368,   36.16480, 4742.72801, 1045.58125, 6205.14202, 4831.01177, 3889.56434,  707.39201, 1920.19573, 3106.22065,  895.45641, 3258.48718,Total.SURVEY_LC1_1C
198.885407,485.460919,  7.702531,128.448734,  8.587872, 12.127058,137.596878,189.855384,263.380593,179.865346,110.756454,  7.738403, 59.322434,129.018078,110.409946,108.753269,163.846292,288.645370,  0.000000, 34.224687,  0.000000,  0.000000,137.302908, 50.240885, 77.499237,295.028527,223.430866, 42.258750, 29.948968, 60.599326, 45.253332,366.473151,Total.SURVEY_LC1_1D
 3081.860514, 5445.316005,   96.384393, 3973.200456,   93.410573,  141.198955, 1740.556811, 3363.815053, 6959.900421, 3448.742290, 1478.815956,  350.018584, 2272.217019, 2220.941316, 2735.731985, 2124.414926, 4232.970979,10438.194137,   23.691843, 1281.602651,    8.366721,   45.366823, 2909.185849, 1224.891062, 3934.141327, 4838.022147, 2764.500126,  330.116413, 1313.098665,  892.392734, 1630.088355, 1010.680336,Total.SURVEY_LC1_1E
 497.086336,1232.939411,   3.915907,1846.093475,   0.000000,  12.203821, 322.887772,2426.346410,3348.265806,1006.555223, 453.316976,  60.194897, 932.924814,2101.171853,1414.914681,1098.957583, 375.005705,1403.733559,   0.000000,  55.677494,   0.000000,   4.043909,  89.435667,   0.000000, 117.502762,  82.961869, 177.629074,  16.101487, 233.872302,  70.879428,  18.466035,  73.197460,Total.SURVEY_LC1_1F
452.784696,922.093632, 47.699462,763.756186, 33.977982, 61.287549, 95.941310,826.071788,648.730872,376.762022, 97.452914, 23.943173,342.652141,295.809041,397.774857, 91.530165, 97.139867,212.422121,  7.949910, 67.221054,  0.000000,  0.000000, 41.924641, 21.472518, 83.043289, 35.842074, 33.434826,  7.889512, 23.578296, 31.684410, 40.690837, 23.623615,Total.SURVEY_LC1_1G
 54.249180,119.685392,  3.786623,246.913680, 17.143545,  4.040345,  0.000000,192.280874,399.289318,  7.972476, 11.808109,  0.000000, 41.611485, 70.410959,314.492889, 16.352043, 22.958820, 83.255143,  0.000000, 35.436434,  0.000000,  4.040345, 11.942236, 32.010783, 15.955127,  0.000000,  8.289477, 16.321533,  0.000000,  3.931477, 21.099253,  3.964122,Total.SURVEY_LC1_1H
13382.80959,21134.66485,   91.08863,15681.90172,   80.85600,  101.06950, 6464.06639,14718.14492,21086.77345,10034.05887, 6623.68451,  600.01472, 9461.57288,10261.66112, 7469.72826, 7645.76662,15544.00662,37695.36311,  107.86017, 8781.39012,   25.36358,   96.95201,11082.42519, 4359.88831,18562.27941,15614.96521, 9916.31420, 1234.86232, 5457.63985, 6837.32379, 5069.04382, 6156.29881,Total.SURVEY_LU1_1U1
224.948690,173.654813,  9.227195, 78.475237,  5.248144,  4.988028, 59.225541, 65.311087,183.888569,238.698227, 35.456443, 14.831523, 66.390058, 96.381062, 13.073918, 22.581310, 25.167930,162.373618,  0.000000,  7.914982,  0.000000,  0.000000, 21.465678, 16.235847,  0.000000, 47.122792, 21.946679,  4.025372, 16.544264,  0.000000, 22.496324,  7.989267,Total.SURVEY_LU1_1U2
3671.08458,5927.17395, 544.27455,2483.47430, 233.40082, 478.73884,2100.23664,1731.97739,4985.05052,5819.65707,1906.38206, 526.58524,2525.89819,1790.57050,1643.44993,1284.01388,1697.44767,2653.40193,  56.80810, 500.13068,  37.18283,  21.07108, 803.91728, 392.06754,1555.37988,1525.24358, 767.90830,  70.68484, 530.43521, 623.66783, 588.89510, 475.72720,Total.SURVEY_LU1_1U3
 640.71809,1609.03173,  62.81546,1544.66464,  37.94863,  40.09069, 297.00926,1661.09958,1043.49855, 367.88418, 184.24771,  34.42809, 232.55927, 668.43551, 755.16930, 179.20950, 558.81681,1187.33600,  18.92589, 578.04832,   0.00000,  12.08985, 286.65402, 348.27534, 293.12962, 462.37006, 397.06010,  85.56789, 158.96027, 175.96018, 237.07529, 429.41342,Total.SURVEY_LU1_1U4
 716.908300, 996.421296, 110.286947, 275.415662,  63.564935,  83.972721, 483.907865, 271.953104, 981.835147,1286.403243, 367.149708, 178.557538, 442.171215, 198.353314, 193.978273, 358.214239, 300.287573, 267.140178,   3.954512,  45.245673,   7.633664,   4.081114, 135.169633,  44.849731, 279.531835, 202.951439, 104.992233,   5.233841,  79.320333,  27.910980,  90.421707,  20.257071,Total.SURVEY_LC1_2A1
1336.361473,2241.470424, 193.304169, 523.676104,  85.613896, 125.107744, 719.293981, 293.869228,1358.072698,2115.408990, 709.895373, 107.986747, 663.908545, 524.091063, 604.410502, 288.454038, 783.258234,1362.489706,  15.447041, 142.156411,   4.293936,   0.000000, 391.803962, 153.497320, 569.504483, 678.605757, 355.508465,  30.659590, 168.350412, 332.138467, 225.725812, 243.769405,Total.SURVEY_LC1_2A2
107.566736,109.283707,  0.000000,157.795584,  0.000000, 12.172497, 26.670861, 45.862866, 85.579661,110.622229, 28.489780,  8.089922, 76.894314, 62.258329, 33.923878,  8.276693,148.447740,202.492635,  0.000000, 33.986265, 17.032949,  0.000000, 57.795787,  4.029482, 53.973149,109.869716, 87.693084,  8.050744, 26.549094, 30.466106, 42.485131, 35.190698,Total.SURVEY_LC1_2A3
  12.312782, 164.548071,   0.000000, 339.653292,   0.000000,   0.000000,   3.893354, 203.278644, 141.226615,  64.753609,   6.936317,   0.000000, 184.148050, 141.097482,  31.572167,  38.738325,3164.130253,8008.421115,   7.871600,1828.595879,   4.273563,  12.264838,2619.154082,1711.836153,6635.311252,4700.477313,1594.542397,  64.148259,1318.363210,2215.652590,2136.806896,1360.670358,Total.SURVEY_LC1_2B1
   0.000000,   4.026956,   0.000000,  17.837906,   0.000000,   0.000000,   0.000000,   0.000000,  21.547745,  12.473884,   0.000000,   0.000000,  18.293600,  12.524021,   0.000000,   0.000000, 224.704426, 633.979619,   0.000000,  71.351622,   0.000000,   0.000000, 174.960267, 149.021496,1109.511735, 744.134863, 231.446564,   4.025372,  79.014710, 208.114403, 118.845710,  23.168968,Total.SURVEY_LC1_2B2
