DE11.No,DE12.No,DE13.No,DE14.No,DE21.No,DE22.No,DE23.No,DE24.No,DE25.No,DE26.No,DE27.No,DE30.No,DE40.No,DE50.No,DE60.No,DE71.No,DE72.No,DE73.No,DE80.No,DE91.No,DE92.No,DE93.No,DE94.No,DEA1.No,DEA2.No,DEA3.No,DEA4.No,DEA5.No,DEB1.No,DEB2.No,DEB3.No,DEC0.No,DED2.No,DED4.No,DED5.No,DEE0.No,DEF0.No,DEG0.No,DE11.Yes,DE12.Yes,DE13.Yes,DE14.Yes,DE21.Yes,DE22.Yes,DE23.Yes,DE24.Yes,DE25.Yes,DE26.Yes,DE27.Yes,DE30.Yes,DE40.Yes,DE50.Yes,DE60.Yes,DE71.Yes,DE72.Yes,DE73.Yes,DE80.Yes,DE91.Yes,DE92.Yes,DE93.Yes,DE94.Yes,DEA1.Yes,DEA2.Yes,DEA3.Yes,DEA4.Yes,DEA5.Yes,DEB1.Yes,DEB2.Yes,DEB3.Yes,DEC0.Yes,DED2.Yes,DED4.Yes,DED5.Yes,DEE0.Yes,DEF0.Yes,DEG0.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 4442.36951, 3955.95445, 5166.64931, 4354.58769, 9354.05331, 3659.61383, 3270.06542, 2404.10339, 1724.23422, 3833.47729, 4598.97789,  707.40584,19788.51590,  357.45359,  624.88706, 3285.66542, 1376.10018, 4258.77223,18176.53297, 3623.37372, 4386.93914,10379.56402, 8909.33421, 3074.83572, 3216.47869, 3330.56666, 3424.57127, 3413.84602, 3622.36503, 1546.25834, 3581.14735, 1175.85958, 5179.34088, 4234.20759, 2872.87192,12817.04820, 9881.42141, 9131.57131, 6113.63049, 2961.04555, 4188.35069, 4562.41231, 8173.94669, 6668.38617, 6420.93458, 4827.89661, 5518.76578, 4696.52271, 5392.02211,  183.59416, 9867.48410,   62.54641,  130.11294, 4159.33458, 4005.89982, 4029.22777, 5116.46703, 4492.62628, 4678.06086, 5162.43598, 6077.66579, 2216.16428, 4148.52131, 3587.43334, 3099.42873, 4598.15398, 4452.63497, 3379.74166, 3270.85265, 1395.14042, 2764.65912, 2293.79241, 1105.12808, 7636.95180, 5917.51053, 7069.42869,Total.area
 776.140093, 543.609631, 462.029029, 379.057755,1067.445251, 391.233410, 333.667704, 310.286357, 315.160140, 422.094331, 507.288235, 303.591116, 956.887350, 149.178831, 221.252963, 604.096323, 233.026543, 392.749841, 611.685198, 507.742180, 562.187389, 569.975950, 785.581987, 803.114318, 735.599347, 622.139993, 554.170317, 797.410487, 479.477264, 140.058699, 485.998897, 294.634206, 442.369951, 414.424529, 326.179593, 784.702706, 832.312653, 654.944970, 490.760023, 264.369344, 227.914197, 248.949982, 329.305219, 326.779698, 224.812036, 211.175684, 320.471070, 240.329293, 179.249519,  19.401553, 221.388349,  28.960549,   4.081114, 221.195489, 146.077061, 217.496832, 202.376534, 139.967638, 109.936931, 291.963930, 361.140968, 161.614625, 238.125204, 221.348997, 127.265455, 243.072631, 192.581321, 179.055875, 176.556586,  43.944175, 152.297908, 102.112290,  19.809642, 390.515554, 358.632650, 299.217174,Total.SURVEY_LC1_1A
 603.735889, 259.271343, 266.876352, 474.162343, 686.441066, 516.929919, 191.483776, 179.324945, 173.279226, 473.885857, 343.714491,  19.718619,5148.431367,   4.255579,  20.089764, 280.959221, 147.808749, 377.317457,5580.486886,1153.610811,1370.268158,1385.346768,2234.087672, 436.113412, 430.187768,1106.710233, 716.436701, 256.839284, 167.846783, 182.744719, 306.579623,  94.767816,1004.220419,1169.878285,1002.455356,4767.011985,2570.490050,2956.592031,2601.017510,1159.307185,1422.027696,1508.852500,2857.711270,2476.070618,2144.500493,1579.892713,1970.433436,2032.126208,1809.241959,   7.871600,2691.401804,   8.525467,  36.415956,1278.445519, 886.200142,1512.527818,2539.893998,1651.067951,2286.252595,2396.042408,2741.132733, 975.024671,1412.559238,1704.962409,1636.706448, 846.155578,1044.476850, 787.863654,1625.846282, 231.116545, 994.209045, 831.368923, 543.087833,3080.728227,2907.823664,2033.785651,Total.SURVEY_LC1_1B
2122.57588,2577.04014,3315.26249,1854.93388,4498.93600,1818.18907,2070.93280,1377.60726, 828.51510,2173.09681,1959.51823, 224.60719,6724.78465,  50.89921, 152.68660,1709.77094, 544.70623,2333.11975,4985.99138,1092.61126, 758.14647,3704.73382,1555.35161, 660.74527,1128.69288, 665.02252,1068.13013,1459.08834,1964.38589, 767.60599,2102.92244, 344.56250,2111.66988,1530.75975, 635.73474,2447.98226,1505.29435,2080.02632,1633.65921, 929.52524,1259.69316,1187.44133,2159.36681,1782.08322,2295.80115,1863.97529,1789.47389,1630.56677,1048.85798, 124.67926,5480.53163,  16.69368,  36.16480,1657.16971,1889.40766,1196.15063,1045.58125,2168.10959,1644.46030,1199.10102,1193.47111, 625.33221,1167.03386, 867.22012, 450.63142,1720.79416,1807.98544,1381.07761, 700.50129, 707.39201, 831.98033, 788.81918, 299.39621,3106.22065, 895.45641,3258.48718,Total.SURVEY_LC1_1C
 31.640035, 29.679929, 11.656999,125.908444,194.401608, 37.395840, 36.394523, 28.443760, 27.811407, 41.456338,119.557444,  7.702531,128.448734,  8.587872, 12.127058, 31.657191, 36.155445, 69.784242,189.855384,  0.000000, 12.195486,162.682471, 88.502636, 35.894762, 65.326888, 16.105303, 34.464342, 28.074051, 49.798675, 41.087876, 19.869903,  7.738403, 31.336831, 11.869291, 16.116311,129.018078,110.409946,108.753269, 31.882468, 19.629965, 38.150041, 74.183818, 57.826296, 78.814632, 69.157560, 35.484810, 11.932702, 15.830751, 19.598618,  0.000000, 34.224687,  0.000000,  0.000000, 64.929817, 14.145856, 58.227235, 50.240885, 16.329647,  8.602935, 42.378381, 10.188274,  3.978527, 24.184416, 16.724476,234.470640, 15.670468,158.841930, 36.229840, 28.359096, 42.258750, 21.852171,  4.094904,  4.001894, 60.599326, 45.253332,366.473151,Total.SURVEY_LC1_1D
 761.861384, 383.341731, 937.493009, 999.164390,1814.392156, 553.380943, 466.213142, 441.245325, 231.637361, 603.529936,1334.917141,  96.384393,3973.200456,  93.410573, 141.198955, 554.155444, 352.872095, 833.529272,3363.815053, 634.291377, 864.506908,2698.486495,2762.615641, 768.356584, 683.692970, 636.644590, 673.313318, 686.734828, 700.598874, 350.194382, 428.022701, 350.018584, 870.371499, 960.124804, 441.720716,2220.941316,2735.731985,2124.414926,1193.719666, 553.218737,1143.920018,1342.112557,2354.155654,1627.691618,1478.652616, 998.589388,1252.785518, 634.846570,2091.472773,  23.691843,1281.602651,   8.366721,  45.366823, 882.288060,1027.459035, 999.438754,1224.891062, 471.413153, 554.805835,1202.207096,1705.715244, 434.337479,1298.743676, 746.450405, 605.810841,1752.679746,1156.783118, 955.983851, 651.733157, 330.116413, 612.876362, 501.203343, 199.018960, 892.392734,1630.088355,1010.680336,Total.SURVEY_LC1_1E
 107.188168,  98.535645,  52.266780, 239.095743, 579.545399, 264.971125,  59.285830,  23.429969,  55.296727,  91.471617, 158.938742,   3.915907,1846.093475,   0.000000,  12.203821,  61.379132,  45.518036, 215.990604,2426.346410, 171.043049, 593.800690,1555.551780,1027.870287, 197.286664, 112.749456, 239.273910, 326.632650, 130.612544, 233.072182,  33.473279, 186.771514,  60.194897, 496.316420, 114.275358, 322.333036,2101.171853,1414.914681,1098.957583, 143.058783,  21.689873,  74.134903, 136.122146, 368.804874, 292.528629, 168.971415, 118.234328, 133.595380, 107.087313, 214.511620,   0.000000,  55.677494,   0.000000,   4.043909,  21.352295,  26.751702,  41.331670,   0.000000,  36.715914,  53.750847,   0.000000,  27.036001,   3.924515,   0.000000,  22.596131,  36.659823,  19.781400,  69.844703,  31.831446,  75.952925,  16.101487, 147.396414,  46.662355,  39.813534,  70.879428,  18.466035,  73.197460,Total.SURVEY_LC1_1F
 39.228062, 64.476030,109.194658,239.885945,431.219167, 67.544114,108.245526, 35.964208, 84.352275, 27.942392,166.825949, 47.699462,763.756186, 33.977982, 61.287549, 43.647167, 16.013079, 36.281064,826.071788, 60.092009,112.316793,178.856145,297.465924,173.324706, 60.229383, 44.670109, 47.509157, 51.028666, 27.185363, 31.093395, 39.174156, 23.943173,210.401129, 32.875574, 99.375439,295.809041,397.774857, 91.530165, 15.623833,  9.515186, 18.802412, 53.198436, 42.636961, 46.122541, 27.342943, 20.544390, 28.099979, 31.764134, 15.911172,  7.949910, 67.221054,  0.000000,  0.000000, 25.987755, 11.882058,  4.054828, 21.472518,  9.022391, 20.251417, 22.766579, 31.002903, 11.952258,  7.874917,  8.130801,  7.884099,  0.000000, 17.914485,  7.699386,  7.820955,  7.889512,  4.046889, 19.531407,  0.000000, 31.684410, 40.690837, 23.623615,Total.SURVEY_LC1_1G
  0.000000,  0.000000, 11.869988, 42.379192, 81.672659,  9.969400,  3.842115,  7.801574,  8.181983,  0.000000,  8.217660,  3.786623,246.913680, 17.143545,  4.040345,  0.000000,  0.000000,  0.000000,192.280874,  3.983029,113.517249,123.930595,157.858444,  0.000000,  0.000000,  0.000000,  3.914654,  4.057822,  0.000000,  0.000000, 11.808109,  0.000000, 12.654748,  0.000000, 28.956737, 70.410959,314.492889, 16.352043,  3.908998,  3.790018,  3.708265, 11.551539,  4.139614, 38.295220, 11.696372,  0.000000, 11.973804,  3.971670, 13.178464,  0.000000, 35.436434,  0.000000,  4.040345,  7.965933,  3.976303,  0.000000, 32.010783,  0.000000,  0.000000,  7.976564,  7.978563,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.207118,  0.000000,  4.082359, 16.321533,  0.000000,  0.000000,  0.000000,  3.931477, 21.099253,  3.964122,Total.SURVEY_LC1_1H
