DK0.No,DK0.Yes,variable
No,Yes,flag_two
14615.41,28305.79,Total.area
1577.674,1482.994,Total.SURVEY_LC1_1A
 3886.842,15388.162,Total.SURVEY_LC1_1B
3245.967,5322.083,Total.SURVEY_LC1_1C
509.9966,333.1541,Total.SURVEY_LC1_1D
2989.821,5258.682,Total.SURVEY_LC1_1E
1439.7583, 320.1242,Total.SURVEY_LC1_1F
617.33029, 90.24929,Total.SURVEY_LC1_1G
348.0218,110.3398,Total.SURVEY_LC1_1H
 9391.618,23655.870,Total.SURVEY_LU1_1U1
79.35555,62.55715,Total.SURVEY_LU1_1U2
3330.024,3095.005,Total.SURVEY_LU1_1U3
1814.415,1492.356,Total.SURVEY_LU1_1U4
597.0755,230.8767,Total.SURVEY_LC1_2A1
 918.5729,1177.3078,Total.SURVEY_LC1_2A2
62.02592,74.80903,Total.SURVEY_LC1_2A3
  446.6361,10310.3131,Total.SURVEY_LC1_2B1
  50.01192,1000.51327,Total.SURVEY_LC1_2B2
 233.8335,1372.5659,Total.SURVEY_LC1_2B3
 32.52138,295.53175,Total.SURVEY_LC1_2B4
  60.70146,2273.22441,Total.SURVEY_LC1_2B5
16.38856,46.87891,Total.SURVEY_LC1_2B7
18.71932,89.13465,Total.SURVEY_LC1_2B8
3028.03,   0.00,Total.SURVEY_LC1_2Bx
2310.904,2606.038,Total.SURVEY_LC1_2C1
 681.4875,2088.2524,Total.SURVEY_LC1_2C2
253.5753,627.7928,Total.SURVEY_LC1_2C3
 44.55648,141.85444,Total.SURVEY_LC1_2D1
465.4401,191.2997,Total.SURVEY_LC1_2D2
284.1549,649.7925,Total.SURVEY_LC1_2E1
2592.226,4142.977,Total.SURVEY_LC1_2E2
113.4407,465.9130,Total.SURVEY_LC1_2E3
4.342859,4.343829,Total.SURVEY_LC1_2F1
98.21837,33.63868,Total.SURVEY_LC1_2F2
1337.1970, 282.1417,Total.SURVEY_LC1_2F4
513.25740, 74.11171,Total.SURVEY_LC1_2G1
68.89150,16.13757,Total.SURVEY_LC1_2G2
30.28944, 0.00000,Total.SURVEY_LC1_2G3
4.891943,0.000000,Total.SURVEY_LC1_2G4
178.5558,102.2587,Total.SURVEY_LC1_2H1
169.465918,  8.081022,Total.SURVEY_LC1_2H2
 7300.619,19633.920,Total.SURVEY_LU1_2U11
