DK01.No,DK02.No,DK03.No,DK04.No,DK05.No,DK01.Yes,DK02.Yes,DK03.Yes,DK04.Yes,DK05.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
1453.456,3699.259,4228.507,3208.027,2026.163,1105.544,3524.741,8027.493,9798.973,5849.037,Total.area
310.0772,236.9575,504.4414,341.0272,185.1709,119.4778,269.4958,322.7149,463.1620,308.1431,Total.SURVEY_LC1_1A
 249.5378,1317.1431,1157.4488, 824.6265, 338.0857, 320.6679,2201.0144,4591.4633,5072.4445,3202.5719,Total.SURVEY_LC1_1B
 384.4278, 919.7662, 907.4826, 681.9212, 352.3691, 322.8908, 394.9908,1250.2431,2284.6490,1069.3092,Total.SURVEY_LC1_1C
 12.41110, 23.08729,130.11028,138.02982,206.35808,  3.97959, 16.44012, 77.94716,156.74423, 78.04302,Total.SURVEY_LC1_1D
 269.4112, 442.6147, 989.4692, 668.1351, 620.1913, 305.0943, 591.2847,1596.1469,1641.3740,1124.7825,Total.SURVEY_LC1_1E
113.17828,621.00424,314.77784,253.35563,137.44227,  3.97959, 14.08110,131.23219,132.69351, 38.13783,Total.SURVEY_LC1_1F
 90.342747, 80.169524,133.933464,217.822380, 95.062178, 11.946595, 22.518847, 20.206537, 27.560666,  8.016641,Total.SURVEY_LC1_1G
24.07027,58.51605,90.84289,83.10895,91.48360,17.50707,14.91561,37.53931,20.34523,20.03254,Total.SURVEY_LC1_1H
 746.8001,2802.9599,2766.0804,1907.3002,1168.4773, 704.3377,2888.3196,6899.3464,8293.0867,4870.7797,Total.SURVEY_LU1_1U1
 0.000000,10.511417,59.489346, 0.000000, 9.354788, 0.000000, 5.430899,14.490523,42.635725, 0.000000,Total.SURVEY_LU1_1U2
591.9436,614.5860,977.2215,758.3621,387.9103,361.1140,530.5878,734.0976,847.0750,622.1307,Total.SURVEY_LU1_1U3
114.71261,271.20139,425.71537,542.36457,460.42071, 40.09194,100.40304,379.55891,616.17580,356.12632,Total.SURVEY_LU1_1U4
123.54523, 61.85281,197.71793,126.96241, 86.99715, 23.99127, 94.67225, 25.06554, 42.64839, 44.49925,Total.SURVEY_LC1_2A1
182.55240,167.12120,268.62871,214.06481, 86.20577, 90.18962,174.82355,275.89457,393.09225,243.30783,Total.SURVEY_LC1_2A2
 3.979590, 7.983516,38.094789, 0.000000,11.968022, 5.296860, 0.000000,21.754792,27.421400,20.335977,Total.SURVEY_LC1_2A3
  32.62064, 114.09127, 207.47077,  45.00356,  47.44987, 251.86142,1459.89294,3207.03552,3340.36862,2051.15460,Total.SURVEY_LC1_2B1
  0.000000, 30.005338, 20.006587,  0.000000,  0.000000,  3.932998,209.917168,234.858220,407.376060,144.428828,Total.SURVEY_LC1_2B2
  5.296860, 30.005338,104.051461, 86.468362,  8.011434, 19.758689,226.143460,350.123581,441.666586,334.873606,Total.SURVEY_LC1_2B3
  0.000000,  6.001068,  4.018527, 22.501782,  0.000000,  5.296860, 27.949361,105.517479,113.132969, 43.635085,Total.SURVEY_LC1_2B4
