EL3.No,EL4.No,EL5.No,EL6.No,EL3.Yes,EL4.Yes,EL5.Yes,EL6.Yes,variable
No,No,No,No,Yes,Yes,Yes,Yes,flag_two
 1966.035, 9486.503,29011.076,32208.240, 1850.965, 8014.442,22622.925,26525.760,Total.area
 518.3555, 229.8334, 742.1940, 752.3059, 183.8009, 638.6151,1124.6073,1330.6649,Total.SURVEY_LC1_1A
   80.15329,  583.31953, 2913.11596, 1866.44624,  410.72361, 3033.56784, 6698.64106,10582.23479,Total.SURVEY_LC1_1B
  492.4640, 2363.0006,17334.4833,15150.5002,  551.6326, 1222.3988, 7071.3351, 6912.7785,Total.SURVEY_LC1_1C
  630.5063, 5495.2312, 3696.4277,10523.1823,  439.6671, 2163.2373, 1793.9972, 3170.1928,Total.SURVEY_LC1_1D
 208.5874, 553.8602,2795.6775,2499.0324, 233.6815, 750.5296,4664.5011,3698.0126,Total.SURVEY_LC1_1E
  31.91952, 168.40287, 497.33324, 744.35081,  27.60762, 162.60753,1013.79225, 466.57861,Total.SURVEY_LC1_1F
  4.049141, 77.139666,704.978379,508.100347,  0.000000, 12.048574,102.135293,186.730513,Total.SURVEY_LC1_1G
  0.000000, 15.715341,326.865942,164.322205,  3.851431, 31.437519,153.915969,178.566832,Total.SURVEY_LC1_1H
  268.4251, 3561.5398,17854.3680,16480.8640,  807.1224, 4362.2040,16221.3700,18210.2510,Total.SURVEY_LU1_1U1
  4.376681,  4.505180, 91.800748, 69.798767,  0.000000, 27.218228,108.103682, 90.070714,Total.SURVEY_LU1_1U2
 637.3241, 401.9131,1073.2755,1087.1053, 249.7710, 755.9115,1322.1970,1521.6852,Total.SURVEY_LU1_1U3
 1055.9094, 5518.5448, 9991.6317,14570.4724,  794.0714, 2869.1086, 4971.2548, 6703.7526,Total.SURVEY_LU1_1U4
207.40002, 82.08812,149.99453,193.55874, 46.46963,135.75708,196.45337,229.65153,Total.SURVEY_LC1_2A1
 310.9555, 147.7453, 565.6994, 539.3931, 128.9099, 494.9408, 861.9254,1053.2106,Total.SURVEY_LC1_2A2
 0.000000, 0.000000,26.500023,19.353999, 8.421425, 7.917235,66.228490,47.802801,Total.SURVEY_LC1_2A3
   0.00000,   0.00000, 181.81820, 116.97567,  23.31632, 122.63056,2059.93437,1799.60483,Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 0.000000, 0.000000, 3.858179, 8.036335,42.772985,58.436869,Total.SURVEY_LC1_2B2
   0.000,   0.000, 255.860, 118.346,   0.000,   0.000,1336.250,1035.320,Total.SURVEY_LC1_2B3
  0.000000,  0.000000, 28.533704,  3.993985,  7.738293, 38.176022, 93.798734,255.554544,Total.SURVEY_LC1_2B4
  0.000000,  0.000000, 16.550289, 71.769132,  3.880114, 37.577047,806.157479,804.790161,Total.SURVEY_LC1_2B5
   0.000000,   8.513547,  81.081378, 115.971002,  70.793990, 125.515464,1237.199225, 938.247431,Total.SURVEY_LC1_2B7
  45.7084, 361.1916, 140.4810, 625.5273, 301.1367,2701.6324,1122.5281,5690.2807,Total.SURVEY_LC1_2B8
  34.4449, 213.6143,2208.7914, 813.8632,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
   62.16887,  934.56692,12857.98523, 8462.47822,  102.08106,  617.79961, 5783.70843, 3941.43640,Total.SURVEY_LC1_2C1
 418.1287,1310.8664,2011.4408,5337.3948, 377.9401, 416.0009, 891.2569,2190.9189,Total.SURVEY_LC1_2C2
  12.16638, 117.56729,2465.05725,1350.62726,  71.61141, 188.59829, 396.36977, 780.42317,Total.SURVEY_LC1_2C3
 266.5560,1276.2710,2216.6782,5047.3115, 215.1555, 610.3880,1340.5407,1878.8938,Total.SURVEY_LC1_2D1
 363.9503,4218.9601,1479.7494,5475.8707, 224.5116,1552.8493, 453.4565,1291.2990,Total.SURVEY_LC1_2D2
  37.84105, 187.98715, 861.40381, 791.80024,  89.26131, 169.06074,1101.28419,1112.00301,Total.SURVEY_LC1_2E1
 170.74635, 300.14282,1658.88278,1443.82722,  25.76652, 369.61053,1141.32416,1049.32619,Total.SURVEY_LC1_2E2
   0.00000,  65.73028, 275.39089, 263.40497, 118.65368, 211.85835,2421.89276,1536.68344,Total.SURVEY_LC1_2E3
 19.646665,116.020373,126.137677,118.307389,  3.851431, 42.736574, 21.744726, 38.106278,Total.SURVEY_LC1_2F1
 0.000000,16.037948, 0.000000,16.600271, 0.000000,11.700257, 7.997436, 0.000000,Total.SURVEY_LC1_2F2
 12.27286, 36.34454,371.19556,609.44315, 23.75619,108.17069,984.05009,428.47233,Total.SURVEY_LC1_2F4
  0.000000, 16.063366,515.813162,381.749402,  0.000000,  4.034618, 19.677426, 20.001083,Total.SURVEY_LC1_2G1
  0.000000, 12.134255,164.899893,118.155294,  0.000000,  8.013956, 82.457867,166.729430,Total.SURVEY_LC1_2G2
 0.00000, 0.00000,20.11872, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2G3
 4.049141,48.942046, 4.146605, 8.195651, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2G4
  0.000000,  7.863893,263.380386,128.307786,  3.851431, 23.483093,149.929484,166.589694,Total.SURVEY_LC1_2H1
 0.000000, 7.851447,63.485556,36.014419, 0.000000, 7.954426, 3.986485,11.977138,Total.SURVEY_LC1_2H2
  175.7486, 2975.6594, 6445.7620, 8212.5422,  507.8291, 3967.5825,11347.3105,14019.1072,Total.SURVEY_LU1_2U11
   88.63173,  578.02892,10782.97912, 8011.65301,  295.45612,  378.71021, 4840.01742, 4129.94720,Total.SURVEY_LU1_2U12
  0.000000,  0.000000,443.246476,196.645714,  0.000000,  0.000000,  7.911972,  0.000000,Total.SURVEY_LU1_2U13
  4.044743,  7.851447,182.380408, 55.221640,  3.837165, 15.911327, 26.130018, 16.116044,Total.SURVEY_LU1_2U14
 0.000000, 0.000000, 0.000000, 4.801434, 0.000000, 0.000000, 0.000000,45.080604,Total.SURVEY_LU1_2U15
 0.000000, 0.000000,59.139639,56.617786, 0.000000, 3.878397,50.045432,54.204503,Total.SURVEY_LU1_2U21
 4.376681, 4.505180,32.661109,13.180981, 0.000000,23.339831,58.058250,35.866211,Total.SURVEY_LU1_2U22
115.8744,114.9235,433.7222,413.2575,113.0451,344.5769,705.7555,884.5792,Total.SURVEY_LU1_2U31
 4.522044, 3.894949,60.132525,69.196141,12.418218,15.814348,62.075724,55.575948,Total.SURVEY_LU1_2U32
 3.899381, 0.000000, 8.470511,24.545850, 4.045929,34.232122,24.208098,30.496562,Total.SURVEY_LU1_2U33
124.87852, 18.87430, 21.11963, 52.13963, 22.49620, 53.95284, 35.49114, 32.81850,Total.SURVEY_LU1_2U34
47.14585,51.32734,90.27564,56.23956,12.10915,27.97022,75.40255,25.36629,Total.SURVEY_LU1_2U35
 16.89066, 70.55510,110.51374,154.15585, 24.38404, 29.39268,109.76667, 63.24091,Total.SURVEY_LU1_2U36
324.11321,142.33793,349.04124,317.57069, 61.27238,249.97244,309.49726,429.60779,Total.SURVEY_LU1_2U37
 51.94916,171.42314,360.26069,239.28874,161.37360,563.33658,703.29133,994.71831,Total.SURVEY_LU1_2U41
 1003.9602, 5347.1217, 9631.3710,14331.1836,  632.6978, 2305.7720, 4267.9634, 5709.0343,Total.SURVEY_LU1_2U42
158.68751, 82.08812,133.82525,180.66867, 46.46963,114.22184,188.02716,200.24068,Total.SURVEY_LC1_3A11
44.313900, 0.000000,11.677567, 8.390318, 0.000000, 4.418093, 0.000000, 4.499748,Total.SURVEY_LC1_3A12
 4.398616, 0.000000, 4.491708, 4.499748, 0.000000,17.117141, 8.426211,24.911095,Total.SURVEY_LC1_3A13
222.11556, 41.25929,168.13847,151.35535, 33.03955,146.62551,211.17599,264.10810,Total.SURVEY_LC1_3A21
 88.83995,106.48603,397.56097,388.03779, 95.87033,348.31525,650.74946,789.10252,Total.SURVEY_LC1_3A22
 0.000000, 0.000000,26.500023,19.353999, 8.421425, 7.917235,66.228490,47.802801,Total.SURVEY_LC1_3A30
  0.000000,  0.000000,  8.133089,  8.110932,  0.000000,  7.946659,430.171897, 83.722768,Total.SURVEY_LC1_3B11
  0.000000,  0.000000,  3.935683, 28.406803,  3.880114,  0.000000,549.158188,479.968263,Total.SURVEY_LC1_3B12
  0.00000,  0.00000, 21.64626, 10.59678,  7.75348, 73.52485,243.57836,348.05886,Total.SURVEY_LC1_3B13
 0.000000, 0.000000, 0.000000, 0.000000, 3.880114, 0.000000,54.920806, 4.124232,Total.SURVEY_LC1_3B14
  0.000000,  0.000000,  0.000000,  0.000000,  7.802616, 41.159053, 91.910408,103.625446,Total.SURVEY_LC1_3B15
