EL30.No,EL41.No,EL42.No,EL43.No,EL51.No,EL52.No,EL53.No,EL54.No,EL61.No,EL62.No,EL63.No,EL64.No,EL65.No,EL30.Yes,EL41.Yes,EL42.Yes,EL43.Yes,EL51.Yes,EL52.Yes,EL53.Yes,EL54.Yes,EL61.Yes,EL62.Yes,EL63.Yes,EL64.Yes,EL65.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 1966.035, 1658.987, 3162.984, 4664.532, 8914.968,10173.349, 3799.210, 6123.550, 7072.347, 1028.844, 6560.445, 8945.981, 8600.624, 1850.965, 2189.013, 2143.961, 3681.468, 5267.033, 8664.651, 5662.790, 3028.450, 6977.653, 1272.156, 4753.555, 6614.019, 6908.376,Total.area
518.35553, 49.29381, 93.78654, 86.75308,222.26229,359.21794, 76.12883, 84.58492,196.80502, 20.71804,161.25766,211.61916,161.90599,183.80093,141.90290,182.05533,314.65684,247.26506,585.09879,163.20103,129.04242,269.89128, 98.86148,274.06803,319.90337,367.94078,Total.SURVEY_LC1_1A
  80.15329,  77.76620,  95.73077, 409.82256,1025.97065,1567.08253, 201.41911, 118.64368, 622.53451,  49.17913, 379.15623, 410.46276, 405.11360, 410.72361, 730.08517, 313.15736,1990.32531,1878.91399,3391.10586, 907.42750, 521.19371,2940.28153, 463.84593,1833.75651,2174.21052,3170.14030,Total.SURVEY_LC1_1B
 492.4640, 681.8022, 582.5576,1098.6408,6016.1768,5833.8920,1924.7495,3559.6650,3609.5006, 603.1579,3116.2863,4288.4168,3533.1386, 551.6326, 469.2869, 296.2338, 456.8781,1513.7525,1746.5598,2433.0029,1378.0199,1945.6748, 375.2892,1163.7291,1750.5281,1677.5574,Total.SURVEY_LC1_1C
 630.5063, 698.3664,2056.4793,2740.3854, 771.3445, 995.2122, 421.3600,1508.5111,1335.4547, 317.0418,2091.4459,2794.6825,3984.5574, 439.6671, 581.0653, 885.5440, 696.6280, 352.0116, 626.7694, 358.1716, 457.0446, 437.4748, 189.7422, 502.5719,1148.8775, 891.5265,Total.SURVEY_LC1_1D
 208.58740, 100.11786, 228.66135, 225.08103, 603.66607, 846.94870, 748.56199, 596.50071, 763.97774,  19.58107, 375.32196, 901.89441, 438.25725, 233.68150, 217.77194, 382.47164, 150.28604,1020.53956,1680.96540,1491.73361, 471.26255,1172.07278, 132.71249, 769.34222, 962.14799, 661.73715,Total.SURVEY_LC1_1E
 31.919521, 27.683946, 57.300200, 83.418720, 84.180990,153.389833,169.074177, 90.688241,400.140658, 11.242775, 98.226330,177.919556, 56.821494, 27.607625, 37.121626, 68.917524, 56.568376,187.362623,497.568023,296.975915, 31.885687,104.107546,  3.890401, 64.214733,196.003332, 98.362595,Total.SURVEY_LC1_1F
  4.049141, 12.226294, 48.468588, 16.444784, 96.289763,266.520561,249.822204, 92.345851,124.502669,  4.033276,237.639628,125.072894, 16.851880,  0.000000,  0.000000,  3.932686,  8.115888, 16.355692, 45.708617, 12.277980, 27.793005, 61.715754,  3.843151, 62.803985, 46.302486, 12.065136,Total.SURVEY_LC1_1G
  0.000000, 11.729844,  0.000000,  3.985496, 95.077055,151.085035,  8.093793, 72.610059, 19.430937,  3.890401,101.110510, 35.912771,  3.977585,  3.851431, 11.779511, 11.648471,  8.009537, 50.832056, 90.875342,  0.000000, 12.208571, 46.434651,  3.970793, 83.069067, 16.045916, 29.046404,Total.SURVEY_LC1_1H
 268.4251, 659.5925, 804.9777,2096.9695,5246.9537,6680.2022,2818.3855,3108.8267,4632.7178, 402.7432,3150.8419,4052.2720,4242.2891, 807.1224,1249.2119, 634.2962,2478.6959,3936.8011,6323.8872,4215.8780,1744.8037,5582.7514, 698.5982,3000.4648,4223.0186,4705.4180,Total.SURVEY_LU1_1U1
 4.376681, 0.000000, 0.000000, 4.505180,37.900543,11.932630,28.697222,13.270354,16.789648, 3.875542, 4.499748,36.105077, 8.528752, 0.000000, 7.756794, 6.556059,12.905376, 3.951368,69.169919,31.422713, 3.559683,35.200207, 0.000000,42.359388, 8.000583, 4.510536,Total.SURVEY_LU1_1U2
637.32407, 88.68637,151.36750,161.85925,274.96068,552.64398,117.83711,127.83369,287.88145, 67.96039,232.66463,279.93328,218.66553,249.77102,150.87580,267.70612,337.32960,320.81942,647.01530,181.40456,172.95768,342.61593,136.24703,291.99242,351.55792,399.27191,Total.SURVEY_LU1_1U3
1055.9094, 910.7077,2206.6392,2401.1979,3355.1532,2928.5700, 834.2897,2873.6188,2134.9580, 554.2652,3172.4382,4577.6705,4131.1404, 794.0714, 781.1689,1235.4024, 852.5372,1005.4613,1624.5789,1234.0852,1107.1294,1017.0855, 437.3104,1418.7389,2031.4421,1799.1757,Total.SURVEY_LU1_1U4
