ES1.No,ES2.No,ES3.No,ES4.No,ES5.No,ES6.No,ES1.Yes,ES2.Yes,ES3.Yes,ES4.Yes,ES5.Yes,ES6.Yes,variable
No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 16532.953, 28049.955,  5018.165, 97811.075, 29090.769, 54909.367, 28965.047, 42337.045,  3012.835,117505.925, 31255.764, 43995.758,Total.area
 503.5037, 980.8699, 715.0166,2866.9504,1785.4689,2663.6035,1752.7129,1297.2728, 216.8766,2936.2162,2056.9262,2006.8611,Total.SURVEY_LC1_1A
  143.6275, 1269.8709,  447.1177,14574.9789, 1761.0825, 7953.7086, 2486.9053,13220.9682,  785.9385,55291.7672,11810.5027,24273.9987,Total.SURVEY_LC1_1B
 7899.6339,12980.5701, 2044.5774,40807.2401,15495.4256,23982.9494,13604.8713,11860.0525,  526.4804,28075.8119, 9854.0149, 7853.6602,Total.SURVEY_LC1_1C
 4836.5027, 6393.2030,  783.7029,19050.4748, 6395.4129,11441.5106, 2928.0324, 6493.3432,  249.3326, 7960.1932, 2257.8143, 3504.4217,Total.SURVEY_LC1_1D
 2373.9092, 2925.1988,  731.1703,13082.7109, 1904.4090, 3496.9354, 7777.2166, 4419.8544,  690.3595,16356.5491, 3322.0931, 2846.9801,Total.SURVEY_LC1_1E
 495.7308,3033.7769, 193.0775,5245.0032,1176.6423,3464.6234, 324.1827,4903.7643, 539.5950,6664.5871,1647.9645,3325.1101,Total.SURVEY_LC1_1F
 233.246038, 449.761879,  99.399253,2141.186175, 421.268157,1394.844951,  78.539124, 124.184782,   4.252452, 216.402302, 274.690352, 164.632667,Total.SURVEY_LC1_1G
 46.799437, 16.703501,  4.103268, 42.530774,151.060107,511.191328, 12.586478, 17.604787,  0.000000,  4.397702, 31.758229, 20.093192,Total.SURVEY_LC1_1H
 9061.865,13731.108, 2329.453,65289.957,10641.515,35089.845,20894.689,28583.702, 1923.381,92972.937,18160.963,35187.222,Total.SURVEY_LU1_1U1
 50.113412,113.984056,  0.000000,276.747897,131.343146, 85.204640, 31.808813, 58.775900,  6.414393, 21.716756, 35.723982, 32.240427,Total.SURVEY_LU1_1U2
 688.9680,1170.8429, 989.4774,3313.7757,2160.0936,2868.4634,2221.7396,1407.3692, 313.3299,3409.7708,2670.2066,2087.9671,Total.SURVEY_LU1_1U3
 6732.0067,13034.0203, 1699.2347,28930.5942,16157.8177,16865.8539, 5816.8096,12287.1982,  769.7102,21101.5006,10388.8710, 6688.3285,Total.SURVEY_LU1_1U4
128.05111,305.87501, 20.58094,834.81678,340.46857,707.19651,533.45265,168.81827, 32.14761,355.27805,411.79332,664.45241,Total.SURVEY_LC1_2A1
 342.7788, 544.2166, 665.4246,1698.6424,1335.4648,1794.5357,1102.9148,1039.2912, 171.0778,2345.2750,1520.3267,1255.4128,Total.SURVEY_LC1_2A2
 32.67380,130.77828, 29.01109,325.73269,109.53545,149.48538,116.34545, 89.16337, 13.65114,235.66311,124.80619, 86.99586,Total.SURVEY_LC1_2A3
 0.000000, 0.000000, 0.000000, 7.758532, 0.000000,12.385861, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Ax
   13.74318,  356.82499,    0.00000,   42.15131,  112.06339,   28.41649,  919.98885, 7928.93780,  385.08098,29176.29251, 3120.77961, 2382.25332,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000, 25.414145,  0.000000,  0.000000,102.860179,102.145497,  7.703622,585.814624, 71.135067,107.444222,Total.SURVEY_LC1_2B2
   0.00000,  19.80529,   0.00000,  79.11863,   0.00000,  14.16672,  21.02159, 535.06600,   0.00000,6558.29218, 194.85784,1850.89291,Total.SURVEY_LC1_2B3
   0.000000,  18.477909,   0.000000,   0.000000,   4.016586,   0.000000,  71.540774, 269.325652,   4.055342,1650.024152, 158.335730, 352.901404,Total.SURVEY_LC1_2B4
   7.946653,  43.570123,   0.000000,   0.000000,   0.000000,   0.000000, 711.445582, 860.274990,  34.674304,2940.118751, 467.807912,  77.346824,Total.SURVEY_LC1_2B5
   7.928479,  46.631286,   0.000000, 251.301867, 335.741220, 471.118133, 456.184578,1842.601017,  24.438565,2565.654892,4445.154813,4319.616803,Total.SURVEY_LC1_2B7
    7.804487,  186.797750,   42.472542,  819.835225,  267.187546, 1721.638279,  203.863715, 1682.617212,  329.985705,11815.570115, 3352.431695,15183.543173,Total.SURVEY_LC1_2B8
  106.2047,  597.7635,  404.6451,13357.1577, 1042.0738, 5718.3689,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,Total.SURVEY_LC1_2Bx
 6209.0189, 5168.9621, 1467.5774,28222.7151, 4558.7388,16097.1282, 9667.9696, 6226.7107,  328.7254,16964.0985, 3645.2106, 3515.1926,Total.SURVEY_LC1_2C1
 1349.4557, 7447.6533,  510.8571,11765.8944, 9159.6640, 7489.6243, 2001.5651, 4167.0750,  112.5458, 9047.7933, 4097.6509, 4037.1648,Total.SURVEY_LC1_2C2
 341.15928, 363.95474,  66.14298, 818.63065,1777.02280, 396.19687,1935.33660,1466.26683,  85.20920,2063.92018,2111.15343, 301.30281,Total.SURVEY_LC1_2C3
 827.21097,1699.02577, 194.25660,4214.38662,1705.71485,1194.88214,1459.58646,1280.46197,  66.25267,2901.25343,1037.38729, 266.29164,Total.SURVEY_LC1_2D1
 4009.2917, 4694.1773,  589.4463,14836.0882, 4689.6980,10246.6284, 1468.4459, 5212.8812,  183.0800, 5058.9397, 1220.4270, 3238.1301,Total.SURVEY_LC1_2D2
 291.5181, 302.4727, 182.4502,3150.6642, 386.5413, 438.5524,1069.4938, 407.1540, 150.5274,3543.7299, 588.0654, 119.5641,Total.SURVEY_LC1_2E1
2019.4539,2518.4108, 526.0611,9411.0628,1435.1951,2831.0894,6118.1248,2070.0544, 257.8310,8113.9393,1612.9449,1601.4130,Total.SURVEY_LC1_2E2
  62.93723, 104.31524,  22.65896, 520.98392,  82.67259, 227.29354, 589.59797,1942.64609, 282.00107,4698.87989,1121.08281,1126.00303,Total.SURVEY_LC1_2E3
364.04876,850.70105, 56.95422,945.09140,606.67470,159.28988, 62.35984,114.05589,  0.00000,273.75514, 32.82762, 33.26859,Total.SURVEY_LC1_2F1
14.732585,18.780026,16.041519, 8.037731,57.981148,11.902079, 0.000000, 0.000000, 0.000000, 4.156357, 3.454741, 7.911524,Total.SURVEY_LC1_2F2
 116.9495,2164.2959, 120.0818,4291.8741, 511.9865,3293.4315, 261.8229,4789.7084, 539.5950,6386.6756,1611.6822,3283.9300,Total.SURVEY_LC1_2F4
 185.13579, 304.47903,  64.62014,1522.82237, 252.68839, 696.30086,  20.31967,  33.30390,   0.00000,  69.87808,  53.83178,  50.64795,Total.SURVEY_LC1_2G1
 44.276080,141.282005, 34.779115,618.363805,164.755927,680.346541, 58.219455, 90.880886,  4.252452,146.524219,220.858571,113.984713,Total.SURVEY_LC1_2G2
3.834172,0.000000,0.000000,0.000000,3.823841,4.303082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2G4
0.000000,4.000838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2G5
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,13.89447, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Gx
  6.485717, 16.703501,  4.103268, 34.993215, 56.547780,171.801405,  8.362420, 17.604787,  0.000000,  4.397702, 12.459359,  0.000000,Total.SURVEY_LC1_2H1
 40.313721,  0.000000,  0.000000,  7.537559, 94.512327,339.389923,  4.224058,  0.000000,  0.000000,  0.000000, 19.298870, 20.093192,Total.SURVEY_LC1_2H2
 2563.858, 4856.535, 1093.507,32352.626, 2625.318,15533.314,10159.802,21247.296, 1685.141,73713.538,14724.244,29137.705,Total.SURVEY_LU1_2U11
 6361.0535, 8814.7287, 1208.9596,32472.1777, 7920.5856,19216.5390,10672.3137, 7301.2810,  233.9632,19087.7384, 3423.8777, 5962.6682,Total.SURVEY_LU1_2U12
 8.224598, 0.000000, 0.000000, 0.000000, 0.000000,41.109805, 4.224058, 0.000000, 0.000000, 0.000000, 0.000000, 4.270144,Total.SURVEY_LU1_2U13
 55.633901, 59.844271, 26.986360,123.369926, 74.403995,176.435219, 45.264971, 35.125200,  4.276262,134.782782, 12.840720, 57.686687,Total.SURVEY_LU1_2U14
