ES11.No,ES12.No,ES13.No,ES21.No,ES22.No,ES23.No,ES24.No,ES30.No,ES41.No,ES42.No,ES43.No,ES51.No,ES52.No,ES53.No,ES61.No,ES62.No,ES11.Yes,ES12.Yes,ES13.Yes,ES21.Yes,ES22.Yes,ES23.Yes,ES24.Yes,ES30.Yes,ES41.Yes,ES42.Yes,ES43.Yes,ES51.Yes,ES52.Yes,ES53.Yes,ES61.Yes,ES62.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 7003.268, 6517.696, 3011.990, 3150.950, 3245.905, 2271.669,19381.431, 5018.165,26652.361,41578.311,29580.403,14341.441,13111.199, 1638.129,49773.553, 5135.814,22567.732, 4083.304, 2314.010, 4078.050, 7145.095, 2773.331,28340.569, 3012.835,67572.639,37879.689,12053.597,17768.559,10135.334, 3351.871,37817.572, 6178.186,Total.area
 263.58480, 156.80092,  83.11795, 317.05782, 134.39597,  60.05145, 469.36462, 715.01660, 954.09704,1154.67651, 758.17685, 757.36633, 918.05451, 110.04802,2340.55756, 323.04592,1226.58060, 388.11041, 138.02187, 163.50420, 240.74169, 129.91056, 763.11639, 216.87660,1622.90187,1074.68498, 238.62931,1150.27991, 696.57659, 210.06969,1479.88390, 526.97720,Total.SURVEY_LC1_1A
  122.674097,   16.910878,    4.042532,   70.822581,   89.362229,  141.099872,  968.586173,  447.117658, 1225.308668, 9774.871111, 3574.799114,  509.070072, 1135.593552,  116.418880, 7433.512200,  520.196373, 2072.610627,  273.329565,  140.965086,  634.265205, 1852.589883, 1239.486566, 9494.626518,  785.938521,30268.299042,20551.023145, 4472.445035, 5870.994277, 4824.440442, 1115.067953,21974.235978, 2299.762680,Total.SURVEY_LC1_1B
 3280.2476, 3151.5191, 1467.8671, 1919.5513, 1888.7115, 1025.6324, 8146.6749, 2044.5774, 9454.2497,18759.2463,12593.7441, 8776.9332, 5835.5366,  882.9557,21869.9869, 2112.9625,11253.8304, 1463.6118,  887.4290, 2161.2516, 2347.9447,  565.2809, 6785.5754,  526.4804,17829.6100, 6669.7058, 3576.4961, 6683.0367, 2064.5944, 1106.3838, 7178.7686,  674.8917,Total.SURVEY_LC1_1C
2313.4123,1948.8577, 574.2327, 291.7758, 537.7384, 771.5651,4792.1238, 783.7029,7644.6397,6623.2550,4782.5802,1846.8777,4258.8838, 289.6513,9877.9884,1563.5222,2502.6028, 262.0730, 163.3565, 478.2385, 810.8657, 524.0964,4680.1425, 249.3326,5044.9047,1988.4449, 926.8435, 989.1874,1154.5787, 114.0481,2572.9599, 931.4618,Total.SURVEY_LC1_1D
  620.6347, 1038.4477,  714.8269,  444.2098,  366.9997,  192.0177, 1921.9717,  731.1703, 4502.3687, 2943.1140, 5637.2282, 1243.7993,  519.7628,  140.8468, 3353.2605,  143.6748, 5165.5120, 1655.8398,  955.8648,  582.8493,  706.0810,  225.0631, 2905.8610,  690.3595,10201.0174, 3862.6621, 2292.8697, 1723.2882, 1003.4250,  595.3799, 2076.0933,  770.8868,Total.SURVEY_LC1_1E
 226.823590, 171.364652,  97.542571,  59.439842, 184.333873,  61.230048,2728.773186, 193.077504,2216.250557,1740.608392,1288.144253, 907.425120, 195.414365,  73.802858,3033.078461, 431.544986, 295.671607,  19.450626,   9.060463,  47.038963,1173.917340,  89.493147,3593.314860, 539.595045,2477.537186,3662.441590, 524.608324,1185.988840, 263.116848, 198.858855,2371.630512, 953.479623,Total.SURVEY_LC1_1F
 156.594273,  30.896175,  45.755590,  48.092495,  40.332485,  20.072843, 341.264056,  99.399253, 651.087962, 544.367963, 945.730250, 246.500088, 170.785870,   3.982199,1370.499619,  24.345332,  46.914936,  16.535682,  15.088505,  10.902571,   8.367595,   0.000000, 104.914615,   4.252452, 128.368769,  66.328467,  21.705066, 161.637692, 105.074186,   7.978474, 143.906306,  20.726361,Total.SURVEY_LC1_1G
 19.296546,  2.898528, 24.604364,  0.000000,  4.030978,  0.000000, 12.672522,  4.103268,  4.358711, 38.172063,  0.000000, 53.469546, 77.167685, 20.422875,494.669565, 16.521763,  4.009040,  4.353380,  4.224058,  0.000000,  4.586975,  0.000000, 13.017812,  0.000000,  0.000000,  4.397702,  0.000000,  4.145513, 23.528141,  4.084575, 20.093192,  0.000000,Total.SURVEY_LC1_1H
