No,Yes,variable
143603,194760,Total.area
2680.133,4598.376,Total.SURVEY_LC1_1A
 2405.874,10891.816,Total.SURVEY_LC1_1B
 63519.36,159705.44,Total.SURVEY_LC1_1C
13304.687, 4174.985,Total.SURVEY_LC1_1D
 7307.89,10884.03,Total.SURVEY_LC1_1E
4209.394,2399.179,Total.SURVEY_LC1_1F
33584.3710,  929.3435,Total.SURVEY_LC1_1G
16591.241, 1176.875,Total.SURVEY_LC1_1H
 61887.58,179870.85,Total.SURVEY_LU1_1U1
185.09093, 24.19606,Total.SURVEY_LU1_1U2
31461.595, 8038.467,Total.SURVEY_LU1_1U3
50068.689, 6826.539,Total.SURVEY_LU1_1U4
572.5993,458.8810,Total.SURVEY_LC1_2A1
1944.994,3813.274,Total.SURVEY_LC1_2A2
162.5393,326.2214,Total.SURVEY_LC1_2A3
 134.4078,5841.2300,Total.SURVEY_LC1_2B1
  0.0000,299.0715,Total.SURVEY_LC1_2B2
  0.0000,482.6272,Total.SURVEY_LC1_2B3
  4.017668,234.584691,Total.SURVEY_LC1_2B4
 125.9795,3932.9523,Total.SURVEY_LC1_2B5
32.95636,57.04735,Total.SURVEY_LC1_2B7
 0.00000,44.30296,Total.SURVEY_LC1_2B8
2108.513,   0.000,Total.SURVEY_LC1_2Bx
 4418.603,13060.176,Total.SURVEY_LC1_2C1
41976.93,78709.01,Total.SURVEY_LC1_2C2
16843.77,67936.26,Total.SURVEY_LC1_2C3
280.0575,  0.0000,Total.SURVEY_LC1_2Cx
3319.759,2939.293,Total.SURVEY_LC1_2D1
9980.754,1235.692,Total.SURVEY_LC1_2D2
4.174207,0.000000,Total.SURVEY_LC1_2Dx
1396.054,1478.458,Total.SURVEY_LC1_2E1
3928.507,6273.393,Total.SURVEY_LC1_2E2
1983.329,3132.180,Total.SURVEY_LC1_2E3
962.35544, 22.95092,Total.SURVEY_LC1_2F1
157.70995, 76.68932,Total.SURVEY_LC1_2F2
857.8836,224.7815,Total.SURVEY_LC1_2F3
2214.675,2074.758,Total.SURVEY_LC1_2F4
16.76969, 0.00000,Total.SURVEY_LC1_2Fx
32381.1721,  762.8021,Total.SURVEY_LC1_2G1
1190.6613, 166.5414,Total.SURVEY_LC1_2G2
12.53757, 0.00000,Total.SURVEY_LC1_2G3
16526.554, 1167.638,Total.SURVEY_LC1_2H1
58.349162, 9.236965,Total.SURVEY_LC1_2H2
6.337883,0.000000,Total.SURVEY_LC1_2Hx
 5847.934,18526.333,Total.SURVEY_LU1_2U11
 54194.62,160878.89,Total.SURVEY_LU1_2U12
435.023028,  7.997413,Total.SURVEY_LU1_2U13
1405.7547, 270.4393,Total.SURVEY_LU1_2U14
  4.248602,187.184740,Total.SURVEY_LU1_2U15
66.97853, 0.00000,Total.SURVEY_LU1_2U21
118.11240, 24.19606,Total.SURVEY_LU1_2U22
2106.942,4256.356,Total.SURVEY_LU1_2U31
34.45485,13.21330,Total.SURVEY_LU1_2U32
188.49988, 55.36274,Total.SURVEY_LU1_2U33
75.10607,44.93197,Total.SURVEY_LU1_2U34
511.15071, 44.71417,Total.SURVEY_LU1_2U35
26434.00, 1457.05,Total.SURVEY_LU1_2U36
2111.440,2166.839,Total.SURVEY_LU1_2U37
240.3411,641.5958,Total.SURVEY_LU1_2U41
49828.348, 6184.943,Total.SURVEY_LU1_2U42
469.5801,458.8810,Total.SURVEY_LC1_3A11
98.84366, 0.00000,Total.SURVEY_LC1_3A12
4.175516,0.000000,Total.SURVEY_LC1_3A13
689.8714,584.0696,Total.SURVEY_LC1_3A21
1255.123,3229.204,Total.SURVEY_LC1_3A22
162.5393,326.2214,Total.SURVEY_LC1_3A30
  59.72627,1486.78940,Total.SURVEY_LC1_3B11
 0.00000,60.29353,Total.SURVEY_LC1_3B12
   4.960644,2366.483565,Total.SURVEY_LC1_3B13
48.70198,91.66351,Total.SURVEY_LC1_3B14
  15.41847,1828.00060,Total.SURVEY_LC1_3B15
5.600386,7.999356,Total.SURVEY_LC1_3B18
 0.00000,44.27946,Total.SURVEY_LC1_3B21
  0.0000,133.2153,Total.SURVEY_LC1_3B22
  0.0000,121.5768,Total.SURVEY_LC1_3B23
0.000000,9.774982,Total.SURVEY_LC1_3B31
  0.0000,441.0252,Total.SURVEY_LC1_3B32
 0.00000,11.10852,Total.SURVEY_LC1_3B35
 0.0000,20.7185,Total.SURVEY_LC1_3B37
  4.017668,150.063904,Total.SURVEY_LC1_3B41
 0.00000,44.20061,Total.SURVEY_LC1_3B43
 0.00000,40.32017,Total.SURVEY_LC1_3B45
  0.0000,256.3577,Total.SURVEY_LC1_3B51
 0.00000,57.46146,Total.SURVEY_LC1_3B52
  0.0000,375.7802,Total.SURVEY_LC1_3B53
 0.00000,16.57982,Total.SURVEY_LC1_3B54
 125.9795,3226.7731,Total.SURVEY_LC1_3B55
24.63168,28.74766,Total.SURVEY_LC1_3B71
4.413947,0.000000,Total.SURVEY_LC1_3B73
 3.910738,28.299692,Total.SURVEY_LC1_3B75
 0.00000,40.32017,Total.SURVEY_LC1_3B83
0.00000,3.98279,Total.SURVEY_LC1_3B84
2083.572,   0.000,Total.SURVEY_LC1_3Bx1
12.58741, 0.00000,Total.SURVEY_LC1_3Bx2
12.35321, 0.00000,Total.SURVEY_LC1_3Bxx
 4418.603,13060.176,Total.SURVEY_LC1_3C10
 3603.633,21337.516,Total.SURVEY_LC1_3C21
19125.78,44607.88,Total.SURVEY_LC1_3C22
 5296.19,12763.61,Total.SURVEY_LC1_3C23
13951.33,    0.00,Total.SURVEY_LC1_3C2x
 2649.575,22824.359,Total.SURVEY_LC1_3C31
 6971.243,26804.194,Total.SURVEY_LC1_3C32
 4224.421,18307.704,Total.SURVEY_LC1_3C33
2998.532,   0.000,Total.SURVEY_LC1_3C3x
280.0575,  0.0000,Total.SURVEY_LC1_3Cxx
3076.566,2939.293,Total.SURVEY_LC1_3D10
243.1929,  0.0000,Total.SURVEY_LC1_3D1x
9980.754,1235.692,Total.SURVEY_LC1_3D20
4.174207,0.000000,Total.SURVEY_LC1_3Dxx
1396.054,1478.458,Total.SURVEY_LC1_3E10
3928.507,6273.393,Total.SURVEY_LC1_3E20
1983.329,3132.180,Total.SURVEY_LC1_3E30
962.35544, 22.95092,Total.SURVEY_LC1_3F10
157.70995, 76.68932,Total.SURVEY_LC1_3F20
857.8836,224.7815,Total.SURVEY_LC1_3F30
2214.675,2074.758,Total.SURVEY_LC1_3F40
16.76969, 0.00000,Total.SURVEY_LC1_3Fxx
32381.1721,  758.7154,Total.SURVEY_LC1_3G11
0.000000,4.086674,Total.SURVEY_LC1_3G12
1178.3452, 166.5414,Total.SURVEY_LC1_3G21
12.31602, 0.00000,Total.SURVEY_LC1_3G22
12.53757, 0.00000,Total.SURVEY_LC1_3G30
4829.5825, 269.6493,Total.SURVEY_LC1_3H11
11696.9719,  897.9885,Total.SURVEY_LC1_3H12
58.349162, 9.236965,Total.SURVEY_LC1_3H21
6.337883,0.000000,Total.SURVEY_LC1_3Hxx
 5740.286,17840.495,Total.SURVEY_LU1_3U111
 48.9302,635.9479,Total.SURVEY_LU1_3U112
58.71838,49.88989,Total.SURVEY_LU1_3U113
 54194.62,160878.89,Total.SURVEY_LU1_3U120
435.023028,  7.997413,Total.SURVEY_LU1_3U130
1405.7547, 270.4393,Total.SURVEY_LU1_3U140
  4.248602,187.184740,Total.SURVEY_LU1_3U150
66.97853, 0.00000,Total.SURVEY_LU1_3U210
20.543025, 4.353778,Total.SURVEY_LU1_3U223
4.062944,0.000000,Total.SURVEY_LU1_3U224
42.7866, 0.0000,Total.SURVEY_LU1_3U225
 8.377103,15.607151,Total.SURVEY_LU1_3U226
38.028570, 4.235135,Total.SURVEY_LU1_3U227
4.314158,0.000000,Total.SURVEY_LU1_3U228
47.06995,90.78983,Total.SURVEY_LU1_3U311
1512.811,3620.010,Total.SURVEY_LU1_3U312
175.53106, 30.44485,Total.SURVEY_LU1_3U313
49.15066, 0.00000,Total.SURVEY_LU1_3U314
4.596329,4.072978,Total.SURVEY_LU1_3U316
123.51880, 30.56604,Total.SURVEY_LU1_3U317
194.2644,480.4725,Total.SURVEY_LU1_3U319
3.985451,0.000000,Total.SURVEY_LU1_3U321
30.4694,13.2133,Total.SURVEY_LU1_3U322
