FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
142950.0737,   652.8791,193831.9263,   928.1209,Total.area
2674.761059,   5.371689,4568.448993,  29.927394,Total.SURVEY_LC1_1A
 2398.495265,    7.378644,10780.629642,  111.186405,Total.SURVEY_LC1_1B
 63069.9345,   449.4279,159020.5983,   684.8428,Total.SURVEY_LC1_1C
13296.422651,    8.264377, 4165.947093,    9.037854,Total.SURVEY_LC1_1D
 7256.71469,   51.17574,10805.37962,   78.65132,Total.SURVEY_LC1_1E
4155.836850,  53.557060,2394.588409,   4.591064,Total.SURVEY_LC1_1F
33526.195101,   58.175855,  924.461321,    4.882199,Total.SURVEY_LC1_1G
16571.71356,   19.52787, 1171.87298,    5.00183,Total.SURVEY_LC1_1H
 61486.7791,   400.7986,179149.9766,   720.8695,Total.SURVEY_LU1_1U1
185.09093,  0.00000, 24.19606,  0.00000,Total.SURVEY_LU1_1U2
31393.27129,   68.32400, 7955.03092,   83.43559,Total.SURVEY_LU1_1U3
49884.9323,  183.7566, 6702.7228,  123.8158,Total.SURVEY_LU1_1U4
572.5993,  0.0000,458.8810,  0.0000,Total.SURVEY_LC1_2A1
1939.622405,   5.371689,3783.346587,  29.927394,Total.SURVEY_LC1_2A2
162.5393,  0.0000,326.2214,  0.0000,Total.SURVEY_LC1_2A3
 134.40775,   0.00000,5817.24586,  23.98411,Total.SURVEY_LC1_2B1
  0.00000,  0.00000,270.33586, 28.73567,Total.SURVEY_LC1_2B2
  0.0000,  0.0000,482.6272,  0.0000,Total.SURVEY_LC1_2B3
  4.017668,  0.000000,234.584691,  0.000000,Total.SURVEY_LC1_2B4
 125.9795,   0.0000,3879.4875,  53.4648,Total.SURVEY_LC1_2B5
32.95636, 0.00000,52.04552, 5.00183,Total.SURVEY_LC1_2B7
 0.00000, 0.00000,44.30296, 0.00000,Total.SURVEY_LC1_2B8
2101.133937,   7.378644,   0.000000,   0.000000,Total.SURVEY_LC1_2Bx
 4317.67595,  100.92728,12998.38867,   61.78729,Total.SURVEY_LC1_2C1
41783.7282,  193.2024,78310.5098,  398.4984,Total.SURVEY_LC1_2C2
16688.4729,  155.2982,67711.6998,  224.5572,Total.SURVEY_LC1_2C3
280.0575,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Cx
3315.095019,   4.663939,2934.648124,   4.645289,Total.SURVEY_LC1_2D1
9977.153425,   3.600439,1231.298969,   4.392565,Total.SURVEY_LC1_2D2
4.174207,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
1375.806107,  20.248307,1468.680747,   9.776937,Total.SURVEY_LC1_2E1
3902.58156,  25.92561,6209.52058,  63.87256,Total.SURVEY_LC1_2E2
1978.32702,   5.00183,3127.17829,   5.00183,Total.SURVEY_LC1_2E3
920.98412, 41.37131, 22.95092,  0.00000,Total.SURVEY_LC1_2F1
157.70995,  0.00000, 76.68932,  0.00000,Total.SURVEY_LC1_2F2
857.883608,  0.000000,220.190464,  4.591064,Total.SURVEY_LC1_2F3
2202.48947,  12.18575,2074.75771,   0.00000,Total.SURVEY_LC1_2F4
16.76969, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Fx
32329.075560,   52.096579,  757.919900,    4.882199,Total.SURVEY_LC1_2G1
1184.581975,   6.079276, 166.541421,   0.000000,Total.SURVEY_LC1_2G2
12.53757, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2G3
16516.42091,   10.13348, 1167.63785,    0.00000,Total.SURVEY_LC1_2H1
48.954767, 9.394395, 4.235135, 5.001830,Total.SURVEY_LC1_2H2
6.337883,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Hx
 5808.18559,   39.74861,18369.98847,  156.34413,Total.SURVEY_LU1_2U11
 53833.5672,   361.0499,160314.3667,   564.5254,Total.SURVEY_LU1_2U12
435.023028,  0.000000,  7.997413,  0.000000,Total.SURVEY_LU1_2U13
1405.7547,   0.0000, 270.4393,   0.0000,Total.SURVEY_LU1_2U14
  4.248602,  0.000000,187.184740,  0.000000,Total.SURVEY_LU1_2U15
66.97853, 0.00000, 0.00000, 0.00000,Total.SURVEY_LU1_2U21
118.11240,  0.00000, 24.19606,  0.00000,Total.SURVEY_LU1_2U22
2101.570727,   5.371689,4241.336900,  15.018809,Total.SURVEY_LU1_2U31
34.45485, 0.00000,13.21330, 0.00000,Total.SURVEY_LU1_2U32
188.49988,  0.00000, 40.45416, 14.90859,Total.SURVEY_LU1_2U33
75.10607, 0.00000,44.93197, 0.00000,Total.SURVEY_LU1_2U34
511.15071,  0.00000, 44.71417,  0.00000,Total.SURVEY_LU1_2U35
26400.71725,   33.28455, 1433.58663,   23.46336,Total.SURVEY_LU1_2U36
2081.77180,  29.66776,2136.79379,  30.04484,Total.SURVEY_LU1_2U37
240.3411,  0.0000,641.5958,  0.0000,Total.SURVEY_LU1_2U41
49644.5912,  183.7566, 6061.1270,  123.8158,Total.SURVEY_LU1_2U42
469.5801,  0.0000,458.8810,  0.0000,Total.SURVEY_LC1_3A11
98.84366, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3A12
4.175516,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3A13
689.87138,  0.00000,569.16105, 14.90859,Total.SURVEY_LC1_3A21
1249.751030,   5.371689,3214.185534,  15.018809,Total.SURVEY_LC1_3A22
162.5393,  0.0000,326.2214,  0.0000,Total.SURVEY_LC1_3A30
  59.726270,   0.000000,1477.598236,   9.191167,Total.SURVEY_LC1_3B11
 0.00000, 0.00000,60.29353, 0.00000,Total.SURVEY_LC1_3B12
   4.960644,   0.000000,2356.479905,  10.003660,Total.SURVEY_LC1_3B13
48.70198, 0.00000,91.66351, 0.00000,Total.SURVEY_LC1_3B14
