FI19.No,FI1B.No,FI1C.No,FI1D.No,FI20.No,FI19.Yes,FI1B.Yes,FI1C.Yes,FI1D.Yes,FI20.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
 13529.5730,  3996.1549, 13016.7531,112407.5927,   652.8791, 51195.4270,  5571.8451, 22353.2469,114711.4073,   928.1209,Total.area
 598.342848, 365.979133, 721.299274, 989.139803,   5.371689,1321.693783, 267.032448, 490.054341,2489.668422,  29.927394,Total.SURVEY_LC1_1A
 725.004138, 491.388340, 650.691238, 531.411549,   7.378644,4168.412727, 447.443033,2774.985333,3389.788550, 111.186405,Total.SURVEY_LC1_1B
  2526.2585,  1983.3899,  4845.0185, 53715.2676,   449.4279, 39764.0256,  3601.4827, 15560.0512,100095.0388,   684.8428,Total.SURVEY_LC1_1C
  778.632671,  142.152547,  489.509819,11886.127614,    8.264377, 1357.712230,   45.210874,  609.632150, 2153.391840,    9.037854,Total.SURVEY_LC1_1D
 745.64450, 346.01622,1030.21369,5134.84027,  51.17574,3313.47465, 986.08004,2234.57477,4271.25016,  78.65132,Total.SURVEY_LC1_1E
 764.579529, 208.980347, 996.387055,2185.889919,  53.557060, 881.910186, 182.875694, 550.670293, 779.132236,   4.591064,Total.SURVEY_LC1_1F
 6304.303485,  411.168721, 3950.211901,22860.510994,   58.175855,  274.993659,   20.908806,   75.918985,  552.639871,    4.882199,Total.SURVEY_LC1_1G
 1086.80736,   47.07966,  333.42159,15104.40495,   19.52787,  113.20410,   20.81158,   57.35983,  980.49748,    5.00183,Total.SURVEY_LC1_1H
  4663.0314,  2524.4319,  7112.1030, 47187.2128,   400.7986, 47234.4574,  4579.9677, 20170.6592,107164.8924,   720.8695,Total.SURVEY_LU1_1U1
 25.061732,  0.000000, 43.731043,116.298152,  0.000000, 11.253373,  4.235135,  8.707555,  0.000000,  0.000000,Total.SURVEY_LU1_1U2
 7013.65263, 1159.43273, 4460.75645,18759.42949,   68.32400, 2213.34354,  468.28103, 1182.57298, 4090.83336,   83.43559,Total.SURVEY_LU1_1U3
 1827.8273,  312.2902, 1400.1626,46344.6523,  183.7566, 1736.3727,  519.3613,  991.3072, 3455.6816,  123.8158,Total.SURVEY_LU1_1U4
130.57186, 95.24090,199.56331,147.22324,  0.00000,238.73512, 29.40372, 62.92328,127.81890,  0.00000,Total.SURVEY_LC1_2A1
 438.398024, 258.843835, 500.519287, 741.861259,   5.371689,1031.883940, 228.722305, 357.689961,2165.050381,  29.927394,Total.SURVEY_LC1_2A2
 29.372966, 11.894399, 21.216680,100.055300,  0.000000, 51.074722,  8.906419, 69.441104,196.799142,  0.000000,Total.SURVEY_LC1_2A3
   0.00000,   0.00000,  65.32666,  69.08110,   0.00000,2703.54442, 260.34891,1584.06452,1269.28802,  23.98411,Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,93.503533,86.428167,84.658014, 5.746148,28.735667,Total.SURVEY_LC1_2B2
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,173.3574,  0.0000,188.7945,120.4754,  0.0000,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  4.017668,  0.000000,  0.000000,  9.182542, 48.173983,177.228166,  0.000000,  0.000000,Total.SURVEY_LC1_2B4
  22.114705,   3.976486,  70.222525,  29.665827,   0.000000,1176.854925,  52.491976, 674.384851,1975.755753,  53.464802,Total.SURVEY_LC1_2B5
16.376323, 8.397380, 8.182661, 0.000000, 0.000000,11.969954, 0.000000,25.535127,14.540441, 5.001830,Total.SURVEY_LC1_2B7
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,40.32017, 3.98279, 0.00000,Total.SURVEY_LC1_2B8
686.513110,479.014474,502.941727,432.664626,  7.378644,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2Bx
 663.15817, 317.23469, 536.37245,2800.91064, 100.92728,3014.62177, 376.59394,1465.81835,8141.35460,  61.78729,Total.SURVEY_LC1_2C1
 1301.4553, 1113.9620, 2615.4335,36752.8775,  193.2024,22792.7804, 1554.9700, 9084.3858,44878.3736,  398.4984,Total.SURVEY_LC1_2C2
  561.6451,  552.1932, 1693.2126,13881.4219,  155.2982,13956.6235, 1669.9187, 5009.8470,47075.3105,  224.5572,Total.SURVEY_LC1_2C3
  0.0000,  0.0000,  0.0000,280.0575,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Cx
 451.751342,  43.778498, 170.024057,2649.541121,   4.663939,1027.909826,  24.898661, 498.961392,1382.878246,   4.645289,Total.SURVEY_LC1_2D1
 326.881329,  98.374049, 315.311554,9236.586493,   3.600439, 329.802404,  20.312212, 110.670759, 770.513594,   4.392565,Total.SURVEY_LC1_2D2
0.000000,0.000000,4.174207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
  75.122516,  98.566067, 147.825004,1054.292521,  20.248307, 164.447486, 109.906989, 374.897724, 819.428548,   9.776937,Total.SURVEY_LC1_2E1
 616.68980, 189.98425, 600.39604,2495.51148,  25.92561,2124.83281, 482.97540,1202.92600,2398.78637,  63.87256,Total.SURVEY_LC1_2E2
  53.83219,  57.46590, 281.99265,1585.03628,   5.00183,1024.19435, 393.19765, 656.75104,1053.03524,   5.00183,Total.SURVEY_LC1_2E3
 14.219538, 13.505394, 56.438621,836.820571, 41.371313,  0.000000,  4.235135,  4.975658, 13.740123,  0.000000,Total.SURVEY_LC1_2F1
14.836585, 5.037748,74.646230,63.189388, 0.000000,12.557860,30.444924,13.681299,20.005240, 0.000000,Total.SURVEY_LC1_2F2
  3.772446, 33.214241, 11.956724,808.940197,  0.000000,  4.435021, 18.074910, 24.495873,173.184661,  4.591064,Total.SURVEY_LC1_2F3
731.75096,157.22296,853.34548,460.17007, 12.18575,864.91731,130.12072,507.51746,572.20221,  0.00000,Total.SURVEY_LC1_2F4
 0.00000, 0.00000, 0.00000,16.76969, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Fx
 6252.877666,  402.856786, 3851.973672,21821.367436,   52.096579,  222.454417,    8.551165,   59.660690,  467.253628,    4.882199,Total.SURVEY_LC1_2G1
  38.888253,   8.311935,  98.238229,1039.143558,   6.079276,  52.539242,  12.357641,  16.258295,  85.386244,   0.000000,Total.SURVEY_LC1_2G2
12.53757, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2G3
 1066.35393,   47.07966,  320.89504,15082.09228,   10.13348,  113.20410,   16.57644,   57.35983,  980.49748,    0.00000,Total.SURVEY_LC1_2H1
20.453433, 0.000000,12.526547,15.974787, 9.394395, 0.000000, 4.235135, 0.000000, 0.000000, 5.001830,Total.SURVEY_LC1_2H2
0.000000,0.000000,0.000000,6.337883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Hx
1509.05071, 717.71144,1947.84242,1633.58102,  39.74861,6782.87998,1217.71997,4700.86328,5668.52525, 156.34413,Total.SURVEY_LU1_2U11
  2671.7908,  1779.2514,  5014.2076, 44368.3174,   361.0499, 40432.4922,  3331.8028, 15438.7852,101111.2864,   564.5254,Total.SURVEY_LU1_2U12
  0.000000,  0.000000,  0.000000,435.023028,  0.000000,  0.000000,  0.000000,  7.997413,  0.000000,  0.000000,Total.SURVEY_LU1_2U13
477.94128, 27.46908,150.05299,750.29133,  0.00000, 14.83658, 30.44492, 23.01323,202.14454,  0.00000,Total.SURVEY_LU1_2U14
  4.248602,  0.000000,  0.000000,  0.000000,  0.000000,  4.248602,  0.000000,  0.000000,182.936138,  0.000000,Total.SURVEY_LU1_2U15
 8.246469, 0.000000, 0.000000,58.732056, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U21
16.815263, 0.000000,43.731043,57.566096, 0.000000,11.253373, 4.235135, 8.707555, 0.000000, 0.000000,Total.SURVEY_LU1_2U22
 554.495130, 211.618162, 436.989325, 898.468110,   5.371689,1094.423580, 250.678347, 510.761656,2385.473317,  15.018809,Total.SURVEY_LU1_2U31
 9.099478, 5.037748,20.317628, 0.000000, 0.000000, 8.602978, 0.000000, 4.610322, 0.000000, 0.000000,Total.SURVEY_LU1_2U32
  4.072978, 13.241842,  3.729983,167.455078,  0.000000,  0.000000, 15.985092,  0.000000, 24.469067, 14.908585,Total.SURVEY_LU1_2U33
13.075677,21.712112,13.939757,26.378521, 0.000000, 0.000000, 0.000000,36.306579, 8.625396, 0.000000,Total.SURVEY_LU1_2U34
 48.501671, 31.221866, 50.433119,380.994052,  0.000000, 12.389461,  4.235135,  0.000000, 28.089569,  0.000000,Total.SURVEY_LU1_2U35
 5919.03023,  390.18609, 3317.08749,16774.41345,   33.28455,  273.24792,   53.83506,  255.26878,  851.23487,   23.46336,Total.SURVEY_LU1_2U36
465.37747,486.41491,618.25915,511.72028, 29.66776,824.67960,143.54740,375.62565,792.94114, 30.04484,Total.SURVEY_LU1_2U37
 64.188123, 60.117281,  4.175516,111.860180,  0.000000,135.732141,  3.884930, 60.483845,441.494845,  0.000000,Total.SURVEY_LU1_2U41
 1763.6392,  252.1729, 1395.9871,46232.7921,  183.7566, 1600.6406,  515.4764,  930.8233, 3014.1867,  123.8158,Total.SURVEY_LU1_2U42
130.57186, 80.52774,135.88617,122.59436,  0.00000,238.73512, 29.40372, 62.92328,127.81890,  0.00000,Total.SURVEY_LC1_3A11
 0.00000,14.71316,59.50163,24.62888, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3A12
0.000000,0.000000,4.175516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3A13
165.90060,139.66262,203.02175,181.28641,  0.00000,140.02593, 41.01122, 90.90479,297.21912, 14.90859,Total.SURVEY_LC1_3A21
 272.497428, 119.181219, 297.497538, 560.574845,   5.371689, 891.858012, 187.711088, 266.785174,1867.831260,  15.018809,Total.SURVEY_LC1_3A22
 29.372966, 11.894399, 21.216680,100.055300,  0.000000, 51.074722,  8.906419, 69.441104,196.799142,  0.000000,Total.SURVEY_LC1_3A30
