FR1.No,FRB.No,FRC.No,FRD.No,FRE.No,FRF.No,FRG.No,FRH.No,FRI.No,FRJ.No,FRK.No,FRL.No,FRM.No,FR1.Yes,FRB.Yes,FRC.Yes,FRD.Yes,FRE.Yes,FRF.Yes,FRG.Yes,FRH.Yes,FRI.Yes,FRJ.Yes,FRK.Yes,FRL.Yes,FRM.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 7560.6374,18568.1144,21363.0672,11447.9002,14163.8801,24062.0988,13047.3531,11005.9333,44710.8390,43209.8743,39435.1314,25732.9747, 8032.7379, 4509.3626,20960.8856,26698.9328,18665.0998,17785.1199,33655.9012,19328.6469,16465.0667,40116.1610,30036.1257,31698.8686, 6106.0253,  693.2621,Total.area
1438.16779,1125.54710,1016.73506,1108.94539,1693.90564,1740.10441,1248.86063,1169.34713,2441.52352,2126.22454,2336.50361,1662.46360, 170.70162, 273.96032, 674.42728, 864.69698, 669.69184, 686.26193,1297.93399,1282.74115,1130.75198,2052.50796,1482.77500,1526.67170, 250.40947,  41.00013,Total.SURVEY_LC1_1A
  838.05598, 4388.01494, 2334.67739, 2324.71261, 3535.37110, 4024.58217, 2886.04287, 2116.21972, 5604.46316, 2993.15122, 1433.99577,  945.23806,   76.68377, 2595.28173,12136.79178, 7557.81850, 9195.04907,13571.56853,14580.96935, 9775.02862, 8118.38219,15509.02880,13753.72580, 8174.13294, 2117.60563,  138.91303,Total.SURVEY_LC1_1B
 2963.4040, 6248.4340,10738.9346, 2659.3393, 4350.5947,10043.2514, 3386.6632, 3733.4494,21248.6906,24037.0928,19074.4469,13594.2428, 4009.8725,  657.1016, 4996.4456, 7600.7108, 2761.6338, 1291.0188,10574.5231, 2241.3987, 2444.8706, 9850.7174, 5268.1709, 8542.7881, 2279.4547,  320.9079,Total.SURVEY_LC1_1C
 103.25997, 301.78000, 395.97259, 172.67102, 228.51646, 221.71776, 169.42517, 301.45023,1159.35220,3165.18786,1539.23255,2307.88032,2385.41186,  33.84551,  69.80395, 210.65225, 198.17069,  49.52763, 297.47098, 103.56317, 132.09020, 544.49685, 868.10485, 493.30248, 301.39486,  57.59972,Total.SURVEY_LC1_1D
 1005.7586, 3826.7593, 5326.3608, 4187.3165, 3054.0748, 4318.8380, 4017.8573, 2462.3566,10280.3058, 7781.9689,10860.9330, 3707.4752,  646.4854,  570.9103, 2754.0463, 8947.6544, 5255.6990, 1868.3241, 6262.5119, 5612.4789, 4439.7305,11307.3269, 8286.3828,12383.7476, 1050.6061,  112.6279,Total.SURVEY_LC1_1E
1098.92775,2073.81441,1210.69280, 789.39683,1077.98657,3191.57912, 826.21586,1055.08046,3043.55196,2372.38017,3028.09378,2740.51559, 715.32144, 347.11869, 256.65396,1412.62792, 537.45178, 235.95650, 524.20285, 115.62424, 135.55492, 595.94477, 253.53429, 406.84934,  63.11817,  14.18966,Total.SURVEY_LC1_1F
 109.108241, 583.612962, 315.691048, 162.822361, 191.007573, 494.020652, 388.871802, 134.210148, 804.816516, 547.274399,1122.390313, 511.859735,  16.133438,  31.144556,  68.208454,  84.452481,  43.362840,  82.462400,  98.444298, 187.756113,  39.865326, 228.008740, 115.258670, 147.589283,  27.843795,   8.023833,Total.SURVEY_LC1_1G
  3.955042, 20.151667, 24.002920, 42.696156, 32.423204, 28.005260,123.416274, 33.819575,128.135218,186.594457, 39.535443,263.299450, 12.127876,  0.000000,  4.508206, 20.319469,  4.040753,  0.000000, 19.844751, 10.055980, 23.820954, 28.129620,  8.173348, 23.787136, 15.592531,  0.000000,Total.SURVEY_LC1_1H
 4596.7570,15118.5002,18802.1659, 8624.9589,10843.8732,19639.8775, 9830.6898, 8114.9955,37183.4937,30682.2037,27239.8582,12672.6113, 3126.7306, 3897.6602,19547.4989,24748.6130,17206.5924,16554.8922,31353.7451,16835.5893,14300.9494,34537.3083,25584.0854,27455.9441, 4729.1553,  481.8233,Total.SURVEY_LU1_1U1
 70.290818,114.825151, 33.238006, 52.819821,102.193817, 83.793665, 39.378256, 92.527682,109.924105, 81.370201,172.430664, 81.287353,  8.047371,  0.000000,  4.187844,  8.172661,  0.000000, 11.545638,  8.009301, 28.595864,  0.000000, 14.961251, 28.893569, 27.364762,  4.071429,  8.096411,Total.SURVEY_LU1_1U2
2642.44928,2363.24221,1932.65806,2393.33100,2770.58939,3574.41778,2419.71950,2022.27744,4953.75537,4068.63921,4574.84492,3215.41060, 357.36341, 493.03329,1028.15838,1206.52909,1062.49888, 964.62584,1841.22957,1945.68887,1723.96178,3619.85497,2203.73991,2468.76349, 564.23393,  70.90819,Total.SURVEY_LU1_1U3
 251.1402, 971.5468, 595.0053, 376.7905, 447.2236, 764.0098, 757.5655, 776.1327,2463.6658,8377.6612,7447.9977,9763.6655,4540.5965, 118.6691, 381.0405, 735.6180, 396.0086, 254.0562, 452.9173, 518.7729, 440.1555,1944.0365,2219.4068,1746.7963, 808.5646, 132.4342,Total.SURVEY_LU1_1U4
409.928764,322.173795,342.144240,349.478061,711.869085,429.278748,241.638637,427.664415,844.890895,393.399713,802.207402,538.122623, 33.003699,  8.143142,157.527225,137.255745, 89.374777,121.009301,255.731907,354.409007,354.725350,346.146741,226.530363,202.838403, 60.635780,  8.297649,Total.SURVEY_LC1_2A1
 990.78272, 757.97563, 650.87394, 736.46369, 942.26608,1169.67450, 972.72121, 712.63402,1464.77774,1675.56779,1378.31835,1087.91859, 133.56648, 229.32074, 504.78648, 656.05734, 465.29509, 487.59505, 882.22951, 894.97999, 724.90289,1619.90604,1187.95851,1231.17835, 177.75477,  32.70249,Total.SURVEY_LC1_2A2
 33.59540, 40.18519, 23.71688, 23.00364, 39.77048,137.16116, 34.50078, 29.04869,131.85489, 57.25704,148.49833, 36.42239,  4.13144, 36.49644, 12.11358, 71.38390,115.02198, 77.65758,159.97257, 33.35215, 51.12375, 86.45518, 68.28613, 92.65495, 12.01892,  0.00000,Total.SURVEY_LC1_2A3
3.860907,5.212478,0.000000,0.000000,0.000000,3.989998,0.000000,0.000000,0.000000,0.000000,7.479522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ax
  91.70981, 407.83630, 171.67726, 228.96948, 272.65355, 120.95396, 134.48947, 265.29396, 201.15293, 219.53344, 193.03265,  22.51738,   0.00000,1056.05348,7729.87042,3859.78397,6008.13911,8146.35452,8493.82588,5880.45805,5843.02734,7414.10028,5285.81470,4381.30028, 338.93616,  15.99271,Total.SURVEY_LC1_2B1
   0.000000,   0.000000,   0.000000,  16.398203,  17.745333,   0.000000,   0.000000,   0.000000,   4.444419,   0.000000,   0.000000,   0.000000,   0.000000, 217.694757, 359.294833,  41.837543, 394.597223,2682.080445, 794.715960,  46.454214, 165.443806,  77.791049,  20.306773,  79.694806,  23.006215,   0.000000,Total.SURVEY_LC1_2B2
  27.92643, 237.48996, 106.60517,  96.75886,  33.34857,  55.74370,   0.00000,  54.31425,  37.05012, 151.57009,  24.39147,   0.00000,   0.00000, 918.98106,2792.97952,1866.39887,1654.92899,1764.19534,2786.94399,1595.63313, 596.22427,3368.64862,2329.42236, 812.07165,  58.94425,   0.00000,Total.SURVEY_LC1_2B3
  0.000000, 28.027517, 20.189809,  0.000000, 11.121793, 18.236059,  4.164509, 13.582143,  0.000000, 29.403661,  0.000000,  0.000000,  0.000000, 44.012833, 64.451713, 34.988872,135.027262,442.939631,230.564069,168.864348,316.792206,290.895646,358.706157,149.179212,109.352325,  0.000000,Total.SURVEY_LC1_2B4
   7.972923,  38.588474,  75.197470,  65.391782,   0.000000,   8.000016, 223.414974,  25.805131, 135.272527,  46.280365, 117.397761,  17.355329,   0.000000, 346.798636, 957.725754,1397.885505, 750.297600, 468.986074,1654.617039,1655.220155,1125.200576,2105.688887,2883.188268,1845.517538, 312.245963,  19.954200,Total.SURVEY_LC1_2B5
  4.136105, 22.165058, 16.662747, 65.610794, 20.675186, 45.877842, 23.335089,  4.084856, 56.810630, 57.035288, 50.102558, 26.873461,  8.205790,  7.874000, 31.154964, 62.674069,244.027789, 50.651412,219.729789,141.995643, 67.676251,393.096613,513.600737,338.547655,312.567028, 20.666832,Total.SURVEY_LC1_2B7
   0.000000,  25.694128,  71.798169,   0.000000,   8.226642,  25.864731,  81.656145,   0.000000, 231.429399, 485.214124,  48.281488, 104.201053,  16.352307,   3.866963, 201.314586, 294.249678,   8.031094,  16.361109, 400.572621, 286.403086,   4.017736,1858.807716,2362.686806, 567.821790, 962.553693,  82.299286,Total.SURVEY_LC1_2B8
 706.31071,3628.21350,1872.54677,1851.58349,3171.60003,3749.90586,2418.98268,1753.13937,4938.30313,2004.11425,1000.78984, 774.29084,  52.12567,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_2Bx
 2380.1832, 5115.5859, 8405.0748, 2284.3287, 4033.3336, 8287.8280, 2451.1210, 2800.2830,12619.0593,17675.5849,10330.7074, 4592.6765, 2729.8691,  611.2357, 4541.0514, 5629.8126, 2403.3739, 1216.1516, 8553.8774, 1555.4525, 1963.6525, 6935.0209, 4091.9141, 4195.3078,  730.7629,  277.0755,Total.SURVEY_LC1_2C1
  37.427188, 545.413404,1195.872673, 191.252246,  96.506192, 656.752142, 449.024598, 234.045948,6729.764757,3053.884268,4300.697057,4156.676770, 542.430883,  12.785523,  58.175185, 668.203446, 132.050557,   6.296868, 694.224786, 113.209352,  83.466432,1787.124464, 657.186587,1816.587373, 543.228510,  33.319306,Total.SURVEY_LC1_2C2
 341.07039, 507.57063,1070.22844, 146.47488, 204.49317, 940.75279, 448.37113, 661.75999,1768.89688,2586.87562,4149.88701,4299.23053, 666.53921,  33.08034, 397.21905,1302.69470, 226.20931,  68.57038,1326.42088, 572.73683, 397.75170,1128.57208, 519.07024,2530.89299,1005.46330,  10.51309,Total.SURVEY_LC1_2C3
204.72317, 79.86409, 67.75866, 37.28346, 16.26168,157.91853, 38.14649, 37.36046,130.96970,720.74799,293.15544,545.65899, 71.03332,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Cx
  47.88817, 119.59318,  47.97635,  79.66343,  52.96842,  81.65689,  19.99649, 110.23125, 433.04806,1169.35210, 534.22072, 981.05191, 708.73428,  19.74901,  33.49387, 109.03617, 128.56494,  17.15555,  94.98174,  46.53974,  53.41503, 344.42913, 502.50275, 160.88257, 172.35337,  25.50855,Total.SURVEY_LC1_2D1
  55.37180, 178.29976, 335.35794,  93.00759, 175.54803, 140.06086, 120.38619, 191.21899, 726.30414,1991.01548,1005.01183,1322.62144,1676.67758,  14.09649,  36.31008, 101.61608,  69.60574,  32.37208, 202.48924,  57.02343,  78.67517, 200.06772, 365.60210, 332.41991, 129.04149,  32.09117,Total.SURVEY_LC1_2D2
