FR10.No,FRB0.No,FRC1.No,FRC2.No,FRD1.No,FRD2.No,FRE1.No,FRE2.No,FRF1.No,FRF2.No,FRF3.No,FRG0.No,FRH0.No,FRI1.No,FRI2.No,FRI3.No,FRJ1.No,FRJ2.No,FRK1.No,FRK2.No,FRL0.No,FRM0.No,FR10.Yes,FRB0.Yes,FRC1.Yes,FRC2.Yes,FRD1.Yes,FRD2.Yes,FRE1.Yes,FRE2.Yes,FRF1.Yes,FRF2.Yes,FRF3.Yes,FRG0.Yes,FRH0.Yes,FRI1.Yes,FRI2.Yes,FRI3.Yes,FRJ1.Yes,FRJ2.Yes,FRK1.Yes,FRK2.Yes,FRL0.Yes,FRM0.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 7560.6374,18568.1144,14802.4547, 6560.6125, 7075.6106, 4372.2896, 5189.3756, 8974.5045, 3547.5142,12624.5739, 7890.0107,13047.3531,11005.9333,25608.1595, 7673.7630,11428.9164,18979.2488,24230.6255,12040.7412,27394.3903,25732.9747, 8032.7379, 4509.3626,20960.8856,16951.5453, 9747.3875,10682.3894, 7982.7104, 7254.6244,10530.4955, 4781.4858,13095.4261,15778.9893,19328.6469,16465.0667,16195.8405, 9382.2370,14538.0836, 8663.7512,21372.3745,14131.2588,17567.6097, 6106.0253,  693.2621,Total.area
1438.16779,1125.54710, 657.32751, 359.40755, 647.13235, 461.81303,1019.76586, 674.13978, 388.07662, 561.63966, 790.38812,1248.86063,1169.34713,1455.13213, 295.17908, 691.21232,1096.84300,1029.38154, 491.37925,1845.12435,1662.46360, 170.70162, 273.96032, 674.42728, 508.21665, 356.48033, 442.07666, 227.61518, 372.23003, 314.03190, 337.41971, 529.29303, 431.22125,1282.74115,1130.75198, 812.42647, 417.84407, 822.23742, 544.27403, 938.50098, 626.13349, 900.53820, 250.40947,  41.00013,Total.SURVEY_LC1_1A
  838.05598, 4388.01494, 1937.12606,  397.55133, 1588.43705,  736.27556, 1138.94956, 2396.42154,  489.72813, 2013.93734, 1520.91670, 2886.04287, 2116.21972, 1929.91619,  636.70513, 3037.84184,  900.94706, 2092.20416,  583.37415,  850.62161,  945.23806,   76.68377, 2595.28173,12136.79178, 5675.98056, 1881.83794, 4759.34479, 4435.70428, 5274.64941, 8296.91912, 1855.38935, 7666.37239, 5059.20761, 9775.02862, 8118.38219, 5890.48466, 1452.84119, 8165.70296, 3764.82185, 9988.90396, 3083.14125, 5090.99169, 2117.60563,  138.91303,Total.SURVEY_LC1_1B
 2963.4040, 6248.4340, 6436.0404, 4302.8942, 1654.7379, 1004.6014, 1076.4221, 3274.1726, 1885.9781, 5532.3340, 2624.9393, 3386.6632, 3733.4494,14852.8229, 3826.5225, 2569.3453,11188.6014,12848.4914, 5638.0887,13436.3582,13594.2428, 4009.8725,  657.1016, 4996.4456, 4175.4503, 3425.2604, 1146.6709, 1614.9629,  557.6281,  733.3907, 1677.0794, 1857.4894, 7039.9543, 2241.3987, 2444.8706, 4577.1478, 2980.7931, 2292.7765, 1866.6463, 3401.5246, 2960.5258, 5582.2623, 2279.4547,  320.9079,Total.SURVEY_LC1_1C
 103.25997, 301.78000, 334.37692,  61.59567, 113.67067,  59.00036, 121.23671, 107.27974,  58.61967,  88.37034,  74.72775, 169.42517, 301.45023, 843.29552, 164.58861, 151.46807,2428.20621, 736.98166, 362.69279,1176.53976,2307.88032,2385.41186,  33.84551,  69.80395,  68.95513, 141.69712,  97.98738, 100.18330,  18.95307,  30.57456,  20.00069,  40.57775, 236.89255, 103.56317, 132.09020, 316.21967, 126.16314, 102.11404, 578.18897, 289.91588, 332.89642, 160.40606, 301.39486,  57.59972,Total.SURVEY_LC1_1D
1005.7586,3826.7593,4120.8526,1205.5082,2508.9213,1678.3952,1564.9477,1489.1271, 484.9416,1768.0143,2065.8820,4017.8573,2462.3566,4794.8621,2395.5084,3089.9352,2499.8265,5282.1424,4224.2673,6636.6657,3707.4752, 646.4854, 570.9103,2754.0463,5232.3324,3715.3220,4137.9957,1117.7034, 972.3567, 895.9675, 859.9187,2492.2886,2910.3046,5612.4789,4439.7305,4351.4455,4292.2913,2663.5901,1824.3869,6461.9959,6805.6814,5578.0662,1050.6061, 112.6279,Total.SURVEY_LC1_1E
1098.927748,2073.814407,1098.054181, 112.638623, 455.760214, 333.636617, 189.201672, 888.784900, 135.295860,2446.303437, 609.979824, 826.215864,1055.080456,1267.356695, 134.192337,1642.002927, 473.071929,1899.308241, 630.905216,2397.188559,2740.515592, 715.321435, 347.118691, 256.653960,1222.238844, 190.389074,  86.259675, 451.192107,  22.765782, 213.190715,   4.002292, 481.471633,  38.728927, 115.624238, 135.554921, 140.009509,  31.927473, 424.007784,  36.513362, 217.020930, 254.875971, 151.973368,  63.118166,  14.189656,Total.SURVEY_LC1_1F
 109.108241, 583.612962, 214.618247, 101.072801,  80.536341,  82.286020,  74.805089, 116.202484, 104.874186, 213.974789, 175.171678, 388.871802, 134.210148, 420.798244, 205.225527, 178.792745, 205.158303, 342.116096,  98.209254,1024.181059, 511.859735,  16.133438,  31.144556,  68.208454,  64.255065,  20.197416,  12.054278,  31.308562,  36.041331,  46.421068,  19.799007,  27.933271,  50.712020, 187.756113,  39.865326, 100.051045,  68.336502,  59.621194,  40.746399,  74.512271,  48.261241,  99.328042,  27.843795,   8.023833,Total.SURVEY_LC1_1G
  3.955042, 20.151667,  4.058764, 19.944156, 26.414804, 16.281352,  4.046924, 28.376280,  0.000000,  0.000000, 28.005260,123.416274, 33.819575, 43.975758, 15.841450, 68.318011,186.594457,  0.000000, 11.824486, 27.710956,263.299450, 12.127876,  0.000000,  4.508206,  4.116291, 16.203178,  0.000000,  4.040753,  0.000000,  0.000000,  7.876650,  0.000000, 11.968101, 10.055980, 23.820954,  8.055773, 12.040198,  8.033649,  8.173348,  0.000000, 19.743199,  4.043937, 15.592531,  0.000000,Total.SURVEY_LC1_1H
