No,Yes,variable
32659.53,23934.47,Total.area
747.4842,987.8356,Total.SURVEY_LC1_1A
2126.211,6018.310,Total.SURVEY_LC1_1B
19885.701, 7188.547,Total.SURVEY_LC1_1C
4774.368,2395.236,Total.SURVEY_LC1_1D
3066.468,6433.314,Total.SURVEY_LC1_1E
1457.5207, 802.8735,Total.SURVEY_LC1_1F
420.28232, 95.94811,Total.SURVEY_LC1_1G
181.49120, 12.40987,Total.SURVEY_LC1_1H
17727.87,15541.25,Total.SURVEY_LU1_1U1
44.06934,27.66819,Total.SURVEY_LU1_1U2
1494.731,1498.940,Total.SURVEY_LU1_1U3
13392.861, 6866.619,Total.SURVEY_LU1_1U4
305.1561,208.2143,Total.SURVEY_LC1_2A1
403.9185,740.2662,Total.SURVEY_LC1_2A2
38.40957,39.35519,Total.SURVEY_LC1_2A3
 297.9422,3394.9033,Total.SURVEY_LC1_2B1
  0.000,158.711,Total.SURVEY_LC1_2B2
 56.05776,885.37640,Total.SURVEY_LC1_2B3
 0.00000,77.74216,Total.SURVEY_LC1_2B4
 23.70276,472.33556,Total.SURVEY_LC1_2B5
 43.38137,577.62950,Total.SURVEY_LC1_2B7
250.2390,451.6119,Total.SURVEY_LC1_2B8
1454.888,   0.000,Total.SURVEY_LC1_2Bx
15559.670, 5886.511,Total.SURVEY_LC1_2C1
1733.450, 438.786,Total.SURVEY_LC1_2C2
2592.5808, 863.2497,Total.SURVEY_LC1_2C3
1953.501,1453.112,Total.SURVEY_LC1_2D1
2816.5918, 942.1245,Total.SURVEY_LC1_2D2
4.275766,0.000000,Total.SURVEY_LC1_2Dx
1113.149,1404.474,Total.SURVEY_LC1_2E1
1512.107,3767.991,Total.SURVEY_LC1_2E2
 441.2119,1260.8488,Total.SURVEY_LC1_2E3
365.57697, 58.97065,Total.SURVEY_LC1_2F1
20.887984, 3.946122,Total.SURVEY_LC1_2F2
1071.0557, 739.9567,Total.SURVEY_LC1_2F4
192.08973, 11.09679,Total.SURVEY_LC1_2G1
215.95208, 80.84946,Total.SURVEY_LC1_2G2
0.000000,4.001862,Total.SURVEY_LC1_2G3
12.24051, 0.00000,Total.SURVEY_LC1_2G4
160.02709, 12.40987,Total.SURVEY_LC1_2H1
21.4641, 0.0000,Total.SURVEY_LC1_2H2
 4117.454,11042.677,Total.SURVEY_LU1_2U11
13487.767, 4473.363,Total.SURVEY_LU1_2U12
101.05735, 15.21348,Total.SURVEY_LU1_2U13
16.179979, 4.251491,Total.SURVEY_LU1_2U14
5.407168,5.742209,Total.SURVEY_LU1_2U15
15.757420, 7.681013,Total.SURVEY_LU1_2U21
28.31192,19.98718,Total.SURVEY_LU1_2U22
398.5222,744.7757,Total.SURVEY_LU1_2U31
24.68336,34.17118,Total.SURVEY_LU1_2U32
17.76946,16.47121,Total.SURVEY_LU1_2U33
82.98506,56.80258,Total.SURVEY_LU1_2U34
147.06695, 53.35032,Total.SURVEY_LU1_2U35
171.50414, 93.25601,Total.SURVEY_LU1_2U36
652.1993,500.1128,Total.SURVEY_LU1_2U37
131.2639,101.9632,Total.SURVEY_LU1_2U41
13261.597, 6764.656,Total.SURVEY_LU1_2U42
279.1489,196.0324,Total.SURVEY_LC1_3A11
26.00725, 0.00000,Total.SURVEY_LC1_3A12
 0.00000,12.18191,Total.SURVEY_LC1_3A13
275.9969,204.1170,Total.SURVEY_LC1_3A21
127.9217,536.1492,Total.SURVEY_LC1_3A22
38.40957,39.35519,Total.SURVEY_LC1_3A30
 12.30858,562.72016,Total.SURVEY_LC1_3B11
 0.00000,21.71418,Total.SURVEY_LC1_3B12
  0.0000,238.2372,Total.SURVEY_LC1_3B13
0.000000,5.001925,Total.SURVEY_LC1_3B14
 0.00000,88.08734,Total.SURVEY_LC1_3B15
 285.6336,2417.2268,Total.SURVEY_LC1_3B16
 0.00000,24.63974,Total.SURVEY_LC1_3B18
 0.00000,37.27596,Total.SURVEY_LC1_3B19
 0.00000,97.16054,Total.SURVEY_LC1_3B21
 0.00000,61.55045,Total.SURVEY_LC1_3B22
  0.0000,352.3594,Total.SURVEY_LC1_3B31
 8.084512,53.723388,Total.SURVEY_LC1_3B32
 47.97325,435.68294,Total.SURVEY_LC1_3B33
 0.00000,15.09733,Total.SURVEY_LC1_3B36
 0.00000,28.51331,Total.SURVEY_LC1_3B37
 0.00000,19.49591,Total.SURVEY_LC1_3B41
 0.00000,58.24625,Total.SURVEY_LC1_3B43
 0.00000,52.68493,Total.SURVEY_LC1_3B51
  0.000,103.147,Total.SURVEY_LC1_3B52
 0.00000,27.91128,Total.SURVEY_LC1_3B53
 23.70276,288.59237,Total.SURVEY_LC1_3B55
18.59935,92.85817,Total.SURVEY_LC1_3B71
 0.00000,32.00085,Total.SURVEY_LC1_3B72
 8.343541,21.655851,Total.SURVEY_LC1_3B73
  4.061215,185.932162,Total.SURVEY_LC1_3B74
 12.37727,241.14702,Total.SURVEY_LC1_3B75
0.000000,4.035446,Total.SURVEY_LC1_3B77
213.6665,215.8852,Total.SURVEY_LC1_3B81
 32.2787,218.3121,Total.SURVEY_LC1_3B82
4.293837,6.045636,Total.SURVEY_LC1_3B83
 0.00000,11.36894,Total.SURVEY_LC1_3B84
1339.673,   0.000,Total.SURVEY_LC1_3Bx1
115.2149,  0.0000,Total.SURVEY_LC1_3Bx2
15559.670, 5886.511,Total.SURVEY_LC1_3C10
428.67651, 63.93119,Total.SURVEY_LC1_3C21
767.7678,338.4035,Total.SURVEY_LC1_3C22
139.89237, 36.45131,Total.SURVEY_LC1_3C23
397.113,  0.000,Total.SURVEY_LC1_3C2x
346.4659,148.7457,Total.SURVEY_LC1_3C31
224.1263,201.1901,Total.SURVEY_LC1_3C32
1109.9069, 513.3139,Total.SURVEY_LC1_3C33
912.0816,  0.0000,Total.SURVEY_LC1_3C3x
1953.501,1453.112,Total.SURVEY_LC1_3D10
2816.5918, 942.1245,Total.SURVEY_LC1_3D20
4.275766,0.000000,Total.SURVEY_LC1_3Dxx
1113.149,1404.474,Total.SURVEY_LC1_3E10
1512.107,3767.991,Total.SURVEY_LC1_3E20
 441.2119,1260.8488,Total.SURVEY_LC1_3E30
365.57697, 58.97065,Total.SURVEY_LC1_3F10
20.887984, 3.946122,Total.SURVEY_LC1_3F20
1071.0557, 739.9567,Total.SURVEY_LC1_3F40
192.08973, 11.09679,Total.SURVEY_LC1_3G11
215.95208, 80.84946,Total.SURVEY_LC1_3G21
0.000000,4.001862,Total.SURVEY_LC1_3G30
12.24051, 0.00000,Total.SURVEY_LC1_3G40
160.02709, 12.40987,Total.SURVEY_LC1_3H11
13.46038, 0.00000,Total.SURVEY_LC1_3H21
8.003723,0.000000,Total.SURVEY_LC1_3H22
 3982.497,10365.740,Total.SURVEY_LU1_3U111
 12.39677,485.43921,Total.SURVEY_LU1_3U112
122.5601,191.4982,Total.SURVEY_LU1_3U113
13487.767, 4473.363,Total.SURVEY_LU1_3U120
101.05735, 15.21348,Total.SURVEY_LU1_3U130
16.179979, 4.251491,Total.SURVEY_LU1_3U140
5.407168,5.742209,Total.SURVEY_LU1_3U150
15.757420, 7.681013,Total.SURVEY_LU1_3U210
10.034735, 3.890977,Total.SURVEY_LU1_3U221
10.31244, 0.00000,Total.SURVEY_LU1_3U223
3.942217,0.000000,Total.SURVEY_LU1_3U224
 4.022534,12.158407,Total.SURVEY_LU1_3U226
0.000000,3.937795,Total.SURVEY_LU1_3U227
13.912328, 9.414406,Total.SURVEY_LU1_3U311
185.5585,609.2180,Total.SURVEY_LU1_3U312
117.40912, 32.86062,Total.SURVEY_LU1_3U313
21.390535, 5.445721,Total.SURVEY_LU1_3U314
 8.869989,17.082594,Total.SURVEY_LU1_3U317
27.23646,44.23565,Total.SURVEY_LU1_3U318
24.14532,26.51865,Total.SURVEY_LU1_3U319
 8.003723,29.536930,Total.SURVEY_LU1_3U321
16.679638, 4.634246,Total.SURVEY_LU1_3U322
17.76946,16.47121,Total.SURVEY_LU1_3U330
82.98506,56.80258,Total.SURVEY_LU1_3U341
147.06695, 53.35032,Total.SURVEY_LU1_3U350
122.06049, 63.12501,Total.SURVEY_LU1_3U361
49.44366,30.13100,Total.SURVEY_LU1_3U362
652.1993,500.1128,Total.SURVEY_LU1_3U370
13.44764,10.32891,Total.SURVEY_LU1_3U411
26.00725, 0.00000,Total.SURVEY_LU1_3U412
4.544505,0.000000,Total.SURVEY_LU1_3U413
28.13800,59.99646,Total.SURVEY_LU1_3U414
59.12648,31.63780,Total.SURVEY_LU1_3U415
13261.597, 6764.656,Total.SURVEY_LU1_3U420
31313.22,22422.64,Total.settlement0
1346.310,1511.837,Total.settlement1
0.3496096,0.3925939,Total.settl_pc
10187.55,14500.08,Total.fao_class_name0
19721.373, 7253.354,Total.fao_class_name1
2419.549,1608.725,Total.fao_class_name2
331.051,572.314,Total.fao_class_name3
31605.77,23230.95,Total.lue0
1053.7555, 703.5217,Total.lue1
32158.30,23107.14,Total.lud0
501.2244,827.3377,Total.lud1
389.0481,385.2326,SE.Total.area
71.10321,61.62631,SE.Total.SURVEY_LC1_1A
159.6786,193.5365,SE.Total.SURVEY_LC1_1B
