HU1.No,HU2.No,HU3.No,HU1.Yes,HU2.Yes,HU3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
 2831.583,15714.980,23613.697, 4084.417,20896.020,25871.303,Total.area
 483.3723, 826.0822,1080.6082, 153.1798, 528.3147, 646.7946,Total.SURVEY_LC1_1A
  607.0893, 4931.6823, 8197.1333, 1530.6554, 9839.7089,14164.8779,Total.SURVEY_LC1_1B
 964.5328,5835.4745,6108.8957,1444.6982,5899.5884,5113.1293,Total.SURVEY_LC1_1C
 51.10323,250.20873,385.78664, 77.43615,236.52806,566.48643,Total.SURVEY_LC1_1D
 496.1074,2097.6104,5810.2748, 744.5289,2726.8490,4264.3192,Total.SURVEY_LC1_1E
  39.94045, 532.22536,1047.10577, 104.25521,1454.31828, 913.29541,Total.SURVEY_LC1_1F
149.27815,993.28051,538.38513, 12.60685, 64.04751, 56.29272,Total.SURVEY_LC1_1G
 40.15953,248.41564,445.50754, 17.05643,146.66548,146.10729,Total.SURVEY_LC1_1H
 1593.555,12423.537,19577.637, 3469.991,18301.210,23027.738,Total.SURVEY_LU1_1U1
49.841111,75.846302,55.013162, 7.981488,33.983740,30.545520,Total.SURVEY_LU1_1U2
 963.7758,2234.5580,2466.7582, 338.7359,1149.2299,1117.5376,Total.SURVEY_LU1_1U3
 224.4112, 981.0382,1514.2883, 267.7084,1411.5970,1695.4814,Total.SURVEY_LU1_1U4
207.68558,310.28793,427.31398, 70.96381, 91.86762, 89.08840,Total.SURVEY_LC1_2A1
270.0282,486.7286,622.3663, 78.3035,407.1653,504.9208,Total.SURVEY_LC1_2A2
 5.658483,29.065683,30.927950, 3.912483,29.281793,52.785408,Total.SURVEY_LC1_2A3
   0.0000,1160.6263, 258.6260, 872.9215,6478.3715,9730.9908,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  8.654465,129.087725,Total.SURVEY_LC1_2B2
  83.50578, 186.62365, 336.73206, 523.74998,2254.44569,2888.34750,Total.SURVEY_LC1_2B3
  0.000000,  8.510312, 15.642702,  0.000000, 13.310768,156.255190,Total.SURVEY_LC1_2B4
  5.506040,  4.789838, 12.295066, 37.541989,557.541904,617.162416,Total.SURVEY_LC1_2B5
 23.09386, 81.76892, 95.71832, 70.19332,276.88654,402.48127,Total.SURVEY_LC1_2B7
  7.88201, 63.14287, 73.37682, 26.24861,250.49808,240.55294,Total.SURVEY_LC1_2B8
 487.1016,3426.2205,7404.7423,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
 887.0082,4922.1394,5745.9743,1286.7590,5156.3987,4890.7907,Total.SURVEY_LC1_2C1
 73.61209,241.79897,265.04283, 82.62376,248.23169,166.45515,Total.SURVEY_LC1_2C2
  3.912483,671.536194, 97.878632, 75.315418,494.958034, 55.883466,Total.SURVEY_LC1_2C3
 16.13981,159.32423,166.76830, 56.96903,142.87670,353.35396,Total.SURVEY_LC1_2D1
 34.96342, 90.88450,215.15709, 20.46712, 93.65135,213.13247,Total.SURVEY_LC1_2D2
0.000000,0.000000,3.861248,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
 69.34692,300.95198,344.88564, 43.58179,256.49495,541.84269,Total.SURVEY_LC1_2E1
 386.6105,1617.2127,5170.1722, 416.6471,1644.3634,2653.9545,Total.SURVEY_LC1_2E2
  40.14994, 179.44573, 295.21691, 284.29998, 825.99060,1068.52206,Total.SURVEY_LC1_2E3
0.000000,3.913089,8.646157,3.896254,0.000000,0.000000,Total.SURVEY_LC1_2F2
  39.94045, 528.31227,1038.45961, 100.35895,1454.31828, 913.29541,Total.SURVEY_LC1_2F4
 45.071668,877.293610,360.873224,  4.060065, 20.150798, 20.213416,Total.SURVEY_LC1_2G1
104.206482,115.986897,177.511906,  8.546788, 43.896716, 36.079308,Total.SURVEY_LC1_2G2
 40.15953,248.41564,445.50754, 17.05643,146.66548,146.10729,Total.SURVEY_LC1_2H1
  877.2884, 6927.3425,14165.4650, 2214.8073,13185.0700,18622.6337,Total.SURVEY_LU1_2U11
 671.2385,5309.4084,5140.7008,1255.1838,5103.9835,4383.6250,Total.SURVEY_LU1_2U12
  8.120131,158.161894,215.588111,  0.000000,  7.952587, 17.441163,Total.SURVEY_LU1_2U13
36.907986,24.447516,48.844012, 0.000000, 0.000000, 4.038527,Total.SURVEY_LU1_2U14
