HU11.No,HU12.No,HU21.No,HU22.No,HU23.No,HU31.No,HU32.No,HU33.No,HU11.Yes,HU12.Yes,HU21.Yes,HU22.Yes,HU23.Yes,HU31.Yes,HU32.Yes,HU33.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 354.1739,2477.4092,5384.9997,4791.7173,5538.2627,5864.6231,8360.7372,9388.3369, 170.8261,3913.5908,5701.0003,6536.2827,8658.7373,7561.3769,9362.2628,8947.6631,Total.area
173.87734,309.49495,346.69611,242.82123,236.56489,195.69871,491.83285,393.07669, 18.77394,134.40585,173.78358,172.69054,181.84058,208.07093,223.43581,215.28790,Total.SURVEY_LC1_1A
  15.68300, 591.40630,2067.22670,1288.72660,1575.72901,1262.39342,3065.53243,3869.20744,  30.77378,1499.88160,2323.05096,3675.47822,3841.17971,3047.39375,5970.74539,5146.73872,Total.SURVEY_LC1_1B
  76.37248, 888.16030,1225.12982,2312.35864,2297.98607,2555.05532,1584.98285,1968.85757,  62.11103,1382.58716,1940.76495,1632.78461,2326.03885,2171.96183,1645.82227,1295.34519,Total.SURVEY_LC1_1C
 16.64600, 34.45723, 86.52773, 77.66249, 86.01851,140.20448,144.13765,101.44452, 15.15875, 62.27740, 86.17613, 42.04119,108.31074,443.20886, 57.90470, 65.37287,Total.SURVEY_LC1_1D
  47.71173, 448.39564, 848.43103, 593.41298, 655.76640,1312.41534,2284.28634,2213.57310,  40.15966, 704.36925, 910.92555, 891.80138, 924.12203,1248.39742,1347.71061,1668.21117,Total.SURVEY_LC1_1E
   8.472196,  31.468249, 337.485540,  20.162922, 174.576893, 188.216764, 384.772216, 474.116791,   0.000000, 104.255207, 208.940910,  19.254066,1226.123302, 381.719503,  47.423700, 484.152202,Total.SURVEY_LC1_1F
 15.411117,133.867034,407.116319,126.397456,459.766731,126.830526,212.464474,199.090129,  3.848981,  8.757872, 11.678223, 48.192399,  4.176892,  8.339023, 16.224998, 31.728703,Total.SURVEY_LC1_1G
  0.00000, 40.15953, 66.38649,130.17498, 51.85417, 83.80850,192.72841,168.97063,  0.00000, 17.05643, 45.67998, 54.04029, 46.94521, 52.28562, 52.99530, 40.82637,Total.SURVEY_LC1_1H
  23.30020,1570.25483,4134.83766,3867.60850,4421.09109,4576.46828,6981.59404,8019.57516,  87.40101,3382.59007,4714.60660,5744.44593,7842.15710,6431.02461,8442.19599,8154.51777,Total.SURVEY_LU1_1U1
18.098935,31.742175,50.603532,13.004685,12.238086,12.128289,22.348586,20.536287, 0.000000, 7.981488, 3.948752,24.968660, 5.066329,18.330621, 3.942056, 8.272842,Total.SURVEY_LU1_1U2
295.46137,668.31438,903.61952,579.34703,751.59145,841.73786,817.26941,807.75091, 45.08243,293.65350,349.98354,426.42959,372.81681,306.09869,376.89997,434.53895,Total.SURVEY_LU1_1U3
 17.31335,207.09785,295.93901,331.75710,353.34206,434.28863,539.52518,540.47451, 38.34271,229.36571,632.46138,340.43851,438.69707,805.92303,539.22476,350.33357,Total.SURVEY_LU1_1U4
 59.97159,147.71399,127.48779, 80.10810,102.69204, 97.10475,133.37957,196.82966, 14.98985, 55.97396, 30.62392, 39.49174, 21.75196, 16.00972, 38.33731, 34.74138,Total.SURVEY_LC1_2A1
108.247262,161.780958,210.945166,149.769561,126.013890, 94.533942,335.520104,192.312272,  3.784092, 74.519411,138.768172,116.646363,151.750745,182.482411,150.086971,172.351454,Total.SURVEY_LC1_2A2
 5.658483, 0.000000, 8.263152,12.943575, 7.858956, 4.060012,22.933173, 3.934766, 0.000000, 3.912483, 4.391486,16.552436, 8.337871, 9.578807,35.011533, 8.195068,Total.SURVEY_LC1_2A3
   0.000000,   0.000000, 216.540322, 398.635159, 545.450791,   7.979564, 122.283455, 128.363030,  14.968509, 857.952962,1569.453518,2703.067065,2205.850873,2181.058313,4123.670556,3426.261952,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.444795,  4.209670, 17.933377,111.154347,  0.000000,Total.SURVEY_LC1_2B2
   0.000000,  83.505782,  58.878031, 127.745620,   0.000000, 152.072067, 120.478476,  64.181515,   3.742127, 520.007853, 463.146383, 664.901650,1126.397654, 542.688460,1028.377927,1317.281114,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  4.512859,  3.997453,  0.000000, 15.642702,  0.000000,  0.000000,  0.000000,  0.000000,  3.948752,  9.362016,  0.000000, 17.698861,117.523369, 21.032961,Total.SURVEY_LC1_2B4
  0.000000,  5.506040,  4.789838,  0.000000,  0.000000,  0.000000,  4.174532,  8.120534,  0.000000, 37.541989,109.612614,147.718270,300.211021, 51.989712,353.401179,211.771525,Total.SURVEY_LC1_2B5
  0.000000, 23.093858, 34.496446, 25.872238, 21.400234, 52.870100, 11.929688, 30.918530,  8.352311, 61.841013, 83.442798, 93.077599,100.366138,111.060296,219.756745, 71.664227,Total.SURVEY_LC1_2B7
  3.710834,  4.171175, 19.629099, 13.817460, 29.696311, 19.354799, 12.249285, 41.772732,  3.710834, 22.537780, 93.446890, 52.906828,104.144358,124.964733, 16.861271, 98.726939,Total.SURVEY_LC1_2B8
  11.97217, 475.12945,1728.38011, 718.65867, 979.18168,1014.47419,2794.41699,3595.85110,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_2Bx
  76.37248, 810.63573,1096.18509,1695.87280,2130.08147,2555.05532,1518.94857,1671.97040,  58.62735,1228.13166,1920.89736,1099.15910,2136.34223,2143.04172,1610.91491,1136.83404,Total.SURVEY_LC1_2C1
  0.000000, 73.612085,  3.948752,237.850220,  0.000000,  0.000000, 53.249753,211.793072,  0.000000, 82.623758,  8.031068,198.247161, 41.953461, 21.040135, 18.496994,126.918022,Total.SURVEY_LC1_2C2
  0.000000,  3.912483,124.995977,378.635617,167.904599,  0.000000, 12.784533, 85.094099,  3.483676, 71.831742, 11.836520,335.378354,147.743160,  7.879973, 16.410361, 31.593131,Total.SURVEY_LC1_2C3
  8.045792,  8.094019, 58.724373, 47.478863, 53.120992, 78.167663, 60.031799, 28.568839,  7.494926, 49.474100, 65.220592, 16.324960, 61.331149,269.021003, 32.701679, 51.631280,Total.SURVEY_LC1_2D1
  8.600208, 26.363215, 27.803354, 30.183631, 32.897517, 58.175566, 84.105849, 72.875680,  7.663822, 12.803299, 20.955536, 25.716227, 46.979593,174.187854, 25.203023, 13.741594,Total.SURVEY_LC1_2D2
0.000000,0.000000,0.000000,0.000000,0.000000,3.861248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
 12.61348, 56.73344,136.42876, 65.05866, 99.46456, 81.02705,130.14388,133.71471, 11.36916, 32.21263,121.46329, 38.80409, 96.22758,259.29658,123.45007,159.09604,Total.SURVEY_LC1_2E1
