IE0.No,IE0.Yes,variable
No,Yes,flag_two
39018.2,30928.8,Total.area
1042.135,2216.120,Total.SURVEY_LC1_1A
 853.3338,2751.0131,Total.SURVEY_LC1_1B
6046.537,2981.768,Total.SURVEY_LC1_1C
7046.029,1254.591,Total.SURVEY_LC1_1D
20981.75,20709.70,Total.SURVEY_LC1_1E
562.5962,210.1239,Total.SURVEY_LC1_1F
1468.0215, 132.6326,Total.SURVEY_LC1_1G
1017.7949, 672.8528,Total.SURVEY_LC1_1H
24686.48,24447.47,Total.SURVEY_LU1_1U1
50.70816,17.37209,Total.SURVEY_LU1_1U2
2354.284,2957.143,Total.SURVEY_LU1_1U3
11926.722, 3506.824,Total.SURVEY_LU1_1U4
288.1569,509.5788,Total.SURVEY_LC1_2A1
 742.2614,1677.6083,Total.SURVEY_LC1_2A2
11.71646,28.93286,Total.SURVEY_LC1_2A3
  39.13425,1924.35880,Total.SURVEY_LC1_2B1
  7.741915,155.550220,Total.SURVEY_LC1_2B2
 20.9533,106.8985,Total.SURVEY_LC1_2B3
 0.00000,93.99469,Total.SURVEY_LC1_2B4
 78.71699,449.71229,Total.SURVEY_LC1_2B5
 4.09086,12.05032,Total.SURVEY_LC1_2B7
11.575938, 8.448196,Total.SURVEY_LC1_2B8
691.1206,  0.0000,Total.SURVEY_LC1_2Bx
2242.522,1919.451,Total.SURVEY_LC1_2C1
3467.4621, 787.7652,Total.SURVEY_LC1_2C2
324.5783,274.5512,Total.SURVEY_LC1_2C3
11.97437, 0.00000,Total.SURVEY_LC1_2Cx
254.0411,288.0685,Total.SURVEY_LC1_2D1
6791.9878, 966.5227,Total.SURVEY_LC1_2D2
195.8897,676.6095,Total.SURVEY_LC1_2E1
20644.10,19809.68,Total.SURVEY_LC1_2E2
141.7567,223.4185,Total.SURVEY_LC1_2E3
208.14586, 27.19714,Total.SURVEY_LC1_2F1
15.5452, 0.0000,Total.SURVEY_LC1_2F2
338.9051,182.9268,Total.SURVEY_LC1_2F4
1289.83859,  48.88993,Total.SURVEY_LC1_2G1
164.10843, 83.74267,Total.SURVEY_LC1_2G2
8.06859,0.00000,Total.SURVEY_LC1_2G3
6.005867,0.000000,Total.SURVEY_LC1_2G4
971.0474,668.7949,Total.SURVEY_LC1_2H1
46.747492, 4.057874,Total.SURVEY_LC1_2H2
19437.79,23119.21,Total.SURVEY_LU1_2U11
5009.165,1140.803,Total.SURVEY_LU1_2U12
7.169051,0.000000,Total.SURVEY_LU1_2U13
227.8118,183.4470,Total.SURVEY_LU1_2U14
4.546367,4.002968,Total.SURVEY_LU1_2U15
16.78188, 0.00000,Total.SURVEY_LU1_2U21
33.92628,17.37209,Total.SURVEY_LU1_2U22
 473.5616,1111.5594,Total.SURVEY_LU1_2U31
32.71731,27.60626,Total.SURVEY_LU1_2U32
20.25905,86.76454,Total.SURVEY_LU1_2U33
