IE04.No,IE05.No,IE06.No,IE04.Yes,IE05.Yes,IE06.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
17626.887,14000.965, 7390.344, 8169.113,15684.035, 7075.656,Total.area
 249.7044, 321.9882, 470.4421, 449.6362,1215.4483, 551.0355,Total.SURVEY_LC1_1A
  24.61350, 325.24045, 503.47987,  59.80866,1601.30575,1089.89864,Total.SURVEY_LC1_1B
2314.0518,2529.2014,1203.2838, 823.6590,1621.5587, 536.5499,Total.SURVEY_LC1_1C
3995.6043,2392.9612, 657.4635, 498.3664, 603.0305, 153.1943,Total.SURVEY_LC1_1D
 9381.358, 7706.932, 3893.458, 5793.699,10367.402, 4548.602,Total.SURVEY_LC1_1E
 74.52927,393.62208, 94.44481, 31.65873,114.74425, 63.72091,Total.SURVEY_LC1_1F
976.58992,246.84031,244.59125, 61.98341, 42.73642, 27.91277,Total.SURVEY_LC1_1G
610.43574, 84.17902,323.18017,450.30103,117.80942,104.74234,Total.SURVEY_LC1_1H
10027.881, 9437.228, 5221.372, 6137.028,12648.194, 5662.244,Total.SURVEY_LU1_1U1
 4.638207,13.864276,32.205676, 6.520953, 6.542841, 4.308299,Total.SURVEY_LU1_1U2
 951.0404, 627.3773, 775.8667, 610.8157,1448.3013, 898.0257,Total.SURVEY_LU1_1U3
6643.3277,3922.4954,1360.8994,1414.7483,1580.9972, 511.0788,Total.SURVEY_LU1_1U4
 31.3079,107.8780,148.9710,102.0458,258.2779,149.2551,Total.SURVEY_LC1_2A1
210.3648,214.1102,317.7864,341.2101,939.4043,396.9938,Total.SURVEY_LC1_2A2
 8.031741, 0.000000, 3.684720, 6.380308,17.766014, 4.786537,Total.SURVEY_LC1_2A3
   4.096601,  12.615064,  22.422583,  35.629617,1081.404794, 807.324394,Total.SURVEY_LC1_2B1
 0.000000, 3.684041, 4.057874, 8.154384,78.791056,68.604779,Total.SURVEY_LC1_2B2
 0.000000, 8.410043,12.543257, 0.000000,57.911018,48.987514,Total.SURVEY_LC1_2B3
 0.00000, 0.00000, 0.00000, 0.00000,40.26723,53.72746,Total.SURVEY_LC1_2B4
  0.00000, 30.78524, 47.93176, 16.02466,326.95867,106.72895,Total.SURVEY_LC1_2B5
 0.00000, 0.00000, 4.09086, 0.00000,12.05032, 0.00000,Total.SURVEY_LC1_2B7
3.801380,3.819439,3.955119,0.000000,3.922651,4.525545,Total.SURVEY_LC1_2B8
 16.71552,265.92663,408.47842,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Bx
 813.9369, 881.9555, 546.6298, 572.9141,1015.7751, 330.7619,Total.SURVEY_LC1_2C1
1445.9431,1403.5337, 617.9852, 184.6555, 502.4229, 100.6869,Total.SURVEY_LC1_2C2
