ITC.No,ITF.No,ITG.No,ITH.No,ITI.No,ITC.Yes,ITF.Yes,ITG.Yes,ITH.Yes,ITI.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
33076.54,37791.66,31394.38,29630.06,35177.95,24851.46,36008.34,18544.62,32751.94,22846.05,Total.area
2417.512,2319.876,1397.873,2405.178,1892.107,1891.059,2335.877,1321.620,2145.426,1693.872,Total.SURVEY_LC1_1A
 2357.722, 5722.532, 3494.566, 2385.302, 5662.582,11257.385,18839.116, 8375.603,16705.443,10509.484,Total.SURVEY_LC1_1B
15947.976,18686.041,11043.263,15948.960,21076.196, 6092.128, 5085.455, 1911.858, 6845.244, 5336.759,Total.SURVEY_LC1_1C
1768.0434,3339.3137,6160.3549,1514.5929,1259.5605, 392.0905,1685.2965,1486.1352, 511.2473, 666.0396,Total.SURVEY_LC1_1D
5338.635,5308.132,7014.535,4062.491,3907.405,4527.511,6112.416,4787.953,5769.778,3946.630,Total.SURVEY_LC1_1E
3872.1688,1924.3447,1897.3466,2421.2746, 784.0813, 320.4486,1762.6424, 455.4228, 197.6338, 525.7545,Total.SURVEY_LC1_1F
1354.7238, 381.0831, 302.6843, 819.1266, 535.5768, 358.7193, 140.1303, 166.8971, 552.6598, 142.1989,Total.SURVEY_LC1_1G
 19.75846,110.33660, 83.76143, 73.13452, 60.44254, 12.11926, 47.40872, 39.12635, 24.50715, 25.31181,Total.SURVEY_LC1_1H
12180.42,20957.92,15158.98,13556.23,24710.50,18784.99,27201.47,13749.51,26319.19,17183.73,Total.SURVEY_LU1_1U1
386.72995,235.18373,133.86493,197.13349,170.28826, 69.65642, 17.87165, 25.85248, 86.30121, 48.81369,Total.SURVEY_LU1_1U2
4078.879,2760.896,1746.050,3529.329,2921.076,2442.092,2441.419,1304.607,3330.857,2352.402,Total.SURVEY_LU1_1U3
16430.513,13837.661,14355.493,12347.369, 7376.083, 3554.723, 6347.579, 3464.643, 3015.595, 3261.100,Total.SURVEY_LU1_1U4
1108.1759, 914.7765, 583.8662, 985.4864, 657.4377, 507.1932, 730.3979, 420.5011, 538.2344, 423.3211,Total.SURVEY_LC1_2A1
1195.7710,1356.6782, 775.3149,1399.5172,1190.3855,1330.0424,1540.0847, 867.8090,1461.8514,1252.7802,Total.SURVEY_LC1_2A2
113.56483, 48.42086, 38.69158, 20.17479, 44.28428, 53.82319, 65.39442, 33.31011,145.34055, 17.77036,Total.SURVEY_LC1_2A3
1306.6047, 305.0357, 262.4743, 846.8048, 298.8244,7570.4215,4314.6093,1831.0823,7272.0684,3051.2623,Total.SURVEY_LC1_2B1
  0.00000, 41.92256,  0.00000,  0.00000,  0.00000,122.28276, 35.52329, 29.27128,544.42129,  0.00000,Total.SURVEY_LC1_2B2
   0.00000,  25.83352,   0.00000, 450.74484, 103.70478, 370.22560, 253.48076,   0.00000,1978.60485, 586.19102,Total.SURVEY_LC1_2B3
  3.877226, 29.828027, 15.638398,  3.941567,  9.302568,349.955194,837.231005,265.545485,431.190923,265.991198,Total.SURVEY_LC1_2B4
   3.979352, 209.934560, 188.536244, 239.304367, 417.777096,1268.458298,2942.462747,1302.044764,3224.064118,2640.802111,Total.SURVEY_LC1_2B5
  57.14873, 377.21726, 197.71930,  16.04062, 165.99941, 647.19100,1774.65750, 860.56444,1023.80292, 684.77502,Total.SURVEY_LC1_2B7
 152.2884,1594.5830,1107.3823, 100.9290,1110.9165, 928.8510,8681.1512,4087.0948,2231.2901,3280.4621,Total.SURVEY_LC1_2B8
 833.8232,3138.1770,1722.8157, 727.5365,3556.0568,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
10031.454,16171.197, 9502.999, 7403.813,19387.792, 5309.005, 4295.409, 1561.450, 4681.800, 4861.538,Total.SURVEY_LC1_2C1
3612.1324,1247.4740, 952.0345,6116.2055, 595.1055, 229.3089, 522.6288, 268.8692,1142.3178, 156.8517,Total.SURVEY_LC1_2C2
2298.90497,1247.63179, 588.22955,2424.89728,1074.54700, 553.81441, 267.41708,  81.53833,1021.12675, 318.36911,Total.SURVEY_LC1_2C3
 5.484614,19.738321, 0.000000, 4.044849,18.751647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Cx
 510.0924,1490.2750,2063.8797, 511.7295, 599.2245, 267.9826,1010.3881, 742.8140, 263.4559, 418.1011,Total.SURVEY_LC1_2D1
1257.9511,1849.0388,4086.5580,1002.8634, 660.3359, 124.1079, 674.9085, 743.3212, 247.7914, 247.9386,Total.SURVEY_LC1_2D2
0.000000,0.000000,9.917211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
 718.7599, 986.8957,1341.9163, 765.6875, 719.0399, 889.0235,1195.3837, 822.8789,1090.2094, 821.3681,Total.SURVEY_LC1_2E1
4484.012,3508.572,4540.487,3218.506,2938.564,2846.057,1957.916,2334.171,3899.865,1944.671,Total.SURVEY_LC1_2E2
 135.86272, 788.68051,1132.13233,  78.29749, 245.79184, 792.43051,2959.11598,1630.90330, 779.70431,1180.59116,Total.SURVEY_LC1_2E3
 0.000000,23.983849, 0.000000, 0.000000, 4.008998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Ex
3305.641608, 188.233033, 483.046416,2090.552641,  91.767833,  30.818100,  80.357543,  28.616500,  15.708355,   8.080037,Total.SURVEY_LC1_2F1
40.896210,41.021909,37.110255,20.577552,16.227533, 0.000000,20.325318, 8.240755, 8.212110, 8.158187,Total.SURVEY_LC1_2F2
8.539155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.028411,0.000000,0.000000,Total.SURVEY_LC1_2F3
 517.0918,1695.0898,1377.1899, 310.1444, 676.0859, 289.6305,1661.9596, 414.5372, 173.7133, 509.5163,Total.SURVEY_LC1_2F4
782.77375,181.93280,200.29192,368.85380,445.68933, 86.29973, 48.82936, 28.34640,138.64413, 36.11939,Total.SURVEY_LC1_2G1
340.47973,183.05822, 70.31165,315.10942, 89.88743,272.41953, 91.30097,138.55069,414.01564,106.07955,Total.SURVEY_LC1_2G2
 0.00000, 0.00000,16.01190,24.87218, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2G3
 0.000000,16.092119,16.068871, 4.021833, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2G4
231.4703,  0.0000,  0.0000,106.2694,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2G5
19.75846,53.24569,35.39874,36.25340,52.37593,12.11926,38.40683,35.22581,16.25864,21.30965,Total.SURVEY_LC1_2H1
 0.000000,57.090912,48.362687,36.881115, 8.066613, 0.000000, 9.001890, 3.900536, 8.248515, 4.002157,Total.SURVEY_LC1_2H2
 3806.494,10002.316, 9888.266, 3812.646, 8259.278,15168.170,24829.201,13006.380,21353.419,13978.322,Total.SURVEY_LU1_2U11
 8281.5553,10783.6870, 5089.4005, 9650.5335,16318.4466, 3571.5822, 2320.7932,  726.6356, 4917.3634, 3189.2433,Total.SURVEY_LU1_2U12
 4.003738,43.771969,35.672990,25.180674,45.626392,16.183642, 0.000000, 4.414813,20.402243, 8.103963,Total.SURVEY_LU1_2U13
 84.04033,108.29331,145.63602, 67.86931, 78.87273, 29.05400, 47.46276, 12.08264, 19.76070,  8.06482,Total.SURVEY_LU1_2U14
 4.322953,19.850065, 0.000000, 0.000000, 8.279773, 0.000000, 4.014444, 0.000000, 8.241387, 0.000000,Total.SURVEY_LU1_2U15
49.866397,91.508993,72.177553,12.283005,49.549202, 9.575282,13.344780, 8.467776,25.949980, 8.049144,Total.SURVEY_LU1_2U21
336.863555,143.674736, 61.687374,184.850483,120.739059, 60.081135,  4.526866, 17.384709, 60.351228, 40.764550,Total.SURVEY_LU1_2U22
1501.1303, 768.5781, 366.1166,1037.4130, 807.0902, 831.6016,1243.8117, 763.9810,1363.2750,1049.9646,Total.SURVEY_LU1_2U31
69.441117,50.290327,16.884293,49.575412,83.314255,31.388578,41.185963, 8.166071,53.655352,41.451128,Total.SURVEY_LU1_2U32
 40.228945, 15.771831,  8.301964, 35.073326, 42.815726, 96.159838,104.791957, 21.118584, 19.333448,  5.801836,Total.SURVEY_LU1_2U33
166.64437,168.33518, 95.48875,370.38296, 95.25463,155.72300,102.52035, 32.82354,107.40843, 97.82914,Total.SURVEY_LU1_2U34
166.61119,113.47162,209.17530,109.64210,160.96175, 49.30516, 32.22819, 12.35191, 54.30375, 14.82648,Total.SURVEY_LU1_2U35
417.14637,234.05208,205.62003,337.47625,307.31095,266.27237, 90.11079, 59.24710,350.47543,161.71012,Total.SURVEY_LU1_2U36
1717.6771,1410.3966, 844.4634,1589.7658,1424.3285,1011.6413, 826.7705, 406.9192,1382.4054, 980.8182,Total.SURVEY_LU1_2U37
274.8244,289.3758,820.7518,108.2278,180.9702,209.9592,304.8978,283.1598,132.1838,337.7890,Total.SURVEY_LU1_2U41
16155.689,13548.285,13534.741,12239.141, 7195.113, 3344.764, 6042.681, 3181.483, 2883.411, 2923.311,Total.SURVEY_LU1_2U42
1014.8522, 844.8052, 470.3702, 913.8556, 525.8833, 459.5760, 527.1619, 320.3819, 459.9757, 337.1604,Total.SURVEY_LC1_3A11
 29.522526,  8.487474, 84.843100, 61.420075,103.034261, 16.436775, 21.201764,  4.289715, 16.741286, 58.950282,Total.SURVEY_LC1_3A12
 16.59388, 57.48067, 28.65288, 10.21075, 28.52021, 31.18048,182.03416, 95.82952, 61.51749, 27.21045,Total.SURVEY_LC1_3A13
47.207266, 4.003212, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3A1x
552.1720,808.7929,491.4482,859.9657,630.1935,707.3932,472.6738,173.6943,312.7706,421.0903,Total.SURVEY_LC1_3A21
 639.7563, 513.5889, 275.1909, 532.2273, 560.1920, 622.6492,1067.4109, 694.1147,1149.0808, 831.6898,Total.SURVEY_LC1_3A22
 3.842625,34.296326, 8.675802, 7.324258, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3A2x
113.56483, 48.42086, 34.54261, 20.17479, 44.28428, 53.82319, 65.39442, 33.31011,145.34055, 17.77036,Total.SURVEY_LC1_3A30
0.000000,0.000000,4.148976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3A3x
 101.558825,   3.954742,   0.000000, 275.037747,  18.639428,1534.706302, 312.352025,   8.022092,3194.946500, 737.634197,Total.SURVEY_LC1_3B11
   0.00000, 211.88905, 219.29755, 165.88032, 204.23441,   8.38941,2901.21868, 997.22651, 609.97687,1561.37705,Total.SURVEY_LC1_3B12
 84.48458, 37.52922, 18.06661, 37.96770, 62.39998,271.03735,463.29201,445.74178,269.63520,440.35792,Total.SURVEY_LC1_3B13
  0.000000, 12.965943, 25.110185,  0.000000,  9.475959,  0.000000,344.832691, 62.764808, 47.065795,138.747440,Total.SURVEY_LC1_3B15
1081.57076,  38.69677,   0.00000, 330.38805,   0.00000,4105.92750, 274.70454, 317.32714,3004.59957, 112.85868,Total.SURVEY_LC1_3B16
  38.990550,   0.000000,   0.000000,   0.000000,   0.000000,1399.423447,   0.000000,   0.000000,  41.570343,   3.986064,Total.SURVEY_LC1_3B17
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,170.402646,  0.000000,  0.000000,  4.039403,  8.041196,Total.SURVEY_LC1_3B18
  0.000000,  0.000000,  0.000000, 37.530939,  4.074595, 80.534874, 18.209349,  0.000000,100.234763, 48.259709,Total.SURVEY_LC1_3B19
  0.00000, 13.76144,  0.00000,  0.00000,  0.00000, 83.74442, 10.43470,  0.00000,136.41462,  0.00000,Total.SURVEY_LC1_3B21
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 38.53833,  0.00000,  0.00000,358.43585,  0.00000,Total.SURVEY_LC1_3B22
 0.00000,28.16112, 0.00000, 0.00000, 0.00000, 0.00000,25.08858,29.27128,49.57081, 0.00000,Total.SURVEY_LC1_3B23
  0.00000, 12.91669,  0.00000, 37.53094, 99.82283, 65.60601,172.28053,  0.00000, 73.16985,570.51554,Total.SURVEY_LC1_3B31
 0.000000, 6.383861, 0.000000,45.409221, 0.000000, 0.000000,12.965943, 0.000000,63.463168, 0.000000,Total.SURVEY_LC1_3B32
   0.0000,   0.0000,   0.0000, 367.8047,   0.0000, 304.6196,   0.0000,   0.0000,1792.5033,   0.0000,Total.SURVEY_LC1_3B33
0.000000,0.000000,0.000000,0.000000,3.881944,0.000000,4.041695,0.000000,0.000000,3.914220,Total.SURVEY_LC1_3B35
 0.000000, 6.532968, 0.000000, 0.000000, 0.000000, 0.000000,33.603176, 0.000000, 0.000000,11.761258,Total.SURVEY_LC1_3B36
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,30.58941, 0.00000,49.46849, 0.00000,Total.SURVEY_LC1_3B37
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 51.74028,132.59309, 46.87896,120.84970,183.80445,Total.SURVEY_LC1_3B41
  0.000000,  8.805942,  0.000000,  0.000000,  0.000000, 41.304408,284.719465, 81.583612,159.356938, 22.997580,Total.SURVEY_LC1_3B42
  3.877226, 21.022085, 15.638398,  3.941567,  9.302568,244.177534,419.918451,131.062361,150.984282, 59.189163,Total.SURVEY_LC1_3B43
0.000000,0.000000,0.000000,0.000000,0.000000,8.586962,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3B44
0.000000,0.000000,0.000000,0.000000,0.000000,4.146009,0.000000,6.020550,0.000000,0.000000,Total.SURVEY_LC1_3B45
 0.000000, 0.000000, 3.880219, 0.000000,23.263759,10.107541,73.290584,18.039183, 0.000000,38.617893,Total.SURVEY_LC1_3B51
   3.979352,  52.835668,   0.000000, 235.273172, 197.997116, 549.963110, 480.568798, 103.760348,2789.573749,1340.805786,Total.SURVEY_LC1_3B52
  0.00000,  0.00000, 28.79578,  0.00000,  0.00000, 41.54016,333.32530,264.29155, 50.17132,157.50362,Total.SURVEY_LC1_3B53
   0.00000, 144.29447,  32.51589,   0.00000,  16.43314, 138.10767,1610.69495, 420.00294,  68.40361, 245.30654,Total.SURVEY_LC1_3B54
  0.000000, 12.804426,123.344348,  4.031195,180.083084,528.739817,444.583118,495.950745,315.915444,858.568275,Total.SURVEY_LC1_3B55
  0.000000,  0.000000,  0.000000,  7.843671,  0.000000, 58.608446, 34.888789,  0.000000,441.987104, 22.008399,Total.SURVEY_LC1_3B71
  0.000000,  4.171503,  0.000000,  0.000000,  0.000000,118.677113, 28.356956,  0.000000,137.855425,  7.795838,Total.SURVEY_LC1_3B72
  0.000000,  0.000000,  0.000000,  3.931783,  4.111732,  9.759694,238.625234,  0.000000, 95.791766, 26.441841,Total.SURVEY_LC1_3B73
 25.67605,250.63771, 32.38034,  0.00000,116.82580,259.84925,685.69178,454.37329, 88.34290,457.67914,Total.SURVEY_LC1_3B74
 27.235101, 46.049336, 39.242837,  4.265163, 45.061882,196.011583,707.575509,244.047891,259.825724,170.849804,Total.SURVEY_LC1_3B75
  0.00000, 76.35872,113.32487,  0.00000,  0.00000,  0.00000, 20.71819,162.14325,  0.00000,  0.00000,Total.SURVEY_LC1_3B76
 4.237571, 0.000000,12.771245, 0.000000, 0.000000, 4.284921,58.801039, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3B77
  94.785654,1477.388756, 879.654626,   8.278717, 801.353164, 100.919538,7392.108116,2671.433734, 201.199196,2119.440320,Total.SURVEY_LC1_3B81
  39.51608, 117.19424, 227.72770,  92.65026, 305.59100, 809.50439,1285.01513,1392.43073,1921.41310,1106.13684,Total.SURVEY_LC1_3B82
 17.986630,  0.000000,  0.000000,  0.000000,  3.972376, 18.427104,  4.027974, 19.189122,108.677769, 54.884989,Total.SURVEY_LC1_3B83
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.041191,0.000000,0.000000,Total.SURVEY_LC1_3B84
 755.9163,2215.0373,1032.1856, 508.4819,3317.9970,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_3Bx1
 74.01778,912.00988,680.57018,194.52412,234.09815,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_3Bx2
 3.889152,11.129848,10.059990,24.530466, 3.961647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3Bxx
10011.511,16147.475, 9495.691, 7387.022,19379.684, 5309.005, 4295.409, 1561.450, 4681.800, 4861.538,Total.SURVEY_LC1_3C10
19.943108,23.721403, 7.307151,16.790588, 8.108510, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3C1x
1486.460035,  50.693642,   9.338111,3352.155092,  16.835034,  75.688803,   0.000000,   0.000000, 865.313237,  14.451462,Total.SURVEY_LC1_3C21
246.87072,996.85891,835.18320,742.18080,492.67663, 67.23701,407.10431,229.80554,186.42917, 75.10133,Total.SURVEY_LC1_3C22
1858.62967, 199.92141, 107.51318,1891.00918,  77.11813,  86.38310, 115.52452,  39.06366,  90.57539,  67.29893,Total.SURVEY_LC1_3C23
 20.171987,  0.000000,  0.000000,130.860396,  8.475683,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3C2x
274.82317, 51.78053,  0.00000,712.78096, 35.89365, 61.28854,  0.00000,  0.00000,333.01360,  0.00000,Total.SURVEY_LC1_3C31
327.24077,752.06744,303.14885,498.98736,320.56494, 80.54154, 89.90127, 49.38204, 74.28571,125.98495,Total.SURVEY_LC1_3C32
1620.66452, 443.78381, 275.68719,1135.60368, 713.88834, 411.98434, 177.51581,  32.15629, 613.82744, 192.38416,Total.SURVEY_LC1_3C33
76.176506, 0.000000, 9.393509,77.525275, 4.200070, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3C3x
 5.484614,19.738321, 0.000000, 4.044849,18.751647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3Cxx
 510.0924,1490.2750,2063.8797, 507.7453, 599.2245, 267.9826,1010.3881, 742.8140, 263.4559, 418.1011,Total.SURVEY_LC1_3D10
0.000000,0.000000,0.000000,3.984187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3D1x
1257.9511,1849.0388,4082.3005,1002.8634, 660.3359, 124.1079, 674.9085, 743.3212, 247.7914, 247.9386,Total.SURVEY_LC1_3D20
0.000000,0.000000,4.257515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3D2x
0.000000,0.000000,9.917211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Dxx
 718.7599, 986.8957,1327.9626, 761.6694, 711.0629, 889.0235,1195.3837, 822.8789,1090.2094, 821.3681,Total.SURVEY_LC1_3E10
 0.000000, 0.000000,13.953657, 4.018047, 7.977017, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3E1x
4479.961,3504.639,4540.487,3214.381,2938.564,2846.057,1957.916,2334.171,3899.865,1944.671,Total.SURVEY_LC1_3E20
4.050841,3.932730,0.000000,4.125230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3E2x
 135.86272, 788.68051,1132.13233,  74.08504, 245.79184, 792.43051,2959.11598,1630.90330, 779.70431,1180.59116,Total.SURVEY_LC1_3E30
0.00000,0.00000,0.00000,4.21245,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Total.SURVEY_LC1_3E3x
 0.000000,23.983849, 0.000000, 0.000000, 4.008998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3Exx
3305.641608, 188.233033, 483.046416,2090.552641,  91.767833,  30.818100,  80.357543,  28.616500,  15.708355,   8.080037,Total.SURVEY_LC1_3F10
40.896210,41.021909,37.110255,20.577552,16.227533, 0.000000,20.325318, 8.240755, 8.212110, 8.158187,Total.SURVEY_LC1_3F20
8.539155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.028411,0.000000,0.000000,Total.SURVEY_LC1_3F30
 517.0918,1695.0898,1377.1899, 304.9700, 676.0859, 289.6305,1661.9596, 414.5372, 173.7133, 509.5163,Total.SURVEY_LC1_3F40
0.000000,0.000000,0.000000,5.174404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3F4x
782.77375,143.28672,196.27845,336.34342,441.69489, 86.29973, 48.82936, 28.34640,138.64413, 36.11939,Total.SURVEY_LC1_3G11
 0.000000,38.646081, 4.013467,32.510375, 3.994445, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3G12
0.000000,0.000000,0.000000,4.063797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3G20
340.47973,183.05822, 70.31165,306.93957, 89.88743,272.41953, 91.30097,138.55069,414.01564,106.07955,Total.SURVEY_LC1_3G21
0.000000,0.000000,0.000000,4.106055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3G22
 0.00000, 0.00000,16.01190,24.87218, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3G30
 0.000000,16.092119,16.068871, 4.021833, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3G40
231.4703,  0.0000,  0.0000,106.2694,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3G50
19.75846,41.16765,35.39874,36.25340,52.37593,12.11926,38.40683,35.22581,16.25864,21.30965,Total.SURVEY_LC1_3H11
 0.00000,12.07804, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3H12
 0.000000,20.392151,11.856797,28.753522, 8.066613, 0.000000, 9.001890, 3.900536, 8.248515, 4.002157,Total.SURVEY_LC1_3H21
 0.000000,36.698761,36.505890, 8.127594, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3H22
 3703.363, 9287.763, 8747.940, 3754.189, 7938.656,14475.667,21144.553,11623.041,20694.971,12732.857,Total.SURVEY_LU1_3U111
  36.51287, 554.72129,1049.64956,  16.14807, 252.14656, 547.50331,3178.10796,1156.18771, 552.89695,1042.78350,Total.SURVEY_LU1_3U112
 66.61802,159.83175, 90.67727, 42.30915, 68.47486,144.99917,506.53959,227.15195,105.55124,202.68169,Total.SURVEY_LU1_3U113
 8281.5553,10783.6870, 5089.4005, 9650.5335,16318.4466, 3571.5822, 2320.7932,  726.6356, 4917.3634, 3189.2433,Total.SURVEY_LU1_3U120
 4.003738,43.771969,35.672990,25.180674,45.626392,16.183642, 0.000000, 4.414813,20.402243, 8.103963,Total.SURVEY_LU1_3U130
 84.04033,108.29331,145.63602, 67.86931, 78.87273, 29.05400, 47.46276, 12.08264, 19.76070,  8.06482,Total.SURVEY_LU1_3U140
 4.322953,19.850065, 0.000000, 0.000000, 8.279773, 0.000000, 4.014444, 0.000000, 8.241387, 0.000000,Total.SURVEY_LU1_3U150
49.866397,91.508993,72.177553,12.283005,49.549202, 9.575282,13.344780, 8.467776,25.949980, 8.049144,Total.SURVEY_LU1_3U210
48.610086, 4.111351, 0.000000, 0.000000, 4.111732,18.023459, 0.000000,13.289568,18.541688,11.316181,Total.SURVEY_LU1_3U221
12.498921,15.846853, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.009245, 0.000000,Total.SURVEY_LU1_3U222
 4.166307,25.401601,53.712327,67.954560, 4.214597, 0.000000, 0.000000, 0.000000, 4.108877, 0.000000,Total.SURVEY_LU1_3U223
26.536889,19.713541, 0.000000,90.476721,70.005194,37.278521, 4.526866, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_3U224
107.869975, 12.884033,  7.975047,  4.363388, 11.149205,  0.000000,  0.000000,  0.000000,  9.440358,  0.000000,Total.SURVEY_LU1_3U225
66.633545,42.721589, 0.000000,13.525487,27.266876, 4.779156, 0.000000, 0.000000,12.819970,25.336637,Total.SURVEY_LU1_3U226
70.547834,22.995768, 0.000000, 8.530327, 3.991456, 0.000000, 0.000000, 4.095141,10.431090, 0.000000,Total.SURVEY_LU1_3U227
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.111732,Total.SURVEY_LU1_3U228
62.03191,31.08925,20.80060,91.13906,21.41708,11.33154,36.42061,22.54946,87.92918,50.18880,Total.SURVEY_LU1_3U311
 712.7609, 623.5404, 282.9113, 481.0886, 593.6748, 697.7470,1104.1564, 724.8364,1150.7877, 881.2046,Total.SURVEY_LU1_3U312
561.11606,  0.00000,  0.00000,228.71842, 93.57029, 28.05650,  0.00000,  0.00000, 40.13179,  0.00000,Total.SURVEY_LU1_3U313
16.354349,30.336674,24.314195,46.517111,40.446159, 0.000000, 0.000000, 0.000000, 0.000000, 9.272113,Total.SURVEY_LU1_3U314
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,19.54525, 0.00000, 0.00000, 0.00000,Total.SURVEY_LU1_3U316
122.259513, 58.561730, 12.355702,161.852853, 20.012454, 44.180416, 40.377368,  8.301387,  8.596898, 95.361204,Total.SURVEY_LU1_3U317
11.869917,11.947880,21.949803,16.252887,12.207299, 5.726604,16.099409, 8.293721,75.829408, 3.989118,Total.SURVEY_LU1_3U318
14.737632,13.102209, 3.785029,11.844034,25.762172,44.559518,27.212698, 0.000000, 0.000000, 9.948724,Total.SURVEY_LU1_3U319
