ITC1.No,ITC2.No,ITC3.No,ITC4.No,ITF1.No,ITF2.No,ITF3.No,ITF4.No,ITF5.No,ITF6.No,ITG1.No,ITG2.No,ITH1.No,ITH2.No,ITH3.No,ITH4.No,ITH5.No,ITI1.No,ITI2.No,ITI3.No,ITI4.No,ITC1.Yes,ITC2.Yes,ITC3.Yes,ITC4.Yes,ITF1.Yes,ITF2.Yes,ITF3.Yes,ITF4.Yes,ITF5.Yes,ITF6.Yes,ITG1.Yes,ITG2.Yes,ITH1.Yes,ITH2.Yes,ITH3.Yes,ITH4.Yes,ITH5.Yes,ITI1.Yes,ITI2.Yes,ITI3.Yes,ITI4.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
13247.592, 2840.982, 4092.329,12895.636, 6749.562, 1499.626, 7476.569, 6222.645, 5538.889,10304.367,15266.087,16128.297, 5426.522, 4418.104, 7385.658, 4178.693, 8221.083,15587.478, 3771.217, 5340.990,10478.266,12139.408,  420.018, 1323.671,10968.364, 4083.438, 2961.374, 6193.431,13318.355, 4534.111, 4917.633,10566.913, 7977.703, 1971.478, 1788.896,11021.342, 3683.307,14286.917, 7400.522, 4692.783, 3999.010, 6753.734,Total.area
 746.37635,  23.72575, 204.13693,1443.27269, 257.72260,  41.58709, 881.77389, 676.48209,  89.95135, 372.35855, 953.40269, 444.47000,  43.01073,  51.66335,1051.31344, 329.78499, 929.40592, 708.57508, 192.15360, 293.58537, 697.79342, 782.60699,  47.35323, 171.60001, 889.49862, 297.08927, 102.02569, 671.19029, 653.51160, 283.70139, 328.35871, 759.57986, 562.04037, 120.21279, 105.19163, 928.46181, 186.24219, 805.31792, 580.74142, 239.65239, 274.45206, 599.02581,Total.SURVEY_LC1_1A
 756.007366,   0.000000, 141.361412,1460.352798, 515.741823, 106.280515,1181.450652,2032.225637, 303.684913,1583.148099,2916.400171, 578.166176,  50.373013,  27.793491, 963.655642, 178.608243,1164.871268,2284.683470, 230.005790,1176.036939,1971.855413,5536.595609,   3.748363, 151.247123,5565.794320,1774.110219,1291.543973,3268.352385,8776.474672,1646.118301,2082.516268,5590.081048,2785.522032, 264.300139, 264.354296,6074.206942,1756.740712,8345.840519,3207.334442,2033.465180,2288.048475,2980.635658,Total.SURVEY_LC1_1B
 6774.5906,  879.9299, 3253.7238, 5039.7321, 3714.9506,  986.2371, 4014.2443, 1574.6715, 2591.2115, 5804.7257, 3452.5649, 7590.6978, 2604.5539, 2799.4497, 3382.2333, 2709.8955, 4452.8280,10223.9142, 2759.0377, 2763.5152, 5329.7290, 3136.4411,  192.7517,  768.6796, 1994.2560,  806.6440,  673.9925, 1126.1917,  356.1029,  912.5122, 1210.0114,  630.2594, 1281.5984,  754.9914,  995.2045, 1604.7982,  949.6682, 2540.5819, 1824.2571, 1282.2039,  710.3411, 1519.9565,Total.SURVEY_LC1_1C
 891.180221, 172.241815, 263.173413, 441.447989, 494.295325,  77.486512, 589.643808, 312.904384, 712.059928,1152.923783,2119.825917,4040.529005, 413.437704, 290.693935, 258.069739, 248.179266, 304.212238, 573.861932,  76.611896, 150.007293, 459.079333, 186.935400,   3.947947,  52.646289, 148.560912, 327.674384, 116.457997, 239.476713, 268.099055, 377.414627, 356.173752, 401.334242,1084.800919,  64.068472,  16.469420, 173.210586,  43.395611, 214.103211, 205.437832, 130.044307,  98.880255, 231.677247,Total.SURVEY_LC1_1D
2349.4046, 736.6595, 177.0288,2075.5417,1482.1512, 183.3880, 631.3404, 981.4498, 989.1349,1040.6679,4220.2236,2794.3115,1337.8779, 549.2094, 881.3933, 471.4083, 822.6025,1255.4544, 345.7376, 706.9310,1599.2817,2201.4878, 156.3421, 147.2456,2022.4355, 800.5086, 683.0223, 810.2903,1951.3675,1069.5570, 797.6703,2607.7037,2180.2497, 736.5768, 368.0896,1962.1579, 612.8013,2090.1528,1400.3270, 805.7199, 485.4874,1255.0958,Total.SURVEY_LC1_1E
1437.554867, 871.390887,  32.716964,1530.506085, 232.436512,  75.857322,  92.763438, 497.532832, 820.367745, 205.386848,1424.069283, 473.277296, 883.999229, 631.271751, 477.349433, 171.411983, 257.242198, 371.350291,  19.966239, 222.814367, 169.950390, 122.800889,   3.947947,   4.391828, 189.307938,  55.292711,  81.827082,  51.520926,1288.238981, 204.130830,  81.631910, 409.048365,  46.374472,   0.000000,   3.834813,  50.662890,  20.429602, 122.706451, 128.903288, 157.540268, 129.670611, 109.640355,Total.SURVEY_LC1_1F
292.477626,157.034192, 20.188028,885.023971, 47.957195, 28.789826, 77.374220, 73.978011, 28.461388,124.522498,143.770497,158.913847, 93.269722, 68.022826,346.773399, 65.391714,245.668977,133.605523,147.704256, 28.099488,226.167494,168.455442,  7.872005, 27.860191,154.531614, 22.118921,  8.331583, 16.340714,  8.468378, 36.576966, 48.293767,146.205721, 20.691367, 27.411427, 35.751291,223.625934,105.920752,159.950368, 49.518598, 44.156870,  8.047470, 40.476002,Total.SURVEY_LC1_1G
 0.000000, 0.000000, 0.000000,19.758458, 4.306659, 0.000000, 7.978288,73.400861, 4.016716,20.634079,35.830412,47.931016, 0.000000, 0.000000,24.869771, 4.012554,44.252192,36.033334, 0.000000, 0.000000,24.409209, 4.085207, 4.054704, 0.000000, 3.979352, 0.000000, 4.172482,10.067900,16.091798, 4.100151,12.976392,22.700271,16.426080, 3.916747, 0.000000, 4.217827, 8.109046, 8.263532, 4.002157, 0.000000, 4.082963,17.226688,Total.SURVEY_LC1_1H
