LT01.No,LT02.No,LT01.Yes,LT02.Yes,variable
No,No,Yes,Yes,flag_two
 3014.646,15092.678, 6715.354,40461.322,Total.area
136.3995,499.1362,119.6340,660.4435,Total.SURVEY_LC1_1A
  621.4611, 4322.3979, 1333.2384,14904.0662,Total.SURVEY_LC1_1B
 1075.639, 4893.386, 3772.818,14883.345,Total.SURVEY_LC1_1C
 47.84160,132.19331, 48.34998,115.69885,Total.SURVEY_LC1_1D
 589.8208,2802.7374,1242.0974,8929.2933,Total.SURVEY_LC1_1E
291.6295,748.3221,129.3927,567.3996,Total.SURVEY_LC1_1F
 195.67045,1176.69917,  48.07128, 242.61456,Total.SURVEY_LC1_1G
 56.18355,517.80573, 21.75254,158.46099,Total.SURVEY_LC1_1H
 2381.792,11901.944, 5864.267,36531.417,Total.SURVEY_LU1_1U1
10.255203,90.746083, 4.684016,20.363995,Total.SURVEY_LU1_1U2
 419.8438,1771.6387, 369.2858,1690.4822,Total.SURVEY_LU1_1U3
 202.7549,1328.3487, 477.1172,2219.0591,Total.SURVEY_LU1_1U4
 34.18895,168.63358, 38.87358, 80.23113,Total.SURVEY_LC1_2A1
102.21052,326.31326, 80.76044,532.76234,Total.SURVEY_LC1_2A2
 0.000000, 4.189358, 0.000000,47.450035,Total.SURVEY_LC1_2A3
   18.60636,  302.97694,  911.50703,10052.15231,Total.SURVEY_LC1_2B1
  0.00000,  0.00000, 24.61236,251.25101,Total.SURVEY_LC1_2B2
   3.793121, 428.502509, 190.324544,2729.527101,Total.SURVEY_LC1_2B3
  3.93174, 57.77537, 79.83301,804.91327,Total.SURVEY_LC1_2B4
  0.00000,  0.00000, 76.30946,818.01653,Total.SURVEY_LC1_2B5
 14.77766, 56.55308, 50.65196,232.39364,Total.SURVEY_LC1_2B7
 0.00000,17.32136, 0.00000,15.81230,Total.SURVEY_LC1_2B8
 580.3522,3459.2687,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
 250.3547,1917.8275, 864.9114,5183.9761,Total.SURVEY_LC1_2C1
 344.2431, 539.1017,1373.9490,3475.1171,Total.SURVEY_LC1_2C2
 481.0414,2431.5286,1533.9577,6224.2521,Total.SURVEY_LC1_2C3
0.000000,4.927878,0.000000,0.000000,Total.SURVEY_LC1_2Cx
23.20025,73.39083,36.09046,69.70358,Total.SURVEY_LC1_2D1
24.64135,58.80248,12.25952,45.99527,Total.SURVEY_LC1_2D2
 86.95087,196.52099,169.44902,505.45975,Total.SURVEY_LC1_2E1
 404.5253,2216.5322, 797.5921,6739.2361,Total.SURVEY_LC1_2E2
  98.34464, 389.68418, 275.05624,1684.59747,Total.SURVEY_LC1_2E3
 0.00000,13.41084, 0.00000,16.86568,Total.SURVEY_LC1_2F2
291.6295,734.9113,129.3927,550.5339,Total.SURVEY_LC1_2F4
186.81509,988.41249, 35.98116,141.94508,Total.SURVEY_LC1_2G1
  8.855362,188.286685, 12.090117,100.669481,Total.SURVEY_LC1_2G2
 56.18355,494.92009, 21.75254,153.88386,Total.SURVEY_LC1_2H1
 0.000000,22.885640, 0.000000, 4.577128,Total.SURVEY_LC1_2H2
 1321.628, 7024.412, 2225.452,22462.469,Total.SURVEY_LU1_2U11
  965.1616, 4396.5764, 3622.8582,13997.6824,Total.SURVEY_LU1_2U12
 53.22296,371.17296, 11.66652, 39.98107,Total.SURVEY_LU1_2U13
 38.746187,105.943803,  4.290942, 31.284355,Total.SURVEY_LU1_2U14
3.033267,3.838608,0.000000,0.000000,Total.SURVEY_LU1_2U15
10.255203,37.168945, 4.684016,20.363995,Total.SURVEY_LU1_2U21
 0.00000,53.57714, 0.00000, 0.00000,Total.SURVEY_LU1_2U22
 79.38594,302.92394,120.06920,696.99974,Total.SURVEY_LU1_2U31
 4.684016,31.984650, 0.000000,25.730347,Total.SURVEY_LU1_2U32
 0.00000, 0.00000,14.01667,39.16393,Total.SURVEY_LU1_2U33
 0.000000, 9.304625,17.642555,48.293018,Total.SURVEY_LU1_2U34
48.932033,16.336854, 0.000000, 8.766486,Total.SURVEY_LU1_2U35
156.53898,787.22239, 55.61463,201.81078,Total.SURVEY_LU1_2U36
130.3028,623.8662,161.9427,669.7179,Total.SURVEY_LU1_2U37
 18.88711, 71.37724, 72.34045,166.80414,Total.SURVEY_LU1_2U41
 183.8677,1256.9715, 404.7767,2052.2550,Total.SURVEY_LU1_2U42
29.80756,92.20117,20.26613,80.23113,Total.SURVEY_LC1_3A11
 4.381386,71.387751,18.607456, 0.000000,Total.SURVEY_LC1_3A12
0.000000,5.044658,0.000000,0.000000,Total.SURVEY_LC1_3A13
 65.63000,112.84023, 21.50642, 85.49924,Total.SURVEY_LC1_3A21
 36.58053,213.47303, 59.25402,447.26310,Total.SURVEY_LC1_3A22
 0.000000, 4.189358, 0.000000,47.450035,Total.SURVEY_LC1_3A30
   3.93174, 182.87452, 521.44332,6756.04644,Total.SURVEY_LC1_3B11
