LU0.No,LU0.Yes,variable
No,Yes,flag_two
 637.4966,1957.5034,Total.area
137.0031,100.8002,Total.SURVEY_LC1_1A
 24.17702,503.68789,Total.SURVEY_LC1_1B
198.2181,752.5358,Total.SURVEY_LC1_1C
 8.079884,20.189272,Total.SURVEY_LC1_1D
233.7529,552.0837,Total.SURVEY_LC1_1E
16.11801,16.11801,Total.SURVEY_LC1_1F
20.147516, 8.059006,Total.SURVEY_LC1_1G
0.000000,4.029503,Total.SURVEY_LC1_1H
 411.8444,1767.9915,Total.SURVEY_LU1_1U1
8.059006,8.059006,Total.SURVEY_LU1_1U2
209.5342,116.9391,Total.SURVEY_LU1_1U3
 8.059006,64.513806,Total.SURVEY_LU1_1U4
40.29503,24.17702,Total.SURVEY_LC1_2A1
92.67857,56.47568,Total.SURVEY_LC1_2A2
 4.029503,20.147516,Total.SURVEY_LC1_2A3
  0.0000,318.3307,Total.SURVEY_LC1_2B1
0.000000,8.059006,Total.SURVEY_LC1_2B2
 0.00000,20.14752,Total.SURVEY_LC1_2B3
 0.00000,12.08851,Total.SURVEY_LC1_2B4
  0.0000,124.9146,Total.SURVEY_LC1_2B5
4.029503,8.059006,Total.SURVEY_LC1_2B7
 0.00000,12.08851,Total.SURVEY_LC1_2B8
20.14752, 0.00000,Total.SURVEY_LC1_2Bx
113.2019,525.8815,Total.SURVEY_LC1_2C1
 56.68446,137.65033,Total.SURVEY_LC1_2C2
24.28141,89.00400,Total.SURVEY_LC1_2C3
4.050381,0.000000,Total.SURVEY_LC1_2Cx
 8.079884,12.130266,Total.SURVEY_LC1_2D1
0.000000,8.059006,Total.SURVEY_LC1_2D2
32.25690,64.49293,Total.SURVEY_LC1_2E1
177.2981,479.5109,Total.SURVEY_LC1_2E2
20.168394, 8.079884,Total.SURVEY_LC1_2E3
4.029503,0.000000,Total.SURVEY_LC1_2Ex
16.11801,16.11801,Total.SURVEY_LC1_2F4
12.08851, 0.00000,Total.SURVEY_LC1_2G1
8.059006,8.059006,Total.SURVEY_LC1_2G2
0.000000,4.029503,Total.SURVEY_LC1_2H1
 221.6227,1051.7003,Total.SURVEY_LU1_2U11
186.1923,716.2912,Total.SURVEY_LU1_2U12
4.029503,0.000000,Total.SURVEY_LU1_2U14
8.059006,8.059006,Total.SURVEY_LU1_2U22
72.53106,60.48430,Total.SURVEY_LU1_2U31
4.029503,4.029503,Total.SURVEY_LU1_2U32
4.029503,8.079884,Total.SURVEY_LU1_2U33
8.059006,0.000000,Total.SURVEY_LU1_2U34
12.088509, 4.029503,Total.SURVEY_LU1_2U35
36.26553,16.11801,Total.SURVEY_LU1_2U36
72.53106,24.19790,Total.SURVEY_LU1_2U37
0.000000,4.029503,Total.SURVEY_LU1_2U41
 8.059006,60.484303,Total.SURVEY_LU1_2U42
24.17702,24.17702,Total.SURVEY_LC1_3A11
16.11801, 0.00000,Total.SURVEY_LC1_3A12
40.29503,12.10939,Total.SURVEY_LC1_3A21
52.38354,44.36629,Total.SURVEY_LC1_3A22
 4.029503,20.147516,Total.SURVEY_LC1_3A30
  0.0000,124.9146,Total.SURVEY_LC1_3B11
0.000000,4.029503,Total.SURVEY_LC1_3B12
 0.00000,40.29503,Total.SURVEY_LC1_3B13
 0.00000,16.11801,Total.SURVEY_LC1_3B14
 0.00000,20.14752,Total.SURVEY_LC1_3B15
  0.0000,108.7966,Total.SURVEY_LC1_3B16
0.000000,4.029503,Total.SURVEY_LC1_3B18
0.000000,8.059006,Total.SURVEY_LC1_3B21
0.000000,4.029503,Total.SURVEY_LC1_3B31
 0.00000,16.11801,Total.SURVEY_LC1_3B32
0.000000,4.029503,Total.SURVEY_LC1_3B41
0.000000,8.059006,Total.SURVEY_LC1_3B43
0.000000,4.029503,Total.SURVEY_LC1_3B51
0.000000,4.029503,Total.SURVEY_LC1_3B52
0.000000,8.059006,Total.SURVEY_LC1_3B53
0.000000,4.029503,Total.SURVEY_LC1_3B54
  0.0000,104.7671,Total.SURVEY_LC1_3B55
0.000000,8.059006,Total.SURVEY_LC1_3B71
4.029503,0.000000,Total.SURVEY_LC1_3B75
 0.00000,12.08851,Total.SURVEY_LC1_3B82
4.029503,0.000000,Total.SURVEY_LC1_3Bx1
16.11801, 0.00000,Total.SURVEY_LC1_3Bxx
113.2019,525.8815,Total.SURVEY_LC1_3C10
 36.43255,117.39842,Total.SURVEY_LC1_3C21
0.000000,4.050381,Total.SURVEY_LC1_3C22
 0.00000,16.20153,Total.SURVEY_LC1_3C23
20.25191, 0.00000,Total.SURVEY_LC1_3C2x
 8.100763,32.340416,Total.SURVEY_LC1_3C31
 0.00000,20.23103,Total.SURVEY_LC1_3C32
 8.079884,36.432554,Total.SURVEY_LC1_3C33
8.100763,0.000000,Total.SURVEY_LC1_3C3x
4.050381,0.000000,Total.SURVEY_LC1_3Cxx
 8.079884,12.130266,Total.SURVEY_LC1_3D10
0.000000,8.059006,Total.SURVEY_LC1_3D20
32.25690,64.49293,Total.SURVEY_LC1_3E10
169.2391,479.5109,Total.SURVEY_LC1_3E20
8.059006,0.000000,Total.SURVEY_LC1_3E2x
20.168394, 8.079884,Total.SURVEY_LC1_3E30
4.029503,0.000000,Total.SURVEY_LC1_3Exx
16.11801,16.11801,Total.SURVEY_LC1_3F40
12.08851, 0.00000,Total.SURVEY_LC1_3G11
8.059006,8.059006,Total.SURVEY_LC1_3G21
0.000000,4.029503,Total.SURVEY_LC1_3H11
 221.6227,1051.7003,Total.SURVEY_LU1_3U111
186.1923,716.2912,Total.SURVEY_LU1_3U120
4.029503,0.000000,Total.SURVEY_LU1_3U140
0.000000,4.029503,Total.SURVEY_LU1_3U221
4.029503,0.000000,Total.SURVEY_LU1_3U223
4.029503,4.029503,Total.SURVEY_LU1_3U224
8.059006,4.029503,Total.SURVEY_LU1_3U311
56.41304,44.36629,Total.SURVEY_LU1_3U312
4.029503,0.000000,Total.SURVEY_LU1_3U317
 4.029503,12.088509,Total.SURVEY_LU1_3U319
4.029503,4.029503,Total.SURVEY_LU1_3U321
4.029503,8.079884,Total.SURVEY_LU1_3U330
8.059006,0.000000,Total.SURVEY_LU1_3U341
12.088509, 4.029503,Total.SURVEY_LU1_3U350
12.08851,16.11801,Total.SURVEY_LU1_3U361
24.17702, 0.00000,Total.SURVEY_LU1_3U362
72.53106,24.19790,Total.SURVEY_LU1_3U370
0.000000,4.029503,Total.SURVEY_LU1_3U414
 8.059006,60.484303,Total.SURVEY_LU1_3U420
 419.9035,1844.5938,Total.settlement0
217.5932,112.9096,Total.settlement1
0.3292830,0.1708657,Total.settl_pc
 451.3252,1221.0856,Total.fao_class_name0
170.0116,728.3588,Total.fao_class_name1
12.13027, 0.00000,Total.fao_class_name2
4.029503,8.059006,Total.fao_class_name3
 508.5525,1913.1580,Total.lue0
128.94410, 44.34541,Total.lue1
 544.818,1876.851,Total.lud0
92.67857,80.65270,Total.lud1
1.6418,1.6418,SE.Total.area
0.0000000,0.5010509,SE.Total.SURVEY_LC1_1A
0,0,SE.Total.SURVEY_LC1_1B
1.594438,1.738480,SE.Total.SURVEY_LC1_1C
0.2908004,0.4101815,SE.Total.SURVEY_LC1_1D
0.4101815,0.4101815,SE.Total.SURVEY_LC1_1E
0,0,SE.Total.SURVEY_LC1_1F
0,0,SE.Total.SURVEY_LC1_1G
0,0,SE.Total.SURVEY_LC1_1H
1.641800,1.725766,SE.Total.SURVEY_LU1_1U1
0,0,SE.Total.SURVEY_LU1_1U2
0.0000000,0.5770392,SE.Total.SURVEY_LU1_1U3
0.0000000,0.4101815,SE.Total.SURVEY_LU1_1U4
0,0,SE.Total.SURVEY_LC1_2A1
0.0000000,0.5010509,SE.Total.SURVEY_LC1_2A2
0,0,SE.Total.SURVEY_LC1_2A3
0,0,SE.Total.SURVEY_LC1_2B1
0,0,SE.Total.SURVEY_LC1_2B2
0,0,SE.Total.SURVEY_LC1_2B3
0,0,SE.Total.SURVEY_LC1_2B4
0,0,SE.Total.SURVEY_LC1_2B5
0,0,SE.Total.SURVEY_LC1_2B7
0,0,SE.Total.SURVEY_LC1_2B8
0,0,SE.Total.SURVEY_LC1_2Bx
1.177876,2.024973,SE.Total.SURVEY_LC1_2C1
1.015202,1.487246,SE.Total.SURVEY_LC1_2C2
0.6434405,1.1479560,SE.Total.SURVEY_LC1_2C3
0.2908004,0.0000000,SE.Total.SURVEY_LC1_2Cx
0.2908004,0.4101815,SE.Total.SURVEY_LC1_2D1
0,0,SE.Total.SURVEY_LC1_2D2
0.2908004,0.2908004,SE.Total.SURVEY_LC1_2E1
0,0,SE.Total.SURVEY_LC1_2E2
0.2908004,0.2908004,SE.Total.SURVEY_LC1_2E3
0,0,SE.Total.SURVEY_LC1_2Ex
0,0,SE.Total.SURVEY_LC1_2F4
0,0,SE.Total.SURVEY_LC1_2G1
0,0,SE.Total.SURVEY_LC1_2G2
0,0,SE.Total.SURVEY_LC1_2H1
0,0,SE.Total.SURVEY_LU1_2U11
1.641800,1.725766,SE.Total.SURVEY_LU1_2U12
0,0,SE.Total.SURVEY_LU1_2U14
0,0,SE.Total.SURVEY_LU1_2U22
0.0000000,0.4101815,SE.Total.SURVEY_LU1_2U31
0,0,SE.Total.SURVEY_LU1_2U32
0.0000000,0.2908004,SE.Total.SURVEY_LU1_2U33
0,0,SE.Total.SURVEY_LU1_2U34
0,0,SE.Total.SURVEY_LU1_2U35
0,0,SE.Total.SURVEY_LU1_2U36
0.0000000,0.2908004,SE.Total.SURVEY_LU1_2U37
0,0,SE.Total.SURVEY_LU1_2U41
0.0000000,0.4101815,SE.Total.SURVEY_LU1_2U42
0,0,SE.Total.SURVEY_LC1_3A11
0,0,SE.Total.SURVEY_LC1_3A12
0.0000000,0.2908004,SE.Total.SURVEY_LC1_3A21
0.0000000,0.4101815,SE.Total.SURVEY_LC1_3A22
0,0,SE.Total.SURVEY_LC1_3A30
0,0,SE.Total.SURVEY_LC1_3B11
0,0,SE.Total.SURVEY_LC1_3B12
0,0,SE.Total.SURVEY_LC1_3B13
0,0,SE.Total.SURVEY_LC1_3B14
0,0,SE.Total.SURVEY_LC1_3B15
0,0,SE.Total.SURVEY_LC1_3B16
0,0,SE.Total.SURVEY_LC1_3B18
0,0,SE.Total.SURVEY_LC1_3B21
0,0,SE.Total.SURVEY_LC1_3B31
0,0,SE.Total.SURVEY_LC1_3B32
0,0,SE.Total.SURVEY_LC1_3B41
0,0,SE.Total.SURVEY_LC1_3B43
0,0,SE.Total.SURVEY_LC1_3B51
0,0,SE.Total.SURVEY_LC1_3B52
0,0,SE.Total.SURVEY_LC1_3B53
0,0,SE.Total.SURVEY_LC1_3B54
0,0,SE.Total.SURVEY_LC1_3B55
0,0,SE.Total.SURVEY_LC1_3B71
0,0,SE.Total.SURVEY_LC1_3B75
0,0,SE.Total.SURVEY_LC1_3B82
0,0,SE.Total.SURVEY_LC1_3Bx1
0,0,SE.Total.SURVEY_LC1_3Bxx
1.177876,2.024973,SE.Total.SURVEY_LC1_3C10
0.807375,1.382895,SE.Total.SURVEY_LC1_3C21
0.0000000,0.2908004,SE.Total.SURVEY_LC1_3C22
0.0000000,0.5770392,SE.Total.SURVEY_LC1_3C23
0.6434405,0.0000000,SE.Total.SURVEY_LC1_3C2x
0.4101815,0.6434405,SE.Total.SURVEY_LC1_3C31
0.0000000,0.5770392,SE.Total.SURVEY_LC1_3C32
0.2908004,0.8073750,SE.Total.SURVEY_LC1_3C33
0.4101815,0.0000000,SE.Total.SURVEY_LC1_3C3x
0.2908004,0.0000000,SE.Total.SURVEY_LC1_3Cxx
0.2908004,0.4101815,SE.Total.SURVEY_LC1_3D10
0,0,SE.Total.SURVEY_LC1_3D20
0.2908004,0.2908004,SE.Total.SURVEY_LC1_3E10
0,0,SE.Total.SURVEY_LC1_3E20
0,0,SE.Total.SURVEY_LC1_3E2x
0.2908004,0.2908004,SE.Total.SURVEY_LC1_3E30
0,0,SE.Total.SURVEY_LC1_3Exx
0,0,SE.Total.SURVEY_LC1_3F40
0,0,SE.Total.SURVEY_LC1_3G11
0,0,SE.Total.SURVEY_LC1_3G21
0,0,SE.Total.SURVEY_LC1_3H11
0,0,SE.Total.SURVEY_LU1_3U111
1.641800,1.725766,SE.Total.SURVEY_LU1_3U120
0,0,SE.Total.SURVEY_LU1_3U140
