No,Yes,variable
31863.66,32730.34,Total.area
504.4093,694.4441,Total.SURVEY_LC1_1A
2221.677,8582.018,Total.SURVEY_LC1_1B
19328.53,15148.92,Total.SURVEY_LC1_1C
973.7301,508.7274,Total.SURVEY_LC1_1D
5712.677,7010.966,Total.SURVEY_LC1_1E
741.6399,482.4289,Total.SURVEY_LC1_1F
1427.6593, 190.8128,Total.SURVEY_LC1_1G
953.3376,112.0270,Total.SURVEY_LC1_1H
26613.39,28834.20,Total.SURVEY_LU1_1U1
82.38853, 0.00000,Total.SURVEY_LU1_1U2
2138.897,1612.314,Total.SURVEY_LU1_1U3
3028.979,2283.831,Total.SURVEY_LU1_1U4
126.67441, 91.35889,Total.SURVEY_LC1_2A1
342.4956,573.7656,Total.SURVEY_LC1_2A2
35.23925,29.31961,Total.SURVEY_LC1_2A3
  77.19026,5327.77286,Total.SURVEY_LC1_2B1
  0.0000,165.2643,Total.SURVEY_LC1_2B2
  84.7465,1683.5552,Total.SURVEY_LC1_2B3
  0.000,356.491,Total.SURVEY_LC1_2B4
  0.0000,834.4262,Total.SURVEY_LC1_2B5
 12.01338,210.50369,Total.SURVEY_LC1_2B7
0.00000,4.00446,Total.SURVEY_LC1_2B8
2047.727,   0.000,Total.SURVEY_LC1_2Bx
6433.206,6177.736,Total.SURVEY_LC1_2C1
6292.206,4199.549,Total.SURVEY_LC1_2C2
6603.116,4771.633,Total.SURVEY_LC1_2C3
564.3038,209.5014,Total.SURVEY_LC1_2D1
409.4263,299.2260,Total.SURVEY_LC1_2D2
735.0564,699.6612,Total.SURVEY_LC1_2E1
3286.546,4922.274,Total.SURVEY_LC1_2E2
1691.075,1389.030,Total.SURVEY_LC1_2E3
46.016720, 8.022102,Total.SURVEY_LC1_2F2
 8.022102,29.979723,Total.SURVEY_LC1_2F3
687.6011,444.4270,Total.SURVEY_LC1_2F4
1088.6276, 132.8966,Total.SURVEY_LC1_2G1
335.02724, 57.91626,Total.SURVEY_LC1_2G2
4.00446,0.00000,Total.SURVEY_LC1_2G4
953.3376,112.0270,Total.SURVEY_LC1_2H1
 5534.249,14076.948,Total.SURVEY_LU1_2U11
20292.32,14735.47,Total.SURVEY_LU1_2U12
470.5438,  0.0000,Total.SURVEY_LU1_2U13
285.02932, 21.77655,Total.SURVEY_LU1_2U14
31.24797, 0.00000,Total.SURVEY_LU1_2U15
35.1359, 0.0000,Total.SURVEY_LU1_2U21
47.25263, 0.00000,Total.SURVEY_LU1_2U22
443.3127,672.4469,Total.SURVEY_LU1_2U31
9.477221,7.556241,Total.SURVEY_LU1_2U32
0.00000,4.00446,Total.SURVEY_LU1_2U33
55.26154,18.34424,Total.SURVEY_LU1_2U34
167.51117, 63.19419,Total.SURVEY_LU1_2U35
834.2248,185.2685,Total.SURVEY_LU1_2U36
629.1093,661.4997,Total.SURVEY_LU1_2U37
 98.64491,333.19689,Total.SURVEY_LU1_2U41
2930.334,1950.635,Total.SURVEY_LU1_2U42
126.67441, 91.35889,Total.SURVEY_LC1_3A11
39.24371,52.85887,Total.SURVEY_LC1_3A21
303.2519,520.9067,Total.SURVEY_LC1_3A22
35.23925,29.31961,Total.SURVEY_LC1_3A30
  48.79053,3671.59142,Total.SURVEY_LC1_3B11
 0.00000,54.36679,Total.SURVEY_LC1_3B12
  4.00446,796.54296,Total.SURVEY_LC1_3B13
  0.0000,210.0122,Total.SURVEY_LC1_3B14
  0.0000,326.8757,Total.SURVEY_LC1_3B15
  0.0000,120.8389,Total.SURVEY_LC1_3B16
 0.00000,89.17365,Total.SURVEY_LC1_3B18
24.39527,58.37125,Total.SURVEY_LC1_3B19
  0.0000,104.4604,Total.SURVEY_LC1_3B21
 0.00000,28.39973,Total.SURVEY_LC1_3B22
 0.00000,32.40419,Total.SURVEY_LC1_3B23
  84.7465,1679.5507,Total.SURVEY_LC1_3B32
0.00000,4.00446,Total.SURVEY_LC1_3B37
  0.0000,326.2534,Total.SURVEY_LC1_3B41
 0.00000,26.23314,Total.SURVEY_LC1_3B43
0.00000,4.00446,Total.SURVEY_LC1_3B44
  0.000,160.434,Total.SURVEY_LC1_3B51
 0.00000,26.35316,Total.SURVEY_LC1_3B52
 0.00000,82.12549,Total.SURVEY_LC1_3B53
 0.00000,21.77425,Total.SURVEY_LC1_3B54
  0.0000,543.7394,Total.SURVEY_LC1_3B55
 12.01338,105.33181,Total.SURVEY_LC1_3B71
0.00000,4.00446,Total.SURVEY_LC1_3B72
 0.00000,61.58519,Total.SURVEY_LC1_3B73
 0.00000,39.58223,Total.SURVEY_LC1_3B75
0.00000,4.00446,Total.SURVEY_LC1_3B84
2012.488,   0.000,Total.SURVEY_LC1_3Bx1
35.23925, 0.00000,Total.SURVEY_LC1_3Bx2
6411.248,6177.736,Total.SURVEY_LC1_3C10
21.95762, 0.00000,Total.SURVEY_LC1_3C1x
2087.023,1281.475,Total.SURVEY_LC1_3C21
3307.588,2076.780,Total.SURVEY_LC1_3C22
814.1054,841.2944,Total.SURVEY_LC1_3C23
83.48906, 0.00000,Total.SURVEY_LC1_3C2x
3221.615,2758.611,Total.SURVEY_LC1_3C31
1084.092,1026.757,Total.SURVEY_LC1_3C32
2229.4782, 986.2655,Total.SURVEY_LC1_3C33
67.93097, 0.00000,Total.SURVEY_LC1_3C3x
564.3038,209.5014,Total.SURVEY_LC1_3D10
409.4263,299.2260,Total.SURVEY_LC1_3D20
735.0564,699.6612,Total.SURVEY_LC1_3E10
3286.546,4922.274,Total.SURVEY_LC1_3E20
1691.075,1389.030,Total.SURVEY_LC1_3E30
46.016720, 8.022102,Total.SURVEY_LC1_3F20
 8.022102,29.979723,Total.SURVEY_LC1_3F30
687.6011,444.4270,Total.SURVEY_LC1_3F40
1088.6276, 132.8966,Total.SURVEY_LC1_3G11
335.02724, 57.91626,Total.SURVEY_LC1_3G21
4.00446,0.00000,Total.SURVEY_LC1_3G40
401.40042, 97.88446,Total.SURVEY_LC1_3H11
551.93722, 14.14258,Total.SURVEY_LC1_3H12
 5461.218,13646.349,Total.SURVEY_LU1_3U111
 21.77425,235.75055,Total.SURVEY_LU1_3U112
 51.25708,194.84900,Total.SURVEY_LU1_3U113
20292.32,14735.47,Total.SURVEY_LU1_3U120
470.5438,  0.0000,Total.SURVEY_LU1_3U130
285.02932, 21.77655,Total.SURVEY_LU1_3U140
31.24797, 0.00000,Total.SURVEY_LU1_3U150
35.1359, 0.0000,Total.SURVEY_LU1_3U210
4.00446,0.00000,Total.SURVEY_LU1_3U224
43.24817, 0.00000,Total.SURVEY_LU1_3U227
 8.00892,32.16916,Total.SURVEY_LU1_3U311
295.4577,602.9492,Total.SURVEY_LU1_3U312
109.4122,  0.0000,Total.SURVEY_LU1_3U313
4.00446,0.00000,Total.SURVEY_LU1_3U315
22.42497, 0.00000,Total.SURVEY_LU1_3U317
 4.00446,37.32853,Total.SURVEY_LU1_3U319
5.472762,7.556241,Total.SURVEY_LU1_3U321
4.00446,0.00000,Total.SURVEY_LU1_3U322
0.00000,4.00446,Total.SURVEY_LU1_3U330
55.26154,18.34424,Total.SURVEY_LU1_3U341
167.51117, 63.19419,Total.SURVEY_LU1_3U350
758.7201,165.4425,Total.SURVEY_LU1_3U361
75.50467,19.82600,Total.SURVEY_LU1_3U362
629.1093,661.4997,Total.SURVEY_LU1_3U370
33.63746,11.61293,Total.SURVEY_LU1_3U411
22.34870,48.04328,Total.SURVEY_LU1_3U414
 42.65875,273.54068,Total.SURVEY_LU1_3U415
2930.334,1950.635,Total.SURVEY_LU1_3U420
30457.65,31251.43,Total.settlement0
1406.012,1478.907,Total.settlement1
0.7466840,0.7853962,Total.settl_pc
12153.26,16893.51,Total.fao_class_name0
16515.50,15013.75,Total.fao_class_name1
3080.0073, 458.6101,Total.fao_class_name2
114.8932,364.4724,Total.fao_class_name3
30177.55,31802.03,Total.lue0
1686.1069, 928.3066,Total.lue1
31043.45,32024.56,Total.lud0
820.2078,705.7842,Total.lud1
354.4923,354.4923,SE.Total.area
63.34045,67.00670,SE.Total.SURVEY_LC1_1A
182.2789,258.0441,SE.Total.SURVEY_LC1_1B
238.7533,245.8217,SE.Total.SURVEY_LC1_1C
74.52300,71.65903,SE.Total.SURVEY_LC1_1D
226.6043,264.3018,SE.Total.SURVEY_LC1_1E
95.53474,85.86606,SE.Total.SURVEY_LC1_1F
50.69328,22.02050,SE.Total.SURVEY_LC1_1G
72.84941,22.06952,SE.Total.SURVEY_LC1_1H
354.9341,353.2854,SE.Total.SURVEY_LU1_1U1
38.12706, 0.00000,SE.Total.SURVEY_LU1_1U2
144.9637,136.8184,SE.Total.SURVEY_LU1_1U3
111.4814,167.5229,SE.Total.SURVEY_LU1_1U4
38.64137,33.06981,SE.Total.SURVEY_LC1_2A1
57.21075,63.76591,SE.Total.SURVEY_LC1_2A2
18.969477, 6.069719,SE.Total.SURVEY_LC1_2A3
 38.51148,246.25203,SE.Total.SURVEY_LC1_2B1
 0.00000,50.91693,SE.Total.SURVEY_LC1_2B2
 38.85836,164.35437,SE.Total.SURVEY_LC1_2B3
 0.00000,78.79389,SE.Total.SURVEY_LC1_2B4
  0.0000,112.9188,SE.Total.SURVEY_LC1_2B5
 0.00000,56.14661,SE.Total.SURVEY_LC1_2B7
0,0,SE.Total.SURVEY_LC1_2B8
176.0571,  0.0000,SE.Total.SURVEY_LC1_2Bx
190.9223,205.7303,SE.Total.SURVEY_LC1_2C1
150.2130,137.9314,SE.Total.SURVEY_LC1_2C2
152.1133,142.9650,SE.Total.SURVEY_LC1_2C3
55.71492,39.65041,SE.Total.SURVEY_LC1_2D1
50.08213,59.94934,SE.Total.SURVEY_LC1_2D2
69.57036,84.10810,SE.Total.SURVEY_LC1_2E1
198.1070,240.4652,SE.Total.SURVEY_LC1_2E2
104.8357,136.7483,SE.Total.SURVEY_LC1_2E3
14.710593, 5.677141,SE.Total.SURVEY_LC1_2F2
 5.677141,14.241867,SE.Total.SURVEY_LC1_2F3
94.22762,84.48690,SE.Total.SURVEY_LC1_2F4
80.42621,20.88718,SE.Total.SURVEY_LC1_2G1
71.098224, 9.928146,SE.Total.SURVEY_LC1_2G2
0,0,SE.Total.SURVEY_LC1_2G4
72.84941,22.06952,SE.Total.SURVEY_LC1_2H1
256.1454,276.6451,SE.Total.SURVEY_LU1_2U11
235.0919,240.0813,SE.Total.SURVEY_LU1_2U12
86.2891, 0.0000,SE.Total.SURVEY_LU1_2U13
24.603522, 6.498715,SE.Total.SURVEY_LU1_2U14
21.87839, 0.00000,SE.Total.SURVEY_LU1_2U15
33.07312, 0.00000,SE.Total.SURVEY_LU1_2U21
18.96948, 0.00000,SE.Total.SURVEY_LU1_2U22
79.65466,68.80493,SE.Total.SURVEY_LU1_2U31
2.834725,5.180552,SE.Total.SURVEY_LU1_2U32
0,0,SE.Total.SURVEY_LU1_2U33
23.90632,16.21889,SE.Total.SURVEY_LU1_2U34
37.63899,28.54261,SE.Total.SURVEY_LU1_2U35
107.2086, 41.8312,SE.Total.SURVEY_LU1_2U36
 88.17154,109.87994,SE.Total.SURVEY_LU1_2U37
26.31701,70.15732,SE.Total.SURVEY_LU1_2U41
108.4300,154.5369,SE.Total.SURVEY_LU1_2U42
38.64137,33.06981,SE.Total.SURVEY_LC1_3A11
13.06215,23.48676,SE.Total.SURVEY_LC1_3A21
