MT0.No,MT0.Yes,variable
No,Yes,flag_two
135.6425,180.3575,Total.area
51.50461,30.03868,Total.SURVEY_LC1_1A
27.28160,52.32403,Total.SURVEY_LC1_1B
11.584700, 7.723217,Total.SURVEY_LC1_1C
33.43948,31.55688,Total.SURVEY_LC1_1D
11.83215,46.93640,Total.SURVEY_LC1_1E
0.000000,7.814447,Total.SURVEY_LC1_1F
0.000000,3.963817,Total.SURVEY_LC1_1G
37.61145,87.43655,Total.SURVEY_LU1_1U1
52.90431,37.87508,Total.SURVEY_LU1_1U3
45.12677,55.04583,Total.SURVEY_LU1_1U4
30.40787,15.61861,Total.SURVEY_LC1_2A1
21.09674,14.42007,Total.SURVEY_LC1_2A2
 0.00000,15.31156,Total.SURVEY_LC1_2B1
0.000000,3.914494,Total.SURVEY_LC1_2B4
 0.00000,15.50333,Total.SURVEY_LC1_2B5
 0.00000,17.59464,Total.SURVEY_LC1_2B8
27.2816, 0.0000,Total.SURVEY_LC1_2Bx
3.773217,3.773217,Total.SURVEY_LC1_2C1
3.861484,3.950000,Total.SURVEY_LC1_2C2
3.95,0.00,Total.SURVEY_LC1_2C3
13.775220, 7.772806,Total.SURVEY_LC1_2D1
19.66426,23.78408,Total.SURVEY_LC1_2D2
3.886403,0.000000,Total.SURVEY_LC1_2E1
 7.945748,11.896719,Total.SURVEY_LC1_2E2
 0.00000,35.03968,Total.SURVEY_LC1_2E3
0.000000,7.814447,Total.SURVEY_LC1_2F4
0.000000,3.963817,Total.SURVEY_LC1_2G2
37.61145,87.43655,Total.SURVEY_LU1_2U11
10.50609,14.42007,Total.SURVEY_LU1_2U31
3.95,0.00,Total.SURVEY_LU1_2U35
14.50872, 0.00000,Total.SURVEY_LU1_2U36
23.93950,23.45501,Total.SURVEY_LU1_2U37
3.886403,7.945748,Total.SURVEY_LU1_2U41
41.24037,47.10008,Total.SURVEY_LU1_2U42
30.40787,15.61861,Total.SURVEY_LC1_3A11
10.59065, 0.00000,Total.SURVEY_LC1_3A21
10.50609,14.42007,Total.SURVEY_LC1_3A22
 0.00000,15.31156,Total.SURVEY_LC1_3B18
0.000000,3.914494,Total.SURVEY_LC1_3B43
 0.00000,15.50333,Total.SURVEY_LC1_3B54
0.00000,7.68771,Total.SURVEY_LC1_3B81
0.000000,9.906932,Total.SURVEY_LC1_3B82
27.2816, 0.0000,Total.SURVEY_LC1_3Bx1
3.773217,3.773217,Total.SURVEY_LC1_3C10
3.861484,3.950000,Total.SURVEY_LC1_3C22
3.95,0.00,Total.SURVEY_LC1_3C33
13.775220, 7.772806,Total.SURVEY_LC1_3D10
19.66426,23.78408,Total.SURVEY_LC1_3D20
3.886403,0.000000,Total.SURVEY_LC1_3E10
 7.945748,11.896719,Total.SURVEY_LC1_3E20
 0.00000,35.03968,Total.SURVEY_LC1_3E30
0.000000,7.814447,Total.SURVEY_LC1_3F40
0.000000,3.963817,Total.SURVEY_LC1_3G21
37.61145,48.39142,Total.SURVEY_LU1_3U111
 0.00000,31.28001,Total.SURVEY_LU1_3U112
0.000000,7.765124,Total.SURVEY_LU1_3U113
10.50609,14.42007,Total.SURVEY_LU1_3U312
3.95,0.00,Total.SURVEY_LU1_3U350
10.59065, 0.00000,Total.SURVEY_LU1_3U361
3.918068,0.000000,Total.SURVEY_LU1_3U362
23.93950,23.45501,Total.SURVEY_LU1_3U370
3.886403,0.000000,Total.SURVEY_LU1_3U414
0.000000,7.945748,Total.SURVEY_LU1_3U415
41.24037,47.10008,Total.SURVEY_LU1_3U420
 76.26986,142.48238,Total.settlement0
59.37268,37.87508,Total.settlement1
0.10953339,0.06987365,Total.settl_pc
114.2464,172.6342,Total.fao_class_name0
7.723217,3.773217,Total.fao_class_name1
9.811403,0.000000,Total.fao_class_name2
3.861484,3.950000,Total.fao_class_name3
 93.24432,156.90245,Total.lue0
42.39822,23.45501,Total.lue1
125.1364,165.9374,Total.lud0
10.50609,14.42007,Total.lud1
4.295080,4.272989,SE.Total.area
4.295080,4.272989,SE.Total.SURVEY_LC1_1A
0,0,SE.Total.SURVEY_LC1_1B
0,0,SE.Total.SURVEY_LC1_1C
0,0,SE.Total.SURVEY_LC1_1D
0,0,SE.Total.SURVEY_LC1_1E
0,0,SE.Total.SURVEY_LC1_1F
0,0,SE.Total.SURVEY_LC1_1G
4.175316,0.000000,SE.Total.SURVEY_LU1_1U1
5.571773,4.272989,SE.Total.SURVEY_LU1_1U3
0,0,SE.Total.SURVEY_LU1_1U4
6.060191,0.000000,SE.Total.SURVEY_LC1_2A1
5.562284,4.272989,SE.Total.SURVEY_LC1_2A2
0,0,SE.Total.SURVEY_LC1_2B1
