NL1.No,NL2.No,NL3.No,NL4.No,NL1.Yes,NL2.Yes,NL3.Yes,NL4.Yes,variable
No,No,No,No,Yes,Yes,Yes,Yes,flag_two
4432.653,4711.754,6604.443,3468.418,4662.347,6259.246,3429.557,3822.582,Total.area
 495.8464, 793.8273,1575.1639, 926.9501, 394.6253, 634.5696, 717.6347, 550.0262,Total.SURVEY_LC1_1A
 886.4452, 491.1653, 850.7745, 675.2491,1281.7802,1774.7550,1008.9923,1291.0642,Total.SURVEY_LC1_1B
 386.1760, 756.8541, 559.0617, 526.6654, 549.8855,1337.2728, 427.6712, 827.4314,Total.SURVEY_LC1_1C
104.61852,142.16036,182.73124, 84.97048, 41.26931, 50.96237, 35.82324, 45.68594,Total.SURVEY_LC1_1D
1714.7141,1334.6977,2199.2344, 807.9266,2205.3366,2282.2713, 956.8151,1026.3693,Total.SURVEY_LC1_1E
295.25307,342.43723,375.57070,197.93148, 57.05927, 61.30132, 69.95359, 44.42914,Total.SURVEY_LC1_1F
457.09215,781.76606,740.32862,230.26287,115.22231, 86.13820,194.95175, 30.00328,Total.SURVEY_LC1_1G
 92.50785, 68.84624,121.57838, 18.46160, 17.16819, 31.97499, 17.71476,  7.57303,Total.SURVEY_LC1_1H
2810.880,2188.008,3215.707,1699.195,3594.346,4691.494,2070.961,2779.765,Total.SURVEY_LU1_1U1
44.555514,56.346237,78.368796,88.009127, 5.397975, 9.126634,21.293510,18.023392,Total.SURVEY_LU1_1U2
1044.7792,2127.5561,2761.3594,1450.7969, 875.5809,1353.2783,1203.4896, 864.1744,Total.SURVEY_LU1_1U3
532.4390,339.8436,549.0080,230.4165,187.0223,205.3465,133.8126,160.6195,Total.SURVEY_LU1_1U4
144.49302,296.86366,684.98912,353.97771, 68.01269,141.19600,204.07690,118.29344,Total.SURVEY_LC1_2A1
312.2667,476.4213,864.5606,563.9061,275.8423,446.0202,454.6064,411.3852,Total.SURVEY_LC1_2A2
34.723728,20.542355,25.614165, 9.066237,50.770338,47.353361,58.951379,20.347566,Total.SURVEY_LC1_2A3
4.36294,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2Ax
 33.20669, 95.32752, 36.39135,155.91999,507.52907,591.42795,320.91198,559.44107,Total.SURVEY_LC1_2B1
 27.82613, 29.26298, 32.16620, 60.09782,491.93617,406.16210,371.08253,294.41435,Total.SURVEY_LC1_2B2
 3.923925, 3.851934, 0.000000, 3.774126,44.501904,39.664258,11.607867,15.055123,Total.SURVEY_LC1_2B3
  0.000000,  5.082209, 16.008541, 20.302336, 28.800180,119.463058, 86.225186,180.894367,Total.SURVEY_LC1_2B4
 29.26376, 30.77495, 20.89465, 18.90277,196.88312,552.71782,171.50398,148.38275,Total.SURVEY_LC1_2B5
 3.878494,35.596821,28.485799,15.702083, 8.246362,41.245007,47.660731,46.781814,Total.SURVEY_LC1_2B7
 0.000000, 3.831664, 0.000000,11.380659, 3.883422,24.074841, 0.000000,46.094708,Total.SURVEY_LC1_2B8
788.3462,287.4373,716.8279,389.1693,  0.0000,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Bx
293.5769,382.1154,468.5315,375.1208,419.7801,786.6250,334.5017,395.7596,Total.SURVEY_LC1_2C1
 35.68438,256.35182, 47.17550, 96.82356, 32.12544,152.73034, 18.30938,205.95141,Total.SURVEY_LC1_2C2
 56.91464,118.38687, 43.35475, 54.72100, 97.97992,397.91742, 74.86007,225.72045,Total.SURVEY_LC1_2C3
 3.903466,24.985261,44.220257,11.383595,15.897207,15.340692, 7.682743, 7.651430,Total.SURVEY_LC1_2D1
100.71506,117.17510,138.51098, 73.58688, 25.37210, 35.62167, 28.14050, 38.03451,Total.SURVEY_LC1_2D2
22.89296,56.40510,97.47083,41.50700,20.63704,65.28383,27.07808,91.58409,Total.SURVEY_LC1_2E1
1656.7006,1236.0670,2068.7808, 755.0488,2113.4509,2148.4852, 882.5283, 881.9501,Total.SURVEY_LC1_2E2
35.12052,42.22561,32.98273,11.37079,71.24866,68.50232,47.20873,52.83515,Total.SURVEY_LC1_2E3
36.173760,31.778560,34.660298,26.748903,10.213802, 8.893753, 8.878304, 3.985314,Total.SURVEY_LC1_2F2
259.07931,310.65867,340.91040,171.18258, 46.84547, 52.40757, 61.07528, 40.44383,Total.SURVEY_LC1_2F4
330.85523,679.62927,367.47765,117.88003, 23.19731, 46.84463, 29.21091, 14.67938,Total.SURVEY_LC1_2G1
118.20794, 97.38583,335.87902,112.38284, 92.02500, 39.29357,165.74084, 15.32390,Total.SURVEY_LC1_2G2
 0.000000, 4.750957,36.971947, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2G3
8.028986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2G4
58.89164,68.84624,60.06671,13.06653,17.16819,31.97499,13.50420, 7.57303,Total.SURVEY_LC1_2H1
33.616206, 0.000000,61.511671, 5.395067, 0.000000, 0.000000, 4.210552, 0.000000,Total.SURVEY_LC1_2H2
2619.724,1867.199,3063.918,1452.547,3370.621,3991.282,1909.869,2157.058,Total.SURVEY_LU1_2U11
175.7493,317.2032,151.7894,234.2696,223.7244,700.2126,161.0915,622.7072,Total.SURVEY_LU1_2U12
8.084061,0.000000,0.000000,5.395067,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_2U13
7.321959,3.606582,0.000000,6.983089,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_2U14
23.516981, 5.082209, 9.479482, 0.000000, 0.000000, 3.831664, 0.000000, 3.774126,Total.SURVEY_LU1_2U21
21.038532,51.264028,68.889314,88.009127, 5.397975, 5.294969,21.293510,14.249266,Total.SURVEY_LU1_2U22
 273.5553, 509.0673,1002.3390, 452.4961, 404.4588, 572.8626, 661.7142, 432.0274,Total.SURVEY_LU1_2U31
12.71993,30.46385,23.71823,25.48539, 0.00000, 0.00000,16.11985, 0.00000,Total.SURVEY_LU1_2U32
11.25369,26.28182,36.22911,26.83872,20.06297,52.38116,27.44263,16.50794,Total.SURVEY_LU1_2U33
 78.49046,111.79852,192.85214,110.87182, 65.40897, 83.63743,101.74944, 75.45644,Total.SURVEY_LU1_2U34
 38.95071,161.48187, 95.65481, 56.75710, 16.89780, 36.81326, 16.46423, 23.70320,Total.SURVEY_LU1_2U35
336.5313,838.3951,542.9070,241.4915,143.4650,311.9428,211.7526,141.9241,Total.SURVEY_LU1_2U36
293.2779,450.0676,867.6591,536.8562,225.2873,295.6411,168.2466,174.5552,Total.SURVEY_LU1_2U37
 7.853003,24.430667,13.063973,25.426988, 5.855719, 8.893753, 9.308211, 3.754006,Total.SURVEY_LU1_2U41
524.5860,315.4130,535.9440,204.9895,181.1666,196.4528,124.5044,156.8654,Total.SURVEY_LU1_2U42
144.49302,259.98160,374.69022,284.72021, 62.59079,115.19912,151.99680, 76.43028,Total.SURVEY_LC1_3A11
  0.000000,  6.555357,219.824388, 48.299123,  5.421899, 11.607233, 16.031527, 10.536791,Total.SURVEY_LC1_3A12
 0.00000,30.32670,90.47452,20.95838, 0.00000,14.38964,36.04857,31.32636,Total.SURVEY_LC1_3A13
