NL11.No,NL12.No,NL13.No,NL21.No,NL22.No,NL23.No,NL32.No,NL34.No,NL35.No,NL36.No,NL41.No,NL42.No,NL11.Yes,NL12.Yes,NL13.Yes,NL21.Yes,NL22.Yes,NL23.Yes,NL32.Yes,NL34.Yes,NL35.Yes,NL36.Yes,NL41.Yes,NL42.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
1242.7078,1793.6255,1396.3200,1275.3804,2148.1076,1288.2665,2296.1936,1037.4566,1129.5659,2141.2274,2557.2303, 911.1873,1162.2922,2216.3745,1283.6800,2145.6196,2988.8924,1124.7335,1106.8064, 897.5434, 430.4341, 994.7726,2524.7697,1297.8127,Total.area
166.81118,185.77483,143.26043,211.72730,463.43616,118.66385,525.82944,123.51362,247.97541,677.84545,643.06412,283.88594,151.19308,144.66454, 98.76768,210.55600,322.03913,101.97446,187.61003,141.64972, 79.38359,308.99137,375.89939,174.12677,Total.SURVEY_LC1_1A
478.62132,122.84471,284.97914, 76.68943,160.11619,254.35972,245.84562,406.49350, 22.62123,175.81411,543.04039,132.20868,451.43945,420.62011,409.72066,527.27224,606.84736,640.63543,269.21320,530.14868, 49.20454,160.42585,792.14613,498.91804,Total.SURVEY_LC1_1B
 40.31875,111.06960,234.78761,146.86788,536.27755, 73.70866,168.43933, 43.22941,149.20324,198.18975,377.74783,148.91755, 83.77566,182.20568,283.90414,317.28430,775.02602,244.96246,160.66185, 56.73137, 83.56343,126.71452,583.84961,243.58183,Total.SURVEY_LC1_1C
 11.837687, 53.137158, 39.643676, 26.292131,110.652913,  5.215318, 99.014439, 17.606045, 19.251778, 46.858974, 43.910968, 41.059511,  7.873047,  4.362940, 29.033319, 18.436245, 32.526121,  0.000000, 20.288828,  4.102572,  7.559060,  3.872780, 28.973578, 16.712359,Total.SURVEY_LC1_1D
 423.60498, 857.32295, 433.78619, 598.85333, 626.27848, 109.56593, 798.21988, 128.20225, 608.99469, 663.81757, 599.87692, 208.04968, 420.56931,1389.24098, 395.52635,1024.81094,1171.23565,  86.22471, 338.90220, 131.73294, 168.74962, 317.43031, 687.97024, 338.39906,Total.SURVEY_LC1_1E
 39.152678, 92.464567,163.635825,126.951756,108.844230,106.641245, 79.074958,170.453569, 11.288005,114.754169,166.001628, 31.929855,  3.857810, 10.213802, 42.987662,  9.073504, 26.791998, 25.435823, 52.955571,  9.434481,  3.749097,  3.814439, 25.712850, 18.716290,Total.SURVEY_LC1_1F
 66.668989,335.965351, 54.457812, 72.519809,134.994152,574.252102,349.565113, 90.969382, 70.231528,229.562595,165.126809, 65.136063, 43.583881, 51.847660, 19.790771, 26.589816, 54.426136,  5.122249, 72.818984, 19.533097, 38.224786, 64.374882, 22.644903,  7.358378,Total.SURVEY_LC1_1G
15.692180,35.046309,41.769358,15.478711, 7.507892,45.859636,30.204833,56.988810, 0.000000,34.384741,18.461599, 0.000000, 0.000000,13.218817, 3.949369,11.596600, 0.000000,20.378392, 4.355729, 4.210552, 0.000000, 9.148474, 7.573030, 0.000000,Total.SURVEY_LC1_1H
 942.1378, 950.5100, 918.2317, 736.9509, 966.7688, 484.2887, 987.4482, 611.0220, 705.1622, 912.0748,1348.8310, 350.3640, 845.8316,1816.9464, 931.5675,1711.5773,2166.5732, 813.3436, 711.2651, 622.2643, 246.6735, 490.7580,1795.9948, 983.7704,Total.SURVEY_LU1_1U1
16.199581,19.074536, 9.281397, 5.294969,32.858344,18.192924,23.583358,18.913963, 5.259838,30.611637,68.442598,19.566529, 0.000000, 0.000000, 5.397975, 5.294969, 3.831664, 0.000000, 0.000000, 5.455492, 5.259838,10.578180, 9.021340, 9.002053,Total.SURVEY_LU1_1U2
 230.9205, 568.5155, 245.3433, 435.4051, 972.2538, 719.8972,1099.5934, 243.4582, 400.6202,1017.6876, 984.3967, 466.4002, 296.7906, 344.9905, 233.7998, 377.5763, 740.6745, 235.0275, 353.8474, 233.2788, 174.5918, 441.7717, 605.1658, 259.0086,Total.SURVEY_LU1_1U3
 53.449938,255.525478,223.463574, 97.729410,176.226616, 65.887605,185.568654,164.062458, 18.523605,180.853268,155.559961, 74.856534, 19.670019, 54.437596,112.914679, 51.171043, 77.813028, 76.362444, 41.693861, 36.544848,  3.909036, 51.664826,114.587802, 46.031649,Total.SURVEY_LU1_1U4
