PL2.No,PL4.No,PL5.No,PL6.No,PL7.No,PL8.No,PL9.No,PL2.Yes,PL4.Yes,PL5.Yes,PL6.Yes,PL7.Yes,PL8.Yes,PL9.Yes,variable
No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
12739.089,37258.455,17862.319,32488.574, 9113.648,29478.385,15014.027,14776.911,28998.545,11496.681,27664.426,20814.352,33677.615,20544.973,Total.area
1263.5053,1402.6126, 806.9185,1109.6591, 641.3854,1508.0947, 998.8834, 583.7186, 917.2129, 266.9117, 719.2155, 558.4447, 744.2409, 654.1807,Total.SURVEY_LC1_1A
 1033.193,12184.164, 6263.067,11616.024, 1159.890, 4666.170, 3666.689, 4086.930,10502.461, 6045.275, 9416.691,10108.689,13917.023, 8151.472,Total.SURVEY_LC1_1B
 6378.289,12454.128, 6881.058, 9166.804, 4336.501,14428.992, 4245.053, 5599.538,13127.585, 3111.786,12513.508, 5787.443, 9013.617, 7199.275,Total.SURVEY_LC1_1C
182.40796,150.28669, 68.79674,412.67289,131.50353,131.28178,187.96553,114.23819,144.55840, 48.93185,121.68893,107.99853,191.73590, 91.63558,Total.SURVEY_LC1_1D
3130.805,7013.853,2766.964,6338.687,1848.220,7038.110,4259.669,3926.467,3922.507,1757.040,4590.764,3958.907,7862.427,4194.360,Total.SURVEY_LC1_1E
 375.7236,1943.3791, 739.3491,1230.7984, 686.6474, 582.8829,1233.1244, 393.1016, 236.8085, 242.2253, 192.5152, 224.4678,1823.6917, 190.7095,Total.SURVEY_LC1_1F
 332.99058,1342.84975, 247.63334,2017.40090, 193.53889, 566.10836, 276.82904,  40.04619,  54.83151,  11.95493,  51.60488,  19.75483,  62.84150,  46.46862,Total.SURVEY_LC1_1G
 42.17520,767.18085, 88.53313,596.52734,115.96209,556.74579,145.81385, 32.87106, 92.58126, 12.55557, 58.43834, 48.64673, 62.03804, 16.87112,Total.SURVEY_LC1_1H
 8478.353,30186.239,15001.135,25425.199, 6792.555,22958.591,11150.015,12312.545,26504.576,10358.772,25412.427,18441.199,30899.386,18328.398,Total.SURVEY_LU1_1U1
115.264254, 69.636458, 34.253831, 27.757094, 56.264886, 79.136212, 74.191418,  8.543436, 16.552057,  5.864169, 13.464247,  4.045155, 15.926169, 13.746280,Total.SURVEY_LU1_1U2
2884.5034,4331.7236,1821.9716,3975.0260,1450.5400,3003.9759,2371.4171,1225.7317,1559.5315, 534.2209,1241.3234,1058.0479,1517.9795,1103.9435,Total.SURVEY_LU1_1U3
1260.9684,2670.8551,1004.9595,3060.5918, 814.2881,3436.6821,1418.4040,1230.0906, 917.8854, 597.8230, 997.2117,1311.0591,1244.3232,1098.8847,Total.SURVEY_LU1_1U4
434.97159,523.51421,338.50604,493.63241,240.71703,441.26349,429.60422,110.38261,187.46559, 49.12049,196.38384,113.58389,147.94232,166.09455,Total.SURVEY_LC1_2A1
 764.7401, 827.5620, 448.8438, 607.9720, 380.6287,1029.5759, 522.8542, 414.4939, 662.6944, 188.7514, 486.8866, 413.3084, 567.3188, 408.7375,Total.SURVEY_LC1_2A2
63.79361,51.53642,19.56873, 8.05468,20.03962,37.25531,46.42497,58.84215,67.05283,29.03975,35.94499,31.55242,28.97983,79.34865,Total.SURVEY_LC1_2A3
