PL21.No,PL22.No,PL41.No,PL42.No,PL43.No,PL51.No,PL52.No,PL61.No,PL62.No,PL63.No,PL71.No,PL72.No,PL81.No,PL82.No,PL84.No,PL91.No,PL92.No,PL21.Yes,PL22.Yes,PL41.Yes,PL42.Yes,PL43.Yes,PL51.Yes,PL52.Yes,PL61.Yes,PL62.Yes,PL63.Yes,PL71.Yes,PL72.Yes,PL81.Yes,PL82.Yes,PL84.Yes,PL91.Yes,PL92.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 6871.665, 5867.424,17004.453,13483.145, 6770.856,13077.566, 4784.754,10203.723,13928.862, 8355.989, 4315.116, 4798.532,10860.719, 9762.646, 8855.020, 3119.266,11894.761, 8311.335, 6465.576,12821.547, 8959.855, 7217.144, 6869.434, 4627.246, 7768.277,10082.138, 9814.011,13903.884, 6910.468,14262.281, 8083.354,11331.980, 2984.734,17560.239,Total.area
465.03465,798.47067,805.98715,368.59683,228.02861,607.08922,199.82932,365.01272,342.64560,402.00075,410.45016,230.93520,385.90711,836.21088,285.97675,478.77050,520.11290,294.72578,288.99286,452.15374,145.62617,319.43297,193.82813, 73.08357,213.15706,188.98596,317.07245,408.07979,150.36494,360.04699,156.45275,227.74119,101.63421,552.54646,Total.SURVEY_LC1_1A
 410.8042, 622.3884,6232.2289,4190.6440,1761.2914,3976.9589,2286.1080,5064.0306,4297.4396,2254.5540, 867.8580, 292.0318,2654.0310, 752.4865,1259.6520, 299.8894,3366.7991,2133.8025,1953.1271,7378.3574,2077.5407,1046.5628,3552.6018,2492.6734,3868.6639,2140.8624,3407.1651,6764.2699,3344.4187,7193.9223,2235.3162,4487.7846, 646.5983,7504.8739,Total.SURVEY_LC1_1B
3503.991,2874.298,5869.031,4464.387,2120.710,5499.924,1381.134,2519.943,3818.540,2828.321,1503.981,2832.520,4784.384,5840.806,3803.801,1205.693,3039.360,3074.026,2525.513,2932.890,5425.319,4769.377,1607.198,1504.587,2754.850,5328.719,4429.938,4222.500,1564.944,2621.257,3012.489,3379.872,1373.713,5825.562,Total.SURVEY_LC1_1C
154.207924, 28.200039, 34.213233,103.306889, 12.766567, 64.447131,  4.349606, 25.565593,276.617127,110.490174, 68.152614, 63.350920, 38.318168, 60.939253, 32.024360, 82.883798,105.081734, 61.683117, 52.555069, 55.068602, 64.127890, 25.361905, 37.322089, 11.609762,  8.490823, 35.334284, 77.863821, 74.004587, 33.993942, 94.236139, 54.689435, 42.810325,  8.319174, 83.316401,Total.SURVEY_LC1_1D
1916.2513,1214.5540,2641.2893,2582.5932,1789.9708,2098.1007, 668.8633,1320.9185,3271.3140,1746.4549,1049.5324, 798.6879,2505.7186,1893.7269,2638.6646, 797.0203,3462.6490,2473.4121,1453.0550,1790.5497,1144.8483, 987.1086,1330.6751, 426.3653, 848.7485,2269.3194,1472.6962,2264.9538,1693.9534,2337.7344,2384.3742,3140.3183, 807.2314,3387.1283,Total.SURVEY_LC1_1E
 239.467219, 136.256383, 863.809140, 588.724972, 490.844961, 617.033361, 122.315786, 369.206099, 449.782875, 411.809395, 212.918205, 473.729205, 145.749154, 173.914245, 263.219499, 151.997078,1081.127331, 256.672654, 136.428918, 128.228321,  68.245730,  40.334455, 135.636265, 106.589043,  40.077151,  89.380205,  63.057881, 143.849906,  80.617874,1591.790015, 223.263994,   8.637661,  35.322317, 155.387136,Total.SURVEY_LC1_1F
 152.200797, 180.789781, 438.684367, 680.029615, 224.135767, 133.905176, 113.728161, 427.928306,1078.818402, 510.654190, 115.434883,  78.104012, 182.539209, 165.359272, 218.209883,  83.076449, 193.752592,   8.718499,  31.327695,  46.450024,   0.000000,   8.381483,   8.208111,   3.746815,  18.070047,  12.571519,  20.963312,   7.917985,  11.836844,  33.088312,  12.689007,  17.064182,  11.914674,  34.553949,Total.SURVEY_LC1_1G
 29.708208, 12.466992,119.209789,504.863345,143.107720, 80.107545,  8.425585,111.117734,393.704556, 91.705053, 86.789273, 29.172820,164.071622, 39.202289,353.471879, 19.935944,125.877906,  8.294735, 24.576325, 37.849233, 34.147192, 20.584836,  3.964426,  8.591149, 16.219412, 16.964989, 25.253936, 18.308032, 30.338700, 30.206100,  4.080397, 27.751546,  0.000000, 16.871120,Total.SURVEY_LC1_1H
