PT0.No,PT0.Yes,variable
No,Yes,flag_two
38475.66,50627.34,Total.area
2557.784,3229.225,Total.SURVEY_LC1_1A
 3557.853,10889.670,Total.SURVEY_LC1_1B
12164.33,19319.82,Total.SURVEY_LC1_1C
8994.763,6858.375,Total.SURVEY_LC1_1D
6773.334,8474.485,Total.SURVEY_LC1_1E
3128.137,1590.207,Total.SURVEY_LC1_1F
1144.6482, 218.5783,Total.SURVEY_LC1_1G
154.81179, 46.98494,Total.SURVEY_LC1_1H
23861.32,38736.76,Total.SURVEY_LU1_1U1
179.0431,266.2057,Total.SURVEY_LU1_1U2
2941.809,3363.527,Total.SURVEY_LU1_1U3
11493.486, 8260.847,Total.SURVEY_LU1_1U4
839.5413,786.3470,Total.SURVEY_LC1_2A1
1630.974,2333.478,Total.SURVEY_LC1_2A2
 81.24161,109.39988,Total.SURVEY_LC1_2A3
6.026691,0.000000,Total.SURVEY_LC1_2Ax
 237.4127,1777.6043,Total.SURVEY_LC1_2B1
  5.443815,132.760388,Total.SURVEY_LC1_2B2
10.695724, 9.154368,Total.SURVEY_LC1_2B3
 17.52465,366.37611,Total.SURVEY_LC1_2B4
 40.54282,880.88719,Total.SURVEY_LC1_2B5
 219.0304,1846.7059,Total.SURVEY_LC1_2B7
 767.824,5876.182,Total.SURVEY_LC1_2B8
2259.379,   0.000,Total.SURVEY_LC1_2Bx
 9153.982,13450.509,Total.SURVEY_LC1_2C1
1771.035,3938.607,Total.SURVEY_LC1_2C2
 481.0158,1930.7026,Total.SURVEY_LC1_2C3
758.2947,  0.0000,Total.SURVEY_LC1_2Cx
2581.747,3480.090,Total.SURVEY_LC1_2D1
6263.684,3378.285,Total.SURVEY_LC1_2D2
149.331,  0.000,Total.SURVEY_LC1_2Dx
1839.540,1479.262,Total.SURVEY_LC1_2E1
4343.998,3951.396,Total.SURVEY_LC1_2E2
 577.3747,3043.8266,Total.SURVEY_LC1_2E3
12.42219, 0.00000,Total.SURVEY_LC1_2Ex
980.9513,270.3427,Total.SURVEY_LC1_2F1
67.42699,44.96458,Total.SURVEY_LC1_2F2
2079.759,1274.899,Total.SURVEY_LC1_2F4
643.30118, 63.02659,Total.SURVEY_LC1_2G1
456.2110,155.5517,Total.SURVEY_LC1_2G2
27.9611, 0.0000,Total.SURVEY_LC1_2G3
8.44457,0.00000,Total.SURVEY_LC1_2G4
8.73034,0.00000,Total.SURVEY_LC1_2Gx
14.07338,27.98863,Total.SURVEY_LC1_2H1
140.73841, 18.99631,Total.SURVEY_LC1_2H2
 9690.962,18477.853,Total.SURVEY_LU1_2U11
14067.99,20236.02,Total.SURVEY_LU1_2U12
25.393567, 9.260199,Total.SURVEY_LU1_2U13
76.97632,13.63132,Total.SURVEY_LU1_2U14
28.11197,74.21358,Total.SURVEY_LU1_2U21
150.9312,191.9921,Total.SURVEY_LU1_2U22
1073.568,2166.578,Total.SURVEY_LU1_2U31
57.17086,10.95367,Total.SURVEY_LU1_2U32
33.33027,67.17900,Total.SURVEY_LU1_2U33
35.09253,49.53465,Total.SURVEY_LU1_2U34
270.6767,108.2701,Total.SURVEY_LU1_2U35
202.5321,111.8810,Total.SURVEY_LU1_2U36
1269.439, 849.131,Total.SURVEY_LU1_2U37
 679.1398,2219.5590,Total.SURVEY_LU1_2U41
10814.347, 6041.288,Total.SURVEY_LU1_2U42
707.1101,746.9752,Total.SURVEY_LC1_3A11
62.98108, 0.00000,Total.SURVEY_LC1_3A12
29.25638,39.37183,Total.SURVEY_LC1_3A13
40.19372, 0.00000,Total.SURVEY_LC1_3A1x
774.1096,458.3373,Total.SURVEY_LC1_3A21
 830.9893,1875.1409,Total.SURVEY_LC1_3A22
25.87536, 0.00000,Total.SURVEY_LC1_3A2x
 81.24161,109.39988,Total.SURVEY_LC1_3A30
6.026691,0.000000,Total.SURVEY_LC1_3Axx
 11.52729,142.51723,Total.SURVEY_LC1_3B11
 0.00000,55.20273,Total.SURVEY_LC1_3B12
 0.00000,72.73947,Total.SURVEY_LC1_3B13
  0.0000,147.8996,Total.SURVEY_LC1_3B14
 47.59992,436.55418,Total.SURVEY_LC1_3B15
132.8596,834.8398,Total.SURVEY_LC1_3B16
36.27153,54.78644,Total.SURVEY_LC1_3B17
 9.154368,26.592852,Total.SURVEY_LC1_3B18
0.000000,6.472007,Total.SURVEY_LC1_3B19
 0.00000,57.70935,Total.SURVEY_LC1_3B21
 5.443815,75.051036,Total.SURVEY_LC1_3B23
10.695724, 9.154368,Total.SURVEY_LC1_3B31
 0.00000,10.50136,Total.SURVEY_LC1_3B41
  0.0000,109.1013,Total.SURVEY_LC1_3B42
 13.14582,242.59344,Total.SURVEY_LC1_3B43
4.378822,4.179985,Total.SURVEY_LC1_3B44
  3.850519,288.471737,Total.SURVEY_LC1_3B53
 9.656752,45.339316,Total.SURVEY_LC1_3B54
 27.03555,547.07614,Total.SURVEY_LC1_3B55
  4.194643,145.531680,Total.SURVEY_LC1_3B71
  8.545061,185.773916,Total.SURVEY_LC1_3B72
 0.0000,34.8733,Total.SURVEY_LC1_3B73
 49.59225,877.82899,Total.SURVEY_LC1_3B74
 55.5099,384.3527,Total.SURVEY_LC1_3B75
 93.2013,199.7351,Total.SURVEY_LC1_3B76
 7.987194,18.610269,Total.SURVEY_LC1_3B77
 460.0703,4112.4802,Total.SURVEY_LC1_3B81
 307.7538,1611.1772,Total.SURVEY_LC1_3B82
0.000000,4.331957,Total.SURVEY_LC1_3B83
  0.0000,148.1926,Total.SURVEY_LC1_3B84
1288.506,   0.000,Total.SURVEY_LC1_3Bx1
939.5498,  0.0000,Total.SURVEY_LC1_3Bx2
31.32244, 0.00000,Total.SURVEY_LC1_3Bxx
 7621.229,13450.509,Total.SURVEY_LC1_3C10
1532.753,   0.000,Total.SURVEY_LC1_3C1x
 0.00000,20.64403,Total.SURVEY_LC1_3C21
1543.031,3784.701,Total.SURVEY_LC1_3C22
  7.746941,133.261385,Total.SURVEY_LC1_3C23
220.2567,  0.0000,Total.SURVEY_LC1_3C2x
14.40079, 0.00000,Total.SURVEY_LC1_3C31
 250.1096,1261.9445,Total.SURVEY_LC1_3C32
193.1814,668.7581,Total.SURVEY_LC1_3C33
23.32406, 0.00000,Total.SURVEY_LC1_3C3x
758.2947,  0.0000,Total.SURVEY_LC1_3Cxx
2396.483,3480.090,Total.SURVEY_LC1_3D10
185.2648,  0.0000,Total.SURVEY_LC1_3D1x
5953.149,3378.285,Total.SURVEY_LC1_3D20
310.5349,  0.0000,Total.SURVEY_LC1_3D2x
149.331,  0.000,Total.SURVEY_LC1_3Dxx
1592.879,1479.262,Total.SURVEY_LC1_3E10
246.6604,  0.0000,Total.SURVEY_LC1_3E1x
3900.304,3951.396,Total.SURVEY_LC1_3E20
443.6938,  0.0000,Total.SURVEY_LC1_3E2x
 554.7535,3043.8266,Total.SURVEY_LC1_3E30
22.62124, 0.00000,Total.SURVEY_LC1_3E3x
12.42219, 0.00000,Total.SURVEY_LC1_3Exx
953.0986,270.3427,Total.SURVEY_LC1_3F10
27.85268, 0.00000,Total.SURVEY_LC1_3F1x
67.42699,44.96458,Total.SURVEY_LC1_3F20
2070.554,1274.899,Total.SURVEY_LC1_3F40
9.205125,0.000000,Total.SURVEY_LC1_3F4x
4.452538,0.000000,Total.SURVEY_LC1_3G10
629.81894, 58.37908,Total.SURVEY_LC1_3G11
9.029703,4.647513,Total.SURVEY_LC1_3G12
435.7948,155.5517,Total.SURVEY_LC1_3G21
20.41628, 0.00000,Total.SURVEY_LC1_3G2x
27.9611, 0.0000,Total.SURVEY_LC1_3G30
8.44457,0.00000,Total.SURVEY_LC1_3G40
8.73034,0.00000,Total.SURVEY_LC1_3Gxx
14.07338,27.98863,Total.SURVEY_LC1_3H11
57.78595,14.23224,Total.SURVEY_LC1_3H21
31.786117, 4.764068,Total.SURVEY_LC1_3H22
51.16634, 0.00000,Total.SURVEY_LC1_3H23
 9206.174,15926.470,Total.SURVEY_LU1_3U111
 328.2858,2141.3398,Total.SURVEY_LU1_3U112
156.5019,410.0431,Total.SURVEY_LU1_3U113
14067.99,20236.02,Total.SURVEY_LU1_3U120
25.393567, 9.260199,Total.SURVEY_LU1_3U130
76.97632,13.63132,Total.SURVEY_LU1_3U140
28.11197,74.21358,Total.SURVEY_LU1_3U210
13.46790,40.91786,Total.SURVEY_LU1_3U221
7.923008,0.000000,Total.SURVEY_LU1_3U222
13.40702, 0.00000,Total.SURVEY_LU1_3U223
8.769853,0.000000,Total.SURVEY_LU1_3U224
 0.00000,26.07094,Total.SURVEY_LU1_3U225
 99.44039,125.00332,Total.SURVEY_LU1_3U226
7.923008,0.000000,Total.SURVEY_LU1_3U227
  8.647964,101.461138,Total.SURVEY_LU1_3U311
 856.3623,1914.1125,Total.SURVEY_LU1_3U312
31.539429, 3.913014,Total.SURVEY_LU1_3U313
17.073649, 4.291855,Total.SURVEY_LU1_3U314
0.00000,4.98433,Total.SURVEY_LU1_3U315
106.40631, 51.36922,Total.SURVEY_LU1_3U317
0.000000,4.488171,Total.SURVEY_LU1_3U318
53.53796,81.95754,Total.SURVEY_LU1_3U319
33.22663,10.95367,Total.SURVEY_LU1_3U321
23.94423, 0.00000,Total.SURVEY_LU1_3U322
33.33027,67.17900,Total.SURVEY_LU1_3U330
35.09253,49.53465,Total.SURVEY_LU1_3U341
270.6767,108.2701,Total.SURVEY_LU1_3U350
88.19056,95.03390,Total.SURVEY_LU1_3U361
114.34151, 16.84706,Total.SURVEY_LU1_3U362
1269.439, 849.131,Total.SURVEY_LU1_3U370
16.03481, 0.00000,Total.SURVEY_LU1_3U411
12.29231, 0.00000,Total.SURVEY_LU1_3U413
27.23649,19.97011,Total.SURVEY_LU1_3U414
 623.5762,2199.5889,Total.SURVEY_LU1_3U415
10814.347, 6041.288,Total.SURVEY_LU1_3U420
35385.02,46869.39,Total.settlement0
3090.633,3757.950,Total.settlement1
0.2938808,0.3573343,Total.settl_pc
23526.31,22488.64,Total.fao_class_name0
 8567.258,16371.891,Total.fao_class_name1
2527.848,2537.908,Total.fao_class_name2
3854.242,9228.908,Total.fao_class_name3
36697.92,49508.53,Total.lue0
1777.741,1118.817,Total.lue1
37055.57,48102.80,Total.lud0
1420.088,2524.547,Total.lud1
886.7312,872.5619,SE.Total.area
148.3611,183.5739,SE.Total.SURVEY_LC1_1A
246.0950,297.8388,SE.Total.SURVEY_LC1_1B
734.8460,785.9481,SE.Total.SURVEY_LC1_1C
384.4351,426.2344,SE.Total.SURVEY_LC1_1D
377.6002,340.4396,SE.Total.SURVEY_LC1_1E
270.687,207.365,SE.Total.SURVEY_LC1_1F
14.93832,27.05995,SE.Total.SURVEY_LC1_1G
 3.551149,12.215281,SE.Total.SURVEY_LC1_1H
831.1524,861.1561,SE.Total.SURVEY_LU1_1U1
 51.72138,100.48615,SE.Total.SURVEY_LU1_1U2
157.1957,202.8394,SE.Total.SURVEY_LU1_1U3
424.8697,434.4563,SE.Total.SURVEY_LU1_1U4
126.5904,125.3353,SE.Total.SURVEY_LC1_2A1
158.5818,197.4116,SE.Total.SURVEY_LC1_2A2
29.26613,22.16446,SE.Total.SURVEY_LC1_2A3
3.147337,0.000000,SE.Total.SURVEY_LC1_2Ax
 46.37056,101.85571,SE.Total.SURVEY_LC1_2B1
 3.025817,16.554018,SE.Total.SURVEY_LC1_2B2
8.279242,7.086124,SE.Total.SURVEY_LC1_2B3
 6.602971,60.921758,SE.Total.SURVEY_LC1_2B4
 10.95135,120.49433,SE.Total.SURVEY_LC1_2B5
 82.33109,210.84184,SE.Total.SURVEY_LC1_2B7
135.4270,307.4418,SE.Total.SURVEY_LC1_2B8
194.892,  0.000,SE.Total.SURVEY_LC1_2Bx
660.9427,793.2246,SE.Total.SURVEY_LC1_2C1
333.5963,519.0469,SE.Total.SURVEY_LC1_2C2
143.2715,375.3674,SE.Total.SURVEY_LC1_2C3
195.6243,  0.0000,SE.Total.SURVEY_LC1_2Cx
220.6329,320.1383,SE.Total.SURVEY_LC1_2D1
337.6341,304.0791,SE.Total.SURVEY_LC1_2D2
135.3608,  0.0000,SE.Total.SURVEY_LC1_2Dx
260.6748,124.4787,SE.Total.SURVEY_LC1_2E1
266.8545,214.2006,SE.Total.SURVEY_LC1_2E2
124.8566,251.0239,SE.Total.SURVEY_LC1_2E3
0,0,SE.Total.SURVEY_LC1_2Ex
157.71938, 60.13686,SE.Total.SURVEY_LC1_2F1
11.256540, 9.007202,SE.Total.SURVEY_LC1_2F2
222.2883,198.3003,SE.Total.SURVEY_LC1_2F4
20.82300,19.68324,SE.Total.SURVEY_LC1_2G1
20.04211,18.69663,SE.Total.SURVEY_LC1_2G2
0,0,SE.Total.SURVEY_LC1_2G3
0,0,SE.Total.SURVEY_LC1_2G4
0,0,SE.Total.SURVEY_LC1_2Gx
 0.00000,12.21528,SE.Total.SURVEY_LC1_2H1
3.551149,0.000000,SE.Total.SURVEY_LC1_2H2
343.0915,424.0374,SE.Total.SURVEY_LU1_2U11
766.5562,786.2971,SE.Total.SURVEY_LU1_2U12
4.685234,0.000000,SE.Total.SURVEY_LU1_2U13
0,0,SE.Total.SURVEY_LU1_2U14
 0.00000,66.39455,SE.Total.SURVEY_LU1_2U21
51.72138,75.42698,SE.Total.SURVEY_LU1_2U22
114.4485,191.1802,SE.Total.SURVEY_LU1_2U31
4.075242,3.584927,SE.Total.SURVEY_LU1_2U32
 3.853085,13.446250,SE.Total.SURVEY_LU1_2U33
12.97889,20.39395,SE.Total.SURVEY_LU1_2U34
73.96449,43.95996,SE.Total.SURVEY_LU1_2U35
34.85148,22.37165,SE.Total.SURVEY_LU1_2U36
142.1436,120.0676,SE.Total.SURVEY_LU1_2U37
112.2616,207.4491,SE.Total.SURVEY_LU1_2U41
424.5523,390.5121,SE.Total.SURVEY_LU1_2U42
122.0349,124.8894,SE.Total.SURVEY_LC1_3A11
30.70702, 0.00000,SE.Total.SURVEY_LC1_3A12
 8.187885,10.596401,SE.Total.SURVEY_LC1_3A13
28.64008, 0.00000,SE.Total.SURVEY_LC1_3A1x
117.61683, 81.89694,SE.Total.SURVEY_LC1_3A21
119.5639,186.5847,SE.Total.SURVEY_LC1_3A22
5.119807,0.000000,SE.Total.SURVEY_LC1_3A2x
29.26613,22.16446,SE.Total.SURVEY_LC1_3A30
3.147337,0.000000,SE.Total.SURVEY_LC1_3Axx
 9.502065,32.738541,SE.Total.SURVEY_LC1_3B11
 0.00000,25.34746,SE.Total.SURVEY_LC1_3B12
 0.00000,18.53352,SE.Total.SURVEY_LC1_3B13
 0.00000,26.50905,SE.Total.SURVEY_LC1_3B14
17.85693,67.33866,SE.Total.SURVEY_LC1_3B15
38.97274,57.43856,SE.Total.SURVEY_LC1_3B16
13.61206,14.17301,SE.Total.SURVEY_LC1_3B17
7.086124,8.138442,SE.Total.SURVEY_LC1_3B18
0.000000,4.114594,SE.Total.SURVEY_LC1_3B19
 0.00000,11.27086,SE.Total.SURVEY_LC1_3B21
 3.025817,12.142241,SE.Total.SURVEY_LC1_3B23
8.279242,7.086124,SE.Total.SURVEY_LC1_3B31
0.000000,4.660455,SE.Total.SURVEY_LC1_3B41
 0.00000,49.69552,SE.Total.SURVEY_LC1_3B42
 6.602971,34.922726,SE.Total.SURVEY_LC1_3B43
0.000000,1.321827,SE.Total.SURVEY_LC1_3B44
 0.00000,65.35475,SE.Total.SURVEY_LC1_3B53
 7.475004,12.036336,SE.Total.SURVEY_LC1_3B54
  8.027396,100.631536,SE.Total.SURVEY_LC1_3B55
 0.00000,58.91633,SE.Total.SURVEY_LC1_3B71
 5.837388,81.916283,SE.Total.SURVEY_LC1_3B72
 0.00000,16.50836,SE.Total.SURVEY_LC1_3B73
 10.06087,165.44395,SE.Total.SURVEY_LC1_3B74
35.64094,80.44903,SE.Total.SURVEY_LC1_3B75
73.09851,44.30653,SE.Total.SURVEY_LC1_3B76
 5.42623,16.41271,SE.Total.SURVEY_LC1_3B77
101.0295,306.3139,SE.Total.SURVEY_LC1_3B81
 95.19462,225.66675,SE.Total.SURVEY_LC1_3B82
0,0,SE.Total.SURVEY_LC1_3B83
 0.00000,39.82898,SE.Total.SURVEY_LC1_3B84
93.64081, 0.00000,SE.Total.SURVEY_LC1_3Bx1
170.0349,  0.0000,SE.Total.SURVEY_LC1_3Bx2
19.46619, 0.00000,SE.Total.SURVEY_LC1_3Bxx
614.1836,793.2246,SE.Total.SURVEY_LC1_3C10
357.3579,  0.0000,SE.Total.SURVEY_LC1_3C1x
 0.00000,11.06638,SE.Total.SURVEY_LC1_3C21
289.6441,515.3567,SE.Total.SURVEY_LC1_3C22
 5.222986,87.131298,SE.Total.SURVEY_LC1_3C23
172.262,  0.000,SE.Total.SURVEY_LC1_3C2x
7.079403,0.000000,SE.Total.SURVEY_LC1_3C31
 89.06612,317.80967,SE.Total.SURVEY_LC1_3C32
111.4470,212.3861,SE.Total.SURVEY_LC1_3C33
21.44196, 0.00000,SE.Total.SURVEY_LC1_3C3x
195.6243,  0.0000,SE.Total.SURVEY_LC1_3Cxx
217.9124,320.1383,SE.Total.SURVEY_LC1_3D10
36.43788, 0.00000,SE.Total.SURVEY_LC1_3D1x
332.6841,304.0791,SE.Total.SURVEY_LC1_3D20
85.66828, 0.00000,SE.Total.SURVEY_LC1_3D2x
135.3608,  0.0000,SE.Total.SURVEY_LC1_3Dxx
