PT11.No,PT15.No,PT19.No,PT1A.No,PT1B.No,PT1C.No,PT1D.No,PT11.Yes,PT15.Yes,PT19.Yes,PT1A.Yes,PT1B.Yes,PT1C.Yes,PT1D.Yes,variable
No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 8033.8904, 2567.3131, 9200.0490,  834.6605, 1040.5304,13705.2872, 3093.9269,13253.1096, 2429.6869,14073.9510,  555.3395,  584.4696,13623.7128, 6107.0731,Total.area
792.64095,138.48626,543.30944,188.79150,193.09373,321.46996,379.99204,955.60225,171.53324,980.84748, 76.82902, 82.61714,482.02114,479.77492,Total.SURVEY_LC1_1A
 448.58597, 130.24397, 529.90403, 145.25611, 106.40334,1750.27363, 447.18557,3620.18194, 628.17214,2406.17594,  89.43303, 142.67442,2313.16291,1689.86994,Total.SURVEY_LC1_1B
1674.5713, 671.4602,2782.0952, 131.0484, 406.0737,5329.0469,1170.0316,4002.8740, 429.7389,5519.4676, 105.8342, 110.5865,6559.3515,2591.9650,Total.SURVEY_LC1_1C
3022.25299,1108.07645,2940.80295, 114.31073,  56.97240,1435.00314, 317.34386,2357.34817, 748.58266,2698.43114,  86.43879,  50.08571, 576.68720, 340.80125,Total.SURVEY_LC1_1D
 938.2941, 197.3088,1288.4859, 158.7823, 153.1227,3604.4121, 432.9284,1887.5694, 355.1069,2017.8540, 179.6407, 165.6606,3162.0631, 706.5899,Total.SURVEY_LC1_1E
904.66265,211.63387,857.68824, 61.76239, 84.27553,767.22802,240.88624,383.56997, 51.21661,385.91489, 17.16380, 18.65519,454.65308,279.03302,Total.SURVEY_LC1_1F
234.703339, 72.687454,187.431509, 19.891977, 35.941512,493.159367,100.833068, 45.963920, 25.924456, 47.229591,  0.000000,  4.647513, 75.773825, 19.039018,Total.SURVEY_LC1_1G
18.179118,37.416035,70.331811,14.817100, 4.647513, 4.694029, 4.726180, 0.000000,19.411998,18.030370, 0.000000, 9.542570, 0.000000, 0.000000,Total.SURVEY_LC1_1H
 3025.4087, 1257.1554, 5266.6231,  367.3413,  671.9283,11221.8409, 2051.0209, 9095.7277, 1405.1637,10311.9563,  319.4347,  391.9646,12419.6958, 4792.8198,Total.SURVEY_LU1_1U1
 15.846015,  0.000000, 93.047362,  0.000000,  8.769853, 22.765179, 38.614735,171.642735,  0.000000, 15.850800,  0.000000,  8.769853,  7.893289, 62.049023,Total.SURVEY_LU1_1U2
 961.87207, 167.94347, 520.44410, 276.12700, 232.71074, 339.03972, 443.67227,1018.07114, 188.03302,1010.34947, 106.11679,  87.40356, 452.62155, 500.93163,Total.SURVEY_LU1_1U3
4030.76358,1142.21423,3319.93445, 191.19216, 127.12146,2121.64136, 560.61905,2967.66803, 836.49016,2735.79439, 129.78806,  96.33155, 743.50220, 751.27265,Total.SURVEY_LU1_1U4
294.816276, 30.424064,148.707033, 71.766462, 44.154624, 58.434558,191.238304,249.043515, 42.816136,257.567713, 45.551082,  4.647513,135.992482, 50.728599,Total.SURVEY_LC1_2A1
491.79798,103.92658,390.14381,102.99154,148.93911,227.91086,165.26437,634.43132,123.94524,706.05571, 26.87025, 77.96962,341.26656,422.93957,Total.SURVEY_LC1_2A2
 0.000000, 4.135615, 4.458604,14.033489, 0.000000,35.124544,23.489360,72.127416, 4.771864,17.224052, 4.407697, 0.000000, 4.762098, 6.106750,Total.SURVEY_LC1_2A3
6.026691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ax
 17.966028,  0.000000, 54.688352,  0.000000,  4.235389,126.631875, 33.891103,555.447434, 21.076757,402.202009, 33.553671, 12.263325,441.618619,311.442531,Total.SURVEY_LC1_2B1
 5.443815, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,60.833387, 3.766918,29.948648, 3.850519, 4.148952, 9.612120,20.599843,Total.SURVEY_LC1_2B2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,10.695724, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.154368, 0.000000,Total.SURVEY_LC1_2B3
  8.858816,  0.000000,  0.000000,  4.378822,  0.000000,  0.000000,  4.287009,120.925433,  0.000000, 46.022334,  4.418955, 13.712688, 31.821127,149.475572,Total.SURVEY_LC1_2B4
  0.000000,  0.000000,  4.452289,  3.850519,  0.000000, 28.190811,  4.049201, 93.895619, 29.755434,234.525995,  4.107988, 12.533293,367.723851,138.345016,Total.SURVEY_LC1_2B5
 97.164510,  8.922597,  8.172219,  8.545061,  3.878985, 65.412371, 26.934608,855.914026,311.993998,317.195706, 26.299950,  4.377546, 46.301621,284.623075,Total.SURVEY_LC1_2B7
 101.032823,   7.896329, 151.734520,  21.638094,  22.112334, 453.377088,  10.032823,1933.166037, 261.579036,1376.281245,  17.201951,  95.638618,1406.931206, 785.383900,Total.SURVEY_LC1_2B8
 218.11998, 113.42504, 310.85665, 106.84362,  76.17663,1076.66148, 357.29510,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_2Bx
1245.15015, 288.95149,1783.01104,  60.40365, 175.15089,4710.68396, 890.63087,2280.07286, 320.55432,3529.29943,  66.85162,  60.83467,5382.15266,1810.74305,Total.SURVEY_LC1_2C1
 229.69205, 137.03979, 756.95504,  19.04773, 125.85931, 305.22305, 197.21778,1197.59397, 109.18460,1521.87805,  32.87828,  41.29596, 772.63873, 263.13695,Total.SURVEY_LC1_2C2
172.676371, 18.597291,170.595163,  7.921877, 77.138257,  4.108381, 29.978431,525.207195,  0.000000,468.290119,  6.104286,  8.455868,404.560122,518.085010,Total.SURVEY_LC1_2C3
 27.05273,226.87168, 71.53392, 43.67511, 27.92520,309.03155, 52.20449,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Cx
 689.63516, 486.41951, 637.81083,  23.87009,  18.19508, 540.77501, 185.04180, 828.33447, 384.46836,1680.70681,  34.50100,  32.36631, 292.76803, 226.94506,Total.SURVEY_LC1_2D1
2332.61783, 621.65694,2153.66115,  90.44064,  38.77731, 894.22813, 132.30206,1529.01370, 364.11431,1017.72433,  51.93779,  17.71940, 283.91917, 113.85619,Total.SURVEY_LC1_2D2
  0.000,  0.000,149.331,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,Total.SURVEY_LC1_2Dx
 117.59812, 113.90018, 405.88204,  27.74696,  56.52309,1014.14206, 103.74735, 348.25342, 134.02842, 213.99192,  47.16003,  22.19907, 595.57680, 118.05227,Total.SURVEY_LC1_2E1
 589.41051,  69.96589, 736.30599, 118.29088,  70.83859,2506.75976, 252.42593, 850.06204, 114.87559, 662.14257,  84.39003,  65.50837,1840.63577, 333.78157,Total.SURVEY_LC1_2E2
 226.928472,  13.442744, 142.340582,   8.636479,  25.761027,  83.510302,  76.755120, 689.253906, 106.202852,1141.719479,  48.090633,  77.953140, 725.850561, 254.756074,Total.SURVEY_LC1_2E3
4.356948,0.000000,3.957259,4.107988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ex
592.289327,  4.764068,298.640909,  4.857075,  0.000000, 75.509355,  4.890545,170.950534,  8.853755, 71.119855,  4.377955,  0.000000, 15.040569,  0.000000,Total.SURVEY_LC1_2F1
 4.493574, 4.382190,33.843626, 0.000000, 4.647513,15.044108, 5.015984, 0.000000, 0.000000,30.332272, 0.000000, 4.982613, 9.649691, 0.000000,Total.SURVEY_LC1_2F2
307.87975,202.48762,525.20371, 56.90532, 79.62802,676.67456,230.97971,212.61944, 42.36286,284.46276, 12.78584, 13.67257,429.96282,279.03302,Total.SURVEY_LC1_2F4
 71.547871, 38.542746, 85.690299,  0.000000, 13.174386,376.048248, 58.297629, 25.676222,  4.056060, 13.047772,  0.000000,  4.647513, 10.446798,  5.152225,Total.SURVEY_LC1_2G1
163.155468, 21.317948, 93.010871, 15.064643,  8.664598,117.111119, 37.886385, 20.287697, 21.868397, 34.181819,  0.000000,  0.000000, 65.327027, 13.886793,Total.SURVEY_LC1_2G2
 0.000000, 4.382190, 0.000000, 4.827333,14.102527, 0.000000, 4.649054, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2G3
0.00000,8.44457,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2G4
0.00000,0.00000,8.73034,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2Gx
 0.000000, 0.000000, 9.379348, 0.000000, 0.000000, 4.694029, 0.000000, 0.000000,14.647931,13.340696, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2H1
18.179118,37.416035,60.952463,14.817100, 4.647513, 0.000000, 4.726180, 0.000000, 4.764068, 4.689674, 0.000000, 9.542570, 0.000000, 0.000000,Total.SURVEY_LC1_2H2
1022.8817, 288.8438,1625.8496, 275.8804, 255.1107,5420.5167, 801.8785,5154.4764, 851.0589,4112.0534, 222.3059, 257.2441,5758.3597,2122.3549,Total.SURVEY_LU1_2U11
1989.51683, 959.54720,3603.68932,  91.46088, 412.17010,5779.62674,1231.97619,3941.25137, 549.34070,6190.80098,  92.75082, 130.07306,6661.33608,2670.46489,Total.SURVEY_LU1_2U12
4.022978,0.000000,4.715826,0.000000,4.647513,4.452538,7.554713,0.000000,0.000000,4.612685,0.000000,4.647513,0.000000,0.000000,Total.SURVEY_LU1_2U13
 8.987148, 8.764380,32.368337, 0.000000, 0.000000,17.245019, 9.611436, 0.000000, 4.764068, 4.489299, 4.377955, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U14
 0.000000, 0.000000, 4.689674, 0.000000, 0.000000,13.653454, 9.768842,68.973389, 0.000000, 5.240192, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U21
 15.846015,  0.000000, 88.357688,  0.000000,  8.769853,  9.111725, 28.845893,102.669346,  0.000000, 10.610609,  0.000000,  8.769853,  7.893289, 62.049023,Total.SURVEY_LU1_2U22
257.33027, 65.03496,274.88458, 77.97958, 69.45551,224.07790,104.80482,645.38980,114.46986,648.19553, 22.37150, 38.49096,342.21342,355.44670,Total.SURVEY_LU1_2U31
 6.026691, 0.000000, 0.000000, 9.414441, 4.647513, 4.428998,32.653218,10.953671, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U32
15.133575, 4.029188, 0.000000, 0.000000, 9.295027, 0.000000, 4.872484,21.649262, 0.000000,22.404987, 8.158225, 0.000000, 9.649571, 5.316953,Total.SURVEY_LU1_2U33
12.625017, 0.000000,14.147478, 0.000000, 0.000000, 8.320031, 0.000000,24.944226, 4.461299, 4.194643, 0.000000, 0.000000, 0.000000,15.934483,Total.SURVEY_LU1_2U34
63.351306,10.098384,75.907585,60.280032,35.027417,16.538320, 9.473661,17.301089,11.781448,70.810254, 4.079113, 0.000000, 4.298182, 0.000000,Total.SURVEY_LU1_2U35
38.127469,39.377503,12.924680,22.939491,43.821081,21.843961,23.497888,50.204508,12.463944,30.560633, 4.557366, 9.269665, 4.824845, 0.000000,Total.SURVEY_LU1_2U36
569.27774, 49.40344,142.57977,105.51346, 70.46418, 63.83050,268.37019,247.62858, 44.85647,234.18342, 66.95059, 39.64293, 91.63553,124.23349,Total.SURVEY_LU1_2U37
 154.94003,  67.54576, 292.79877,  17.01536,  14.12913,  98.73222,  33.97850, 452.32194, 257.09863,1105.13791,  21.20115,  13.14024, 113.44382, 257.21530,Total.SURVEY_LU1_2U41
3875.82355,1074.66847,3027.13568, 174.17680, 112.99233,2022.90914, 526.64055,2515.34609, 579.39153,1630.65647, 108.58692,  83.19131, 630.05838, 494.05735,Total.SURVEY_LU1_2U42
265.225473, 11.781448,144.437891, 31.088458, 35.384771, 27.953796,191.238304,243.233309, 42.816136,247.090576, 45.551082,  4.647513,120.663441, 42.973150,Total.SURVEY_LC1_3A11
 7.923008, 5.610214, 0.000000,40.678004, 8.769853, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3A12
16.223980,13.032402, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.810206, 0.000000,10.477137, 0.000000, 0.000000,15.329042, 7.755449,Total.SURVEY_LC1_3A13
 5.443815, 0.000000, 4.269142, 0.000000, 0.000000,30.480762, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3A1x
217.869486, 45.544768,196.594913, 47.270764,114.563007, 59.173717, 93.092943,135.527376, 29.680388,100.570688,  8.906446, 30.708806, 22.496196,130.447443,Total.SURVEY_LC1_3A21
269.72823, 53.92051,188.85922, 47.62566, 34.37610,164.30814, 72.17143,498.90395, 94.26486,605.48502, 17.96380, 47.26082,318.77036,292.49212,Total.SURVEY_LC1_3A22
4.200264,4.461299,4.689674,8.095125,0.000000,4.428998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3A2x
 0.000000, 4.135615, 4.458604,14.033489, 0.000000,35.124544,23.489360,72.127416, 4.771864,17.224052, 4.407697, 0.000000, 4.762098, 6.106750,Total.SURVEY_LC1_3A30
6.026691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Axx
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 11.527293,  0.000000,  0.000000,  4.010839,  0.000000,  8.498068,  0.000000,122.753383,  7.254938,Total.SURVEY_LC1_3B11
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,32.903250, 0.000000,16.172762, 0.000000, 0.000000, 0.000000, 6.126717,Total.SURVEY_LC1_3B12
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.424270, 7.284857, 0.000000, 0.000000,54.546397, 4.483944,Total.SURVEY_LC1_3B13
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,78.01530, 0.00000,56.22839, 0.00000, 0.00000, 0.00000,13.65594,Total.SURVEY_LC1_3B14
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 47.599920,  0.000000, 59.708282, 10.641648, 64.026983, 16.079283,  3.878985,186.901888, 95.317116,Total.SURVEY_LC1_3B15
 17.966028,  0.000000, 39.317975,  0.000000,  4.235389, 48.144863, 23.195380,384.820603,  0.000000,235.713109,  4.557366,  8.384341, 46.505522,154.858870,Total.SURVEY_LC1_3B16
 0.000000, 0.000000,15.370377, 0.000000, 0.000000,10.205432,10.695724, 0.000000, 0.000000,16.303898, 4.418955, 0.000000, 8.180985,25.882600,Total.SURVEY_LC1_3B17
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.154368, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,22.730444, 3.862408,Total.SURVEY_LC1_3B18
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.472007,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3B19
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,10.813500, 3.766918,19.281998, 3.850519, 4.148952, 0.000000,15.847464,Total.SURVEY_LC1_3B21
 5.443815, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,50.019887, 0.000000,10.666650, 0.000000, 0.000000, 9.612120, 4.752379,Total.SURVEY_LC1_3B23
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,10.695724, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.154368, 0.000000,Total.SURVEY_LC1_3B31
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,10.50136, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3B41
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.418955, 9.335142,12.849013,82.498219,Total.SURVEY_LC1_3B42
  8.858816,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.287009,106.244092,  0.000000, 46.022334,  0.000000,  4.377546, 18.972114, 66.977354,Total.SURVEY_LC1_3B43
0.000000,0.000000,0.000000,4.378822,0.000000,0.000000,0.000000,4.179985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3B44
  0.000000,  0.000000,  0.000000,  3.850519,  0.000000,  0.000000,  0.000000,  7.825492, 18.869865, 11.133707,  0.000000,  4.148952,246.493721,  0.000000,Total.SURVEY_LC1_3B53
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.656752, 0.000000, 0.000000, 0.000000,11.504314, 0.000000, 4.235389,19.469977,10.129637,Total.SURVEY_LC1_3B54
