No,Yes,variable
173834.32, 64563.68,Total.area
4999.792,1772.792,Total.SURVEY_LC1_1A
47849.20,28696.26,Total.SURVEY_LC1_1B
72929.67,10814.04,Total.SURVEY_LC1_1C
3985.993,2599.346,Total.SURVEY_LC1_1D
30969.08,19519.32,Total.SURVEY_LC1_1E
6773.9365, 580.0077,Total.SURVEY_LC1_1F
3287.6082, 339.5713,Total.SURVEY_LC1_1G
3039.0341, 242.3431,Total.SURVEY_LC1_1H
156993.77, 58720.63,Total.SURVEY_LU1_1U1
273.46988, 40.95969,Total.SURVEY_LU1_1U2
7502.553,2112.265,Total.SURVEY_LU1_1U3
9064.522,3689.832,Total.SURVEY_LU1_1U4
1856.3816, 327.8372,Total.SURVEY_LC1_2A1
3027.331,1307.467,Total.SURVEY_LC1_2A2
116.0792,137.4883,Total.SURVEY_LC1_2A3
 2615.386,16501.974,Total.SURVEY_LC1_2B1
 28.44945,341.19709,Total.SURVEY_LC1_2B2
1162.000,6334.458,Total.SURVEY_LC1_2B3
 28.95842,306.46574,Total.SURVEY_LC1_2B4
  92.43022,3030.98593,Total.SURVEY_LC1_2B5
 149.1757,1489.9955,Total.SURVEY_LC1_2B7
 46.16232,691.18065,Total.SURVEY_LC1_2B8
43726.63,    0.00,Total.SURVEY_LC1_2Bx
40913.295, 8538.416,Total.SURVEY_LC1_2C1
10450.277, 2233.812,Total.SURVEY_LC1_2C2
21566.10054,   41.81568,Total.SURVEY_LC1_2C3
2234.476,1162.060,Total.SURVEY_LC1_2D1
1751.516,1437.286,Total.SURVEY_LC1_2D2
8041.530,2097.748,Total.SURVEY_LC1_2E1
21370.83,13785.25,Total.SURVEY_LC1_2E2
1556.726,3636.321,Total.SURVEY_LC1_2E3
296.0290, 13.9415,Total.SURVEY_LC1_2F1
54.69673,30.09732,Total.SURVEY_LC1_2F2
7.996292,0.000000,Total.SURVEY_LC1_2F3
6415.2145, 535.9689,Total.SURVEY_LC1_2F4
1744.72413,  74.12893,Total.SURVEY_LC1_2G1
1542.8840, 265.4423,Total.SURVEY_LC1_2G2
3039.0341, 242.3431,Total.SURVEY_LC1_2H1
82155.30,47983.17,Total.SURVEY_LU1_2U11
73008.48,10585.68,Total.SURVEY_LU1_2U12
1623.96908,  71.88051,Total.SURVEY_LU1_2U13
194.35450, 76.39493,Total.SURVEY_LU1_2U14
11.665893, 3.503292,Total.SURVEY_LU1_2U15
165.7167, 11.1292,Total.SURVEY_LU1_2U21
107.7532, 29.8305,Total.SURVEY_LU1_2U22
3108.816,1287.688,Total.SURVEY_LU1_2U31
112.89126, 16.33092,Total.SURVEY_LU1_2U32
54.60402,64.59706,Total.SURVEY_LU1_2U33
