SE1.No,SE2.No,SE3.No,SE1.Yes,SE2.Yes,SE3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
 22406.35, 27511.56,226267.26, 27900.65, 57169.35, 86164.74,Total.area
 818.6391,1255.3248,1795.6479, 851.5919,1975.1149,1578.6682,Total.SURVEY_LC1_1A
1160.9854,1387.4521, 585.6511,3624.2910,8568.5587,1305.3458,Total.SURVEY_LC1_1B
 12352.07, 12563.16,125454.81, 17283.84, 35025.21, 73679.80,Total.SURVEY_LC1_1C
  460.3930,  628.1185,29517.5166,  543.2441, 1114.3123, 2746.8079,Total.SURVEY_LC1_1D
1504.026,1954.572,3682.312,4468.178,9510.791,4632.177,Total.SURVEY_LC1_1E
  211.3930,  350.2642,16917.2449,  910.9443,  567.3990,  319.9251,Total.SURVEY_LC1_1F
 5157.90819, 8135.98254,25893.95720,   50.82372,  212.92262,  273.48483,Total.SURVEY_LC1_1G
  740.9347, 1236.6870,22420.1259,  167.7303,  195.0365, 1628.5260,Total.SURVEY_LC1_1H
 14032.00, 14110.47,105929.71, 24483.90, 49931.25, 75270.65,Total.SURVEY_LU1_1U1
  43.381964, 160.682842,1600.953030,   0.000000,  20.354374,   3.871813,Total.SURVEY_LU1_1U2
 5263.279, 9286.046,27876.878, 2047.352, 4202.102, 3428.558,Total.SURVEY_LU1_1U3
 3067.687, 3954.365,90859.721, 1369.393, 3015.646, 7461.655,Total.SURVEY_LU1_1U4
300.9271,381.9724,282.0896,157.3090,352.1363,132.8313,Total.SURVEY_LC1_2A1
 480.5441, 812.6410,1278.1494, 588.0952,1472.4502,1221.0279,Total.SURVEY_LC1_2A2
 37.16797, 60.71142,235.40891,106.18771,150.52835,224.80904,Total.SURVEY_LC1_2A3
 247.71938, 342.26223,  47.21246,2303.69027,4757.99722, 506.10147,Total.SURVEY_LC1_2B1
  0.00000,  0.00000,  0.00000, 17.15355,470.54646, 27.28100,Total.SURVEY_LC1_2B2
 39.08049, 69.56167,  0.00000,267.94733,687.69899, 25.87987,Total.SURVEY_LC1_2B3
 38.269006, 11.716981,  0.000000,138.478068,308.672472,  8.645815,Total.SURVEY_LC1_2B4
  23.87348,   0.00000,  60.87697, 858.17274,2243.90307, 733.33816,Total.SURVEY_LC1_2B5
12.361845, 0.000000, 4.099501,12.400313,79.157246, 4.099501,Total.SURVEY_LC1_2B7
 0.00000, 0.00000, 0.00000,26.44875,20.58325, 0.00000,Total.SURVEY_LC1_2B8
799.6812,963.9112,473.4622,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Bx
1388.008,1627.681,7013.103,2804.161,6723.361,5460.642,Total.SURVEY_LC1_2C1
 7655.648, 7429.317,76685.383, 9076.657,16724.235,39484.116,Total.SURVEY_LC1_2C2
 3304.218, 3478.497,41514.082, 5403.026,11577.619,28735.042,Total.SURVEY_LC1_2C3
  4.199141, 27.664231,242.240603,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2Cx
 237.7041, 159.7317,5098.6538, 395.7159, 677.0434,1428.2591,Total.SURVEY_LC1_2D1
  222.6889,  468.3868,24364.2561,  147.5282,  437.2689, 1318.5488,Total.SURVEY_LC1_2D2
 0.0000, 0.0000,54.6067, 0.0000, 0.0000, 0.0000,Total.SURVEY_LC1_2Dx
 237.8970, 556.9543, 343.0536, 707.8197,1966.3714, 627.4541,Total.SURVEY_LC1_2E1
 891.0471,1106.7926,1751.5721,2987.2189,6437.9178,3132.2322,Total.SURVEY_LC1_2E2
 363.0498, 290.8252,1587.6863, 773.1392,1106.5016, 872.4905,Total.SURVEY_LC1_2E3
12.03221, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Ex
  51.42060, 135.46998,6708.03965,  25.34407,  78.15129,   8.79981,Total.SURVEY_LC1_2F1
 26.907453, 24.973119,174.476332,  4.237578, 19.950287,  5.517138,Total.SURVEY_LC1_2F2
  27.79389,  36.69520,9088.90225, 138.01077,  72.02672,  68.44978,Total.SURVEY_LC1_2F3
105.2711,153.1260,945.8267,743.3518,397.2707,237.1584,Total.SURVEY_LC1_2F4
 5068.68048, 8007.24084,23424.87661,   41.21945,  140.78838,  162.24510,Total.SURVEY_LC1_2G1
  72.735249, 104.009863,1840.146670,   9.604268,  72.134240, 111.239734,Total.SURVEY_LC1_2G2
16.492465,24.731837, 8.027643, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2G4
  0.0000,  0.0000,620.9063,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2G5
  740.9347, 1232.6090,22416.1534,  163.5312,  190.9761, 1628.5260,Total.SURVEY_LC1_2H1
0.000000,4.077953,3.972573,4.199141,4.060433,0.000000,Total.SURVEY_LC1_2H2
 1620.409, 2152.254, 1310.750, 7293.455,15943.443, 3899.646,Total.SURVEY_LU1_2U11
 11519.58, 11848.70,104266.08, 17161.45, 33948.63, 71325.87,Total.SURVEY_LU1_2U12
845.25071, 53.80559,137.57140,  0.00000,  0.00000,  0.00000,Total.SURVEY_LU1_2U13
 46.76216, 55.70763,158.59926, 28.99601, 39.17719, 33.62509,Total.SURVEY_LU1_2U14
 0.00000, 0.00000,56.71321, 0.00000, 0.00000,11.51368,Total.SURVEY_LU1_2U15
  23.104577,  21.741608,1537.412780,   0.000000,   4.417969,   3.871813,Total.SURVEY_LU1_2U21
 20.27739,138.94123, 63.54025,  0.00000, 15.93641,  0.00000,Total.SURVEY_LU1_2U22
1586.5472,4291.0239,4570.0136, 748.7318,1575.4293,2092.0863,Total.SURVEY_LU1_2U31
20.541040,18.702327, 3.943626,25.104740, 8.193420, 4.075103,Total.SURVEY_LU1_2U32
 8.435850, 9.752519, 4.280899,37.159164,54.210283, 0.000000,Total.SURVEY_LU1_2U33
93.369113,99.353633,98.379114, 8.558852,21.190507,10.256430,Total.SURVEY_LU1_2U34
 191.6584, 447.0139,6350.4057,  82.6018, 135.3983,  72.9282,Total.SURVEY_LU1_2U35
 2464.9320, 3654.8034,15963.5401,  375.9867, 1228.8984,  546.9684,Total.SURVEY_LU1_2U36
 897.7950, 765.3965, 886.3154, 769.2086,1178.7820, 702.2437,Total.SURVEY_LU1_2U37
  4.150282, 12.190056,105.829853, 16.935865, 29.940918, 20.803864,Total.SURVEY_LU1_2U41
 3063.537, 3942.175,90753.891, 1352.457, 2985.705, 7440.851,Total.SURVEY_LU1_2U42
243.6208,369.7169,266.1210,157.3090,332.2818,128.4292,Total.SURVEY_LC1_3A11
57.306225,12.255544,15.968539, 0.000000, 7.853835, 4.402101,Total.SURVEY_LC1_3A12
 0.00000, 0.00000, 0.00000, 0.00000,12.00071, 0.00000,Total.SURVEY_LC1_3A13
211.9231,409.0978,212.0199,128.2983,352.0006,173.9943,Total.SURVEY_LC1_3A21
 268.6210, 403.5432,1066.1295, 459.7968,1120.4496,1047.0336,Total.SURVEY_LC1_3A22
 37.16797, 60.71142,235.40891,106.18771,150.52835,224.80904,Total.SURVEY_LC1_3A30
 196.25872, 130.83944,  13.60083,1498.28536,2057.69089, 147.31462,Total.SURVEY_LC1_3B11
 0.000000,11.716981, 0.000000, 8.508493,81.883183,12.004774,Total.SURVEY_LC1_3B12
  17.15355,  99.70390,  21.69118, 366.08940,1491.57858, 193.50478,Total.SURVEY_LC1_3B13
 17.15355,  0.00000,  0.00000,138.83646,116.32736, 11.45280,Total.SURVEY_LC1_3B14
 17.153554, 67.536684,  8.081081,252.775919,648.576583,141.824497,Total.SURVEY_LC1_3B15
  0.000000,  0.000000,  3.839372,  4.076046,263.094052,  0.000000,Total.SURVEY_LC1_3B16
 0.00000,32.46522, 0.00000,35.11859,98.84658, 0.00000,Total.SURVEY_LC1_3B18
  0.00000,  0.00000,  0.00000, 17.15355,160.53347, 27.28100,Total.SURVEY_LC1_3B21
  0.0000,  0.0000,  0.0000,  0.0000,262.6335,  0.0000,Total.SURVEY_LC1_3B22
 0.0000, 0.0000, 0.0000, 0.0000,47.3795, 0.0000,Total.SURVEY_LC1_3B23
 39.08049, 69.56167,  0.00000,229.67832,675.98201, 25.87987,Total.SURVEY_LC1_3B32
 0.00000, 0.00000, 0.00000,38.26901,11.71698, 0.00000,Total.SURVEY_LC1_3B35
 38.269006, 11.716981,  0.000000,138.478068,245.100498,  8.645815,Total.SURVEY_LC1_3B41
 0.00000, 0.00000, 0.00000, 0.00000,37.71343, 0.00000,Total.SURVEY_LC1_3B43
0.000000,0.000000,0.000000,0.000000,3.940046,0.000000,Total.SURVEY_LC1_3B44
 0.0000, 0.0000, 0.0000, 0.0000,21.9185, 0.0000,Total.SURVEY_LC1_3B45
 15.341968,  0.000000,  4.121185,181.497740,141.490014, 36.580577,Total.SURVEY_LC1_3B51
 0.00000, 0.00000, 0.00000,21.11545,14.53409, 0.00000,Total.SURVEY_LC1_3B52
  0.00000,  0.00000, 21.77263, 76.56621,270.07271,271.21446,Total.SURVEY_LC1_3B53
 8.531515, 0.000000, 0.000000,17.153554,20.820220, 3.848526,Total.SURVEY_LC1_3B54
   0.00000,   0.00000,  34.98316, 561.83978,1796.98604, 421.69460,Total.SURVEY_LC1_3B55
