SE11.No,SE12.No,SE21.No,SE22.No,SE23.No,SE31.No,SE32.No,SE33.No,SE11.Yes,SE12.Yes,SE21.Yes,SE22.Yes,SE23.Yes,SE31.Yes,SE32.Yes,SE33.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  3063.593, 19342.760, 15353.865,  2045.824, 10111.870, 44165.982, 65992.996,116108.286,  4089.407, 23811.240, 20521.044, 12295.176, 24353.130, 27474.018, 10716.004, 47974.714,Total.area
380.9935,437.6457,430.7386,363.3148,461.2714,773.6202,509.9986,512.0291,202.6116,648.9803,624.5512,418.4744,932.0892,604.3011,283.1888,691.1783,Total.SURVEY_LC1_1A
  71.62365,1089.36171, 320.54859, 244.79762, 822.10592, 328.51427, 196.35438,  60.78248, 385.14246,3239.14856,1770.17806,3516.86779,3281.51286, 688.16904, 259.91011, 357.26667,Total.SURVEY_LC1_1B
 1579.929,10772.144, 9737.492,  628.343, 2197.324,27715.308,42049.715,55689.786, 2576.375,14707.469,14217.456, 5536.295,15271.463,23101.116, 8785.137,41793.548,Total.SURVEY_LC1_1C
   48.38179,  412.01117,  317.16814,   32.73046,  278.21991, 2490.40481, 8358.40591,18668.70585,   46.74008,  496.50401,  576.82279,  209.89878,  327.59077,  816.76902,  210.57782, 1719.46104,Total.SURVEY_LC1_1D
 267.7778,1236.2483,1146.7665, 288.4319, 519.3737,1361.1907,1066.6188,1254.5024, 713.9072,3754.2705,3048.4201,2352.6259,4109.7448,1941.7979,1044.4831,1645.8958,Total.SURVEY_LC1_1E
   69.83043,  141.56258,  169.39495,   28.33148,  152.53780,  969.98523, 2574.53243,13372.72726,  107.21590,  803.72835,  164.36857,  158.87152,  244.15891,  128.53965,   79.77676,  111.60872,Total.SURVEY_LC1_1F
  587.374093, 4570.534099, 2575.146029,  391.498839, 5169.337674, 7736.828847, 5890.967063,12266.161291,   20.234651,   30.589069,   57.119220,   57.821943,   97.981456,   80.449409,    8.122443,  184.912978,Total.SURVEY_LC1_1G
   57.68242,  683.25230,  656.61070,   68.37590,  511.70037, 2790.13055, 5346.40364,14283.59175,   37.18078,  130.54956,   62.12774,   44.32023,   88.58855,  112.87524,   44.80839, 1470.84237,Total.SURVEY_LC1_1H
 1508.0018,12524.0030,10351.6846,  799.5404, 2959.2411,27856.5388,39638.0609,38435.1120, 3304.3704,21179.5323,18237.2874,10870.5636,20823.3965,24833.2757, 9739.0824,40698.2922,Total.SURVEY_LU1_1U1
   0.000000,  43.381964,  14.601097,  98.275532,  47.806213,  53.859718, 463.802710,1083.290602,   0.000000,   0.000000,   0.000000,   0.000000,  20.354374,   0.000000,   0.000000,   3.871813,Total.SURVEY_LU1_1U2
 1066.3821, 4196.8966, 2550.7685,  909.5968, 5825.6810, 8231.5857, 5413.8295,14231.4633,  516.5151, 1530.8364, 1294.5500,  872.5538, 2034.9985, 1158.0872,  563.7815, 1706.6895,Total.SURVEY_LU1_1U3
  489.2087, 2578.4787, 2436.8112,  238.4113, 1279.1420, 8023.9983,20477.3026,62358.4203,  268.5218, 1100.8711,  989.2068,  552.0585, 1474.3803, 1482.6546,  413.1404, 5565.8602,Total.SURVEY_LU1_1U4
155.526817,145.400240, 86.952153,184.740435,110.279839,172.088794, 36.699392, 73.301387, 28.083885,129.225158,122.102596,128.100180,101.933540, 90.131562,  7.933776, 34.765974,Total.SURVEY_LC1_2A1
216.8474,263.6967,308.0515,166.0563,338.5331,524.9662,411.7280,341.4552,157.3308,430.7643,451.6636,261.8783,758.9084,482.6056,230.2415,508.1807,Total.SURVEY_LC1_2A2
  8.619254, 28.548711, 35.734921, 12.518080, 12.458420, 76.565232, 61.571195, 97.272483, 17.196910, 88.990804, 50.785061, 28.495958, 71.247327, 31.563872, 45.013523,148.231647,Total.SURVEY_LC1_2A3
   0.000000, 247.719383,  30.793255, 105.452826, 206.016145,  19.710251,  19.569918,   7.932292, 250.738713,2052.951554, 835.608863,2049.822244,1872.566114, 315.749235,  67.565276, 122.786961,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 17.153554, 24.331654,393.705835, 52.508968, 10.430959,  8.498063,  8.351976,Total.SURVEY_LC1_2B2
  0.000000, 39.080487,  4.143863, 29.242539, 36.175271,  0.000000,  0.000000,  0.000000, 19.054963,248.892362,122.357072,387.811048,177.530874, 22.031344,  0.000000,  3.848526,Total.SURVEY_LC1_2B3
  0.000000, 38.269006,  0.000000, 11.716981,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,138.478068, 37.182502,110.453308,161.036662,  4.733516,  3.912299,  0.000000,Total.SURVEY_LC1_2B4
 15.341968,  8.531515,  0.000000,  0.000000,  0.000000, 29.158871, 23.948269,  7.769828,106.916075,751.256665,738.534195,524.265472,981.103398,331.124484,179.934469,222.279211,Total.SURVEY_LC1_2B5
12.361845, 0.000000, 0.000000, 0.000000, 0.000000, 4.099501, 0.000000, 0.000000, 4.112106, 8.288207, 8.019906,34.370499,36.766841, 4.099501, 0.000000, 0.000000,Total.SURVEY_LC1_2B7
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.320602,22.128150, 4.143863,16.439388, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2B8
 43.91984,755.76132,285.61147, 98.38527,579.91450,275.54564,152.83619, 45.08036,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Bx
 267.6459,1120.3621, 934.2294, 341.0697, 352.3817, 779.6408,2115.8769,4117.5853, 468.9687,2335.1924,2144.4989,1988.6198,2590.2427, 922.4886, 549.1067,3989.0471,Total.SURVEY_LC1_2C1
  779.6311, 6876.0171, 6018.1524,  117.7067, 1293.4577,20458.4613,24847.7369,31379.1851, 1196.5531, 7880.1042, 7308.8944, 2144.3403, 7271.0001,14330.4285, 4397.5533,20756.1343,Total.SURVEY_LC1_2C2
  528.4528, 2775.7652, 2785.1102,  141.9025,  551.4841, 6477.2057,14995.6380,20041.2382,  910.8529, 4492.1728, 4764.0631, 1403.3353, 5410.2203, 7848.1991, 3838.4768,17048.3665,Total.SURVEY_LC1_2C3
  4.199141,  0.000000,  0.000000, 27.664231,  0.000000,  0.000000, 90.463108,151.777495,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2Cx
  20.59617, 217.10794,  93.82807,  12.28203,  53.62160, 854.95097,1770.40185,2473.30099,  34.47838, 361.23749, 342.24457, 148.26478, 186.53407, 486.74944, 140.84327, 800.66635,Total.SURVEY_LC1_2D1
   27.78562,  194.90323,  223.34007,   20.44842,  224.59831, 1635.45384, 6538.75128,16190.05095,   12.26170,  135.26652,  234.57823,   61.63400,  141.05671,  330.01958,   69.73455,  918.79469,Total.SURVEY_LC1_2D2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,49.252781, 5.353917, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Dx
  57.61545, 180.28152, 291.99027,  75.80064, 189.16341, 114.14452,  92.24832, 136.66075, 121.97491, 585.84478, 717.70714, 195.80833,1052.85588, 245.27488, 181.25922, 200.91998,Total.SURVEY_LC1_2E1
 186.1104, 704.9367, 611.6835, 184.0863, 311.0229, 593.4054, 473.3856, 684.7810, 489.8235,2497.3954,2013.3897,1720.7922,2703.7359,1521.3714, 555.8770,1054.9839,Total.SURVEY_LC1_2E2
 24.05191,338.99791,243.09276, 28.54499, 19.18744,653.64078,500.98487,433.06066,102.10880,671.03039,317.32327,436.02533,353.15302,175.15167,307.34695,389.99193,Total.SURVEY_LC1_2E3
 0.00000,12.03221, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Ex
  33.473134,  17.947462,  16.172247,   7.976859, 111.320869,  74.155577, 781.779708,5852.104360,  21.535037,   3.809034,   4.193243,  15.885826,  58.072222,   0.000000,   0.000000,   8.799810,Total.SURVEY_LC1_2F1
  8.475155, 18.432298, 12.558279,  8.224982,  4.189859, 39.545330, 28.226817,106.704186,  4.237578,  0.000000,  0.000000, 15.749532,  4.200755,  5.517138,  0.000000,  0.000000,Total.SURVEY_LC1_2F2
  23.644562,   4.149324,   7.577305,   4.060433,  25.057458, 321.148562,1582.390326,7185.363363,  12.566168, 125.444598,  47.740511,  16.008722,   8.277487,   0.000000,  57.025253,  11.424528,Total.SURVEY_LC1_2F3
  4.237578,101.033501,133.087122,  8.069210, 11.969619,535.135756,182.135580,228.555347, 68.877114,674.474722,112.434817,111.227442,173.608442,123.022508, 22.751504, 91.384379,Total.SURVEY_LC1_2F4
  570.977467, 4497.703012, 2535.022826,  371.271744, 5100.946272, 7546.530818, 5420.248855,10458.096939,   20.234651,   20.984800,   30.892908,   43.838298,   66.057173,   65.042782,    8.122443,   89.079872,Total.SURVEY_LC1_2G1
   3.999902,  68.735347,  36.032858,   7.884018,  60.092987, 186.251837, 419.785966,1234.108868,   0.000000,   9.604268,  26.226312,  13.983645,  31.924283,  15.406627,   0.000000,  95.833107,Total.SURVEY_LC1_2G2
12.396725, 4.095740, 4.090344,12.343077, 8.298416, 4.046193, 0.000000, 3.981450, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2G4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 50.93224,569.97403,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2G5
   57.68242,  683.25230,  656.61070,   68.37590,  507.62242, 2790.13055, 5342.43107,14283.59175,   32.98163,  130.54956,   62.12774,   40.25979,   88.58855,  112.87524,   44.80839, 1470.84237,Total.SURVEY_LC1_2H1
0.000000,0.000000,0.000000,0.000000,4.077953,0.000000,3.972573,0.000000,4.199141,0.000000,0.000000,4.060433,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2H2
 136.6235,1483.7854, 813.3504, 319.0223,1019.8808, 705.5059, 392.2218, 213.0223, 928.1418,6365.3129,4228.6811,5535.8286,6178.9329,2182.9069, 695.3633,1021.3762,Total.SURVEY_LU1_2U11
 1109.7920,10409.7911, 9507.5109,  468.2252, 1872.9633,27104.5334,39148.6139,38012.9303, 2367.7534,14793.6986,14004.4624, 5316.4939,14627.6715,22644.8517, 9028.9596,39652.0539,Total.SURVEY_LU1_2U12
248.87359,596.37712,  0.00000,  0.00000, 53.80559, 24.20980,  0.00000,113.36160,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LU1_2U13
12.712733,34.049423,30.823362,12.292902,12.591369,22.289598,40.511935,95.797727, 8.475155,20.520850, 4.143863,18.241206,16.792124, 5.517138,14.759463,13.348491,Total.SURVEY_LU1_2U14
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,56.71321, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,11.51368,Total.SURVEY_LU1_2U15
   0.000000,  23.104577,   6.358931,   3.942009,  11.440668,  37.826501, 444.027320,1055.558959,   0.000000,   0.000000,   0.000000,   0.000000,   4.417969,   0.000000,   0.000000,   3.871813,Total.SURVEY_LU1_2U21
 0.000000,20.277387, 8.242165,94.333523,36.365545,16.033217,19.775390,27.731643, 0.000000, 0.000000, 0.000000, 0.000000,15.936405, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U22
 260.9551,1325.5921, 827.6202, 158.7820,3304.6217,3075.7299, 836.7107, 657.5729, 145.9366, 602.7952, 571.7819, 246.9553, 756.6921, 642.0846, 359.6952,1090.3066,Total.SURVEY_LU1_2U31
 8.349683,12.191357, 0.000000,14.501571, 4.200755, 0.000000, 0.000000, 3.943626, 0.000000,25.104740, 4.132987, 4.060433, 0.000000, 0.000000, 4.075103, 0.000000,Total.SURVEY_LU1_2U32
 4.093302, 4.342548, 9.752519, 0.000000, 0.000000, 4.280899, 0.000000, 0.000000, 7.194446,29.964718,19.378303,10.290933,24.541047, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U33
45.690677,47.678436,12.135162,44.451998,42.766472,56.007717,26.428982,15.942415, 8.558852, 0.000000, 8.203661, 0.000000,12.986846, 4.137853, 0.000000, 6.118577,Total.SURVEY_LU1_2U34
  25.17414, 166.48427, 106.35612,  38.57411, 302.08371, 134.91518,  19.43465,6196.05591,  28.19906,  54.40274,  11.73073,  19.55031, 104.11729,   0.00000,   4.02590,  68.90230,Total.SURVEY_LU1_2U35
 307.070660,2157.861340,1268.919276, 395.192651,1990.691483,4534.569493,4352.144645,7076.825943, 108.562069, 267.424596, 182.268399, 244.858045, 801.771980, 275.700390,   8.106826, 263.161233,Total.SURVEY_LU1_2U36
415.0485,482.7466,325.9852,258.0945,181.3168,426.0824,179.1105,281.1225,218.0641,551.1445,497.0541,346.8387,334.8892,236.1644,187.8785,278.2008,Total.SURVEY_LU1_2U37
 0.000000, 4.150282, 8.112103, 0.000000, 4.077953,13.533746,12.255218,80.040890, 4.310499,12.625366, 3.988994, 9.807251,16.144673, 4.959074, 4.053729,11.791061,Total.SURVEY_LU1_2U41
  489.2087, 2574.3284, 2428.6991,  238.4113, 1275.0641, 8010.4646,20465.0474,62278.3794,  264.2113, 1088.2457,  985.2178,  542.2513, 1458.2357, 1477.6956,  409.0867, 5554.0691,Total.SURVEY_LU1_2U42
 98.220592,145.400240, 82.910724,176.526320,110.279839,160.063882, 36.699392, 69.357761, 28.083885,129.225158,122.102596,116.099475, 94.079705, 90.131562,  7.933776, 30.363873,Total.SURVEY_LC1_3A11
57.306225, 0.000000, 4.041429, 8.214115, 0.000000,12.024913, 0.000000, 3.943626, 0.000000, 0.000000, 0.000000, 0.000000, 7.853835, 0.000000, 0.000000, 4.402101,Total.SURVEY_LC1_3A12
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,12.00071, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3A13
147.94351, 63.97962,102.01900, 96.45851,210.62031, 40.23367, 75.33695, 96.44923, 45.43998, 82.85836, 56.48503,101.93136,193.58419,118.13206, 12.26751, 43.59473,Total.SURVEY_LC1_3A21
 68.90391,199.71708,206.03252, 69.59779,127.91284,484.73253,336.39103,245.00595,111.89083,347.90599,395.17853,159.94693,565.32418,364.47357,217.97403,464.58596,Total.SURVEY_LC1_3A22
  8.619254, 28.548711, 35.734921, 12.518080, 12.458420, 76.565232, 61.571195, 97.272483, 17.196910, 88.990804, 50.785061, 28.495958, 71.247327, 31.563872, 45.013523,148.231647,Total.SURVEY_LC1_3A30
   0.000000, 196.258721,  30.793255,  23.433961,  76.612223,   5.726400,   4.025900,   3.848526, 160.871077,1337.414279, 357.485257, 912.883429, 787.322203, 131.416735,  11.935993,   3.961891,Total.SURVEY_LC1_3B11
 0.000000, 0.000000, 0.000000,11.716981, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.508493, 0.000000,65.777411,16.105773, 0.000000,12.004774, 0.000000,Total.SURVEY_LC1_3B12
  0.000000, 17.153554,  0.000000, 46.867923, 52.835975,  9.815068,  7.792346,  4.083766, 53.834154,312.255248,155.877612,738.186895,597.514072, 76.636963, 27.904801, 88.963017,Total.SURVEY_LC1_3B13
  0.000000, 17.153554,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.605467,130.230996, 33.399090, 62.858768, 20.069499, 11.452801,  0.000000,  0.000000,Total.SURVEY_LC1_3B14
  0.000000, 17.153554,  0.000000, 23.433961, 44.102723,  4.168782,  3.912299,  0.000000, 27.428015,225.347905,145.822578,149.225430,353.528575, 96.242737, 15.719708, 29.862052,Total.SURVEY_LC1_3B15
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.839372,  0.000000,  0.000000,  4.076046,112.306623,100.990202, 49.797227,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3B16
 0.00000, 0.00000, 0.00000, 0.00000,32.46522, 0.00000, 0.00000, 0.00000, 0.00000,35.11859,30.71770,19.90011,48.22877, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3B18
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 17.153554, 10.173475,118.034755, 32.325242, 10.430959,  8.498063,  8.351976,Total.SURVEY_LC1_3B21
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,242.44976, 20.18373,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_3B22
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,14.15818,33.22132, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3B23
  0.000000, 39.080487,  4.143863, 29.242539, 36.175271,  0.000000,  0.000000,  0.000000, 19.054963,210.623356,122.357072,376.094067,177.530874, 22.031344,  0.000000,  3.848526,Total.SURVEY_LC1_3B32
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,38.26901, 0.00000,11.71698, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3B35
  0.000000, 38.269006,  0.000000, 11.716981,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,138.478068, 16.779469, 71.362320,156.958709,  4.733516,  3.912299,  0.000000,Total.SURVEY_LC1_3B41
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,10.201516,23.433961, 4.077953, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3B43
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.940046,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3B44
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,10.20152,11.71698, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3B45
 15.341968,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.121185,  0.000000,  3.995395,177.502345, 27.510915, 27.492130, 86.486969, 16.742202, 15.917073,  3.921301,Total.SURVEY_LC1_3B51
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,21.11545,14.53409, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3B52
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  5.99927, 15.77336,  0.00000, 15.05957, 61.50665, 21.52124, 77.39260,171.15887,130.93427, 63.78981, 76.49039,Total.SURVEY_LC1_3B53
