SI0.No,SI0.Yes,variable
No,Yes,flag_two
 6762.83,13510.17,Total.area
338.0111,444.9484,Total.SURVEY_LC1_1A
 202.1665,1678.7079,Total.SURVEY_LC1_1B
4875.770,7588.388,Total.SURVEY_LC1_1C
300.7331,188.9207,Total.SURVEY_LC1_1D
 733.0518,3427.0381,Total.SURVEY_LC1_1E
229.74503, 68.85164,Total.SURVEY_LC1_1F
 66.89176,113.31543,Total.SURVEY_LC1_1G
16.4609, 0.0000,Total.SURVEY_LC1_1H
 5228.963,12081.075,Total.SURVEY_LU1_1U1
11.762150, 7.309313,Total.SURVEY_LU1_1U2
567.6310,746.7314,Total.SURVEY_LU1_1U3
954.4740,675.0539,Total.SURVEY_LU1_1U4
124.94509, 91.21013,Total.SURVEY_LC1_2A1
201.1387,313.0004,Total.SURVEY_LC1_2A2
11.92737,40.73788,Total.SURVEY_LC1_2A3
 11.36284,901.54457,Total.SURVEY_LC1_2B1
 0.0000,25.5168,Total.SURVEY_LC1_2B2
 0.00000,68.39305,Total.SURVEY_LC1_2B3
 0.00000,85.23609,Total.SURVEY_LC1_2B4
  4.996774,192.514836,Total.SURVEY_LC1_2B5
 43.45625,250.04475,Total.SURVEY_LC1_2B7
  0.0000,155.4578,Total.SURVEY_LC1_2B8
142.3507,  0.0000,Total.SURVEY_LC1_2Bx
2241.279,3765.067,Total.SURVEY_LC1_2C1
1043.2000, 810.1008,Total.SURVEY_LC1_2C2
1591.291,3013.219,Total.SURVEY_LC1_2C3
178.5152,105.5943,Total.SURVEY_LC1_2D1
122.21787, 83.32635,Total.SURVEY_LC1_2D2
176.2215,443.8705,Total.SURVEY_LC1_2E1
 552.9388,2848.9801,Total.SURVEY_LC1_2E2
  0.0000,134.1875,Total.SURVEY_LC1_2E3
3.891527,0.000000,Total.SURVEY_LC1_2Ex
130.709,  0.000,Total.SURVEY_LC1_2F1
99.03605,68.85164,Total.SURVEY_LC1_2F4
41.75304,16.26406,Total.SURVEY_LC1_2G1
25.13872,97.05138,Total.SURVEY_LC1_2G2
4.041989,0.000000,Total.SURVEY_LC1_2H1
12.41891, 0.00000,Total.SURVEY_LC1_2H2
 757.7848,4796.8014,Total.SURVEY_LU1_2U11
4441.694,7263.530,Total.SURVEY_LU1_2U12
 8.261557,16.541877,Total.SURVEY_LU1_2U13
16.491086, 4.201753,Total.SURVEY_LU1_2U14
4.731654,0.000000,Total.SURVEY_LU1_2U15
11.762150, 7.309313,Total.SURVEY_LU1_2U22
193.2380,302.7847,Total.SURVEY_LU1_2U31
17.08898,11.64301,Total.SURVEY_LU1_2U32
5.102597,0.000000,Total.SURVEY_LU1_2U33
17.094800, 4.353341,Total.SURVEY_LU1_2U34
38.79864,23.82062,Total.SURVEY_LU1_2U35
104.2673,105.7396,Total.SURVEY_LU1_2U36
192.0406,298.3901,Total.SURVEY_LU1_2U37
 0.00000,12.24343,Total.SURVEY_LU1_2U41
954.4740,662.8105,Total.SURVEY_LU1_2U42
108.14393, 79.84729,Total.SURVEY_LC1_3A11
16.80116, 0.00000,Total.SURVEY_LC1_3A12
 0.00000,11.36284,Total.SURVEY_LC1_3A13
107.11812, 88.65927,Total.SURVEY_LC1_3A21
 94.02054,224.34114,Total.SURVEY_LC1_3A22
11.92737,40.73788,Total.SURVEY_LC1_3A30
  0.0000,123.2649,Total.SURVEY_LC1_3B11
 0.00000,16.29805,Total.SURVEY_LC1_3B12
  0.0000,184.3046,Total.SURVEY_LC1_3B13
 0.00000,11.50155,Total.SURVEY_LC1_3B15
 11.36284,562.17400,Total.SURVEY_LC1_3B16
0.000000,4.001464,Total.SURVEY_LC1_3B19
 0.00000,16.05218,Total.SURVEY_LC1_3B21
0.000000,9.464617,Total.SURVEY_LC1_3B23
 0.00000,11.50656,Total.SURVEY_LC1_3B31
 0.00000,14.68655,Total.SURVEY_LC1_3B32
 0.00000,14.66157,Total.SURVEY_LC1_3B33
 0.00000,27.53837,Total.SURVEY_LC1_3B37
0.000000,4.957663,Total.SURVEY_LC1_3B42
 0.00000,59.66897,Total.SURVEY_LC1_3B43
 0.00000,20.60945,Total.SURVEY_LC1_3B44
 0.00000,25.43602,Total.SURVEY_LC1_3B51
 0.00000,21.71405,Total.SURVEY_LC1_3B52
 0.00000,26.72681,Total.SURVEY_LC1_3B53
  4.996774,118.637956,Total.SURVEY_LC1_3B55
 27.66394,124.84103,Total.SURVEY_LC1_3B71
 0.00000,21.69143,Total.SURVEY_LC1_3B72
 0.00000,27.22544,Total.SURVEY_LC1_3B73
 7.820614,34.028089,Total.SURVEY_LC1_3B74
 7.971694,42.258759,Total.SURVEY_LC1_3B75
 0.0000,33.3375,Total.SURVEY_LC1_3B81
  0.0000,122.1203,Total.SURVEY_LC1_3B82
123.7772,  0.0000,Total.SURVEY_LC1_3Bx1
18.57351, 0.00000,Total.SURVEY_LC1_3Bx2
2241.279,3765.067,Total.SURVEY_LC1_3C10
680.5116,594.2390,Total.SURVEY_LC1_3C21
 41.87426,117.40898,Total.SURVEY_LC1_3C22
54.01219,98.45276,Total.SURVEY_LC1_3C23
266.802,  0.000,Total.SURVEY_LC1_3C2x
 787.154,1942.919,Total.SURVEY_LC1_3C31
102.1296,364.3136,Total.SURVEY_LC1_3C32
239.6405,705.9871,Total.SURVEY_LC1_3C33
462.3665,  0.0000,Total.SURVEY_LC1_3C3x
178.5152,105.5943,Total.SURVEY_LC1_3D10
122.21787, 83.32635,Total.SURVEY_LC1_3D20
176.2215,443.8705,Total.SURVEY_LC1_3E10
 552.9388,2848.9801,Total.SURVEY_LC1_3E20
  0.0000,134.1875,Total.SURVEY_LC1_3E30
3.891527,0.000000,Total.SURVEY_LC1_3Exx
130.709,  0.000,Total.SURVEY_LC1_3F10
99.03605,68.85164,Total.SURVEY_LC1_3F40
41.75304,16.26406,Total.SURVEY_LC1_3G11
25.13872,97.05138,Total.SURVEY_LC1_3G21
4.041989,0.000000,Total.SURVEY_LC1_3H11
12.41891, 0.00000,Total.SURVEY_LC1_3H22
 723.4021,4703.4840,Total.SURVEY_LU1_3U111
 0.00000,14.25429,Total.SURVEY_LU1_3U112
34.38270,79.06307,Total.SURVEY_LU1_3U113
4441.694,7263.530,Total.SURVEY_LU1_3U120
 8.261557,16.541877,Total.SURVEY_LU1_3U130
16.491086, 4.201753,Total.SURVEY_LU1_3U140
4.731654,0.000000,Total.SURVEY_LU1_3U150
3.920717,0.000000,Total.SURVEY_LU1_3U221
3.920717,0.000000,Total.SURVEY_LU1_3U223
3.920717,0.000000,Total.SURVEY_LU1_3U226
0.000000,7.309313,Total.SURVEY_LU1_3U227
0.000000,4.010979,Total.SURVEY_LU1_3U311
141.9092,233.1032,Total.SURVEY_LU1_3U312
4.226,0.000,Total.SURVEY_LU1_3U313
11.945743, 4.047792,Total.SURVEY_LU1_3U314
3.920717,0.000000,Total.SURVEY_LU1_3U316
19.30906,17.02090,Total.SURVEY_LU1_3U317
0.000000,7.763464,Total.SURVEY_LU1_3U318
