SI03.No,SI04.No,SI03.Yes,SI04.Yes,variable
No,No,Yes,Yes,flag_two
3187.054,3575.777,9245.946,4264.223,Total.area
183.9094,154.1017,276.9667,167.9817,Total.SURVEY_LC1_1A
 164.42131,  37.74521,1313.80012, 364.90776,Total.SURVEY_LC1_1B
2245.154,2630.616,5135.765,2452.623,Total.SURVEY_LC1_1C
 79.21959,221.51347, 93.53964, 95.38102,Total.SURVEY_LC1_1D
 375.0644, 357.9874,2291.1984,1135.8397,Total.SURVEY_LC1_1E
 89.32189,140.42314, 55.58716, 13.26449,Total.SURVEY_LC1_1F
45.92110,20.97066,79.08940,34.22603,Total.SURVEY_LC1_1G
 4.041989,12.418912, 0.000000, 0.000000,Total.SURVEY_LC1_1H
2697.051,2531.912,8456.010,3625.065,Total.SURVEY_LU1_1U1
11.762150, 0.000000, 0.000000, 7.309313,Total.SURVEY_LU1_1U2
312.6314,254.9996,486.5429,260.1885,Total.SURVEY_LU1_1U3
165.6090,788.8650,303.3937,371.6602,Total.SURVEY_LU1_1U4
47.46488,77.48021,75.52790,15.68223,Total.SURVEY_LC1_2A1
124.51715, 76.62151,189.43665,123.56376,Total.SURVEY_LC1_2A2
11.92737, 0.00000,12.00218,28.73570,Total.SURVEY_LC1_2A3
 11.36284,  0.00000,823.25335, 78.29123,Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 9.464617,16.052184,Total.SURVEY_LC1_2B2
 0.00000, 0.00000,49.77231,18.62075,Total.SURVEY_LC1_2B3
 0.00000, 0.00000,69.28821,15.94788,Total.SURVEY_LC1_2B4
  4.996774,  0.000000,129.937524, 62.577312,Total.SURVEY_LC1_2B5
 31.42021, 12.03603,162.33252, 87.71223,Total.SURVEY_LC1_2B7
 0.00000, 0.00000,69.75159,85.70618,Total.SURVEY_LC1_2B8
116.64149, 25.70918,  0.00000,  0.00000,Total.SURVEY_LC1_2Bx
1024.000,1217.279,2443.180,1321.888,Total.SURVEY_LC1_2C1
450.1801,593.0199,632.4170,177.6837,Total.SURVEY_LC1_2C2
 770.9736, 820.3170,2060.1683, 953.0510,Total.SURVEY_LC1_2C3
 55.46893,123.04626, 55.78164, 49.81267,Total.SURVEY_LC1_2D1
23.75066,98.46721,37.75800,45.56835,Total.SURVEY_LC1_2D2
 63.30906,112.91249,298.82962,145.04089,Total.SURVEY_LC1_2E1
 311.7554, 241.1834,1885.4334, 963.5467,Total.SURVEY_LC1_2E2
  0.00000,  0.00000,106.93536, 27.25211,Total.SURVEY_LC1_2E3
0.000000,3.891527,0.000000,0.000000,Total.SURVEY_LC1_2Ex
  7.874104,122.834872,  0.000000,  0.000000,Total.SURVEY_LC1_2F1
81.44778,17.58827,55.58716,13.26449,Total.SURVEY_LC1_2F4
29.207545,12.545494,12.250844, 4.013213,Total.SURVEY_LC1_2G1
16.713556, 8.425168,66.838560,30.212817,Total.SURVEY_LC1_2G2
4.041989,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2H1
 0.00000,12.41891, 0.00000, 0.00000,Total.SURVEY_LC1_2H2
 531.1805, 226.6043,3403.7772,1393.0242,Total.SURVEY_LU1_2U11
2148.805,2292.889,5040.126,2223.404,Total.SURVEY_LU1_2U12
 8.261557, 0.000000,12.106672, 4.435205,Total.SURVEY_LU1_2U13
 4.072174,12.418912, 0.000000, 4.201753,Total.SURVEY_LU1_2U14
4.731654,0.000000,0.000000,0.000000,Total.SURVEY_LU1_2U15
11.762150, 0.000000, 0.000000, 7.309313,Total.SURVEY_LU1_2U22
109.57988, 83.65817,184.79232,117.99242,Total.SURVEY_LU1_2U31
 4.142390,12.946594, 3.730274, 7.912733,Total.SURVEY_LU1_2U32
0.000000,5.102597,0.000000,0.000000,Total.SURVEY_LU1_2U33
7.841433,9.253367,0.000000,4.353341,Total.SURVEY_LU1_2U34
34.551610, 4.247032,23.820624, 0.000000,Total.SURVEY_LU1_2U35
53.52267,50.74461,68.39461,37.34502,Total.SURVEY_LU1_2U36
102.99340, 89.04723,205.80510, 92.58497,Total.SURVEY_LU1_2U37
0.000000,0.000000,8.343909,3.899520,Total.SURVEY_LU1_2U41
165.6090,788.8650,295.0498,367.7607,Total.SURVEY_LU1_2U42
47.46488,60.67906,64.16506,15.68223,Total.SURVEY_LC1_3A11
 0.00000,16.80116, 0.00000, 0.00000,Total.SURVEY_LC1_3A12
 0.00000, 0.00000,11.36284, 0.00000,Total.SURVEY_LC1_3A13
70.69451,36.42362,45.03240,43.62687,Total.SURVEY_LC1_3A21
 53.82264, 40.19790,144.40425, 79.93689,Total.SURVEY_LC1_3A22
11.92737, 0.00000,12.00218,28.73570,Total.SURVEY_LC1_3A30
  0.00000,  0.00000,114.36840,  8.89646,Total.SURVEY_LC1_3B11
 0.00000, 0.00000,16.29805, 0.00000,Total.SURVEY_LC1_3B12
