SK0.No,SK0.Yes,variable
No,Yes,flag_two
17072.26,31962.74,Total.area
876.204,615.592,Total.SURVEY_LC1_1A
4765.093,7416.101,Total.SURVEY_LC1_1B
 6832.14,15680.15,Total.SURVEY_LC1_1C
 961.0012,1153.6031,Total.SURVEY_LC1_1D
2609.948,6164.216,Total.SURVEY_LC1_1E
656.6539,694.5047,Total.SURVEY_LC1_1F
343.8387,167.7477,Total.SURVEY_LC1_1G
27.37661,70.83183,Total.SURVEY_LC1_1H
13735.55,27944.24,Total.SURVEY_LU1_1U1
159.12497, 42.20243,Total.SURVEY_LU1_1U2
1936.317,1063.770,Total.SURVEY_LU1_1U3
1241.261,2912.528,Total.SURVEY_LU1_1U4
343.3441,161.8602,Total.SURVEY_LC1_2A1
503.4330,380.4232,Total.SURVEY_LC1_2A2
29.42692,73.30863,Total.SURVEY_LC1_2A3
 678.8191,4312.6419,Total.SURVEY_LC1_2B1
  4.921378,133.965668,Total.SURVEY_LC1_2B2
 294.3345,1697.7896,Total.SURVEY_LC1_2B3
 13.26509,121.56754,Total.SURVEY_LC1_2B4
 18.40877,827.46245,Total.SURVEY_LC1_2B5
 34.29996,249.80844,Total.SURVEY_LC1_2B7
32.88998,72.86532,Total.SURVEY_LC1_2B8
3688.154,   0.000,Total.SURVEY_LC1_2Bx
 3475.246,10364.463,Total.SURVEY_LC1_2C1
2084.035,2613.722,Total.SURVEY_LC1_2C2
1272.859,2701.963,Total.SURVEY_LC1_2C3
458.6046,793.8331,Total.SURVEY_LC1_2D1
502.3966,359.7700,Total.SURVEY_LC1_2D2
411.8953,483.0615,Total.SURVEY_LC1_2E1
1764.693,4575.239,Total.SURVEY_LC1_2E2
 425.2953,1105.9156,Total.SURVEY_LC1_2E3
8.065226,0.000000,Total.SURVEY_LC1_2Ex
133.739926,  3.580796,Total.SURVEY_LC1_2F1
3.592064,0.000000,Total.SURVEY_LC1_2F2
8.663839,0.000000,Total.SURVEY_LC1_2F3
510.6580,690.9239,Total.SURVEY_LC1_2F4
177.64828, 48.99932,Total.SURVEY_LC1_2G1
166.1904,118.7484,Total.SURVEY_LC1_2G2
27.37661,70.83183,Total.SURVEY_LC1_2H1
 6537.711,13091.897,Total.SURVEY_LU1_2U11
 7110.933,14789.865,Total.SURVEY_LU1_2U12
42.74342,23.64532,Total.SURVEY_LU1_2U13
36.77310,38.83666,Total.SURVEY_LU1_2U14
7.392535,0.000000,Total.SURVEY_LU1_2U15
72.65127,12.55185,Total.SURVEY_LU1_2U21
86.47371,29.65058,Total.SURVEY_LU1_2U22
573.2430,479.4952,Total.SURVEY_LU1_2U31
75.55681,37.71131,Total.SURVEY_LU1_2U32
21.09517,21.34051,Total.SURVEY_LU1_2U33
25.59489,30.05461,Total.SURVEY_LU1_2U34
182.46199, 49.03877,Total.SURVEY_LU1_2U35
175.0042,111.6067,Total.SURVEY_LU1_2U36
883.3605,334.5233,Total.SURVEY_LU1_2U37
152.8104,249.7238,Total.SURVEY_LU1_2U41
1088.451,2662.804,Total.SURVEY_LU1_2U42
317.1078,161.8602,Total.SURVEY_LC1_3A11
26.23627, 0.00000,Total.SURVEY_LC1_3A12
162.41188, 81.49635,Total.SURVEY_LC1_3A21
341.0211,298.9269,Total.SURVEY_LC1_3A22
29.42692,73.30863,Total.SURVEY_LC1_3A30
 147.9332,1968.0718,Total.SURVEY_LC1_3B11
 10.67153,194.74497,Total.SURVEY_LC1_3B12
 54.39865,600.60406,Total.SURVEY_LC1_3B13
 6.647521,71.910749,Total.SURVEY_LC1_3B14
 0.00000,92.97465,Total.SURVEY_LC1_3B15
 433.6191,1271.7972,Total.SURVEY_LC1_3B16
12.64413,64.96967,Total.SURVEY_LC1_3B18
12.90499,47.56885,Total.SURVEY_LC1_3B19
 0.00000,24.99713,Total.SURVEY_LC1_3B21
 4.921378,81.996751,Total.SURVEY_LC1_3B22
 0.00000,26.97178,Total.SURVEY_LC1_3B23
105.8152,385.0123,Total.SURVEY_LC1_3B31
137.2457,795.1128,Total.SURVEY_LC1_3B32
 51.27361,458.55343,Total.SURVEY_LC1_3B33
 0.00000,40.19409,Total.SURVEY_LC1_3B35
 0.00000,18.91688,Total.SURVEY_LC1_3B37
