SK01.No,SK02.No,SK03.No,SK04.No,SK01.Yes,SK02.Yes,SK03.Yes,SK04.Yes,variable
No,No,No,No,Yes,Yes,Yes,Yes,flag_two
 1104.2165, 6426.3137, 4211.2940, 5330.4316,  948.7835, 8565.6863,12051.7060,10396.5684,Total.area
 85.93057,321.38119,205.74069,263.15158, 49.59130,258.24244,135.23838,172.51991,Total.SURVEY_LC1_1A
 240.2237,3192.1527, 427.5609, 905.1555, 407.5084,3621.4081,1397.2766,1989.9077,Total.SURVEY_LC1_1B
 555.0626,1500.8264,2089.5674,2686.6838, 311.0473,3104.5622,7307.0526,4957.4858,Total.SURVEY_LC1_1C
 18.89213,260.32263,386.38589,295.40051, 23.00493,111.66462,347.09443,671.83916,Total.SURVEY_LC1_1D
 123.7384, 576.5259, 942.7119, 966.9723, 117.1349,1028.7869,2683.0994,2335.1949,Total.SURVEY_LC1_1E
 44.317879,385.567289, 90.178104,136.590578,  4.024007,349.050481,134.271163,207.159019,Total.SURVEY_LC1_1F
 28.40737,177.87108, 69.14913, 68.41109, 19.92365, 58.26250, 43.54735, 46.01423,Total.SURVEY_LC1_1G
 7.643887,11.666532, 0.000000, 8.066188,16.549037,33.709008, 4.126062,16.447722,Total.SURVEY_LC1_1H
  781.5499, 5279.4741, 3296.9624, 4377.5665,  699.8795, 7566.5710,10703.9994, 8973.7937,Total.SURVEY_LU1_1U1
 7.950629,73.770392,30.688692,46.715260, 4.163172,26.326395, 7.548759, 4.164104,Total.SURVEY_LU1_1U2
267.9336,737.7827,458.6594,471.9408,108.4549,413.4325,254.2005,287.6824,Total.SURVEY_LU1_1U3
  46.78232, 335.28658, 424.98352, 434.20903, 136.28586, 559.35639,1085.95732,1130.92822,Total.SURVEY_LU1_1U4
 24.119365,123.437882,105.218694, 90.568175,  4.163172, 73.093203, 22.647173, 61.956632,Total.SURVEY_LC1_2A1
 57.64803,176.57257, 96.62898,172.58340, 37.41816,160.40768, 85.72996, 96.86742,Total.SURVEY_LC1_2A2
 4.163172,21.370737, 3.893010, 0.000000, 8.009969,24.741558,26.861246,13.695856,Total.SURVEY_LC1_2A3
  39.87273, 395.25020, 122.21030, 121.48582, 264.12809,2271.46968, 787.30092, 989.74320,Total.SURVEY_LC1_2B1
  0.000000,  4.921378,  0.000000,  0.000000,  4.024007,114.000241, 15.941420,  0.000000,Total.SURVEY_LC1_2B2
  8.048013,187.474929, 27.549067, 71.262477, 75.683418,815.068298,196.095071,610.942783,Total.SURVEY_LC1_2B3
 7.845950, 5.419144, 0.000000, 0.000000, 0.000000,59.112234,32.478280,29.977027,Total.SURVEY_LC1_2B4
  4.024007, 14.384761,  0.000000,  0.000000, 27.761419,238.562173,296.650130,264.488727,Total.SURVEY_LC1_2B5
 0.000000, 7.542725,10.834014,15.923216, 7.976733,88.086273,62.636224,91.109210,Total.SURVEY_LC1_2B7
 0.000000,29.990106, 0.000000, 2.899875,27.934744,35.109194, 6.174591, 3.646786,Total.SURVEY_LC1_2B8
 180.4330,2547.1695, 266.9675, 693.5841,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
 347.9560,1197.4390, 699.5224,1230.3282, 262.8113,2458.3562,3537.3329,4105.9625,Total.SURVEY_LC1_2C1
 175.29121, 232.45233,1088.71993, 587.57193,  20.39123, 551.37103,1272.74646, 769.21323,Total.SURVEY_LC1_2C2
  31.81532,  70.93505, 301.32509, 868.78374,  27.84474,  94.83498,2496.97324,  82.31007,Total.SURVEY_LC1_2C3
  7.845839,224.946938,122.637758,103.174052,  5.533009, 75.039219,174.461667,538.799231,Total.SURVEY_LC1_2D1
 11.04629, 35.37569,263.74813,192.22646, 17.47192, 36.62540,172.63277,133.03993,Total.SURVEY_LC1_2D2
 16.26859,103.76814,150.22449,141.63405, 18.85373, 86.01690,259.05707,119.13379,Total.SURVEY_LC1_2E1
  67.34942, 404.80390, 687.44499, 605.09426,  90.29601, 724.86119,1802.09833,1957.98340,Total.SURVEY_LC1_2E2
 40.120367, 67.953813,105.042379,212.178735,  7.985115,217.908813,621.943984,258.077689,Total.SURVEY_LC1_2E3
0.000000,0.000000,0.000000,8.065226,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ex
