No,Yes,variable
 1860.126,82021.874,Total.area
   0.000,3943.962,Total.SURVEY_LC1_1A
  518.7648,12595.6470,Total.SURVEY_LC1_1B
 1330.122,35057.135,Total.SURVEY_LC1_1C
   3.618054,4468.008919,Total.SURVEY_LC1_1D
    7.62134,19882.59191,Total.SURVEY_LC1_1E
   0.000,4523.626,Total.SURVEY_LC1_1F
   0.000,1280.427,Total.SURVEY_LC1_1G
  0.0000,270.4761,Total.SURVEY_LC1_1H
 1643.357,61951.593,Total.SURVEY_LU1_1U1
  0.0000,234.0006,Total.SURVEY_LU1_1U2
  18.25829,6135.83073,Total.SURVEY_LU1_1U3
  198.5112,13700.4490,Total.SURVEY_LU1_1U4
   0.0,1223.9,Total.SURVEY_LC1_2A1
   0.000,2490.368,Total.SURVEY_LC1_2A2
  0.0000,229.6931,Total.SURVEY_LC1_2A3
   0.000,7863.006,Total.SURVEY_LC1_2B1
  0.0000,568.7672,Total.SURVEY_LC1_2B2
   0.000,1739.105,Total.SURVEY_LC1_2B3
  0.0000,276.9085,Total.SURVEY_LC1_2B4
   0.000,1078.155,Total.SURVEY_LC1_2B5
  0.0000,602.9558,Total.SURVEY_LC1_2B7
  0.0000,466.7496,Total.SURVEY_LC1_2B8
518.7648,  0.0000,Total.SURVEY_LC1_2Bx
  30.48326,6482.78212,Total.SURVEY_LC1_2C1
  611.0479,19785.6097,Total.SURVEY_LC1_2C2
  51.44186,8788.74359,Total.SURVEY_LC1_2C3
637.1491,  0.0000,Total.SURVEY_LC1_2Cx
  3.618054,975.587193,Total.SURVEY_LC1_2D1
   0.000,3492.422,Total.SURVEY_LC1_2D2
   0.000,1117.196,Total.SURVEY_LC1_2E1
    3.83415,18191.09482,Total.SURVEY_LC1_2E2
  0.0000,574.3009,Total.SURVEY_LC1_2E3
3.78719,0.00000,Total.SURVEY_LC1_2Ex
   0.000,4131.354,Total.SURVEY_LC1_2F1
 0.00000,28.54498,Total.SURVEY_LC1_2F2
  0.0000,363.7272,Total.SURVEY_LC1_2F4
  0.0000,595.9673,Total.SURVEY_LC1_2G1
  0.0000,401.7942,Total.SURVEY_LC1_2G2
  0.0000,282.6655,Total.SURVEY_LC1_2G5
  0.0000,266.6817,Total.SURVEY_LC1_2H1
0.000000,3.794442,Total.SURVEY_LC1_2H2
  508.1458,27492.4786,Total.SURVEY_LU1_2U11
 1135.211,34299.635,Total.SURVEY_LU1_2U12
 0.00000,42.63446,Total.SURVEY_LU1_2U13
  0.0000,112.9302,Total.SURVEY_LU1_2U14
0.000000,3.914656,Total.SURVEY_LU1_2U15
 0.000,29.628,Total.SURVEY_LU1_2U21
  0.0000,204.3726,Total.SURVEY_LU1_2U22
   0.000,2411.099,Total.SURVEY_LU1_2U31
 0.00000,83.52786,Total.SURVEY_LU1_2U32
 0.00000,81.29057,Total.SURVEY_LU1_2U33
  0.0000,230.7796,Total.SURVEY_LU1_2U34
 14.45314,265.02084,Total.SURVEY_LU1_2U35
  0.0000,753.9006,Total.SURVEY_LU1_2U36
   3.805148,2310.212101,Total.SURVEY_LU1_2U37
 0.00000,62.29655,Total.SURVEY_LU1_2U41
  198.5112,13638.1524,Total.SURVEY_LU1_2U42
   0.000,1153.082,Total.SURVEY_LC1_3A11
 0.00000,54.92813,Total.SURVEY_LC1_3A12
 0.00000,15.89001,Total.SURVEY_LC1_3A13
  0.000,665.138,Total.SURVEY_LC1_3A21
   0.00,1825.23,Total.SURVEY_LC1_3A22
  0.0000,229.6931,Total.SURVEY_LC1_3A30
   0.000,2066.831,Total.SURVEY_LC1_3B11
  0.0000,427.8861,Total.SURVEY_LC1_3B12
   0.000,1011.124,Total.SURVEY_LC1_3B13
  0.0000,455.8119,Total.SURVEY_LC1_3B14
  0.0000,218.4122,Total.SURVEY_LC1_3B15
   0.000,2975.484,Total.SURVEY_LC1_3B16
  0.0000,644.3861,Total.SURVEY_LC1_3B18
 0.00000,63.07033,Total.SURVEY_LC1_3B19
  0.0000,210.4947,Total.SURVEY_LC1_3B21
  0.0000,253.8044,Total.SURVEY_LC1_3B22
  0.0000,104.4682,Total.SURVEY_LC1_3B23
  0.0000,174.3638,Total.SURVEY_LC1_3B31
  0.0000,279.0699,Total.SURVEY_LC1_3B32
  0.0000,872.6737,Total.SURVEY_LC1_3B33
  0.0000,372.1247,Total.SURVEY_LC1_3B35
 0.00000,40.87286,Total.SURVEY_LC1_3B37
  0.0000,163.5587,Total.SURVEY_LC1_3B41
  0.0000,106.4692,Total.SURVEY_LC1_3B43
0.000000,6.880559,Total.SURVEY_LC1_3B45
  0.0000,100.3471,Total.SURVEY_LC1_3B51
  0.0000,152.7153,Total.SURVEY_LC1_3B52
  0.0000,241.8025,Total.SURVEY_LC1_3B53
 0.00000,36.43627,Total.SURVEY_LC1_3B54
  0.000,546.854,Total.SURVEY_LC1_3B55
  0.0000,348.7632,Total.SURVEY_LC1_3B71
  0.000,106.018,Total.SURVEY_LC1_3B72
 0.00000,60.50928,Total.SURVEY_LC1_3B73
 0.00000,22.80308,Total.SURVEY_LC1_3B74
 0.00000,64.86227,Total.SURVEY_LC1_3B75
  0.0000,453.9889,Total.SURVEY_LC1_3B82
0.000000,8.986072,Total.SURVEY_LC1_3B83
0.000000,3.774585,Total.SURVEY_LC1_3B84
459.153,  0.000,Total.SURVEY_LC1_3Bx1
59.6118, 0.0000,Total.SURVEY_LC1_3Bx2
   0.000,6482.782,Total.SURVEY_LC1_3C10
30.48326, 0.00000,Total.SURVEY_LC1_3C1x
    0.00,15221.48,Total.SURVEY_LC1_3C21
  0.0000,840.6386,Total.SURVEY_LC1_3C22
   0.000,3723.486,Total.SURVEY_LC1_3C23
611.0479,  0.0000,Total.SURVEY_LC1_3C2x
   0.000,6815.159,Total.SURVEY_LC1_3C31
  0.0000,741.5694,Total.SURVEY_LC1_3C32
   0.000,1232.015,Total.SURVEY_LC1_3C33
51.44186, 0.00000,Total.SURVEY_LC1_3C3x
637.1491,  0.0000,Total.SURVEY_LC1_3Cxx
  0.0000,975.5872,Total.SURVEY_LC1_3D10
3.618054,0.000000,Total.SURVEY_LC1_3D1x
   0.000,3492.422,Total.SURVEY_LC1_3D20
   0.000,1117.196,Total.SURVEY_LC1_3E10
    0.00,18191.09,Total.SURVEY_LC1_3E20
3.83415,0.00000,Total.SURVEY_LC1_3E2x
  0.0000,574.3009,Total.SURVEY_LC1_3E30
3.78719,0.00000,Total.SURVEY_LC1_3Exx
   0.000,4131.354,Total.SURVEY_LC1_3F10
 0.00000,28.54498,Total.SURVEY_LC1_3F20
  0.0000,363.7272,Total.SURVEY_LC1_3F40
  0.0000,595.9673,Total.SURVEY_LC1_3G11
  0.0000,401.7942,Total.SURVEY_LC1_3G21
  0.0000,282.6655,Total.SURVEY_LC1_3G50
  0.0000,238.9771,Total.SURVEY_LC1_3H11
 0.00000,27.70463,Total.SURVEY_LC1_3H12
0.000000,3.794442,Total.SURVEY_LC1_3H21
  468.0157,27131.5100,Total.SURVEY_LU1_3U111
 0.00000,88.67641,Total.SURVEY_LU1_3U112
 40.13014,272.29219,Total.SURVEY_LU1_3U113
 1135.211,34299.635,Total.SURVEY_LU1_3U120
 0.00000,42.63446,Total.SURVEY_LU1_3U130
  0.0000,112.9302,Total.SURVEY_LU1_3U140
0.000000,3.914656,Total.SURVEY_LU1_3U150
 0.000,29.628,Total.SURVEY_LU1_3U210
 0.0000,64.6692,Total.SURVEY_LU1_3U221
 0.00000,52.96393,Total.SURVEY_LU1_3U223
 0.00000,11.10985,Total.SURVEY_LU1_3U224
 0.00000,12.14517,Total.SURVEY_LU1_3U225
 0.00000,32.05677,Total.SURVEY_LU1_3U226
 0.00000,31.42765,Total.SURVEY_LU1_3U227
 0.00000,79.33429,Total.SURVEY_LU1_3U311
   0.000,1911.563,Total.SURVEY_LU1_3U312
 0.00000,91.82752,Total.SURVEY_LU1_3U313
 0.00000,30.72385,Total.SURVEY_LU1_3U314
 0.00000,10.81352,Total.SURVEY_LU1_3U315
0.000000,5.812967,Total.SURVEY_LU1_3U316
 0.0000,91.9199,Total.SURVEY_LU1_3U317
 0.00000,29.72756,Total.SURVEY_LU1_3U318
  0.0000,159.3761,Total.SURVEY_LU1_3U319
 0.0000,24.1587,Total.SURVEY_LU1_3U321
 0.00000,59.36916,Total.SURVEY_LU1_3U322
 0.00000,81.29057,Total.SURVEY_LU1_3U330
  0.0000,216.3745,Total.SURVEY_LU1_3U341
 0.00000,14.40509,Total.SURVEY_LU1_3U342
 14.45314,265.02084,Total.SURVEY_LU1_3U350
  0.0000,484.9126,Total.SURVEY_LU1_3U361
  0.000,268.988,Total.SURVEY_LU1_3U362
   3.805148,2310.212101,Total.SURVEY_LU1_3U370
0.000000,3.795628,Total.SURVEY_LU1_3U412
 0.00000,17.05796,Total.SURVEY_LU1_3U414
