AT1.No,AT2.No,AT3.No,AT1.Yes,AT2.Yes,AT3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
  577.2941,  485.2611,  797.5712,22981.7059,25450.7389,33589.4288,Total.area
   0.000,   0.000,   0.000,1199.634,1211.938,1532.390,Total.SURVEY_LC1_1A
 318.76469, 106.23167,  93.76848,7923.45491,1879.33597,2792.85611,Total.SURVEY_LC1_1B
  258.5294,  379.0294,  692.5633, 9012.2254,13667.5723,12377.3378,Total.SURVEY_LC1_1C
   0.000000,   0.000000,   3.618054, 317.818219,1322.865453,2827.325247,Total.SURVEY_LC1_1D
   0.00000,   0.00000,   7.62134,3803.13730,6234.93327,9844.52134,Total.SURVEY_LC1_1E
   0.0000,   0.0000,   0.0000, 232.3637, 831.7573,3459.5048,Total.SURVEY_LC1_1F
  0.0000,  0.0000,  0.0000,335.6399,251.1265,693.6606,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000,157.43297, 51.20979, 61.83336,Total.SURVEY_LC1_1H
  548.9224,  416.0110,  678.4236,19877.3514,20264.8183,21809.4236,Total.SURVEY_LU1_1U1
 0.00000, 0.00000, 0.00000,90.86407,61.85441,81.28209,Total.SURVEY_LU1_1U2
  18.25829,   0.00000,   0.00000,2090.40101,1761.11186,2284.31785,Total.SURVEY_LU1_1U3
  10.11347,  69.25009, 119.14761, 923.08936,3362.95436,9414.40524,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,428.6258,311.5379,483.7363,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,  0.0000,720.4017,833.0102,936.9565,Total.SURVEY_LC1_2A2
  0.00000,  0.00000,  0.00000, 50.60603, 67.39030,111.69676,Total.SURVEY_LC1_2A3
   0.000,   0.000,   0.000,4960.552,1032.413,1870.041,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,498.001620,  3.818075, 66.947528,Total.SURVEY_LC1_2B2
   0.0000,   0.0000,   0.0000,1115.1133, 306.5734, 317.4182,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,203.696120,  7.888181, 65.324171,Total.SURVEY_LC1_2B4
  0.0000,  0.0000,  0.0000,599.1788,198.8914,280.0850,Total.SURVEY_LC1_2B5
  0.0000,  0.0000,  0.0000,158.7305,259.4644,184.7609,Total.SURVEY_LC1_2B7
  0.000000,  0.000000,  0.000000,388.182261, 70.287600,  8.279735,Total.SURVEY_LC1_2B8
318.76469,106.23167, 93.76848,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Bx
  30.48326,   0.00000,   0.00000,3112.37931,1239.37014,2131.03267,Total.SURVEY_LC1_2C1
  13.91862, 162.80562, 434.32367,3666.41147,9364.20458,6754.99368,Total.SURVEY_LC1_2C2
  37.42651,   0.00000,  14.01535,2233.43459,3063.99757,3491.31143,Total.SURVEY_LC1_2C3
176.7010,216.2238,244.2243,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Cx
  0.000000,  0.000000,  3.618054,168.209828,330.166995,477.210371,Total.SURVEY_LC1_2D1
   0.0000,   0.0000,   0.0000, 149.6084, 992.6985,2350.1149,Total.SURVEY_LC1_2D2
  0.0000,  0.0000,  0.0000,284.6565,426.3442,406.1955,Total.SURVEY_LC1_2E1
   0.00000,   0.00000,   3.83415,3339.62202,5573.84343,9277.62937,Total.SURVEY_LC1_2E2
  0.0000,  0.0000,  0.0000,178.8588,234.7457,160.6965,Total.SURVEY_LC1_2E3
0.00000,0.00000,3.78719,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2Ex
   0.00000,   0.00000,   0.00000,  19.55653, 745.92820,3365.86882,Total.SURVEY_LC1_2F1
 0.000000, 0.000000, 0.000000,13.719163,11.579757, 3.246062,Total.SURVEY_LC1_2F2
  0.00000,  0.00000,  0.00000,199.08799, 74.24931, 90.38989,Total.SURVEY_LC1_2F4
  0.0000,  0.0000,  0.0000,219.0251,125.0178,251.9244,Total.SURVEY_LC1_2G1
  0.00000,  0.00000,  0.00000,116.61482, 88.35916,196.82021,Total.SURVEY_LC1_2G2
  0.0000,  0.0000,  0.0000,  0.0000, 37.7495,244.9160,Total.SURVEY_LC1_2G5
  0.00000,  0.00000,  0.00000,153.63853, 51.20979, 61.83336,Total.SURVEY_LC1_2H1
0.000000,0.000000,0.000000,3.794442,0.000000,0.000000,Total.SURVEY_LC1_2H2
  304.31155,  106.23167,   97.60263,10994.14722, 6294.40706,10203.92429,Total.SURVEY_LU1_2U11
  244.6108,  309.7794,  580.8209, 8822.0646,13927.3953,11550.1755,Total.SURVEY_LU1_2U12
 0.000000, 0.000000, 0.000000, 7.910728, 4.143568,30.580161,Total.SURVEY_LU1_2U13
 0.00000, 0.00000, 0.00000,53.22884,34.95762,24.74369,Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,0.000000,3.914656,0.000000,Total.SURVEY_LU1_2U15
