AT11.No,AT12.No,AT13.No,AT21.No,AT22.No,AT31.No,AT32.No,AT33.No,AT34.No,AT11.Yes,AT12.Yes,AT13.Yes,AT21.Yes,AT22.Yes,AT31.Yes,AT32.Yes,AT33.Yes,AT34.Yes,variable
No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
   68.093810,  505.320790,    3.879527,   60.937213,  424.323897,  334.203182,  123.123357,  336.679401,    3.565226, 3895.906190,18674.679210,  411.120473, 9476.062787,15974.676103,11647.796818, 7030.876643,12312.320599, 2598.434774,Total.area
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,222.99214,860.81369,115.82769,530.36242,681.57596,852.86635,232.18216,354.06662, 93.27448,Total.SURVEY_LC1_1A
  68.093810, 246.791354,   3.879527,  44.778146,  61.453523,  82.286628,   3.858901,   4.057722,   3.565226,1481.281237,6389.021118,  53.152551, 528.313445,1351.022522,2687.904846,  27.574573,  62.873577,  14.503111,Total.SURVEY_LC1_1B
   0.00000, 258.52944,   0.00000,  16.15907, 362.87037, 248.12936, 119.26446, 325.16948,   0.00000,1379.85020,7515.34608, 117.02909,5062.34970,8605.22259,4637.25243,2944.96020,3857.10460, 938.02056,Total.SURVEY_LC1_1C
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.618054,   0.000000,  52.859789, 257.132141,   7.826289, 376.316586, 946.548867, 219.848690, 755.944548,1615.740985, 235.791023,Total.SURVEY_LC1_1D
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.78719,   0.00000,   3.83415,   0.00000, 456.57923,3263.28419,  83.27387,2362.72677,3872.20650,2763.13908,2295.73698,3742.25038,1043.39490,Total.SURVEY_LC1_1E
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  30.031096, 198.516101,   3.816479, 437.704525, 394.052736, 229.507101, 627.031405,2408.531613, 194.434650,Total.SURVEY_LC1_1F
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,126.47000,178.97540, 30.19450,142.61904,108.50744,241.46248,124.06071,260.38525, 67.75217,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,145.84249, 11.59049,  0.00000, 35.67030, 15.53949, 15.81584, 23.38606, 11.36757, 11.26389,Total.SURVEY_LC1_1H
   64.098004,  480.944839,    3.879527,   60.937213,  355.073810,  323.251873,  115.287729,  236.318732,    3.565226, 3173.840267,16581.110552,  122.400610, 7509.932455,12754.885800, 9751.552948, 4775.305109, 5652.425705, 1630.139883,Total.SURVEY_LU1_1U1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,10.025420,76.474178, 4.364468,12.591038,49.263376,28.715956, 3.853369,31.880453,16.832313,Total.SURVEY_LU1_1U2
   3.995806,  14.262481,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 339.671283,1498.218698, 252.511034, 637.535359,1123.576502,1108.214516, 312.578898, 671.366096, 192.158343,Total.SURVEY_LU1_1U3
   0.000000,  10.113470,   0.000000,   0.000000,  69.250086,  10.951310,   7.835628, 100.360669,   0.000000, 372.369219, 518.875782,  31.844361,1316.003935,2046.950425, 759.313398,1939.139267,5956.648345, 759.304234,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,103.99681,285.41771, 39.21131, 76.78171,234.75619,287.28000, 70.85861,102.50871, 23.08898,Total.SURVEY_LC1_2A1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,113.18236,534.96739, 72.25192,402.26657,430.74360,531.30934,154.00798,198.42579, 53.21345,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.812967,40.428592, 4.364468,51.314137,16.076166,34.277012, 7.315574,53.132120,16.972056,Total.SURVEY_LC1_2A3
