No,Yes,variable
 1757.309,28909.691,Total.area
  31.88805,3676.06891,Total.SURVEY_LC1_1A
 674.9502,7080.4034,Total.SURVEY_LC1_1B
 918.7441,7130.4160,Total.SURVEY_LC1_1C
 31.85195,266.61239,Total.SURVEY_LC1_1D
  87.86522,8911.18846,Total.SURVEY_LC1_1E
   0.000,1292.342,Total.SURVEY_LC1_1F
  0.0000,460.5847,Total.SURVEY_LC1_1G
12.00989,92.07462,Total.SURVEY_LC1_1H
 1537.777,21080.331,Total.SURVEY_LU1_1U1
  4.026784,170.127508,Total.SURVEY_LU1_1U2
 191.5641,6569.1390,Total.SURVEY_LU1_1U3
  23.94112,1090.09344,Total.SURVEY_LU1_1U4
   3.748584,1587.973100,Total.SURVEY_LC1_2A1
  16.10665,2023.93493,Total.SURVEY_LC1_2A2
 4.026784,64.160879,Total.SURVEY_LC1_2A3
8.006032,0.000000,Total.SURVEY_LC1_2Ax
   0.000,3375.982,Total.SURVEY_LC1_2B1
   0.000,1270.171,Total.SURVEY_LC1_2B2
  0.0000,657.5111,Total.SURVEY_LC1_2B3
  0.0000,199.3094,Total.SURVEY_LC1_2B4
   0.000,1266.867,Total.SURVEY_LC1_2B5
  0.0000,270.5599,Total.SURVEY_LC1_2B7
 0.00000,40.00256,Total.SURVEY_LC1_2B8
674.9502,  0.0000,Total.SURVEY_LC1_2Bx
  68.09275,5074.02973,Total.SURVEY_LC1_2C1
 622.7124,1191.7158,Total.SURVEY_LC1_2C2
132.2118,864.6705,Total.SURVEY_LC1_2C3
95.72719, 0.00000,Total.SURVEY_LC1_2Cx
 11.90942,123.01985,Total.SURVEY_LC1_2D1
  0.0000,143.5925,Total.SURVEY_LC1_2D2
19.94253, 0.00000,Total.SURVEY_LC1_2Dx
  3.937751,765.345695,Total.SURVEY_LC1_2E1
  30.45755,7364.63721,Total.SURVEY_LC1_2E2
  3.998295,781.205554,Total.SURVEY_LC1_2E3
49.47162, 0.00000,Total.SURVEY_LC1_2Ex
0.000000,7.980423,Total.SURVEY_LC1_2F1
 0.00000,16.03466,Total.SURVEY_LC1_2F2
   0.000,1268.327,Total.SURVEY_LC1_2F4
  0.0000,192.2928,Total.SURVEY_LC1_2G1
  0.0000,264.3555,Total.SURVEY_LC1_2G2
0.00000,3.93638,Total.SURVEY_LC1_2G3
 0.00000,92.07462,Total.SURVEY_LC1_2H1
12.00989, 0.00000,Total.SURVEY_LC1_2Hx
  703.0342,14955.4080,Total.SURVEY_LU1_2U11
 830.7643,6029.2157,Total.SURVEY_LU1_2U12
 0.00000,20.05323,Total.SURVEY_LU1_2U13
 3.978886,71.613902,Total.SURVEY_LU1_2U14
0.000000,4.039787,Total.SURVEY_LU1_2U15
 4.026784,27.935095,Total.SURVEY_LU1_2U21
  0.0000,142.1924,Total.SURVEY_LU1_2U22
   0.0,1942.8,Total.SURVEY_LU1_2U31
 4.032834,53.156646,Total.SURVEY_LU1_2U32
 0.00000,74.74737,Total.SURVEY_LU1_2U33
  3.93638,204.49871,Total.SURVEY_LU1_2U34
 75.57098,255.09894,Total.SURVEY_LU1_2U35
  8.033613,489.259161,Total.SURVEY_LU1_2U36
  99.99032,3549.57775,Total.SURVEY_LU1_2U37
 0.00000,66.27882,Total.SURVEY_LU1_2U41
  23.94112,1023.81462,Total.SURVEY_LU1_2U42
   0.000,1480.407,Total.SURVEY_LC1_3A11
 0.0000,63.3649,Total.SURVEY_LC1_3A12
 0.00000,44.20081,Total.SURVEY_LC1_3A13
3.748584,0.000000,Total.SURVEY_LC1_3A1x
  0.0000,820.4968,Total.SURVEY_LC1_3A21
   0.000,1203.438,Total.SURVEY_LC1_3A22
16.10665, 0.00000,Total.SURVEY_LC1_3A2x
 0.00000,64.16088,Total.SURVEY_LC1_3A30
4.026784,0.000000,Total.SURVEY_LC1_3A3x
8.006032,0.000000,Total.SURVEY_LC1_3Axx
   0.000,1314.711,Total.SURVEY_LC1_3B11
 0.00000,51.84477,Total.SURVEY_LC1_3B12
  0.0000,343.9039,Total.SURVEY_LC1_3B13
 0.0000,16.0312,Total.SURVEY_LC1_3B14
 0.00000,83.76821,Total.SURVEY_LC1_3B15
   0.000,1525.754,Total.SURVEY_LC1_3B16
 0.00000,31.95721,Total.SURVEY_LC1_3B18
0.000000,8.012325,Total.SURVEY_LC1_3B19
  0.0000,747.3106,Total.SURVEY_LC1_3B21
  0.0000,403.3379,Total.SURVEY_LC1_3B22
  0.0000,119.5221,Total.SURVEY_LC1_3B23
 0.00000,99.86738,Total.SURVEY_LC1_3B32
0.000000,4.028051,Total.SURVEY_LC1_3B33
  0.0000,458.0099,Total.SURVEY_LC1_3B35
 0.00000,95.60577,Total.SURVEY_LC1_3B37
 0.00000,23.95734,Total.SURVEY_LC1_3B41
  0.0000,123.3246,Total.SURVEY_LC1_3B43
 0.00000,40.11031,Total.SURVEY_LC1_3B44
 0.00000,11.91723,Total.SURVEY_LC1_3B45
 0.00000,47.85791,Total.SURVEY_LC1_3B51
 0.00000,40.06407,Total.SURVEY_LC1_3B52
 0.00000,95.68967,Total.SURVEY_LC1_3B53
0.000000,3.937327,Total.SURVEY_LC1_3B54
   0.000,1079.318,Total.SURVEY_LC1_3B55
 0.00000,91.68498,Total.SURVEY_LC1_3B71
  0.0000,115.2899,Total.SURVEY_LC1_3B72
 0.00000,43.63139,Total.SURVEY_LC1_3B73
 0.00000,16.02218,Total.SURVEY_LC1_3B74
0.000000,3.931528,Total.SURVEY_LC1_3B75
0.000000,4.009882,Total.SURVEY_LC1_3B82
 0.00000,32.00538,Total.SURVEY_LC1_3B83
0.000000,3.987307,Total.SURVEY_LC1_3B84
607.2461,  0.0000,Total.SURVEY_LC1_3Bx1
39.80811, 0.00000,Total.SURVEY_LC1_3Bx2
27.89603, 0.00000,Total.SURVEY_LC1_3Bxx
   0.00,5074.03,Total.SURVEY_LC1_3C10
68.09275, 0.00000,Total.SURVEY_LC1_3C1x
  0.0000,784.3225,Total.SURVEY_LC1_3C21
  0.0000,157.4007,Total.SURVEY_LC1_3C22
  0.0000,249.9926,Total.SURVEY_LC1_3C23
622.7124,  0.0000,Total.SURVEY_LC1_3C2x
  0.000,191.372,Total.SURVEY_LC1_3C31
  0.0000,453.0213,Total.SURVEY_LC1_3C32
  0.0000,220.2771,Total.SURVEY_LC1_3C33
132.2118,  0.0000,Total.SURVEY_LC1_3C3x
95.72719, 0.00000,Total.SURVEY_LC1_3Cxx
  0.0000,123.0199,Total.SURVEY_LC1_3D10
11.90942, 0.00000,Total.SURVEY_LC1_3D1x
  0.0000,143.5925,Total.SURVEY_LC1_3D20
19.94253, 0.00000,Total.SURVEY_LC1_3Dxx
  0.0000,765.3457,Total.SURVEY_LC1_3E10
3.937751,0.000000,Total.SURVEY_LC1_3E1x
   0.000,7364.637,Total.SURVEY_LC1_3E20
30.45755, 0.00000,Total.SURVEY_LC1_3E2x
  0.0000,781.2056,Total.SURVEY_LC1_3E30
3.998295,0.000000,Total.SURVEY_LC1_3E3x
49.47162, 0.00000,Total.SURVEY_LC1_3Exx
0.000000,7.980423,Total.SURVEY_LC1_3F10
 0.00000,16.03466,Total.SURVEY_LC1_3F20
   0.000,1268.327,Total.SURVEY_LC1_3F40
  0.000,188.313,Total.SURVEY_LC1_3G11
0.000000,3.979852,Total.SURVEY_LC1_3G12
  0.0000,240.3889,Total.SURVEY_LC1_3G21
 0.00000,23.96664,Total.SURVEY_LC1_3G22
0.00000,3.93638,Total.SURVEY_LC1_3G30
 0.00000,47.99233,Total.SURVEY_LC1_3H11
 0.00000,44.08229,Total.SURVEY_LC1_3H12
12.00989, 0.00000,Total.SURVEY_LC1_3Hxx
  687.0808,14688.0325,Total.SURVEY_LU1_3U111
  0.0000,195.5217,Total.SURVEY_LU1_3U112
15.95339,71.85376,Total.SURVEY_LU1_3U113
 830.7643,6029.2157,Total.SURVEY_LU1_3U120
 0.00000,20.05323,Total.SURVEY_LU1_3U130
 3.978886,71.613902,Total.SURVEY_LU1_3U140
0.000000,4.039787,Total.SURVEY_LU1_3U150
 4.026784,27.935095,Total.SURVEY_LU1_3U210
 0.00000,13.16301,Total.SURVEY_LU1_3U221
0.000000,3.971597,Total.SURVEY_LU1_3U222
 0.0000,16.1012,Total.SURVEY_LU1_3U223
 0.00000,13.15527,Total.SURVEY_LU1_3U224
 0.00000,36.21338,Total.SURVEY_LU1_3U225
 0.00000,27.89003,Total.SURVEY_LU1_3U226
 0.00000,17.87471,Total.SURVEY_LU1_3U227
 0.00000,13.82322,Total.SURVEY_LU1_3U228
 0.00000,53.80947,Total.SURVEY_LU1_3U311
   0.000,1420.278,Total.SURVEY_LU1_3U312
  0.0000,167.5028,Total.SURVEY_LU1_3U313
 0.00000,47.99768,Total.SURVEY_LU1_3U314
0.000000,3.985489,Total.SURVEY_LU1_3U316
  0.0000,211.0933,Total.SURVEY_LU1_3U317
 0.00000,38.13385,Total.SURVEY_LU1_3U319
 0.00000,27.91531,Total.SURVEY_LU1_3U321
 4.032834,25.241339,Total.SURVEY_LU1_3U322
 0.00000,74.74737,Total.SURVEY_LU1_3U330
  3.93638,188.47765,Total.SURVEY_LU1_3U341
 0.00000,16.02106,Total.SURVEY_LU1_3U342
 75.57098,255.09894,Total.SURVEY_LU1_3U350
  8.033613,297.053110,Total.SURVEY_LU1_3U361
  0.0000,192.2061,Total.SURVEY_LU1_3U362
  99.99032,3549.57775,Total.SURVEY_LU1_3U370
 0.00000,20.37227,Total.SURVEY_LU1_3U411
0.000000,3.748584,Total.SURVEY_LU1_3U412
 0.00000,22.12431,Total.SURVEY_LU1_3U414
 0.00000,20.03366,Total.SURVEY_LU1_3U415
  23.94112,1023.81462,Total.SURVEY_LU1_3U420
 1569.752,22363.297,Total.settlement0
 187.5573,6546.3934,Total.settlement1
0.01597212,0.55748166,Total.settl_pc
  946.2917,21811.0109,Total.fao_class_name0
 778.847,6282.644,Total.fao_class_name1
 0.00000,60.21881,Total.fao_class_name2
 32.17081,755.81643,Total.fao_class_name3
 1569.778,24411.256,Total.lue0
 187.5313,4498.4345,Total.lue1
 1745.271,26597.245,Total.lud0
  12.0385,2312.4459,Total.lud1
9.069906,9.065684,SE.Total.area
 0.00000,24.05818,SE.Total.SURVEY_LC1_1A
0.000000,6.733237,SE.Total.SURVEY_LC1_1B
 7.547527,18.810727,SE.Total.SURVEY_LC1_1C
0.000000,4.983775,SE.Total.SURVEY_LC1_1D
 5.029715,24.834607,SE.Total.SURVEY_LC1_1E
0.000000,8.841125,SE.Total.SURVEY_LC1_1F
0.00000,7.25873,SE.Total.SURVEY_LC1_1G
0,0,SE.Total.SURVEY_LC1_1H
 7.547527,25.558848,SE.Total.SURVEY_LU1_1U1
 0.00000,14.02604,SE.Total.SURVEY_LU1_1U2
 5.029715,28.798430,SE.Total.SURVEY_LU1_1U3
 0.00000,11.59692,SE.Total.SURVEY_LU1_1U4
 0.00000,46.67842,SE.Total.SURVEY_LC1_2A1
 0.00000,46.44213,SE.Total.SURVEY_LC1_2A2
0,0,SE.Total.SURVEY_LC1_2A3
0,0,SE.Total.SURVEY_LC1_2Ax
0.000000,1.738086,SE.Total.SURVEY_LC1_2B1
0.000000,3.127997,SE.Total.SURVEY_LC1_2B2
0,0,SE.Total.SURVEY_LC1_2B3
0,0,SE.Total.SURVEY_LC1_2B4
0.000000,5.725415,SE.Total.SURVEY_LC1_2B5
0,0,SE.Total.SURVEY_LC1_2B7
0,0,SE.Total.SURVEY_LC1_2B8
0,0,SE.Total.SURVEY_LC1_2Bx
 0.00000,27.23196,SE.Total.SURVEY_LC1_2C1
 6.00840,19.55985,SE.Total.SURVEY_LC1_2C2
 4.773908,27.034219,SE.Total.SURVEY_LC1_2C3
0,0,SE.Total.SURVEY_LC1_2Cx
0.000000,4.983775,SE.Total.SURVEY_LC1_2D1
0,0,SE.Total.SURVEY_LC1_2D2
0,0,SE.Total.SURVEY_LC1_2Dx
 0.00000,15.49862,SE.Total.SURVEY_LC1_2E1
 3.994507,22.670243,SE.Total.SURVEY_LC1_2E2
 0.00000,11.95928,SE.Total.SURVEY_LC1_2E3
3.056459,0.000000,SE.Total.SURVEY_LC1_2Ex
0,0,SE.Total.SURVEY_LC1_2F1
0,0,SE.Total.SURVEY_LC1_2F2
0.000000,8.841125,SE.Total.SURVEY_LC1_2F4
0.000000,6.772745,SE.Total.SURVEY_LC1_2G1
0.00000,2.61134,SE.Total.SURVEY_LC1_2G2
0,0,SE.Total.SURVEY_LC1_2G3
0,0,SE.Total.SURVEY_LC1_2H1
0,0,SE.Total.SURVEY_LC1_2Hx
 0.00000,19.81862,SE.Total.SURVEY_LU1_2U11
 7.547527,18.312637,SE.Total.SURVEY_LU1_2U12
0,0,SE.Total.SURVEY_LU1_2U13
0,0,SE.Total.SURVEY_LU1_2U14
0,0,SE.Total.SURVEY_LU1_2U15
0,0,SE.Total.SURVEY_LU1_2U21
 0.00000,14.02604,SE.Total.SURVEY_LU1_2U22
 0.00000,43.88874,SE.Total.SURVEY_LU1_2U31
0.00000,2.61134,SE.Total.SURVEY_LU1_2U32
0.000000,8.557214,SE.Total.SURVEY_LU1_2U33
 0.00000,23.85215,SE.Total.SURVEY_LU1_2U34
 0.00000,10.52086,SE.Total.SURVEY_LU1_2U35
