BE1.No,BE2.No,BE3.No,BE1.Yes,BE2.Yes,BE3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
    3.748584,  617.771141, 1135.789707,  158.251416,12981.228859,15770.210293,Total.area
   3.748584,  16.056009,  12.083458,  64.312448,2164.777448,1446.979013,Total.SURVEY_LC1_1A
   0.000000, 419.428109, 255.522116,   3.751496,3409.249051,3667.402849,Total.SURVEY_LC1_1B
   0.00000, 106.51379, 812.23030,  48.82369,2204.68784,4876.90443,Total.SURVEY_LC1_1C
  0.000000, 11.893401, 19.958550,  3.749878, 99.501909,163.360599,Total.SURVEY_LC1_1D
   0.00000,  59.85294,  28.01229,  30.07887,3905.69709,4975.41250,Total.SURVEY_LC1_1E
  0.000000,  0.000000,  0.000000,  3.785161,817.291965,471.264986,Total.SURVEY_LC1_1F
  0.000000,  0.000000,  0.000000,  3.749878,332.023930,124.810915,Total.SURVEY_LC1_1G
 0.000000, 4.026892, 7.983002, 0.000000,47.999620,44.074997,Total.SURVEY_LC1_1H
    0.00000,  509.88353, 1027.89387,   37.46369, 8400.32488,12642.54205,Total.SURVEY_LU1_1U1
  0.000000,  0.000000,  4.026784,  0.000000,130.012963, 40.114545,Total.SURVEY_LU1_1U2
   3.748584, 103.919955,  83.895593, 113.289264,3905.246051,2550.603683,Total.SURVEY_LU1_1U3
  0.000000,  3.967661, 19.973458,  7.498462,545.644962,536.950016,Total.SURVEY_LU1_1U4
  3.748584,  0.000000,  0.000000, 37.816323,993.749108,556.407669,Total.SURVEY_LC1_2A1
   0.000000,  12.040394,   4.066258,  26.496125,1142.932508, 854.506297,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 4.026784, 0.000000,28.095832,36.065047,Total.SURVEY_LC1_2A3
0.000000,4.015615,3.990417,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ax
   0.000000,   0.000000,   0.000000,   3.751496,1613.378046,1758.852782,Total.SURVEY_LC1_2B1
  0.0000,  0.0000,  0.0000,  0.0000,535.3927,734.7779,Total.SURVEY_LC1_2B2
  0.0000,  0.0000,  0.0000,  0.0000,147.1114,510.3997,Total.SURVEY_LC1_2B3
  0.00000,  0.00000,  0.00000,  0.00000,127.43581, 71.87364,Total.SURVEY_LC1_2B4
  0.0000,  0.0000,  0.0000,  0.0000,751.0868,515.7806,Total.SURVEY_LC1_2B5
  0.0000,  0.0000,  0.0000,  0.0000,206.8341, 63.7258,Total.SURVEY_LC1_2B7
 0.00000, 0.00000, 0.00000, 0.00000,28.01009,11.99247,Total.SURVEY_LC1_2B8
  0.0000,419.4281,255.5221,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Bx
   0.00000,  12.02170,  56.07105,  41.26639,1569.66311,3463.10023,Total.SURVEY_LC1_2C1
   0.000000,  38.396034, 584.316338,   3.807416, 149.387235,1038.521136,Total.SURVEY_LC1_2C2
