BE10.No,BE21.No,BE22.No,BE23.No,BE24.No,BE25.No,BE31.No,BE32.No,BE33.No,BE34.No,BE35.No,BE10.Yes,BE21.Yes,BE22.Yes,BE23.Yes,BE24.Yes,BE25.Yes,BE31.Yes,BE32.Yes,BE33.Yes,BE34.Yes,BE35.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
   3.748584, 132.188110, 100.441949, 146.903073, 110.901333, 127.336677,  59.780400, 120.087911, 265.712833, 460.299482, 229.909081, 158.251416,2743.811890,2328.558051,2862.096927,2007.098667,3039.663323,1037.219600,3693.912089,3592.287167,4000.700518,3446.090919,Total.area
  3.748584,  8.024778,  0.000000,  0.000000,  0.000000,  8.031231,  0.000000,  3.990417,  0.000000,  4.026784,  4.066258, 64.312448,503.598990,296.486377,534.838623,306.588333,523.265125,140.252165,491.541459,425.154043,180.422182,209.609163,Total.SURVEY_LC1_1A
   0.000000,  55.897219,  55.149090, 120.345047,  84.593248, 103.443505,  59.780400,  63.857524,  31.868114,  39.858117,  60.157962,   3.751496, 623.451554, 590.502569, 674.755667, 561.585109, 958.954152, 374.692614,1362.216134, 644.443707, 399.019228, 887.031166,Total.SURVEY_LC1_1B
   0.00000,  52.30333,  12.15790,  12.06506,  18.09322,  11.89428,   0.00000,  44.23849, 209.82074, 400.45784, 157.71323,  48.82369, 641.35257, 688.88662, 316.67846, 418.54748, 139.22272, 203.14615, 652.75582, 993.10679,1766.94114,1260.95455,Total.SURVEY_LC1_1C
 0.000000, 0.000000, 7.925740, 0.000000, 0.000000, 3.967661, 0.000000, 0.000000, 8.021220, 7.958444, 3.978886, 3.749878,19.999253,35.516170,12.063503, 8.060298,23.862685, 3.973212,23.986810,84.354355,39.005204,12.041018,Total.SURVEY_LC1_1D
   0.000000,  15.962783,  25.209220,  14.492966,   4.187968,   0.000000,   0.000000,   4.024780,  16.002762,   3.992002,   3.992741,  30.078867, 719.530907, 556.511211,1043.003953, 598.144921, 988.506099, 223.421930, 991.593445,1320.779948,1499.561117, 940.056059,Total.SURVEY_LC1_1E
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.785161,111.910608, 73.972031,212.646427, 72.564696,346.198203, 83.702388,139.809800, 55.539469, 83.811628,108.401701,Total.SURVEY_LC1_1F
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.749878,103.976308, 82.758693, 56.088268, 33.521242, 55.679419,  4.046492, 32.008624, 36.834297, 27.940119, 23.981384,Total.SURVEY_LC1_1G
 0.000000, 0.000000, 0.000000, 0.000000, 4.026892, 0.000000, 0.000000, 3.976703, 0.000000, 4.006299, 0.000000, 0.000000,19.991705, 3.924375,12.022023, 8.086591, 3.974925, 3.984653, 0.000000,32.074561, 3.999904, 4.015879,Total.SURVEY_LC1_1H
   0.00000, 104.15484,  63.37776, 132.42249,  94.59066, 115.33778,  59.78040, 112.12079, 229.68462, 420.40154, 205.90653,  37.46369,1562.86053,1515.41009,1877.33605,1293.94845,2150.76976, 697.50719,2731.99063,2686.20061,3579.22239,2947.62123,Total.SURVEY_LU1_1U1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.026784, 0.000000, 0.000000,28.154408,23.709375,28.265227,22.297209,27.586744, 4.021540,16.029600, 7.995636,12.067769, 0.000000,Total.SURVEY_LU1_1U2
   3.748584,  28.033274,  37.064187,  14.480586,  16.310677,   8.031231,   0.000000,   3.990417,  24.037761,  31.864863,  24.002553, 113.289264,1007.118157, 643.266080, 856.303006, 633.146316, 765.412492, 307.779013, 780.182909, 737.033976, 319.344012, 406.263773,Total.SURVEY_LU1_1U3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.967661,  0.000000,  3.976703, 11.990456,  4.006299,  0.000000,  7.498462,145.678797,146.172508,100.192642, 57.706690, 95.894325, 27.911858,165.708952,161.056948, 90.066345, 92.205914,Total.SURVEY_LU1_1U4
  3.748584,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 37.816323,269.569451, 96.226815,268.045041, 92.991720,266.916081, 52.220812,243.850856,143.581056, 52.245351, 64.509593,Total.SURVEY_LC1_2A1
  0.000000,  8.024778,  0.000000,  0.000000,  0.000000,  4.015615,  0.000000,  0.000000,  0.000000,  0.000000,  4.066258, 26.496125,221.965577,196.287965,262.779798,209.525050,252.374118, 88.031353,235.656660,273.541755,112.176959,145.099570,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.026784, 0.000000, 0.000000,12.063962, 3.971597, 4.013783, 4.071564, 3.974925, 0.000000,12.033943, 8.031232,15.999872, 0.000000,Total.SURVEY_LC1_2A3
0.000000,0.000000,0.000000,0.000000,0.000000,4.015615,0.000000,3.990417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ax
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.751496,287.713865,220.379990,352.972562,330.489146,421.822483,127.534925,775.033939,262.834998,143.618216,449.830704,Total.SURVEY_LC1_2B1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 59.94038,102.37558, 84.22650, 89.93926,198.91101, 95.66721,331.80168,119.06888, 19.98732,168.25278,Total.SURVEY_LC1_2B2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 19.97600, 62.95821,  0.00000, 40.30822, 23.86899, 91.67540,111.71477,150.66643, 27.93499,128.40813,Total.SURVEY_LC1_2B3
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,24.002322,31.551505,12.070108, 8.095726,51.716146, 3.986467,43.901125, 3.999588, 0.000000,19.986459,Total.SURVEY_LC1_2B4
