No,Yes,variable
19741.51,91254.49,Total.area
   4.074227,2696.703012,Total.SURVEY_LC1_1A
19563.59,15818.29,Total.SURVEY_LC1_1B
  158.48,49467.75,Total.SURVEY_LC1_1C
   5.723095,5593.929955,Total.SURVEY_LC1_1D
    4.97634,14781.91994,Total.SURVEY_LC1_1E
   4.669633,1692.503886,Total.SURVEY_LC1_1F
   0.000,1013.899,Total.SURVEY_LC1_1G
  0.0000,189.4894,Total.SURVEY_LC1_1H
19664.80,68798.71,Total.SURVEY_LU1_1U1
  0.0000,195.8611,Total.SURVEY_LU1_1U2
   4.074227,4286.561995,Total.SURVEY_LU1_1U3
   72.64045,17973.34923,Total.SURVEY_LU1_1U4
  0.0000,826.3823,Total.SURVEY_LC1_2A1
   4.074227,1701.703775,Total.SURVEY_LC1_2A2
  0.0000,168.6169,Total.SURVEY_LC1_2A3
   0.000,8887.934,Total.SURVEY_LC1_2B1
 0.00000,65.89597,Total.SURVEY_LC1_2B2
   0.000,4695.057,Total.SURVEY_LC1_2B3
  0.0000,256.1889,Total.SURVEY_LC1_2B4
  0.0000,547.3978,Total.SURVEY_LC1_2B5
  0.0000,786.1692,Total.SURVEY_LC1_2B7
  0.0000,579.6472,Total.SURVEY_LC1_2B8
19563.59,    0.00,Total.SURVEY_LC1_2Bx
    4.962925,37872.237514,Total.SURVEY_LC1_2C1
 145.4327,6951.0602,Total.SURVEY_LC1_2C2
   8.084356,4644.454694,Total.SURVEY_LC1_2C3
   5.723095,2964.651309,Total.SURVEY_LC1_2D1
   0.000,2629.279,Total.SURVEY_LC1_2D2
   0.000,4911.269,Total.SURVEY_LC1_2E1
   4.97634,8804.39828,Total.SURVEY_LC1_2E2
   0.000,1066.252,Total.SURVEY_LC1_2E3
  0.0000,422.8116,Total.SURVEY_LC1_2F1
 0.00000,48.67577,Total.SURVEY_LC1_2F2
 0.00000,10.82981,Total.SURVEY_LC1_2F3
   4.669633,1210.186717,Total.SURVEY_LC1_2F4
  0.0000,607.7181,Total.SURVEY_LC1_2G1
  0.0000,406.1806,Total.SURVEY_LC1_2G2
  0.000,152.761,Total.SURVEY_LC1_2H1
 0.00000,36.72845,Total.SURVEY_LC1_2H2
19501.65,26095.14,Total.SURVEY_LU1_2U11
  158.48,42051.39,Total.SURVEY_LU1_2U12
  0.0000,373.1807,Total.SURVEY_LU1_2U13
  4.669633,252.555339,Total.SURVEY_LU1_2U14
 0.00000,26.45005,Total.SURVEY_LU1_2U15
  0.0000,137.9046,Total.SURVEY_LU1_2U21
 0.00000,57.95641,Total.SURVEY_LU1_2U22
   0.000,1781.411,Total.SURVEY_LU1_2U31
  0.0000,152.3379,Total.SURVEY_LU1_2U32
 0.0000,22.5223,Total.SURVEY_LU1_2U33
  0.0000,123.4046,Total.SURVEY_LU1_2U34
  0.0000,308.0123,Total.SURVEY_LU1_2U35
  0.0000,248.1129,Total.SURVEY_LU1_2U36
   4.074227,1650.761047,Total.SURVEY_LU1_2U37
 72.64045,985.56943,Total.SURVEY_LU1_2U41
    0.00,16987.78,Total.SURVEY_LU1_2U42
  0.0000,761.9815,Total.SURVEY_LC1_3A11
 0.00000,28.30737,Total.SURVEY_LC1_3A12
 0.00000,36.09346,Total.SURVEY_LC1_3A13
  0.0000,580.8328,Total.SURVEY_LC1_3A21
   0.000,1120.871,Total.SURVEY_LC1_3A22
4.074227,0.000000,Total.SURVEY_LC1_3A2x
  0.0000,168.6169,Total.SURVEY_LC1_3A30
   0.000,5352.224,Total.SURVEY_LC1_3B11
  0.0000,144.1653,Total.SURVEY_LC1_3B12
  0.0000,714.8114,Total.SURVEY_LC1_3B13
 0.00000,52.66382,Total.SURVEY_LC1_3B14
 0.00000,95.65547,Total.SURVEY_LC1_3B15
   0.000,2371.112,Total.SURVEY_LC1_3B16
 0.000,47.154,Total.SURVEY_LC1_3B17
0.000000,7.895197,Total.SURVEY_LC1_3B18
  0.0000,102.2518,Total.SURVEY_LC1_3B19
 0.00000,35.84914,Total.SURVEY_LC1_3B21
 0.00000,30.04682,Total.SURVEY_LC1_3B23
   0.000,4087.861,Total.SURVEY_LC1_3B31
  0.0000,488.5423,Total.SURVEY_LC1_3B32
 0.00000,31.26943,Total.SURVEY_LC1_3B33
 0.0000,16.0931,Total.SURVEY_LC1_3B35
 0.00000,29.30004,Total.SURVEY_LC1_3B36
 0.00000,41.99144,Total.SURVEY_LC1_3B37
 0.0000,28.3282,Total.SURVEY_LC1_3B41
 0.00000,26.38662,Total.SURVEY_LC1_3B42
  0.0000,180.3745,Total.SURVEY_LC1_3B43
 0.00000,16.20083,Total.SURVEY_LC1_3B44
0.000000,4.898787,Total.SURVEY_LC1_3B45
  0.0000,508.4934,Total.SURVEY_LC1_3B52
 0.0000,16.1795,Total.SURVEY_LC1_3B53
0.000000,4.003999,Total.SURVEY_LC1_3B54
 0.00000,18.72092,Total.SURVEY_LC1_3B55
 0.00000,77.90611,Total.SURVEY_LC1_3B71
 0.00000,17.19193,Total.SURVEY_LC1_3B72
  0.0000,247.1983,Total.SURVEY_LC1_3B73
  0.0000,188.3018,Total.SURVEY_LC1_3B74
  0.0000,255.5711,Total.SURVEY_LC1_3B75
  0.0000,407.2138,Total.SURVEY_LC1_3B82
0.000000,3.987702,Total.SURVEY_LC1_3B83
  0.0000,168.4457,Total.SURVEY_LC1_3B84
18736.18,    0.00,Total.SURVEY_LC1_3Bx1
819.8841,  0.0000,Total.SURVEY_LC1_3Bx2
7.523736,0.000000,Total.SURVEY_LC1_3Bxx
    0.00,37872.24,Total.SURVEY_LC1_3C10
4.962925,0.000000,Total.SURVEY_LC1_3C1x
   0.000,1037.328,Total.SURVEY_LC1_3C21
   0.000,5564.249,Total.SURVEY_LC1_3C22
  0.0000,349.4827,Total.SURVEY_LC1_3C23
145.4327,  0.0000,Total.SURVEY_LC1_3C2x
  0.0000,284.3275,Total.SURVEY_LC1_3C31
   0.000,1985.977,Total.SURVEY_LC1_3C32
   0.00,2374.15,Total.SURVEY_LC1_3C33
8.084356,0.000000,Total.SURVEY_LC1_3C3x
   0.000,2964.651,Total.SURVEY_LC1_3D10
5.723095,0.000000,Total.SURVEY_LC1_3D1x
   0.000,2629.279,Total.SURVEY_LC1_3D20
   0.000,4911.269,Total.SURVEY_LC1_3E10
   0.000,8804.398,Total.SURVEY_LC1_3E20
4.97634,0.00000,Total.SURVEY_LC1_3E2x
   0.000,1066.252,Total.SURVEY_LC1_3E30
  0.0000,422.8116,Total.SURVEY_LC1_3F10
 0.00000,48.67577,Total.SURVEY_LC1_3F20
 0.00000,10.82981,Total.SURVEY_LC1_3F30
   0.000,1210.187,Total.SURVEY_LC1_3F40
4.669633,0.000000,Total.SURVEY_LC1_3F4x
  0.0000,573.0483,Total.SURVEY_LC1_3G11
 0.00000,34.66976,Total.SURVEY_LC1_3G12
  0.0000,406.1806,Total.SURVEY_LC1_3G21
  0.000,143.788,Total.SURVEY_LC1_3H11
