BG31.No,BG32.No,BG33.No,BG34.No,BG41.No,BG42.No,BG31.Yes,BG32.Yes,BG33.Yes,BG34.Yes,BG41.Yes,BG42.Yes,variable
No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 4775.284, 4014.398, 4276.580, 3714.229,  714.995, 2246.027,14292.716,10797.602,10371.420,16086.771,19586.005,20119.973,Total.area
  0.000000,  0.000000,  0.000000,  0.000000,  4.074227,  0.000000,518.341553,342.557251,349.586984,467.718623,543.988847,474.509754,Total.SURVEY_LC1_1A
4765.345,3972.596,4276.580,3654.598, 706.893,2187.578,3217.066,2875.538,3147.519,3099.085,1172.751,2306.330,Total.SURVEY_LC1_1B
    4.962925,   41.801103,    0.000000,   54.961806,    4.027786,   52.726383, 6743.836543, 5257.908007, 4563.686512, 8390.772891,12170.258576,12341.289904,Total.SURVEY_LC1_1C
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   5.723095, 981.814548, 737.783070, 602.452721, 950.596183,1253.933156,1067.350276,Total.SURVEY_LC1_1D
   4.97634,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,2321.65227,1179.57858,1414.40967,2574.40217,3946.43476,3345.44248,Total.SURVEY_LC1_1E
  0.000000,  0.000000,  0.000000,  4.669633,  0.000000,  0.000000,217.727509,260.317938,180.707243,355.572693,349.271096,328.907408,Total.SURVEY_LC1_1F
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,258.0988,115.0066,100.8834,201.9669,110.8962,227.0469,Total.SURVEY_LC1_1G
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,34.17822,28.91330,12.17443,46.65591,38.47093,29.09663,Total.SURVEY_LC1_1H
 4766.8893, 4014.3976, 4272.6366, 3689.0890,  693.8721, 2227.9138, 9719.7352, 8426.5348, 8592.2213,13103.7177,13141.6208,15814.8850,Total.SURVEY_LU1_1U1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,26.625503,26.232375, 9.779387,50.768563,12.481712,69.973512,Total.SURVEY_LU1_1U2
  0.000000,  0.000000,  0.000000,  0.000000,  4.074227,  0.000000,897.433332,562.404788,546.758572,647.722182,868.056035,764.187086,Total.SURVEY_LU1_1U3
   8.394875,   0.000000,   3.943194,  25.140448,  17.048693,  18.113245,3648.921837,1782.430506,1222.660960,2284.562067,5563.846428,3470.927432,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,132.88276,136.04941, 94.02417,133.06350,180.71757,149.64492,Total.SURVEY_LC1_2A1
  0.000000,  0.000000,  0.000000,  0.000000,  4.074227,  0.000000,338.994660,186.273670,251.717149,297.832871,329.748271,297.137155,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,46.464136,20.234167, 3.845669,36.822254,33.523008,27.727675,Total.SURVEY_LC1_2A3
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,1924.1247,1999.5111,1907.3463,1607.0247, 517.6703, 932.2564,Total.SURVEY_LC1_2B1
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,15.69514, 0.00000, 0.00000, 0.00000,26.03897,24.16186,Total.SURVEY_LC1_2B2
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,1032.0380, 638.8492, 979.1055,1097.7603, 285.2617, 662.0422,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 26.997139, 16.337906, 26.902346,  4.898787, 40.764989,140.287746,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 93.92697, 67.23732, 54.20452, 76.38367, 92.27710,163.36824,Total.SURVEY_LC1_2B5
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 75.03755,123.65334, 79.60431,140.91799,165.68760,201.26844,Total.SURVEY_LC1_2B7
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 49.24698, 29.94869,100.35634,172.09970, 45.05074,182.94471,Total.SURVEY_LC1_2B8
4765.345,3972.596,4276.580,3654.598, 706.893,2187.578,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,Total.SURVEY_LC1_2Bx
   4.962925,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,6236.774081,4881.124707,4521.285864,7398.827458,7190.030446,7644.194958,Total.SURVEY_LC1_2C1
   0.00000,  37.74453,   0.00000,  54.96181,   0.00000,  52.72638, 158.17654, 232.65120,  26.27354, 510.34303,3159.66555,2863.95036,Total.SURVEY_LC1_2C2
   0.000000,   4.056570,   0.000000,   0.000000,   4.027786,   0.000000, 348.885919, 144.132094,  16.127106, 481.602408,1820.562583,1833.144585,Total.SURVEY_LC1_2C3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  5.723095,599.175052,391.633779,347.748725,396.696168,653.801040,575.596545,Total.SURVEY_LC1_2D1
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,382.6395,346.1493,254.7040,553.9000,600.1321,491.7537,Total.SURVEY_LC1_2D2
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 759.5582, 336.8675, 542.6548, 749.0285,1415.2302,1107.9301,Total.SURVEY_LC1_2E1
   4.97634,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1411.37059, 715.17990, 750.15571,1550.00297,2380.01803,1997.67108,Total.SURVEY_LC1_2E2
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,150.7235,127.5311,121.5991,275.3707,151.1865,239.8413,Total.SURVEY_LC1_2E3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 23.492975, 22.272068, 11.851329,  9.146319,249.213953,106.834941,Total.SURVEY_LC1_2F1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,12.033131, 3.978632,16.358143,16.305868,Total.SURVEY_LC1_2F2
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,10.82981, 0.00000,Total.SURVEY_LC1_2F3
