No,Yes,variable
  52.86497,8661.57951,Total.area
   0.000,2974.433,Total.SURVEY_LC1_1A
  52.86497,1289.11055,Total.SURVEY_LC1_1B
   0.000,2083.647,Total.SURVEY_LC1_1C
   0.000,1407.604,Total.SURVEY_LC1_1D
  0.0000,642.4352,Total.SURVEY_LC1_1E
  0.0000,238.7377,Total.SURVEY_LC1_1F
 0.0000,22.5806,Total.SURVEY_LC1_1G
0.000000,3.030917,Total.SURVEY_LC1_1H
  52.86497,1787.66201,Total.SURVEY_LU1_1U1
 0.00000,43.55076,Total.SURVEY_LU1_1U2
   0.000,3237.281,Total.SURVEY_LU1_1U3
   0.000,3593.086,Total.SURVEY_LU1_1U4
  0.0000,528.4653,Total.SURVEY_LC1_2A1
   0.000,2397.021,Total.SURVEY_LC1_2A2
 0.00000,48.94694,Total.SURVEY_LC1_2A3
  0.0000,430.0194,Total.SURVEY_LC1_2B1
0.000000,7.891574,Total.SURVEY_LC1_2B2
 0.00000,11.06045,Total.SURVEY_LC1_2B3
 0.00000,21.78887,Total.SURVEY_LC1_2B4
  0.0000,253.1305,Total.SURVEY_LC1_2B5
  0.0000,228.9269,Total.SURVEY_LC1_2B7
  0.0000,336.2929,Total.SURVEY_LC1_2B8
52.86497, 0.00000,Total.SURVEY_LC1_2Bx
  0.0000,200.9964,Total.SURVEY_LC1_2C1
   0.000,1412.318,Total.SURVEY_LC1_2C2
  0.0000,470.3328,Total.SURVEY_LC1_2C3
  0.0000,789.0632,Total.SURVEY_LC1_2D1
  0.0000,618.5409,Total.SURVEY_LC1_2D2
  0.0000,154.9675,Total.SURVEY_LC1_2E1
  0.0000,264.0424,Total.SURVEY_LC1_2E2
  0.0000,223.4252,Total.SURVEY_LC1_2E3
 0.00000,31.45359,Total.SURVEY_LC1_2F1
0.00000000,0.03993526,Total.SURVEY_LC1_2F2
  0.0000,207.2441,Total.SURVEY_LC1_2F4
 0.0000,22.5806,Total.SURVEY_LC1_2G1
0.000000,2.990981,Total.SURVEY_LC1_2H1
0.00000000,0.03993526,Total.SURVEY_LC1_2H2
  52.86497,1610.56945,Total.SURVEY_LU1_2U11
  0.0000,164.9954,Total.SURVEY_LU1_2U12
 0.00000,12.09712,Total.SURVEY_LU1_2U14
 0.00000,43.55076,Total.SURVEY_LU1_2U21
   0.000,1063.718,Total.SURVEY_LU1_2U31
 0.00000,15.35521,Total.SURVEY_LU1_2U32
 0.00000,41.59479,Total.SURVEY_LU1_2U33
  0.0000,221.5998,Total.SURVEY_LU1_2U34
 0.00000,85.34672,Total.SURVEY_LU1_2U35
  0.0000,178.5541,Total.SURVEY_LU1_2U36
   0.000,1631.112,Total.SURVEY_LU1_2U37
  0.0000,160.9167,Total.SURVEY_LU1_2U41
   0.000,3432.169,Total.SURVEY_LU1_2U42
  0.0000,488.2992,Total.SURVEY_LC1_3A11
 0.00000,40.16605,Total.SURVEY_LC1_3A13
   0.000,1285.032,Total.SURVEY_LC1_3A21
   0.000,1111.989,Total.SURVEY_LC1_3A22
 0.00000,48.94694,Total.SURVEY_LC1_3A30
  0.0000,206.0523,Total.SURVEY_LC1_3B11
 0.00000,55.76201,Total.SURVEY_LC1_3B12
 0.00000,75.77081,Total.SURVEY_LC1_3B13
0.000000,9.839531,Total.SURVEY_LC1_3B14
 0.00000,78.53237,Total.SURVEY_LC1_3B15
0.000000,4.062343,Total.SURVEY_LC1_3B19
0.000000,7.891574,Total.SURVEY_LC1_3B21
 0.00000,11.06045,Total.SURVEY_LC1_3B37
0.000000,6.244596,Total.SURVEY_LC1_3B41
 0.00000,13.56055,Total.SURVEY_LC1_3B43
0.000000,1.983717,Total.SURVEY_LC1_3B44
0.000000,5.887211,Total.SURVEY_LC1_3B52
 0.00000,27.41458,Total.SURVEY_LC1_3B53
  0.0000,219.8287,Total.SURVEY_LC1_3B54
 0.00000,39.45829,Total.SURVEY_LC1_3B71
 0.0000,12.4534,Total.SURVEY_LC1_3B73
  0.000,126.561,Total.SURVEY_LC1_3B74
 0.00000,39.20406,Total.SURVEY_LC1_3B75
0.00000,3.27448,Total.SURVEY_LC1_3B76
0.000000,7.975676,Total.SURVEY_LC1_3B77
  0.0000,168.7975,Total.SURVEY_LC1_3B81
  0.0000,144.1708,Total.SURVEY_LC1_3B82
 0.00000,23.32455,Total.SURVEY_LC1_3B84
6.244596,0.000000,Total.SURVEY_LC1_3Bx1
46.62037, 0.00000,Total.SURVEY_LC1_3Bx2
  0.0000,200.9964,Total.SURVEY_LC1_3C10
   0.000,1397.489,Total.SURVEY_LC1_3C22
 0.00000,14.82917,Total.SURVEY_LC1_3C23
  0.0000,394.7066,Total.SURVEY_LC1_3C32
 0.00000,75.62617,Total.SURVEY_LC1_3C33
  0.0000,789.0632,Total.SURVEY_LC1_3D10
  0.0000,618.5409,Total.SURVEY_LC1_3D20
  0.0000,154.9675,Total.SURVEY_LC1_3E10
  0.0000,264.0424,Total.SURVEY_LC1_3E20
  0.0000,223.4252,Total.SURVEY_LC1_3E30
 0.00000,31.45359,Total.SURVEY_LC1_3F10
0.00000000,0.03993526,Total.SURVEY_LC1_3F20
  0.0000,207.2441,Total.SURVEY_LC1_3F40
 0.00000,22.54066,Total.SURVEY_LC1_3G11
0.00000000,0.03993526,Total.SURVEY_LC1_3G12
0.000000,2.990981,Total.SURVEY_LC1_3H11
0.00000000,0.03993526,Total.SURVEY_LC1_3H22
   0.000,1441.931,Total.SURVEY_LU1_3U111
  0.0000,117.4222,Total.SURVEY_LU1_3U112
52.86497,51.21606,Total.SURVEY_LU1_3U113
  0.0000,164.9954,Total.SURVEY_LU1_3U120
 0.00000,12.09712,Total.SURVEY_LU1_3U140
 0.00000,43.55076,Total.SURVEY_LU1_3U210
   0.00,1026.11,Total.SURVEY_LU1_3U312
0.0000000,0.1198058,Total.SURVEY_LU1_3U314
0.00000000,0.03993526,Total.SURVEY_LU1_3U316
 0.00000,35.88588,Total.SURVEY_LU1_3U317
0.000000,1.562234,Total.SURVEY_LU1_3U318
 0.00000,13.37149,Total.SURVEY_LU1_3U321
0.000000,1.983717,Total.SURVEY_LU1_3U322
 0.00000,41.59479,Total.SURVEY_LU1_3U330
  0.0000,185.7139,Total.SURVEY_LU1_3U341
 0.00000,35.88588,Total.SURVEY_LU1_3U342
 0.00000,85.34672,Total.SURVEY_LU1_3U350
  0.0000,136.8258,Total.SURVEY_LU1_3U361
 0.00000,41.72828,Total.SURVEY_LU1_3U362
   0.000,1631.112,Total.SURVEY_LU1_3U370
0.00000,1.39831,Total.SURVEY_LU1_3U413
 0.00000,47.63338,Total.SURVEY_LU1_3U414
  0.000,111.885,Total.SURVEY_LU1_3U415
   0.000,3432.169,Total.SURVEY_LU1_3U420
  52.86497,5373.28276,Total.settlement0
   0.000,3288.297,Total.settlement1
0.000000,3.571514,Total.settl_pc
  52.86497,5801.71892,Total.fao_class_name0
   0.000,1795.632,Total.fao_class_name1
  0.0000,642.2391,Total.fao_class_name2
  0.0000,421.9893,Total.fao_class_name3
  52.86497,6544.96711,Total.lue0
   0.000,2116.612,Total.lue1
  52.86497,7485.26335,Total.lud0
   0.000,1176.316,Total.lud1
 0.00000,20.84863,SE.Total.area
0.000000,0.877571,SE.Total.SURVEY_LC1_1A
0,0,SE.Total.SURVEY_LC1_1B
0.0000,9.7129,SE.Total.SURVEY_LC1_1C
 0.0000,20.5689,SE.Total.SURVEY_LC1_1D
0.000000,1.920319,SE.Total.SURVEY_LC1_1E
0,0,SE.Total.SURVEY_LC1_1F
0,0,SE.Total.SURVEY_LC1_1G
0,0,SE.Total.SURVEY_LC1_1H
0,0,SE.Total.SURVEY_LU1_1U1
0.000000,0.877571,SE.Total.SURVEY_LU1_1U2
0.000000,0.606135,SE.Total.SURVEY_LU1_1U3
 0.00000,20.96221,SE.Total.SURVEY_LU1_1U4
0,0,SE.Total.SURVEY_LC1_2A1
0,0,SE.Total.SURVEY_LC1_2A2
0.000000,0.877571,SE.Total.SURVEY_LC1_2A3
0,0,SE.Total.SURVEY_LC1_2B1
0,0,SE.Total.SURVEY_LC1_2B2
0,0,SE.Total.SURVEY_LC1_2B3
0,0,SE.Total.SURVEY_LC1_2B4
0,0,SE.Total.SURVEY_LC1_2B5
0,0,SE.Total.SURVEY_LC1_2B7
0,0,SE.Total.SURVEY_LC1_2B8
0,0,SE.Total.SURVEY_LC1_2Bx
0.00000,6.71929,SE.Total.SURVEY_LC1_2C1
0.000000,7.040744,SE.Total.SURVEY_LC1_2C2
0.000000,1.187415,SE.Total.SURVEY_LC1_2C3
 0.00000,16.88557,SE.Total.SURVEY_LC1_2D1
 0.00000,18.16852,SE.Total.SURVEY_LC1_2D2
0,0,SE.Total.SURVEY_LC1_2E1
