CZ0.No,CZ0.Yes,variable
No,Yes,flag_two
10252.72,68618.28,Total.area
   0.000,3691.514,Total.SURVEY_LC1_1A
10165.33,14135.21,Total.SURVEY_LC1_1B
   74.53321,28781.84503,Total.SURVEY_LC1_1C
  3.774488,596.022650,Total.SURVEY_LC1_1D
    9.08778,18231.65192,Total.SURVEY_LC1_1E
   0.000,2031.052,Total.SURVEY_LC1_1F
  0.0000,975.6858,Total.SURVEY_LC1_1G
  0.0000,175.2969,Total.SURVEY_LC1_1H
10238.84,57174.06,Total.SURVEY_LU1_1U1
  0.0000,387.4697,Total.SURVEY_LU1_1U2
  10.10509,7142.52053,Total.SURVEY_LU1_1U3
   3.774488,3914.231715,Total.SURVEY_LU1_1U4
   0.000,1479.604,Total.SURVEY_LC1_2A1
   0.000,2000.107,Total.SURVEY_LC1_2A2
  0.0000,211.8031,Total.SURVEY_LC1_2A3
   0.000,7998.566,Total.SURVEY_LC1_2B1
  0.0000,470.0432,Total.SURVEY_LC1_2B2
   0.00,3032.54,Total.SURVEY_LC1_2B3
  0.0000,318.8616,Total.SURVEY_LC1_2B4
   0.000,1049.045,Total.SURVEY_LC1_2B5
   0.000,1098.661,Total.SURVEY_LC1_2B7
  0.0000,167.4922,Total.SURVEY_LC1_2B8
10165.33,    0.00,Total.SURVEY_LC1_2Bx
  16.43012,7880.46612,Total.SURVEY_LC1_2C1
   16.14227,13734.04024,Total.SURVEY_LC1_2C2
   8.003645,7167.338659,Total.SURVEY_LC1_2C3
33.95717, 0.00000,Total.SURVEY_LC1_2Cx
  3.774488,275.352348,Total.SURVEY_LC1_2D1
  0.0000,320.6703,Total.SURVEY_LC1_2D2
   4.932407,1814.898254,Total.SURVEY_LC1_2E1
    4.155373,14693.516328,Total.SURVEY_LC1_2E2
   0.000,1723.237,Total.SURVEY_LC1_2E3
 0.00000,33.74744,Total.SURVEY_LC1_2F1
 0.00000,15.97422,Total.SURVEY_LC1_2F2
   0.00,1981.33,Total.SURVEY_LC1_2F4
  0.0000,760.4221,Total.SURVEY_LC1_2G1
  0.0000,215.2637,Total.SURVEY_LC1_2G2
  0.0000,175.2969,Total.SURVEY_LC1_2H1
10164.31,28223.78,Total.SURVEY_LU1_2U11
   74.53321,28287.82066,Total.SURVEY_LU1_2U12
  0.0000,429.5039,Total.SURVEY_LU1_2U13
  0.0000,220.8273,Total.SURVEY_LU1_2U14
 0.0000,12.1252,Total.SURVEY_LU1_2U15
  0.0000,121.4658,Total.SURVEY_LU1_2U21
  0.0000,266.0039,Total.SURVEY_LU1_2U22
   0.000,2153.173,Total.SURVEY_LU1_2U31
  0.0000,124.3889,Total.SURVEY_LU1_2U32
 0.00000,75.01855,Total.SURVEY_LU1_2U33
  0.0000,256.1216,Total.SURVEY_LU1_2U34
  5.172686,814.814975,Total.SURVEY_LU1_2U35
  0.0000,840.0033,Total.SURVEY_LU1_2U36
   4.932407,2879.000388,Total.SURVEY_LU1_2U37
  0.000,296.169,Total.SURVEY_LU1_2U41
