CZ01.No,CZ02.No,CZ03.No,CZ04.No,CZ05.No,CZ06.No,CZ07.No,CZ08.No,CZ01.Yes,CZ02.Yes,CZ03.Yes,CZ04.Yes,CZ05.Yes,CZ06.Yes,CZ07.Yes,CZ08.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
   31.27326, 2077.27783, 2033.79008,  703.38575,  903.63127, 2854.39923, 1174.72328,  474.24215,  464.72674, 8851.72217,15673.20992, 7945.61425,11537.36873,11129.60077, 8060.27672, 4955.75785,Total.area
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,153.8420,575.9749,553.8211,422.7519,517.1086,616.1880,479.1496,372.6781,Total.SURVEY_LC1_1A
  31.27326,2069.05101,2005.11992, 699.19155, 899.95502,2828.72450,1165.74873, 466.26339,  67.21985,2674.70663,2219.35021,1020.67018,2625.05477,3121.81505,1666.97285, 739.41960,Total.SURVEY_LC1_1B
   0.000000,   8.226821,  19.963259,   4.194201,   3.676249,  25.674730,   8.974551,   3.823394,  95.447940,3457.830936,7127.341925,3710.480702,4557.109788,3905.559500,3694.109893,2233.964340,Total.SURVEY_LC1_1C
  0.000000,  0.000000,  3.774488,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 12.956747,120.452628, 87.034132,115.057421, 50.676476,109.382058, 61.598306, 38.864882,Total.SURVEY_LC1_1D
   0.000000,   0.000000,   4.932407,   0.000000,   0.000000,   0.000000,   0.000000,   4.155373, 107.827037,1641.662112,4841.267779,2209.427117,3239.954077,2758.560733,2041.457893,1391.495169,Total.SURVEY_LC1_1E
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 12.02888,229.09494,422.56128,329.35661,396.50090,467.83936, 80.44969, 93.21991,Total.SURVEY_LC1_1F
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 15.40426,134.20816,356.72036,110.53600,128.84255,124.06340, 31.89113, 74.01997,Total.SURVEY_LC1_1G
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,17.791875,65.113113,27.334350,22.121612,26.192669, 4.647383,12.095879,Total.SURVEY_LC1_1H
   31.27326, 2077.27783, 2025.08318,  698.21306,  903.63127, 2854.39923, 1174.72328,  474.24215,  144.89894, 7180.78400,13480.39099, 6325.50114, 9738.72034, 9399.78771, 6830.06850, 4073.90359,Total.SURVEY_LU1_1U1
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,46.16880,33.14817,95.98714,44.27285,96.96496,48.77506,22.15274,Total.SURVEY_LU1_1U2
   0.000000,   0.000000,   4.932407,   5.172686,   0.000000,   0.000000,   0.000000,   0.000000, 267.589488,1103.518787,1072.840528,1073.164637,1035.441820,1083.291857, 863.495054, 643.178358,Total.SURVEY_LU1_1U3
   0.000000,   0.000000,   3.774488,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  52.238321, 521.250583,1086.830232, 450.961343, 718.933723, 549.556244, 317.938108, 216.523161,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 37.59254,224.30959,220.24965, 85.45104,219.02924,309.21413,263.89174,119.86597,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,108.2656,301.3887,329.5552,294.3045,273.8668,266.6687,205.5217,220.5359,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.983893,50.276604, 4.016306,42.996321,24.212477,40.305127, 9.736133,32.276211,Total.SURVEY_LC1_2A3
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  27.72634,1505.12495,1385.73628, 538.56263,1525.69380,1681.91323, 899.45031, 434.35819,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,151.282273,  4.380341, 29.339052,110.532869, 59.827831, 83.951940, 30.728923,Total.SURVEY_LC1_2B2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 12.07812,650.57385,423.76220,311.39158,496.77857,671.62869,289.72278,176.60375,Total.SURVEY_LC1_2B3
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,82.106309,49.801091, 0.000000,64.624088,81.193489,33.023695, 8.112897,Total.SURVEY_LC1_2B4
