No,Yes,variable
 42127.9,315438.0,Total.area
   45.92719,27661.83145,Total.SURVEY_LC1_1A
35870.45,63442.59,Total.SURVEY_LC1_1B
  6160.886,116586.047,Total.SURVEY_LC1_1C
  14.74536,3937.91624,Total.SURVEY_LC1_1D
   25.8692,76377.9662,Total.SURVEY_LC1_1E
    6.065288,19470.216429,Total.SURVEY_LC1_1F
   0.000,6206.185,Total.SURVEY_LC1_1G
   3.954363,1755.287305,Total.SURVEY_LC1_1H
 41573.49,249806.35,Total.SURVEY_LU1_1U1
   0.000,1645.663,Total.SURVEY_LU1_1U2
  264.2147,49687.7228,Total.SURVEY_LU1_1U3
  290.1908,14298.3025,Total.SURVEY_LU1_1U4
   0.000,8628.075,Total.SURVEY_LC1_2A1
   45.92719,17302.20679,Total.SURVEY_LC1_2A2
   0.00,1731.55,Total.SURVEY_LC1_2A3
    0.00,38714.68,Total.SURVEY_LC1_2B1
   0.000,3858.984,Total.SURVEY_LC1_2B2
   0.000,8822.579,Total.SURVEY_LC1_2B3
   0.000,1470.702,Total.SURVEY_LC1_2B4
   0.000,6776.341,Total.SURVEY_LC1_2B5
   0.000,2608.573,Total.SURVEY_LC1_2B7
   0.000,1190.729,Total.SURVEY_LC1_2B8
35870.45,    0.00,Total.SURVEY_LC1_2Bx
  324.155,52999.733,Total.SURVEY_LC1_2C1
 3094.58,42833.50,Total.SURVEY_LC1_2C2
 2737.761,20752.811,Total.SURVEY_LC1_2C3
4.38896,0.00000,Total.SURVEY_LC1_2Cx
  10.85705,1990.40360,Total.SURVEY_LC1_2D1
   3.888311,1947.512638,Total.SURVEY_LC1_2D2
   0.000,4805.506,Total.SURVEY_LC1_2E1
   21.8652,66705.4488,Total.SURVEY_LC1_2E2
   0.000,4867.012,Total.SURVEY_LC1_2E3
4.004001,0.000000,Total.SURVEY_LC1_2Ex
  0.0000,252.7599,Total.SURVEY_LC1_2F1
  0.0000,523.4543,Total.SURVEY_LC1_2F2
    6.065288,18694.002167,Total.SURVEY_LC1_2F4
   0.000,4582.017,Total.SURVEY_LC1_2G1
   0.00,1615.02,Total.SURVEY_LC1_2G2
0.000000,9.147514,Total.SURVEY_LC1_2G4
   0.000,1540.995,Total.SURVEY_LC1_2H1
  0.0000,214.2924,Total.SURVEY_LC1_2H2
3.954363,0.000000,Total.SURVEY_LC1_2Hx
 35923.48,144253.35,Total.SURVEY_LU1_2U11
  5646.046,103625.475,Total.SURVEY_LU1_2U12
  0.0000,363.1144,Total.SURVEY_LU1_2U13
   3.963249,1535.233354,Total.SURVEY_LU1_2U14
 0.00000,29.17764,Total.SURVEY_LU1_2U15
  0.0000,406.5982,Total.SURVEY_LU1_2U21
   0.000,1239.064,Total.SURVEY_LU1_2U22
   16.40727,17792.67751,Total.SURVEY_LU1_2U31
  0.0000,730.9529,Total.SURVEY_LU1_2U32
  0.0000,512.6375,Total.SURVEY_LU1_2U33
  12.37604,2643.27118,Total.SURVEY_LU1_2U34
  58.10065,3777.24883,Total.SURVEY_LU1_2U35
 109.9333,7230.9789,Total.SURVEY_LU1_2U36
   67.39752,16999.95600,Total.SURVEY_LU1_2U37
  20.01744,1217.00382,Total.SURVEY_LU1_2U41
  270.1733,13081.2987,Total.SURVEY_LU1_2U42
   0.000,7922.198,Total.SURVEY_LC1_3A11
  0.0000,654.1217,Total.SURVEY_LC1_3A12
 0.00000,51.75512,Total.SURVEY_LC1_3A13
   0.000,6468.173,Total.SURVEY_LC1_3A21
    0.00,10834.03,Total.SURVEY_LC1_3A22
45.92719, 0.00000,Total.SURVEY_LC1_3A2x
   0.00,1731.55,Total.SURVEY_LC1_3A30
    0.00,14079.25,Total.SURVEY_LC1_3B11
  0.0000,197.3521,Total.SURVEY_LC1_3B12
   0.000,6250.166,Total.SURVEY_LC1_3B13
   0.00,2554.49,Total.SURVEY_LC1_3B14
  0.0000,794.4129,Total.SURVEY_LC1_3B15
    0.00,13201.72,Total.SURVEY_LC1_3B16
   0.000,1526.851,Total.SURVEY_LC1_3B18
  0.0000,110.4414,Total.SURVEY_LC1_3B19
   0.000,1322.694,Total.SURVEY_LC1_3B21
   0.000,2143.148,Total.SURVEY_LC1_3B22
  0.0000,393.1418,Total.SURVEY_LC1_3B23
  0.0000,433.5056,Total.SURVEY_LC1_3B31
   0.000,6416.819,Total.SURVEY_LC1_3B32
  0.0000,391.4463,Total.SURVEY_LC1_3B33
   0.000,1350.709,Total.SURVEY_LC1_3B35
0.000000,4.705789,Total.SURVEY_LC1_3B36
  0.0000,225.3934,Total.SURVEY_LC1_3B37
  0.0000,791.5308,Total.SURVEY_LC1_3B41
  0.0000,491.5916,Total.SURVEY_LC1_3B43
 0.00000,88.13723,Total.SURVEY_LC1_3B44
 0.00000,99.44251,Total.SURVEY_LC1_3B45
  0.0000,640.9486,Total.SURVEY_LC1_3B51
  0.0000,527.3283,Total.SURVEY_LC1_3B52
   0.000,2777.218,Total.SURVEY_LC1_3B53
  0.0000,115.2711,Total.SURVEY_LC1_3B54
   0.000,2715.575,Total.SURVEY_LC1_3B55
   0.000,1587.969,Total.SURVEY_LC1_3B71
  0.0000,165.4304,Total.SURVEY_LC1_3B72
  0.0000,372.6808,Total.SURVEY_LC1_3B73
  0.0000,186.1089,Total.SURVEY_LC1_3B74
  0.0000,296.3836,Total.SURVEY_LC1_3B75
  0.0000,915.9163,Total.SURVEY_LC1_3B82
  0.0000,231.2036,Total.SURVEY_LC1_3B83
 0.00000,43.60956,Total.SURVEY_LC1_3B84
35029.78,    0.00,Total.SURVEY_LC1_3Bx1
819.6773,  0.0000,Total.SURVEY_LC1_3Bx2
20.98725, 0.00000,Total.SURVEY_LC1_3Bxx
    0.00,52999.73,Total.SURVEY_LC1_3C10
324.155,  0.000,Total.SURVEY_LC1_3C1x
    0.00,22904.98,Total.SURVEY_LC1_3C21
    0.00,15838.68,Total.SURVEY_LC1_3C22
   0.000,4089.844,Total.SURVEY_LC1_3C23
3094.58,   0.00,Total.SURVEY_LC1_3C2x
   0.000,7967.676,Total.SURVEY_LC1_3C31
   0.000,6206.461,Total.SURVEY_LC1_3C32
   0.000,6578.674,Total.SURVEY_LC1_3C33
2737.761,   0.000,Total.SURVEY_LC1_3C3x
4.38896,0.00000,Total.SURVEY_LC1_3Cxx
   0.000,1990.404,Total.SURVEY_LC1_3D10
10.85705, 0.00000,Total.SURVEY_LC1_3D1x
   0.000,1947.513,Total.SURVEY_LC1_3D20
3.888311,0.000000,Total.SURVEY_LC1_3D2x
   0.000,4805.506,Total.SURVEY_LC1_3E10
    0.00,66705.45,Total.SURVEY_LC1_3E20
21.8652, 0.0000,Total.SURVEY_LC1_3E2x
   0.000,4867.012,Total.SURVEY_LC1_3E30
4.004001,0.000000,Total.SURVEY_LC1_3Exx
  0.0000,252.7599,Total.SURVEY_LC1_3F10
  0.0000,523.4543,Total.SURVEY_LC1_3F20
    0,18694,Total.SURVEY_LC1_3F40
6.065288,0.000000,Total.SURVEY_LC1_3F4x
   0.000,4582.017,Total.SURVEY_LC1_3G11
   0.00,1605.66,Total.SURVEY_LC1_3G21
0.000000,9.359781,Total.SURVEY_LC1_3G22
0.000000,9.147514,Total.SURVEY_LC1_3G40
   0.000,1126.901,Total.SURVEY_LC1_3H11
  0.0000,414.0944,Total.SURVEY_LC1_3H12
  0.0000,143.0626,Total.SURVEY_LC1_3H21
 0.00000,71.22974,Total.SURVEY_LC1_3H23
3.954363,0.000000,Total.SURVEY_LC1_3Hxx
 35688.68,142151.89,Total.SURVEY_LU1_3U111
   5.670145,1281.818803,Total.SURVEY_LU1_3U112
229.1263,819.6344,Total.SURVEY_LU1_3U113
  5646.046,103625.475,Total.SURVEY_LU1_3U120
  0.0000,363.1144,Total.SURVEY_LU1_3U130
   3.963249,1535.233354,Total.SURVEY_LU1_3U140
 0.00000,29.17764,Total.SURVEY_LU1_3U150
  0.0000,406.5982,Total.SURVEY_LU1_3U210
 0.00000,60.78002,Total.SURVEY_LU1_3U221
 0.00000,39.24036,Total.SURVEY_LU1_3U222
  0.0000,254.4619,Total.SURVEY_LU1_3U223
  0.0000,102.0531,Total.SURVEY_LU1_3U224
  0.0000,181.4918,Total.SURVEY_LU1_3U225
  0.0000,342.3816,Total.SURVEY_LU1_3U226
  0.0000,249.9416,Total.SURVEY_LU1_3U227
0.000,8.714,Total.SURVEY_LU1_3U228
  0.0000,741.6594,Total.SURVEY_LU1_3U311
    8.360156,13096.122659,Total.SURVEY_LU1_3U312
   0.000,1275.284,Total.SURVEY_LU1_3U313
  3.988889,260.463223,Total.SURVEY_LU1_3U314
 0.00000,14.76882,Total.SURVEY_LU1_3U316
