DE11.No,DE12.No,DE13.No,DE14.No,DE21.No,DE22.No,DE23.No,DE24.No,DE25.No,DE26.No,DE27.No,DE30.No,DE40.No,DE50.No,DE60.No,DE71.No,DE72.No,DE73.No,DE80.No,DE91.No,DE92.No,DE93.No,DE94.No,DEA1.No,DEA2.No,DEA3.No,DEA4.No,DEA5.No,DEB1.No,DEB2.No,DEB3.No,DEC0.No,DED2.No,DED4.No,DED5.No,DEE0.No,DEF0.No,DEG0.No,DE11.Yes,DE12.Yes,DE13.Yes,DE14.Yes,DE21.Yes,DE22.Yes,DE23.Yes,DE24.Yes,DE25.Yes,DE26.Yes,DE27.Yes,DE30.Yes,DE40.Yes,DE50.Yes,DE60.Yes,DE71.Yes,DE72.Yes,DE73.Yes,DE80.Yes,DE91.Yes,DE92.Yes,DE93.Yes,DE94.Yes,DEA1.Yes,DEA2.Yes,DEA3.Yes,DEA4.Yes,DEA5.Yes,DEB1.Yes,DEB2.Yes,DEB3.Yes,DEC0.Yes,DED2.Yes,DED4.Yes,DED5.Yes,DEE0.Yes,DEF0.Yes,DEG0.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  560.985688, 1964.832825,  229.262820,  924.993486, 1572.858405,  904.316773,  168.949735,  149.271170,  143.572711,  442.966908,  279.355462,   15.596218, 5462.800492,    4.255579,   16.028411,  599.319335,  295.106522,  987.267438, 5330.039731, 1124.525221, 1325.157060, 1318.717362, 1949.067653,  433.155696,  314.278510, 1033.666711,  677.804871,  257.509467,  166.103456,  154.955444,  299.643306,   78.628387,  936.624354, 1068.394588, 1093.786228, 4518.071966, 2496.502432, 2829.523365, 9995.014312, 4952.167175, 9125.737180, 7992.006514,15955.141595, 9423.683227, 9522.050265, 7082.728830, 7099.427289, 8087.033092, 9711.644538,  875.403782,24193.199508,  415.744421,  738.971589, 6845.680665, 5086.893478, 7300.732562,17962.960269, 6991.474779, 7739.842940,14223.282638,13037.932347, 4857.844304, 7050.721490, 5884.333289, 5846.195129, 7754.490533, 7908.896544, 4771.044556, 6552.356694, 2492.371613, 7007.375646, 5459.605412, 2884.213772,15935.928034,13302.429510,13371.476635,Total.area
   0.000000,   0.000000,   0.000000,   0.000000,   8.360156,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   6.493668,   0.000000,   0.000000,  31.073361,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1266.900116, 807.978974, 689.943227, 628.007738,1388.390313, 718.013108, 558.479740, 521.462040, 635.631210, 662.423624, 686.537754, 322.992669,1178.275700, 178.139380, 225.334077, 825.291812, 379.103604, 610.246673, 814.061731, 647.709818, 672.124320, 861.939880,1146.722955, 964.728943, 967.230883, 843.488990, 681.435772,1009.409756, 672.058585, 319.114574, 662.555484, 338.578381, 594.667859, 516.536819, 345.989235,1175.218260,1190.945303, 954.162143,Total.SURVEY_LC1_1A
 548.295360, 247.414825, 222.344743, 401.756188, 557.681830, 470.552804, 165.107620, 149.271170, 143.572711, 442.966908, 279.355462,   7.855083,4646.403634,   4.255579,  16.028411, 264.984480, 139.983037, 369.390797,5209.599089,1087.565834,1300.945087,1313.744372,1935.642711, 393.644532, 299.281335,1033.666711, 677.804871, 201.197964, 140.310545, 150.761331, 299.643306,  78.628387, 932.573933,1068.394588, 917.706640,4452.955726,2469.637912,2829.523365,2656.458040,1171.163702,1466.559304,1581.258654,2986.470506,2522.447733,2170.876648,1609.946487,2000.139950,2063.045157,1873.600988,  19.735137,3193.429536,   8.525467,  40.477309,1294.420260, 894.025853,1520.454478,2910.781795,1717.112929,2355.575666,2467.644804,3039.577694,1017.493551,1543.465672,1778.005930,1675.338279, 901.796899,1072.013088, 819.847042,1632.782598, 247.255974,1065.855532, 932.852620, 627.836549,3394.784486,3008.675802,2160.854316,Total.SURVEY_LC1_1B
   12.690329, 1717.418000,    6.918077,  523.237297, 1006.816419,  433.763969,    3.842115,    0.000000,    0.000000,    0.000000,    0.000000,    7.741135,  812.442495,    0.000000,    0.000000,  334.334856,  148.414402,  617.876641,  116.552331,   32.569549,   24.211973,    4.972990,    0.000000,   39.511163,    4.355536,    0.000000,    0.000000,   21.234140,   19.727623,    4.194114,    0.000000,    0.000000,    0.000000,    0.000000,  176.079589,   65.116240,   26.864520,    0.000000, 3743.544758, 1789.147385, 4568.037578, 2519.137911, 5651.486387, 3166.508321, 4362.891833, 3241.582549, 2617.988993, 3803.663589, 3008.376213,  341.545307,11392.873784,   67.592882,  188.851398, 3032.605797, 2285.699495, 2911.393742, 5915.020297, 3228.151301, 2378.394795, 4898.861849, 2748.822722, 1246.566317, 2291.371201, 1532.242644, 1518.761554, 3158.648354, 3752.643711, 2144.489486, 2803.423737, 1051.954506, 2943.650215, 2319.578937,  759.051361, 5489.086665, 2373.886234, 5338.513504,Total.SURVEY_LC1_1C
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  6.709083,  0.000000,  3.888311,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.147971,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 63.522503, 49.309893, 49.807040,200.092263,252.227903,116.210473,105.552083, 63.928571, 39.744109, 57.287089,139.156062,  7.702531,162.673421,  8.587872, 12.127058, 96.587008, 43.592217,128.011477,236.207958, 16.329647, 20.798421,205.060852, 98.690909, 39.873288, 85.363334, 32.829779,268.934982, 43.744519,208.640605, 77.317715, 48.228999, 49.997153, 53.189002, 15.964195, 20.118205,189.617404,155.663278,475.226420,Total.SURVEY_LC1_1D
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.389838,   0.000000,   0.000000,  13.424942,   0.000000,   0.000000,   0.000000,   0.000000,   4.004001,   0.000000,   0.000000,   0.000000,   0.000000,   4.050421,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1955.581051, 936.560468,2081.413026,2341.276948,4168.547811,2181.072561,1944.865758,1439.834713,1484.422879,1238.376506,3426.389915, 120.076235,5254.803107, 101.777295, 186.565778,1436.443504,1380.331130,1832.968026,4588.706115,1101.314692,1419.312743,3900.693591,4454.905942,1202.694063,1982.436645,1383.094995,1279.124160,2435.410573,1857.381991,1306.178233,1079.755858, 680.134997,1479.197440,1461.328147, 640.739676,3113.334050,4365.820340,3135.095262,Total.SURVEY_LC1_1E
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   6.065288,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 250.246951, 120.225518, 126.401683, 375.217889, 948.350273, 557.499755, 228.257246, 141.664298, 188.892107, 198.558931, 373.450361,   3.915907,1901.770969,   0.000000,  16.247730,  82.731427,  72.269739, 257.322274,2426.346410, 207.758963, 647.551537,1555.551780,1054.906289, 201.211178, 112.749456, 261.870041, 363.292473, 150.393944, 296.851597,  65.304725, 262.724439,  76.296384, 643.712834, 160.937713, 362.146570,2172.051281,1433.380716,1172.155043,Total.SURVEY_LC1_1F
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 54.85189, 73.99122,127.99707,293.08438,473.85613,113.66666,135.58847, 56.50860,112.45225, 59.70653,182.73712, 55.64937,830.97724, 33.97798, 61.28755, 69.63492, 27.89514, 40.33589,847.54431, 69.11440,132.56821,201.62272,328.46883,185.27696, 68.10430, 52.80091, 55.39326, 51.02867, 45.09985, 38.79278, 46.99511, 31.83268,214.44802, 52.40698, 99.37544,327.49345,438.46569,115.15378,Total.SURVEY_LC1_1G
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.954363,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.908998,  3.790018, 15.578252, 53.930731, 85.812273, 48.264621, 15.538487,  7.801574, 20.155787,  3.971670, 21.396124,  3.786623,278.395751, 17.143545,  8.080690,  7.965933,  3.976303,  0.000000,224.291657,  3.983029,113.517249,131.907159,165.837008,  0.000000,  0.000000,  0.000000,  3.914654,  4.057822,  4.207118,  0.000000, 15.890468, 16.321533, 12.654748,  0.000000, 28.956737, 74.342436,335.592142, 20.316165,Total.SURVEY_LC1_1H
