No,Yes,variable
 3204.485,39716.715,Total.area
   0.000,3060.668,Total.SURVEY_LC1_1A
 3028.03,16246.97,Total.SURVEY_LC1_1B
 155.3954,8412.6545,Total.SURVEY_LC1_1C
  0.0000,843.1507,Total.SURVEY_LC1_1D
  12.02471,8236.47911,Total.SURVEY_LC1_1E
   5.011172,1754.871318,Total.SURVEY_LC1_1F
  4.023886,703.555694,Total.SURVEY_LC1_1G
  0.0000,458.3615,Total.SURVEY_LC1_1H
 3188.34,29859.15,Total.SURVEY_LU1_1U1
  0.0000,141.9127,Total.SURVEY_LU1_1U2
   8.026615,6417.002009,Total.SURVEY_LU1_1U3
   8.117851,3298.652821,Total.SURVEY_LU1_1U4
  0.0000,827.9522,Total.SURVEY_LC1_2A1
   0.000,2095.881,Total.SURVEY_LC1_2A2
  0.0000,136.8349,Total.SURVEY_LC1_2A3
    0.00,10756.95,Total.SURVEY_LC1_2B1
   0.000,1050.525,Total.SURVEY_LC1_2B2
   0.000,1606.399,Total.SURVEY_LC1_2B3
  0.0000,328.0531,Total.SURVEY_LC1_2B4
   0.000,2333.926,Total.SURVEY_LC1_2B5
 0.00000,63.26747,Total.SURVEY_LC1_2B7
  0.000,107.854,Total.SURVEY_LC1_2B8
3028.03,   0.00,Total.SURVEY_LC1_2Bx
   4.112931,4912.828872,Total.SURVEY_LC1_2C1
  97.85912,2671.88076,Total.SURVEY_LC1_2C2
 53.42331,827.94484,Total.SURVEY_LC1_2C3
  0.0000,186.4109,Total.SURVEY_LC1_2D1
  0.0000,656.7398,Total.SURVEY_LC1_2D2
  0.0000,933.9474,Total.SURVEY_LC1_2E1
  12.02471,6723.17791,Total.SURVEY_LC1_2E2
  0.0000,579.3538,Total.SURVEY_LC1_2E3
0.000000,8.686688,Total.SURVEY_LC1_2F1
  0.0000,131.8571,Total.SURVEY_LC1_2F2
   5.011172,1614.327581,Total.SURVEY_LC1_2F4
  4.023886,583.345233,Total.SURVEY_LC1_2G1
 0.00000,85.02908,Total.SURVEY_LC1_2G2
 0.00000,30.28944,Total.SURVEY_LC1_2G3
0.000000,4.891943,Total.SURVEY_LC1_2G4
  0.0000,280.8146,Total.SURVEY_LC1_2H1
  0.0000,177.5469,Total.SURVEY_LC1_2H2
 3049.108,23885.430,Total.SURVEY_LU1_2U11
 139.2325,5878.7471,Total.SURVEY_LU1_2U12
 0.00000,11.84114,Total.SURVEY_LU1_2U13
 0.00000,83.12867,Total.SURVEY_LU1_2U14
 0.00000,29.52219,Total.SURVEY_LU1_2U21
  0.0000,112.3905,Total.SURVEY_LU1_2U22
   0.000,1883.639,Total.SURVEY_LU1_2U31
 0.00000,75.33929,Total.SURVEY_LU1_2U32
 0.00000,75.42902,Total.SURVEY_LU1_2U33
  0.0000,321.9874,Total.SURVEY_LU1_2U34
  4.00273,374.82204,Total.SURVEY_LU1_2U35
   4.023886,1173.690194,Total.SURVEY_LU1_2U36
   0.000,2512.095,Total.SURVEY_LU1_2U37
 0.00000,40.41786,Total.SURVEY_LU1_2U41
   8.117851,3258.234963,Total.SURVEY_LU1_2U42
  0.0000,806.3491,Total.SURVEY_LC1_3A11
 0.00000,14.49052,Total.SURVEY_LC1_3A12
0.000000,7.112624,Total.SURVEY_LC1_3A13
  0.0000,749.8773,Total.SURVEY_LC1_3A21
   0.000,1346.003,Total.SURVEY_LC1_3A22
  0.0000,136.8349,Total.SURVEY_LC1_3A30
   0.000,3263.266,Total.SURVEY_LC1_3B11
 0.00000,10.62705,Total.SURVEY_LC1_3B12
   0.000,4406.524,Total.SURVEY_LC1_3B13
  0.0000,865.6368,Total.SURVEY_LC1_3B14
  0.00,447.73,Total.SURVEY_LC1_3B15
   0.000,1498.622,Total.SURVEY_LC1_3B16
  0.0000,253.9124,Total.SURVEY_LC1_3B18
 0.00000,10.63069,Total.SURVEY_LC1_3B19
  0.0000,510.8154,Total.SURVEY_LC1_3B21
  0.0000,298.8772,Total.SURVEY_LC1_3B22
  0.0000,240.8326,Total.SURVEY_LC1_3B23
   0.000,1585.142,Total.SURVEY_LC1_3B32
0.000000,6.668862,Total.SURVEY_LC1_3B33
 0.00000,14.58887,Total.SURVEY_LC1_3B35
  0.0000,283.9867,Total.SURVEY_LC1_3B41
 0.00000,37.39756,Total.SURVEY_LC1_3B43
0.000000,6.668862,Total.SURVEY_LC1_3B45
  0.000,137.725,Total.SURVEY_LC1_3B51
  0.0000,327.2759,Total.SURVEY_LC1_3B53
 0.00000,22.20926,Total.SURVEY_LC1_3B54
   0.000,1846.716,Total.SURVEY_LC1_3B55
 0.00000,55.14462,Total.SURVEY_LC1_3B71
0.00000,4.06662,Total.SURVEY_LC1_3B72
0.000000,4.056233,Total.SURVEY_LC1_3B75
0.000000,3.991758,Total.SURVEY_LC1_3B82
 0.00000,62.82583,Total.SURVEY_LC1_3B83
 0.00000,41.03639,Total.SURVEY_LC1_3B84
3000.36,   0.00,Total.SURVEY_LC1_3Bx1
22.07626, 0.00000,Total.SURVEY_LC1_3Bx2
5.593167,0.000000,Total.SURVEY_LC1_3Bxx
   0.000,4912.829,Total.SURVEY_LC1_3C10
4.112931,0.000000,Total.SURVEY_LC1_3C1x
   0.000,1683.796,Total.SURVEY_LC1_3C21
  0.000,537.376,Total.SURVEY_LC1_3C22
  0.0000,450.7087,Total.SURVEY_LC1_3C23
97.85912, 0.00000,Total.SURVEY_LC1_3C2x
  0.0000,147.8738,Total.SURVEY_LC1_3C31
  0.0000,209.2848,Total.SURVEY_LC1_3C32
  0.0000,470.7862,Total.SURVEY_LC1_3C33
53.42331, 0.00000,Total.SURVEY_LC1_3C3x
  0.0000,186.4109,Total.SURVEY_LC1_3D10
  0.0000,656.7398,Total.SURVEY_LC1_3D20
  0.0000,933.9474,Total.SURVEY_LC1_3E10
   0.000,6723.178,Total.SURVEY_LC1_3E20
12.02471, 0.00000,Total.SURVEY_LC1_3E2x
  0.0000,579.3538,Total.SURVEY_LC1_3E30
0.000000,8.686688,Total.SURVEY_LC1_3F10
  0.0000,131.8571,Total.SURVEY_LC1_3F20
   0.000,1614.328,Total.SURVEY_LC1_3F40
5.011172,0.000000,Total.SURVEY_LC1_3F4x
  0.0000,527.9697,Total.SURVEY_LC1_3G11
 0.00000,55.37555,Total.SURVEY_LC1_3G12
4.023886,0.000000,Total.SURVEY_LC1_3G1x
 0.00000,76.88884,Total.SURVEY_LC1_3G21
0.000000,8.140239,Total.SURVEY_LC1_3G22
 0.00000,30.28944,Total.SURVEY_LC1_3G30
0.000000,4.891943,Total.SURVEY_LC1_3G40
  0.0000,268.3642,Total.SURVEY_LC1_3H11
 0.00000,12.45033,Total.SURVEY_LC1_3H12
  0.0000,144.1804,Total.SURVEY_LC1_3H21
 0.00000,33.36656,Total.SURVEY_LC1_3H23
 3045.059,23638.403,Total.SURVEY_LU1_3U111
  4.049247,221.638106,Total.SURVEY_LU1_3U112
 0.00000,25.38906,Total.SURVEY_LU1_3U113
 139.2325,5878.7471,Total.SURVEY_LU1_3U120
 0.00000,11.84114,Total.SURVEY_LU1_3U130
 0.00000,83.12867,Total.SURVEY_LU1_3U140
 0.00000,29.52219,Total.SURVEY_LU1_3U210
 0.00000,39.00326,Total.SURVEY_LU1_3U221
 0.00000,18.69509,Total.SURVEY_LU1_3U223
 0.00000,16.48593,Total.SURVEY_LU1_3U224
 0.00000,13.86882,Total.SURVEY_LU1_3U226
 0.0000,24.3374,Total.SURVEY_LU1_3U227
 0.00000,61.48664,Total.SURVEY_LU1_3U311
   0.000,1564.093,Total.SURVEY_LU1_3U312
 0.00000,12.04113,Total.SURVEY_LU1_3U313
 0.0000,34.2249,Total.SURVEY_LU1_3U314
  0.0000,125.7973,Total.SURVEY_LU1_3U317
0.000000,8.058377,Total.SURVEY_LU1_3U318
 0.00000,77.93789,Total.SURVEY_LU1_3U319
 0.00000,21.87344,Total.SURVEY_LU1_3U321
 0.00000,53.46585,Total.SURVEY_LU1_3U322
 0.00000,75.42902,Total.SURVEY_LU1_3U330
