DK01.No,DK02.No,DK03.No,DK04.No,DK05.No,DK01.Yes,DK02.Yes,DK03.Yes,DK04.Yes,DK05.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
  212.6037, 1123.1848,  825.9668,  723.4920,  319.2376, 2346.3963, 6100.8152,11430.0332,12283.5080, 7555.9622,Total.area
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,429.5550,506.4533,827.1563,804.1893,493.3140,Total.SURVEY_LC1_1A
 207.5925,1123.1848, 751.9271, 662.7010, 282.6244, 362.6132,2394.9728,4996.9850,5234.3700,3258.0332,Total.SURVEY_LC1_1B
   0.00000,   0.00000,  70.01579,  48.76630,  36.61327, 707.31860,1314.75697,2087.70998,2917.80391,1385.06500,Total.SURVEY_LC1_1C
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 16.39069, 39.52741,208.05744,294.77405,284.40111,Total.SURVEY_LC1_1D
   0.00000,   0.00000,   0.00000,  12.02471,   0.00000, 574.50548,1033.89937,2585.61608,2297.48435,1744.97383,Total.SURVEY_LC1_1E
  5.011172,  0.000000,  0.000000,  0.000000,  0.000000,112.146701,635.085342,446.010027,386.049146,175.580102,Total.SURVEY_LC1_1F
  0.000000,  0.000000,  4.023886,  0.000000,  0.000000,102.289342,102.688372,150.116115,245.383046,103.078819,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 41.57733, 73.43166,128.38220,103.45418,111.51614,Total.SURVEY_LC1_1H
 212.6037,1123.1848, 821.9429, 715.3763, 315.2327,1238.5341,4568.0947,8843.4838,9485.0105,5724.0243,Total.SURVEY_LU1_1U1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.942315,73.979869,42.635725, 9.354788,Total.SURVEY_LU1_1U2
   0.000000,   0.000000,   4.023886,   4.002730,   0.000000, 953.057637,1145.173816,1707.295215,1601.434326,1010.041015,Total.SURVEY_LU1_1U3
   0.000000,   0.000000,   0.000000,   4.112931,   4.004919, 154.804557, 371.604430, 805.274279,1154.427439, 812.542115,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,147.5365,156.5251,222.7835,169.6108,131.4964,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,272.7420,341.9447,544.5233,607.1571,329.5136,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.276450, 7.983516,59.849581,27.421400,32.303999,Total.SURVEY_LC1_2A3
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 284.4821,1573.9842,3414.5063,3385.3722,2098.6045,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.932998,239.922506,254.864806,407.376060,144.428828,Total.SURVEY_LC1_2B2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 25.05555,256.14880,454.17504,528.13495,342.88504,Total.SURVEY_LC1_2B3
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  5.29686, 33.95043,109.53601,135.63475, 43.63508,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 39.81795,269.02400,721.31857,709.15924,594.60611,Total.SURVEY_LC1_2B5
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.027772,14.088557, 8.352549,27.656931, 9.141664,Total.SURVEY_LC1_2B7
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.854294,34.231754,41.035936,24.731985,Total.SURVEY_LC1_2B8
 207.5925,1123.1848, 751.9271, 662.7010, 282.6244,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
   0.000000,   0.000000,   0.000000,   4.112931,   0.000000, 578.937410,1149.426056,1169.536418,1357.991338, 656.937650,Total.SURVEY_LC1_2C1
   0.00000,   0.00000,  42.93387,  34.83266,  20.09259,  96.47130, 105.35836, 603.53333,1374.58731, 491.93044,Total.SURVEY_LC1_2C2
  0.000000,  0.000000, 27.081922,  9.820712, 16.520676, 31.909890, 59.972554,314.640229,185.225258,236.196908,Total.SURVEY_LC1_2C3
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.979590, 7.890182,45.261982,92.388298,36.890864,Total.SURVEY_LC1_2D1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 12.41110, 31.63722,162.79546,202.38575,247.51024,Total.SURVEY_LC1_2D2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 89.10043,133.98890,247.84566,272.83597,190.17646,Total.SURVEY_LC1_2E1
   0.00000,   0.00000,   0.00000,  12.02471,   0.00000, 462.82650, 826.54124,2111.06340,1880.23069,1442.51607,Total.SURVEY_LC1_2E2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 22.57855, 73.36923,226.70702,144.41769,112.28130,Total.SURVEY_LC1_2E3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.343829,4.342859,Total.SURVEY_LC1_2F1
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,12.82503,12.69841,63.85684,21.43155,21.04522,Total.SURVEY_LC1_2F2
  5.011172,  0.000000,  0.000000,  0.000000,  0.000000, 99.321668,622.386930,382.153187,360.273770,150.192026,Total.SURVEY_LC1_2F4
  0.000000,  0.000000,  4.023886,  0.000000,  0.000000, 98.285139, 74.141803,117.527785,208.678689, 84.711815,Total.SURVEY_LC1_2G1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.004203, 7.853463,24.540559,36.704357,11.926493,Total.SURVEY_LC1_2G2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.801162, 8.047771, 0.000000, 6.440510,Total.SURVEY_LC1_2G3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.891943,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2G4
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,17.50707,35.01918,66.00367,87.57656,74.70809,Total.SURVEY_LC1_2H1
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,24.07027,38.41248,62.37853,15.87762,36.80805,Total.SURVEY_LC1_2H2
